names,scores,logfoldchanges,pvals,pvals_adj
Car1,2.9809408,4.6246634,0.0028736426310927428,1.0
Ighm,2.8997943,33.77873,0.0037340753536745526,1.0
Ighd,2.6706748,32.599068,0.00756989422641004,1.0
Lgals3,2.5656617,2.9305458,0.01029792141730432,1.0
Lypd8,2.343702,2.240894,0.019093413923351583,1.0
Cd74,2.2840357,1.5680988,0.022369440774907007,1.0
mt-Atp6,2.2434623,2.5195668,0.024867017568036737,1.0
Cd19,2.1456091,1.0192686,0.031904173338118125,1.0
Cd79a,2.1026492,1.2865099,0.03549644121224371,1.0
Muc3,2.0215027,4.390985,0.043227748704641696,1.0
Ly6e,1.9642229,1.2317091,0.04950425359131558,1.0
Cd52,1.8830763,4.192361,0.05969002245176394,1.0
H2-Aa,1.8687564,2.3464565,0.061656717116517414,1.0
Cyp2c55,1.8353431,1.1718814,0.06645486816578348,1.0
H2-Eb1,1.8305697,1.348163,0.0671647825939228,1.0
mt-Nd1,1.7207834,2.5215218,0.08529014911457934,1.0
mt-Co2,1.7207834,2.5226498,0.08529014911457934,1.0
Fabp2,1.7064633,3.9709282,0.08792184361933163,1.0
Ceacam1,1.6993034,1.4007965,0.0892620382823612,1.0
Cd37,1.575197,30.212072,0.11521099274613711,1.0
Ethe1,1.517917,1.8747264,0.12903531026272766,1.0
Muc13,1.5059837,2.0832744,0.13207134693184192,1.0
Rfk,1.4677972,29.957907,0.14215933161994698,1.0
Pax5,1.4176773,29.83234,0.15628501555033808,1.0
Emp1,1.3961973,2.2464657,0.16265509260234656,1.0
Ly6d,1.3532374,29.942438,0.17597980921413414,1.0
Sell,1.3389174,29.95659,0.1805975641337031,1.0
Foxp1,1.3317574,29.69691,0.18293991569019052,1.0
Selenop,1.3174374,29.69711,0.18769203714565752,1.0
H2-Ab1,1.3031175,0.7220775,0.1925346599986555,1.0
Shisa5,1.2649308,1.5556458,0.2058961072683515,1.0
Klf2,1.2601576,29.741188,0.2076125315045989,1.0
Macf1,1.2529975,29.589447,0.21020659182834023,1.0
Krt20,1.1742377,29.451923,0.24029982108173775,1.0
mt-Co1,1.1670778,1.9913808,0.24317897859390492,1.0
Scd1,1.1670778,29.464987,0.24317897859390492,1.0
Lbh,1.1384377,29.374365,0.25493772168660034,1.0
Cd22,1.1384377,29.371738,0.25493772168660034,1.0
Ugdh,1.1312778,29.316875,0.257938183433149,1.0
Serpinb1a,1.1312778,29.356636,0.257938183433149,1.0
Ptprc,1.1241179,29.302494,0.26096304731002895,1.0
Tmigd1,1.1241179,29.369324,0.26096304731002895,1.0
Btg1,1.1097978,3.1461694,0.2670861477992954,1.0
mt-Cytb,1.1050246,1.7330219,0.2691489637775609,1.0
Sp100,1.059678,29.222782,0.2892911406679832,1.0
Limd2,1.045358,29.232145,0.2958575539766244,1.0
mt-Atp8,1.0071714,1.0536207,0.3138524247587722,1.0
Clta,0.99523807,28.933075,0.31962049095496725,1.0
Btg2,0.9737581,29.030018,0.3301766569179413,1.0
Mef2c,0.96659815,29.04736,0.3337449729063854,1.0
Txnip,0.9618248,2.0991411,0.33613761836667977,1.0
Fcmr,0.9618248,2.9852884,0.33613761836667977,1.0
Ifi209,0.95943815,29.018015,0.33733807014870565,1.0
mt-Nd4,0.9427315,2.9666867,0.34581825518378084,1.0
Gimap6,0.9307982,29.005142,0.35195796447162997,1.0
Zdhhc18,0.9307982,28.945866,0.35195796447162997,1.0
mt-Co3,0.9307982,0.83500326,0.35195796447162997,1.0
Uqcrfs1,0.9188649,2.067189,0.35816624993839397,1.0
Fau,0.9069316,0.7654485,0.3644429836467954,1.0
Arhgef18,0.89499825,28.92513,0.3707880166485783,1.0
Ctss,0.89499825,2.8852715,0.3707880166485783,1.0
Arhgef1,0.89499825,28.857399,0.3707880166485783,1.0
Fli1,0.89499825,28.877962,0.3707880166485783,1.0
mt-Nd4l,0.89499825,28.913862,0.3707880166485783,1.0
Add3,0.8878383,28.854382,0.3746277502240175,1.0
Fis1,0.8878383,28.739862,0.3746277502240175,1.0
Ralgps2,0.8806783,28.786327,0.37849197028126047,1.0
Ndfip1,0.8806783,28.707047,0.37849197028126047,1.0
Mgat4c,0.8806783,28.78148,0.37849197028126047,1.0
