names,scores,logfoldchanges,pvals,pvals_adj
Car1,2.9838865,3.7926733,0.0028461233260156935,1.0
Ighm,2.937112,33.69244,0.0033128437529114344,1.0
Ighd,2.8258212,32.513027,0.004715958677482623,1.0
Cd74,2.7129173,1.9664742,0.006669374052675972,1.0
H2-Eb1,2.629046,1.9280928,0.008562479365854815,1.0
Cd52,2.554852,4.5084696,0.010623295593287414,1.0
Ly6e,2.5225937,1.529961,0.011649288715629274,1.0
Cd37,2.5064647,30.906801,0.012194524940052052,1.0
Pax5,2.390335,30.59998,0.01683301012573636,1.0
Lgals3,2.3064637,2.1621523,0.02108474103995892,1.0
Muc3,2.2548504,3.8065503,0.024142717909960677,1.0
Lypd8,2.2548504,1.9348686,0.024142717909960677,1.0
Ceacam1,2.2532375,1.8145897,0.02424417624559373,1.0
Ly6d,2.2161405,30.649418,0.026681877003789378,1.0
H2-Ab1,2.1371078,1.2009662,0.032589217094850485,1.0
Ptprc,2.0903335,30.188206,0.03658785589399592,1.0
Foxp1,2.0903335,30.040894,0.03658785589399592,1.0
Macf1,2.0709784,30.023188,0.03836080371297478,1.0
Cd79a,2.0709784,1.1811867,0.03836080371297478,1.0
Cd22,2.0564623,29.979488,0.03973797536205383,1.0
Ctss,2.0129137,3.4053738,0.04412370917027139,1.0
Btg1,2.0000105,3.39623,0.04549914025793893,1.0
Lbh,1.9935588,29.933804,0.04620029607262052,1.0
H2-Q7,1.9500102,29.893894,0.05117490978797839,1.0
Sell,1.9113003,30.178793,0.05596600478786698,1.0
Klf2,1.9113003,30.11093,0.05596600478786698,1.0
Fcmr,1.9096874,3.4007208,0.0561734800089946,1.0
mt-Atp6,1.9080745,1.7983886,0.0563815952714297,1.0
Scd1,1.9016228,29.884583,0.057220485378008806,1.0
Ciita,1.8967841,29.81333,0.05785644363545777,1.0
H2-Aa,1.8758162,2.4213169,0.060680521144105375,1.0
Ptpn6,1.8290417,3.3676782,0.06739335040841066,1.0
Limd2,1.8096868,29.68097,0.07034436523792771,1.0
Serpinb1a,1.7806544,29.641628,0.07496892262711677,1.0
Ly6a,1.7758157,29.676802,0.07576330058585895,1.0
Rack1,1.7677511,3.066566,0.07710251760769972,1.0
Ralgps2,1.7661382,29.553503,0.07737266248945704,1.0
H2-Eb2,1.751622,29.563858,0.07983882418851937,1.0
Mef2c,1.751622,29.628492,0.07983882418851937,1.0
Sema4d,1.7419446,29.650042,0.0815181479808652,1.0
Fcer2a,1.7193638,3.3838556,0.08554815229544352,1.0
Clta,1.7177509,29.44444,0.0858420657924213,1.0
Arhgef1,1.6935571,29.486874,0.09034945713610675,1.0
Gimap6,1.6838797,29.434292,0.0922049146829414,1.0
mt-Nd1,1.6677506,2.189892,0.0953652435760173,1.0
Fchsd2,1.6645248,29.43181,0.09600760137092813,1.0
Etnk1,1.6548473,2.9405456,0.09795547253834976,1.0
Gsdmc4,1.6403311,29.406408,0.10093633944762584,1.0
Gimap4,1.6403311,29.426485,0.10093633944762584,1.0
Clca1,1.6354923,29.427519,0.10194587071844284,1.0
Sf3b1,1.6258149,29.319778,0.10398903543739883,1.0
Rfk,1.6258149,29.36819,0.10398903543739883,1.0
Fabp2,1.6225891,3.076412,0.10467727484545901,1.0
Man1a,1.6161374,2.9683871,0.10606460082050902,1.0
Hvcn1,1.5967824,29.423544,0.11031419781652513,1.0
Pfn1,1.5935566,2.8612003,0.11103536412206662,1.0
Fam49b,1.5919437,29.29219,0.11139734032114272,1.0
Txnip,1.5838792,2.2551763,0.1132212096339689,1.0
Bank1,1.5822663,29.329847,0.11358879126647022,1.0
Snx29,1.5677501,29.289625,0.11693946627918607,1.0
Eif4a2,1.5677501,29.203087,0.11693946627918607,1.0
Sorl1,1.5580726,29.260252,0.11921603370694789,1.0
Dock2,1.5532339,29.185078,0.12036726815526817,1.0
Ifi209,1.5387176,29.296623,0.12387323338192922,1.0
Bin1,1.5338789,29.157755,0.1250594358597101,1.0
Irf5,1.5096853,29.204433,0.1311237505703468,1.0
Arhgef18,1.495169,29.273506,0.13487032360229978,1.0
