names,scores,logfoldchanges,pvals,pvals_adj
Aldh1a1,69.72394,3.0660553,0.0,0.0
Hpgd,57.252247,2.015018,0.0,0.0
Cyp4f14,56.667015,2.304686,0.0,0.0
Car1,53.89412,1.4309595,0.0,0.0
Tmigd1,53.416424,2.0669332,0.0,0.0
Mpp1,50.001602,2.2927938,0.0,0.0
Fam162a,49.23495,1.5667644,0.0,0.0
Maoa,49.15269,1.3059936,0.0,0.0
Fabp2,47.79943,1.572476,0.0,0.0
Slc9a3r1,45.654793,1.7315168,0.0,0.0
Ugdh,45.292133,1.3335056,0.0,0.0
Mep1a,44.489216,1.4871584,0.0,0.0
Rfk,44.459965,1.3706924,0.0,0.0
Mep1b,43.770473,1.6148461,0.0,0.0
Enpep,43.563934,3.5862541,0.0,0.0
Akr1c19,43.426266,1.4381894,0.0,0.0
Anxa2,43.19771,1.3877535,0.0,0.0
Apob,43.08955,2.698952,0.0,0.0
Cyp3a13,42.326202,1.8050474,0.0,0.0
Saa3,41.95611,2.3451445,0.0,0.0
Mpst,41.61582,1.4134729,0.0,0.0
Ndrg1,41.24869,1.9668783,0.0,0.0
Slc51a,40.866283,1.9605968,0.0,0.0
Emp1,40.73306,1.4952452,0.0,0.0
Smim22,39.78673,1.4081806,0.0,0.0
Ldha,39.630745,1.1553975,0.0,0.0
Slc9a2,39.53736,1.302813,0.0,0.0
Slc26a3,39.368446,1.3448197,0.0,0.0
Neu1,39.260944,1.4943804,0.0,0.0
Abcc3,38.944378,1.3789685,0.0,0.0
Gsto1,38.87066,1.0306652,0.0,0.0
Mall,38.467102,1.2584976,0.0,0.0
Akr1c14,37.945168,1.4958012,0.0,0.0
Aoc1,37.49894,1.3135024,9.584333216532902e-308,3.7447359067453553e-305
Sgk2,36.65801,1.6081395,3.41108906100977e-294,1.295740080814128e-291
Abcg2,36.505604,1.3018689,9.036061495889774e-292,3.339679485305207e-289
Ces2e,36.44327,1.7491482,8.792576726887858e-291,3.164170703689249e-288
Cyp2d26,36.417625,2.4646459,2.239880932046084e-290,7.853941473264154e-288
Pls1,36.41012,1.3045378,2.9445960774855405e-290,1.0066837839903691e-287
Fa2h,36.33186,1.3286527,5.0823873519093055e-289,1.695162122862433e-286
Slc10a2,36.203682,1.9484222,5.327569796592e-287,1.7346313563903715e-284
H2-Q2,36.118008,1.4118217,1.1831304068344965e-285,3.7626298403399395e-283
Guca2a,36.096695,1.2016236,2.555575197142562e-285,7.942611550210122e-283
