names,scores,logfoldchanges,pvals,pvals_adj
Tfrc,31.273245,2.5939527,1.0786267970722175e-214,1.4750221449962573e-210
Mt2,22.885162,1.8078594,6.529838393294727e-116,2.2323885007076346e-112
Akr1c14,21.139946,1.3122195,3.4147074715048065e-99,9.339224934565646e-96
Slc37a2,20.67436,1.4954225,5.894374203565597e-95,1.343426120562659e-91
Mt1,20.202091,1.1417326,9.383835178947471e-91,1.8331992296015237e-87
Tma7,20.021307,1.2088678,3.591701466655499e-89,6.1395646945642435e-86
Serf2,19.310284,1.0639968,4.401547388468841e-83,6.0191160537311404e-80
Glud1,19.245274,1.1555145,1.5464347579932684e-82,1.9224995741416313e-79
Qdpr,19.13089,1.1649336,1.3967019203058316e-81,1.5916582300151873e-78
Eif3f,19.038578,1.0812882,8.171735449930734e-81,8.596037098292522e-78
Pitx2,18.92707,1.3556638,6.825369698216673e-80,6.222462041540867e-77
Aldh1a1,18.923204,1.2250252,7.344911231072124e-80,6.2776038178069556e-77
Akr1c19,18.902548,1.0484697,1.0867605127238062e-79,8.742029418528264e-77
Hpgd,18.81765,1.0203313,5.413330062583556e-79,4.11262714476834e-76
Mpst,18.796711,1.0506142,8.034585800188858e-79,5.5904600286758e-76
Eci1,18.795784,1.0858628,8.176175544681243e-79,5.5904600286758e-76
St3gal5,18.645744,1.2906984,1.3673963578671497e-77,8.90435485420632e-75
Prpsap1,18.576149,1.0039899,5.0120098203026745e-77,3.115419740574503e-74
Fkbp4,18.459887,1.0725952,4.3424673394517886e-76,2.5818800376957918e-73
Tbca,18.401976,1.2087682,1.2666145768288032e-75,7.217064307555785e-73
Ugt2b34,18.397524,1.1211096,1.3750434052066688e-75,7.521487426480479e-73
Eif2b1,18.356869,1.1303303,2.909078911648116e-75,1.530063619876461e-72
Plgrkt,18.3242,1.0554981,5.30566648966633e-75,2.6872218239328544e-72
Ank,18.283068,0.9879974,1.128952484852986e-74,5.513723296558779e-72
Rtn4,17.95362,1.0618038,4.4961488621974557e-72,2.1201667479500074e-69
Ugdh,17.81492,0.97559243,5.413503189160346e-71,2.4676552037255914e-68
Ndufs8,17.799116,0.95615053,7.179299537214732e-71,3.1669974571423053e-68
Samm50,17.630014,0.94397795,1.4492855347002752e-69,6.193431152195707e-67
Atp13a3,17.608175,0.9595236,2.1321046776071043e-69,8.835312565538531e-67
Bag1,17.544228,0.96434623,6.584292353814249e-69,2.6482411158355843e-66
Ralgapa2,17.5408,1.2692024,6.993583472716147e-69,2.6691617740280685e-66
Mgat4b,17.540531,0.99913806,7.026678161975171e-69,2.6691617740280685e-66
Cops9,17.524496,1.0803568,9.316342854975512e-69,3.4432699605889226e-66
