names,scores,logfoldchanges,pvals,pvals_adj
Aldh1a1,39.797695,3.3780937,0.0,0.0
Tmigd1,33.58714,2.3747969,2.5850529354104634e-247,1.1783532963912696e-243
Cyp4f14,33.313522,3.320066,2.4599007787485033e-243,8.409785787346445e-240
Enpep,31.166782,4.239318,3.005024724069367e-213,8.218742620329718e-210
Fabp2,30.761553,2.1008444,8.567769684361597e-208,1.9527375072274137e-204
Mep1b,30.588196,2.3908489,1.7570153292877553e-205,3.432454946858579e-202
Hpgd,30.410667,2.4918103,3.970018010723917e-203,6.319851748138676e-200
Rfk,30.409138,1.9326098,4.1593174210784705e-203,6.319851748138676e-200
Slc9a3r1,30.33816,2.2271483,3.599959545185668e-202,4.922944678041401e-199
Guca2a,29.122189,1.7055383,1.8802843854105215e-186,2.3375353609535347e-183
Muc13,28.412495,0.89367086,1.4173422591541273e-177,1.6151796161610575e-174
Gsto1,28.23003,1.5105655,2.5034185229713505e-175,2.6334037155102477e-172
Cyp3a13,27.838892,2.3188348,1.468115241322357e-170,1.4340339946488021e-167
Neu1,27.466204,2.1351728,4.45002537879012e-166,4.0569398036636594e-163
Mep1a,27.410625,1.9395851,2.0488792115490395e-165,1.7511514511208195e-162
Maoa,27.238873,1.7663426,2.2513137483351057e-163,1.8109832652048573e-160
Cdhr5,27.078188,1.5722754,1.779287142955937e-161,1.351763982217913e-158
Rbp2,27.041464,2.87708,4.812741429296511e-161,3.4639073181910417e-158
Apob,26.87582,3.0364091,4.2114272977174307e-159,2.879563414814293e-156
Mxd1,26.396097,1.9768841,1.519116475960218e-153,9.892341813693324e-151
Spint2,25.86039,1.3394045,1.85920570036966e-147,1.1556653614797771e-144
Prss30,25.773495,2.3940465,1.758176973100832e-146,1.0453508742240816e-143
Slc13a2,25.656898,2.1530564,3.541324893985025e-145,2.017817413551884e-142
Car1,25.220118,1.4974312,2.4103204474898225e-140,1.318445284776933e-137
Car4,25.148893,1.7906408,1.4531377759910526e-139,7.642945802568325e-137
Mall,25.046278,1.7760118,1.9167140472693696e-138,9.707801702373567e-136
Slc9a2,24.782522,1.7288467,1.3836900218656604e-135,6.7578432317903235e-133
Aoc1,24.76495,1.962595,2.13992620355289e-135,1.0090858908133026e-132
Cldn7,24.705732,1.4582951,9.280515329411651e-135,4.230368237656811e-132
Selenop,24.615507,1.5440127,8.619428252010857e-134,3.80228004342737e-131
Smim22,24.566174,1.8356115,2.9054296681897733e-133,1.2416172097654734e-130
Slc10a2,24.314053,2.3843577,1.3923130095187433e-130,5.769660728839035e-128
Aldob,24.095741,2.4918714,2.770333425878294e-128,1.1142443999672257e-125
Ldha,24.024431,1.4266579,1.5450568474401232e-127,6.036757825355338e-125
Sectm1b,23.894423,1.6960546,3.5002145098570126e-126,1.329595372841518e-123
Itm2b,23.871286,1.1373587,6.088227026536842e-126,2.2501757996727383e-123
Abcg2,23.862883,1.7777311,7.442953037317337e-126,2.6784837575082788e-123
H2-Q2,23.77626,1.8824195,5.880469453646536e-125,2.061933840477343e-122
Anxa2,23.66977,1.5782034,7.387476660996679e-124,2.5255935834782392e-121
Slc3a1,23.49519,3.141547,4.567678400468563e-122,1.5234878567416486e-119
Myo15b,23.457321,1.5418779,1.113013857674015e-121,3.6239201199267036e-119
Hist1h2bc,23.438034,1.3151786,1.7508792077840184e-121,5.568203061964291e-119
Erbb3,23.225288,1.8929781,2.5287770762578914e-119,7.859324208596968e-117
Pls1,23.152485,1.670159,1.3723173081421987e-118,4.170319819743237e-116
Edf1,23.03067,1.4767122,2.2981055355190983e-117,6.831868086570363e-115
Calm1,22.867073,1.4196056,9.88453451497725e-116,2.8759789253683806e-113
S100a10,22.807745,1.2893611,3.8415638702309556e-115,1.0944455401126733e-112
Fam162a,22.69896,1.456483,4.587255222427354e-114,1.2802186768713074e-111
