names,scores,logfoldchanges,pvals,pvals_adj
Tfrc,31.919062,2.4072464,1.4524098621726442e-223,1.9861704865210908e-219
Hpgd,28.618801,1.6464332,3.920964744987909e-180,2.6809596443854825e-176
Aldh1a1,28.508562,1.9252446,9.174607334898898e-179,4.182091843491414e-175
Cyp4f14,25.63121,1.6660906,6.849890796161988e-145,1.8734451327503037e-141
Akr1c14,25.295994,1.495492,3.5355411650306104e-141,8.058087571965599e-138
Ckmt1,24.569283,1.236477,2.6913737199303116e-133,5.257790802863859e-130
Ndrg1,24.133192,1.5139753,1.1211008535421353e-128,1.9163817715235874e-125
Selenbp1,22.553017,1.2913702,1.2543830004401176e-112,1.9059652812242896e-109
Tmigd1,22.544212,1.7408414,1.530397640745046e-112,2.0928187737188504e-109
Scin,22.509077,1.3432605,3.3824294359114976e-112,4.204974776008157e-109
Slc26a3,22.200325,1.310531,3.409831654644101e-109,3.88578732310484e-106
Anxa2,22.16639,1.0869793,7.24970656024952e-109,7.626133631647091e-106
Rfk,22.021173,1.0737153,1.8052736434442017e-107,1.7633655052928183e-104
Ms4a8a,21.499535,1.1684763,1.5725904624310503e-102,1.4336783049163075e-99
Mep1a,21.392029,1.1799225,1.585128057555004e-101,1.3547891366915425e-98
Ugdh,21.14143,1.0417364,3.3089552572781656e-99,2.661762537839936e-96
Plgrkt,20.944326,1.1326833,2.113662636318436e-97,1.6057964750919226e-94
Plscr1,20.941076,1.1308979,2.2629143882181372e-97,1.6287028557306857e-94
Slc9a2,20.93168,1.2614151,2.7560387109395867e-97,1.8844414686049422e-94
Ugt2b34,20.899324,1.1395669,5.430730294030393e-97,3.536439846231696e-94
Serf2,20.801214,1.0811378,4.219858209418806e-96,2.6230255006273715e-93
Serpinb1a,20.577429,0.9797398,4.3726320706035247e-94,2.599814937630574e-91
Myo1a,20.450758,1.0000235,5.914825936327966e-93,3.370218528303539e-90
Chp1,20.437437,1.0419536,7.771512553097137e-93,4.251017366544134e-90
Fabp2,20.381048,0.9658086,2.463205916760881e-92,1.295551573527117e-89
Acp5,20.375618,1.1441196,2.7521648932570803e-92,1.3939205524181693e-89
Cmtm4,20.069637,1.1634539,1.3599233423879617e-89,6.641768466841206e-87
Tmbim6,19.899618,1.0074942,4.100330488886723e-88,1.9335179115698603e-85
Mgat4c,19.77758,1.0886551,4.644521445289142e-87,2.1171276921443007e-84
Atp5j2,19.743711,0.9099745,9.085282595035428e-87,4.007781918939015e-84
Fa2h,19.652319,1.1604044,5.523157312234742e-86,2.3602867576503154e-83
Uqcrq,19.256289,1.0316764,1.2502694546629195e-82,5.181040846216796e-80
Prdx5,19.250425,0.9888996,1.4000844904780265e-82,5.631222178613827e-80
Mpp1,19.243181,1.6731403,1.6101378594667618e-82,6.291038636630848e-80
Plpp2,19.233778,1.0566205,1.930404207683983e-82,7.332854872244018e-80
Dhcr24,19.208168,1.0345283,3.162335432816533e-82,1.1687820822639485e-79
Myh14,19.138899,1.1172717,1.1977393069369184e-81,4.310285532200621e-79
Serpinb6a,19.083807,0.98111236,3.4424185367839384e-81,1.2070531664235989e-78
Misp,19.0732,0.91340363,4.216851907126609e-81,1.4416362457489093e-78
Ndufc1,19.068504,1.110885,4.613181466137483e-81,1.5386647938885385e-78
Cds1,19.059748,0.9879679,5.453731454956897e-81,1.77570899158418e-78
Gna11,19.039097,0.9335241,8.090952849254947e-81,2.573111167757242e-78
Cyp2c65,18.966204,1.297668,3.245170874681507e-80,1.0085843570743092e-77
Slc26a2,18.953257,0.93462557,4.15080266531931e-80,1.2613828099609238e-77
Ndufa1,18.91424,0.8755262,8.706637590728017e-80,2.5883319359392527e-77
Cmpk1,18.903473,0.9041035,1.0678518607160884e-79,3.106994509636704e-77
Calml4,18.895864,0.8733836,1.233521017974179e-79,3.514249983499354e-77
Qdpr,18.809206,0.96023285,6.34818385488881e-79,1.771661514604173e-76
Sdha,18.805588,0.8540794,6.796356763065335e-79,1.858803574698369e-76
Mvp,18.650808,1.0063766,1.2438213789808958e-77,3.3351485014830883e-75
Dhrs11,18.649738,1.3353163,1.268988572526984e-77,3.33719590948202e-75
Eif4a2,18.625395,1.1522323,2.0000968101747574e-77,5.160627147007511e-75
Slc35c1,18.61665,1.0014552,2.354982693828998e-77,5.9637756181688055e-75
Tpm1,18.52518,0.9041092,1.2936852258653203e-76,3.21657190249241e-74
Gsto1,18.41823,0.7358556,9.382239484829369e-76,2.291109374197172e-73
Rnase4,18.341558,0.9064769,3.8558533564873784e-75,9.250665728064016e-73
Timm13,18.321321,0.9114086,5.5937737246785535e-75,1.3188768221548144e-72
Ndufb8,18.265854,0.8598729,1.547711465546839e-74,3.58728038836492e-72
Prr15,18.149029,1.5183322,1.3068953786248478e-73,2.978632383782466e-71
Car1,18.127365,0.69514996,1.9382724719856713e-73,4.34522558268919e-71
Perp,18.120451,0.8949815,2.1978862154283182e-73,4.84775709612617e-71
Cox8a,18.046804,0.848072,8.358969792127494e-73,1.814427173132436e-70
Fahd1,18.023674,1.3030636,1.2702098520194142e-72,2.7140812072446076e-70
Fbp2,17.994991,0.8618404,2.1325478202564155e-72,4.4865525295394585e-70
Coro2a,17.95045,0.9453913,4.760264952678888e-72,9.863124731497545e-70
Cab39,17.899305,1.0180596,1.1940276143087299e-71,2.4370638247271465e-69
Ipmk,17.878204,1.2384661,1.7436351573387106e-71,3.5065015847951276e-69
Uqcrc1,17.847586,0.8376176,3.0180124043634857e-71,5.981350670966764e-69
Fam162a,17.831465,0.86121786,4.027305875272626e-71,7.867629692050451e-69
Agpat2,17.82379,0.93881476,4.619854103745741e-71,8.89809927728493e-69
Myo15b,17.809555,0.8437614,5.958062171664136e-71,1.131618058298709e-68
Sema4a,17.77892,0.95991975,1.029451675285513e-70,1.928459131442382e-68
Aoc1,17.775358,1.0302263,1.0969389147517312e-70,2.0271134674635035e-68
Mboat1,17.754887,0.8816491,1.5798742110093897e-70,2.8806373114071206e-68
Aldoa,17.733297,0.83011866,2.320164449934897e-70,4.174769585902595e-68
Txn1,17.72954,0.84997493,2.4805549167102683e-70,4.4054011020796e-68
Emp1,17.72272,0.9504496,2.80041773354238e-70,4.909706731563083e-68
Clrn3,17.677671,0.947958,6.23177725618473e-70,1.0787285313712174e-67
Ildr1,17.630772,0.8675228,1.4300126084949823e-69,2.44442780264611e-67
Cyb5b,17.618935,0.8887933,1.7629438568550867e-69,2.976328054628804e-67
Cyp2d26,17.563053,1.6830873,4.726270216279412e-69,7.881920147270849e-67
