names,scores,logfoldchanges,pvals,pvals_adj
Arpc5,4.75879,1.3693098,1.9475695535572606e-06,0.00887767121496518
Ndrg1,4.54838,1.8240588,5.4060481397752814e-06,0.013812076804389417
Marcksl1,4.5409646,1.2487524,5.5997444036439815e-06,0.013812076804389417
Fxyd3,4.52428,1.6942035,6.060143387666289e-06,0.013812076804389417
Itpr3,4.480715,2.050834,7.439340257127398e-06,0.014533282573745308
App,4.4288077,1.1847736,9.475548167171255e-06,0.01609495086028562
Calm3,4.404708,1.1588858,1.0592655045160556e-05,0.01609495086028562
Tm4sf4,4.3546543,2.3237588,1.332770633270727e-05,0.01822563840997719
Clrn3,4.315724,2.0621774,1.5908077043941337e-05,0.019776632143263435
Cldn7,4.2703047,1.1749735,1.9520591134225286e-05,0.02167265144158408
Arf3,4.258255,1.5738999,2.060288619675269e-05,0.02167265144158408
Bag1,4.2211785,1.3535082,2.4302857644089392e-05,0.022896584249517134
Iqgap1,4.2137628,1.3787726,2.511508327186523e-05,0.022896584249517134
Anxa11,4.1766863,1.2926306,2.9578646216087525e-05,0.02428270216394076
Fbp2,4.172052,1.7785366,3.018690579795195e-05,0.02428270216394076
Serpinb1a,4.135902,1.180533,3.5356307178233165e-05,0.02662807299881064
Misp,4.1173635,1.3227004,3.832310975985637e-05,0.02662807299881064
Pam,4.113656,1.1511887,3.8944165263342804e-05,0.02662807299881064
Trip12,4.0867753,1.5920445,4.374101626456096e-05,0.028483733210374815
Cope,4.0395026,1.7838682,5.356465880855965e-05,0.03313004921308001
Mtch1,4.0302334,1.1814868,5.5721472168251564e-05,0.03313004921308001
Cyb5r3,3.9208574,1.045646,8.82344895565987e-05,0.04901236037227708
Clk1,3.9171498,2.5182488,8.960212133871495e-05,0.04901236037227708
Cox7c,3.9050999,1.1432521,9.41865241892963e-05,0.049538489164947186
Tppp3,3.858754,1.2534287,0.00011396661647895333,0.05753351739891502
Gdi1,3.8439233,1.2200851,0.00012108288344646845,0.05753351739891502
Ctbp1,3.834654,0.9091152,0.0001257411238654719,0.05753351739891502
Ndufv3,3.8337271,1.0199691,0.00012621612592083733,0.05753351739891502
mt-Atp6,3.7623546,0.990348,0.0001683211698073733,0.06977719687886821
Spint1,3.759574,1.1902696,0.00017020303396936954,0.06977719687886821
Pcdh1,3.7512317,1.870663,0.00017596806217225157,0.06977719687886821
Syt7,3.7493777,1.0335463,0.00017727387895078123,0.06977719687886821
Sstr1,3.747524,1.381846,0.00017858880371191135,0.06977719687886821
Tm4sf20,3.7299125,1.3104918,0.00019154626771197272,0.0727609780822563
Ms4a8a,3.6993244,1.2198167,0.00021617426301196306,0.07807887387575106
Mcu,3.6983974,1.394927,0.00021696506086131922,0.07807887387575106
Grtp1,3.679859,2.913614,0.0002333629354683387,0.08182661903921876
Rnf103,3.669663,4.2984257,0.00024287049856825798,0.0827865870450027
Atp6v1e1,3.6641014,1.2018267,0.0002482084145407759,0.0827865870450027
