names,scores,logfoldchanges,pvals,pvals_adj
mt-Atp6,12.130648,0.97626203,7.267211900888525e-34,9.956080304217279e-30
Serf2,11.531638,1.084797,9.138804170676577e-31,6.2600808569134546e-27
Pdcd4,11.344465,0.9963401,7.900740550037074e-30,3.608004851183597e-26
Nupr1,10.714453,1.0008683,8.70703000006382e-27,2.982157775021858e-23
Ccl6,10.035157,1.1073664,1.0678865985368083e-23,2.926009279990855e-20
Tpt1,9.984301,0.4031079,1.7855606882815855e-23,4.0770302382429535e-20
Ptprn2,9.914039,1.009048,3.617224126592951e-23,7.079424362046204e-20
mt-Co3,9.824307,0.78375524,8.84800488396028e-23,1.4796257548414728e-19
Cd63,9.81483,0.87536955,9.720169192389237e-23,1.4796257548414728e-19
Atp2a3,9.764005,0.75426596,1.6068160004123918e-22,2.201337920564977e-19
Mgat4b,9.7264805,0.93391174,2.3249834895452815e-22,2.8956612551609415e-19
Gcnt3,9.685679,0.81930894,3.468955850841415e-22,3.960391263043949e-19
Car8,9.634019,0.8469276,5.743818058335387e-22,6.053100569168831e-19
Atoh1,9.525365,0.86008406,1.6446327092411582e-21,1.5020978744402577e-18
Cmpk1,9.454171,0.74309355,3.2559123619910083e-21,2.623882315251577e-18
Eif4a2,9.349951,0.9848577,8.768849534140772e-21,6.674068812096033e-18
Rnase4,9.316699,0.7765535,1.2001580713060915e-20,8.653771356259713e-18
Appl2,9.242357,0.74725795,2.4112574685687806e-20,1.6517113659696147e-17
mt-Nd4l,9.228125,0.8308489,2.7541092433282024e-20,1.7967284111236367e-17
Plekhb2,9.099263,0.8997677,9.094684415235631e-20,5.663508022214916e-17
Fabp2,9.080693,0.691571,1.0788516777181778e-19,6.426203471625668e-17
Adgrg7,9.066333,0.67767805,1.230901311990887e-19,7.026394989281313e-17
Hpgd,9.05843,1.0242876,1.3234224450761283e-19,7.252354999017184e-17
Tmem234,9.051522,0.7445695,1.4098905537248467e-19,7.429038686934769e-17
Tma7,9.044004,0.82160753,1.510351742231946e-19,7.663636617991726e-17
Asph,9.0301895,0.8020692,1.7137436882318594e-19,8.385103045991597e-17
mt-Cytb,8.913118,0.71971124,4.9616863599713655e-19,2.343969073503714e-16
Rfk,8.843532,0.7330265,9.274001905231661e-19,4.2351275367224583e-16
Ptprf,8.828142,0.65837425,1.064284982642778e-18,4.703452987808406e-16
Tm9sf3,8.6819315,0.6460211,3.891021837844786e-18,1.6658437243272987e-15
Hepacam2,8.672165,0.64828986,4.2397948999243596e-18,1.7601572766352644e-15
Hsd11b2,8.656166,0.71085674,4.878978408884727e-18,1.9659413000506105e-15
Slc35a1,8.600297,0.6436016,7.951007569990503e-18,3.1122515345391397e-15
Mxd4,8.595767,0.9071313,8.271042423374065e-18,3.1475911444506863e-15
Gas6,8.569584,0.6930395,1.0386000913291373e-17,3.845627365191671e-15
mt-Co2,8.526662,0.6488907,1.506316041757511e-17,5.430665729494185e-15
Kit,8.485989,0.7709517,2.138921273677342e-17,7.513646525481945e-15
Serpinb6a,8.450649,0.6907254,2.8968808927298754e-17,9.921817057599824e-15
P2rx4,8.439565,0.6655645,3.1852058091189645e-17,1.0643248679251174e-14
Eif3f,8.426554,0.73455,3.55994734151302e-17,1.1612209185411518e-14
