names,scores,logfoldchanges,pvals,pvals_adj
Hpgd,31.565544,1.9893867,1.0973600184277405e-218,7.503199125999675e-215
Aldh1a1,29.805424,2.2567332,3.322950297063265e-195,1.5147115104113383e-191
Scin,29.630121,1.8770113,6.11751362402589e-193,2.091424970213851e-189
Anxa2,26.373665,1.3526214,2.747889553422923e-153,7.515477928611693e-150
Erbin,25.955824,1.3244039,1.5629108589597041e-148,3.5621343327123254e-145
Cyp4f14,25.924154,1.9888307,3.5582236275048996e-148,6.951244015161358e-145
Ckmt1,25.731506,1.3153648,5.192382925859413e-146,8.875729563890934e-143
Tmigd1,25.695356,1.6992353,1.3172888240929743e-145,2.0015471854968248e-142
Ndrg1,25.505613,1.4959999,1.7079420608737263e-143,2.3356107682448205e-140
Rfk,25.292444,1.3513331,3.8682051568472925e-141,4.808882319989702e-138
Ms4a8a,24.660694,1.2541716,2.8259349938183647e-134,2.97266623388201e-131
Slc26a3,24.594746,1.5290654,1.4377398384795608e-133,1.4043637350862852e-130
Cmpk1,24.586893,1.1757098,1.7445673429835723e-133,1.5904638943533567e-130
Tmbim6,24.451656,1.3172215,4.832243725663038e-132,4.1300583092776276e-129
Fcgbp,24.393663,1.6622536,1.9966219083671726e-131,1.6061061527600638e-128
Bag1,24.312738,1.1823719,1.437558858580068e-130,1.0921454106156905e-127
Dstn,24.091942,1.1721175,3.0364481642220006e-128,2.1854436129334662e-125
Ndufa1,24.027182,1.1867758,1.4461025796505035e-127,9.887726388360317e-125
Plscr1,23.930637,1.4547417,1.4701217546475685e-126,9.573292854669285e-124
Tpm1,23.76168,1.3357015,8.320884798083602e-125,5.172186346081512e-122
Atp5j2,23.50432,1.1714015,3.684231823280875e-122,2.190516094928955e-119
Smdt1,23.475191,1.1118016,7.312098203659026e-122,4.1663726222932156e-119
Hepacam2,23.371796,1.2892588,8.27504360893155e-121,4.5264488540855575e-118
mt-Atp6,23.21975,1.2137142,2.876557750445573e-119,1.512958739897816e-116
Smim22,23.130468,1.3275611,2.2863889111072483e-118,1.1580136429404304e-115
Akr1c14,23.098986,1.5296875,4.740024611117654e-118,2.314994162751211e-115
Hsd11b2,23.067743,1.30111,9.762578803277721e-118,4.60356086671803e-115
Spint1,23.046926,1.1752319,1.5791192902626114e-117,7.198152098113737e-115
Myo1a,23.03438,1.1298627,2.109502102206883e-117,9.30562620892875e-115
Rab2a,22.950932,1.044781,1.4422290513017448e-116,6.1632757114223e-114
Fabp2,22.923979,1.3007818,2.67946476715627e-116,1.1103539603291513e-113
Aldoa,22.884836,1.0856624,6.578680545361768e-116,2.6459840134653585e-113
Cdhr5,22.732185,1.1825489,2.1534733044910352e-114,8.413927839689973e-112
Calm1,22.726965,1.1262474,2.4253047969251274e-114,9.212789749430865e-112
Cast,22.648262,1.5179933,1.4512167069719624e-113,5.3636185048220506e-111
Fuca1,22.632238,1.1467704,2.0873876638301877e-113,7.51184902707311e-111
mt-Nd4,22.623817,1.0177464,2.526454497896375e-113,8.858785963777675e-111
Abhd17c,22.543997,1.0734618,1.5379131658990437e-112,5.2577406359173553e-110
Plekhb2,22.507286,1.1468011,3.5218005453068357e-112,1.1746493282212434e-109
Tram1,22.478025,1.140239,6.810233934463221e-112,2.2173797393758227e-109
Mcu,22.466545,1.2083182,8.819215695026289e-112,2.804715689057779e-109
Pls1,22.451513,1.1822397,1.2368725944340676e-111,3.8441438020195167e-109
Serpinb1a,22.394848,1.0947754,4.418170271892925e-111,1.3426328548474611e-108
Cap1,22.285059,1.0665772,5.1588728226612025e-110,1.533643170649825e-107
Gcnt3,22.269268,1.0552696,7.339131060184548e-110,2.135374835064334e-107
Txn1,22.243013,1.0568829,1.3180369560844807e-109,3.7550323696781815e-107
Slc9a3r1,22.23648,1.4492902,1.5245826707759555e-109,4.254830208747182e-107
Tff3,22.234903,1.5785161,1.5790977927001786e-109,4.318832463034988e-107
Sh3glb1,22.230522,1.0466983,1.7409856299782958e-109,4.6682310764614105e-107
Tmem59,22.215988,0.99211276,2.406281538979377e-109,6.328057701065958e-107
Ndufa6,22.20419,1.0086731,3.128871969690612e-109,8.073080035003608e-107
Tfcp2l1,22.172707,1.1575775,6.300542576936002e-109,1.5955540692518486e-106
Perp,22.17015,1.2598203,6.668610164275885e-109,1.6580589817540495e-106
Fam162a,22.166695,1.1953071,7.200820629214659e-109,1.7584146804376867e-106
Tmem183a,22.146708,1.1030873,1.1222551556614518e-108,2.692427939240413e-106
Mep1b,22.085049,1.5260979,4.4008025192592225e-108,1.0376030077736185e-105
Clec2h,22.048834,1.06408,9.801492591858288e-108,2.2717866304010522e-105
Anxa11,22.043701,1.0197242,1.097875982097045e-107,2.502242342529515e-105
App,21.993498,0.99480385,3.323584737782177e-107,7.450823162159224e-105
Mvp,21.931402,1.2232234,1.303480021999799e-106,2.8750144033624596e-104
Mpst,21.86202,1.1523693,5.973998041421844e-106,1.2967368764514876e-103
Anxa4,21.85232,0.9401288,7.388423099046766e-106,1.578698216866633e-103
Mpp1,21.797323,1.7842463,2.4598634614986434e-105,5.175174282460607e-103
Ppp2ca,21.790722,1.1919807,2.841420379533778e-105,5.887336922746124e-103
Tfrc,21.787296,2.1652625,3.062098140253307e-105,6.249879413128952e-103
Serpinb6a,21.750553,1.020024,6.8250578033197955e-105,1.3725391979470324e-102
Abcg2,21.71814,1.4117794,1.382666388533418e-104,2.740284472926738e-102
Rab1a,21.688295,0.9813182,2.64609628272276e-104,5.169338095176249e-102
Degs2,21.67502,0.951538,3.530784797630417e-104,6.80049043768957e-102
Cxadr,21.66879,1.0683239,4.042309818599204e-104,7.677581495742238e-102
Mmp15,21.654264,1.3577839,5.5407607067621075e-104,1.0379438721229015e-101
Gale,21.652447,1.0248556,5.763665118989626e-104,1.0651097365159885e-101
Spint2,21.608793,1.0631236,1.484792232218418e-103,2.707271170078249e-101
Rnf10,21.569574,1.120223,3.468754119894676e-103,6.241475340731539e-101
Actg1,21.566816,0.9013019,3.6817862435170146e-103,6.538756737674698e-101
Mbd2,21.543715,0.9668456,6.06429418462734e-103,1.0631951663433189e-100
Fis1,21.507898,1.2295437,1.3132165588597446e-102,2.2731944863806338e-100
Plgrkt,21.502584,1.1070807,1.4725352459256473e-102,2.5171149360041533e-100
Serf2,21.473837,0.9800221,2.734827943089541e-102,4.617132360709812e-100
Tmc4,21.446611,0.9952384,4.9116273876186056e-102,8.19103713727859e-100
Clrn3,21.431395,1.2357523,6.8110676836007816e-102,1.1221849466655506e-99
Sdcbp,21.41192,0.99633735,1.0346132819939558e-101,1.6843257894365888e-99
Calml4,21.40872,1.0125129,1.1081545606266241e-101,1.7828251313610687e-99
Misp,21.400105,1.0293927,1.3330681690090735e-101,2.1197333966510558e-99
P2rx4,21.38095,1.2309475,2.0099603456572014e-101,3.159334221478417e-99
Cyp3a13,21.376762,1.7412292,2.198596258751721e-101,3.4165686180033843e-99
Gnpnat1,21.371761,1.1013534,2.447274806721934e-101,3.76027898673286e-99
Neu1,21.35033,1.4611094,3.871980004589878e-101,5.883258506974065e-99
Abcb1a,21.33088,1.0343739,5.869424295089346e-101,8.820261234653494e-99
Chp1,21.319414,1.1004529,7.49913887687523e-101,1.1146817841442257e-98
Cdh17,21.301758,1.004829,1.093396243674714e-100,1.6077627561560984e-98
Ldha,21.276388,1.0637385,1.8786738328532677e-100,2.733070708964727e-98
Chmp2b,21.240673,1.2332673,4.020912134474722e-100,5.787997204099139e-98
Sdcbp2,21.238653,1.093269,4.1975426219070563e-100,5.979312016101979e-98
Isx,21.235437,1.1322814,4.4949068695949893e-100,6.336891901207369e-98
Ppp2r5c,21.234396,1.1436943,4.595587738534044e-100,6.412720645352352e-98
Myo15b,21.232828,1.0973173,4.751628893981958e-100,6.563487386384169e-98
Cd82,21.230745,0.96217024,4.966842843994144e-100,6.792157589161992e-98
Arpc5,21.217152,1.0847925,6.632158435475979e-100,8.979679861894456e-98
Uap1,21.212702,1.0089355,7.29044707128333e-100,9.774202323509758e-98
Cab39,21.208965,1.2430516,7.893106574373899e-100,1.0479440039277967e-97
Tm9sf3,21.205982,0.9500513,8.409715395991686e-100,1.1057967119248683e-97
Insig1,21.14537,1.5274704,3.0439116145781606e-99,3.9643325075577476e-97
Edf1,21.132856,1.0027307,3.968005563821364e-99,5.11910151747709e-97
Rnase4,21.12798,1.1236066,4.3998498422536645e-99,5.623172578768118e-97
Ube2r2,21.120281,1.038402,5.178642281090648e-99,6.557216036473576e-97
Arfgap3,21.11743,1.0913541,5.500736575444363e-99,6.901153455890061e-97
Herpud1,21.116684,1.101779,5.588238888912661e-99,6.947196982352785e-97
Ufc1,21.112186,0.91147655,6.146229030196358e-99,7.572043422336505e-97
Mep1a,21.09794,1.2524868,8.307624738025725e-99,1.014346145468766e-96
Cldn3,21.093466,1.0429024,9.131879345851352e-99,1.105119027031126e-96
Slc9a2,21.0913,1.3656249,9.559975223947447e-99,1.1467777297147484e-96
Tmsb10,21.087143,0.87764907,1.0437681868555987e-98,1.2411765178478532e-96
Appl2,21.078926,1.1579856,1.241712235431108e-98,1.463828863751759e-96
Pmm2,21.05751,1.0946442,1.951683375907956e-98,2.2811342021830173e-96
Tma7,21.043497,1.2071915,2.623043478711068e-98,3.039840641641852e-96
Camk2d,21.038689,1.3182292,2.9029662109879963e-98,3.3359716752320043e-96
Txndc17,21.004137,0.97228116,6.011516433576491e-98,6.85062393576321e-96
Capzb,20.994762,0.9755662,7.322889114295824e-98,8.276075094049207e-96
Myo1d,20.989487,0.97838455,8.182302199621385e-98,9.171555949165773e-96
Sema4a,20.978022,1.0515275,1.0413465391902022e-97,1.1577572295468305e-95
Ctnna1,20.974216,0.9170236,1.1280994184908588e-97,1.2440935119243946e-95
Cldn7,20.96202,0.98450506,1.4576513265400686e-97,1.594670551234835e-95
Adipor1,20.950237,1.0595164,1.866986753972554e-97,2.0262733222678314e-95
Epn1,20.946688,0.91079473,2.0114551069049775e-97,2.165877841490202e-95
Gpi1,20.934586,1.0678872,2.593114857658371e-97,2.7703785686311112e-95
S100a1,20.92302,0.99176615,3.3051291213620977e-97,3.503693080203619e-95
Maoa,20.887901,1.1761193,6.898497111142023e-97,7.256688307297473e-95
Psenen,20.877384,0.90589637,8.597214048881946e-97,8.974572680798519e-95
Ndufv3,20.845606,0.8780844,1.6707979560160285e-96,1.73092136731206e-94
Mall,20.832315,1.2627794,2.2053762267771005e-96,2.2675578873065302e-94
Pmp22,20.82123,1.0799073,2.7795339562323027e-96,2.8365766307072196e-94
Fa2h,20.774323,1.3785996,7.390073907419163e-96,7.485871161774597e-94
Bak1,20.732197,1.0447063,1.7749840367880605e-95,1.7847725516968183e-93
Sdf4,20.693056,1.288169,4.000412107336652e-95,3.993112085242973e-93
Galnt7,20.688877,0.99530625,4.362593616867117e-95,4.323077370337523e-93
Itm2b,20.681854,1.065218,5.0463126954294066e-95,4.964627777697635e-93
Arf5,20.67039,1.0168526,6.399788457962396e-95,6.251221940188268e-93
Vasp,20.660936,0.9027281,7.784071083979328e-95,7.549444827901936e-93
Cox8a,20.647001,0.89402455,1.0387159398543212e-94,1.000312709683651e-92
Cope,20.646255,1.0582988,1.0548699146750842e-94,1.008765460362362e-92
Ifngr2,20.635387,1.0505254,1.320811547338855e-94,1.2543123548513083e-92
Dsp,20.62794,0.89906675,1.540791389907777e-94,1.4531256728957828e-92
Lamp1,20.62279,0.91158026,1.7138895883691738e-94,1.6053041178731816e-92
Aoc1,20.59303,1.2960149,3.1691273461571763e-94,2.9481507795033598e-92
Lasp1,20.587004,1.0361279,3.5889484962257994e-94,3.316139911208636e-92
Clta,20.578527,0.9339081,4.2746387237442897e-94,3.9232003051814205e-92
Prom1,20.548243,0.9700819,7.980138967273818e-94,7.275226691831297e-92
Shroom3,20.546883,0.9412341,8.20671768812527e-94,7.432242674510799e-92
Sppl2a,20.54581,0.9881483,8.389908038049841e-94,7.548157396074445e-92
Arhgdia,20.544956,1.173518,8.53884674277837e-94,7.631943085457139e-92
Pten,20.534323,0.9200337,1.0628724328950592e-93,9.43816916872723e-92
Chmp5,20.531914,1.1915219,1.1168759604663829e-93,9.853728231856637e-92
Rbm47,20.519688,0.86806726,1.436321100201184e-93,1.2590827593109738e-91
Cds1,20.505667,1.1967869,1.9162467335562011e-93,1.6690875211070733e-91
Gas6,20.48481,0.94716996,2.9412572478859893e-93,2.5456767635975253e-91
Cers6,20.482992,0.9407554,3.05310153724805e-93,2.6258593409979295e-91
Pdcd6ip,20.464575,1.1715074,4.455435222008339e-93,3.8080047913102524e-91
Ak2,20.45586,0.94258237,5.3274222643372296e-93,4.524999966758485e-91
Anxa7,20.378656,1.1167979,2.5865591083416693e-92,2.1834071485538476e-90
Ugt2b34,20.336277,1.1924187,6.142086419478265e-92,5.152946735359834e-90
Ifngr1,20.33442,1.0746416,6.378976470111598e-92,5.3190550749253725e-90
Galnt12,20.323164,0.98842573,8.023446943234175e-92,6.649735572650142e-90
Prkcd,20.297142,0.9334726,1.3628343932837358e-91,1.1226964053105474e-89
Vil1,20.264595,0.94791883,2.6412193671975763e-91,2.162794900983644e-89
Prdx5,20.254513,1.0638193,3.241392857302283e-91,2.6384551978338526e-89
Tmem45b,20.24781,0.9298075,3.713917346828299e-91,3.005196433010473e-89
Eif4ebp3,20.23629,0.96060324,4.691876724027724e-91,3.774200835357596e-89
Copg1,20.214214,1.1154803,7.340516159210684e-91,5.870266577614392e-89
Kdelr1,20.206081,0.81197906,8.655326702822917e-91,6.881487945412988e-89
Sectm1b,20.17766,1.222805,1.5386205817214146e-90,1.2162217604069563e-88
mt-Cytb,20.15966,0.98907065,2.2139236238064592e-90,1.7399658365260535e-88
Myh14,20.155466,1.1254534,2.4097566964778693e-90,1.8779451807751332e-88
Uba1,20.15532,0.8324389,2.4169532125515426e-90,1.8779451807751332e-88
Nt5c,20.14884,1.0961194,2.7548928927660787e-90,2.128427136077747e-88
Atp6ap2,20.146013,1.0154305,2.916791235478408e-90,2.24084944635771e-88
Tsta3,20.144009,1.0116559,3.03725821743158e-90,2.3203634705797128e-88
Rab5c,20.143396,0.81984514,3.0751285781194234e-90,2.3362435169879508e-88
Eif4g2,20.11676,0.85582423,5.263724688628782e-90,3.976874868342464e-88
B2m,20.111656,0.92269635,5.834229250369262e-90,4.383685988945036e-88
Vamp8,20.105808,1.0502937,6.56432433009108e-90,4.9053079351910124e-88
Ndufv2,20.084307,0.9707866,1.0122691107567299e-89,7.523250048694718e-88
