names,scores,logfoldchanges,pvals,pvals_adj
Gng13,5.0444613,1.4980584,4.5480081348201686e-07,0.0031097005621832903
Slc25a3,4.6043406,1.168258,4.137749241042349e-06,0.015100675511111968
Car1,4.5027742,0.92009735,6.7072134063555595e-06,0.015100675511111968
Kit,4.4862227,1.2837181,7.249698237076736e-06,0.015100675511111968
Arf3,4.465157,1.7074417,8.001004325770018e-06,0.015100675511111968
mt-Atp6,4.418512,1.04151,9.93828735649051e-06,0.015100675511111968
Son,4.368105,1.4673043,1.2532937506295367e-05,0.01713879203985891
Vav1,4.2469773,1.1873057,2.1667370500766563e-05,0.026936481054362065
Pou2f3,4.189047,1.0102915,2.8012828878014052e-05,0.030059008520859735
Hpgd,4.184533,1.4728225,2.8575291464071414e-05,0.030059008520859735
Jpt1,4.122841,1.0775287,3.742282302777303e-05,0.036554078921771156
Sema4a,4.088233,1.1683121,4.3467129906694664e-05,0.0396275334316033
Prr15,4.0129986,1.7785547,5.9952227976814874e-05,0.05124041984893396
Arpc5,3.9866667,1.0390419,6.700803929430652e-05,0.053902055138214215
BC031181,3.9558206,2.1249175,7.627235989673602e-05,0.05794580675488139
Kif5b,3.903909,1.0677966,9.465138437750705e-05,0.06593631739775815
Rab5c,3.899395,1.0475982,9.643337096564265e-05,0.06593631739775815
Ptpn18,3.8835957,1.0063518,0.00010292298373775636,0.0670224667911342
Mcl1,3.8384552,1.0791457,0.00012381083157288458,0.07675332397859864
Cap1,3.822656,0.8595623,0.00013202194138031755,0.07675332397859864
Fabp2,3.8166373,1.0893569,0.00013528287468019532,0.07675332397859864
Trip12,3.807609,1.2941444,0.00014031686284935767,0.07675332397859864
Ndufs3,3.7752583,1.4385259,0.00015984194418641937,0.08120168196244303
Riok3,3.7745059,1.4570457,0.00016032507590390944,0.08120168196244303
Sipa1l3,3.7624686,1.3160133,0.00016824452598391174,0.08216942474392831
Calml4,3.7007763,0.873748,0.00021494087970393911,0.10135574241211613
Sec11c,3.690996,0.8522732,0.00022337777254347507,0.10182303465106739
Aldh1a1,3.6661685,1.7320507,0.0002462116932374861,0.10363036085866041
Edf1,3.6556358,0.90789557,0.0002565454276553369,0.10363036085866041
Sort1,3.6503694,0.80640054,0.00026186350566212224,0.10363036085866041
Hs6st1,3.645103,1.5694629,0.0002672848088718434,0.10363036085866041
Btg1,3.6435983,1.969479,0.00026885297057286305,0.10363036085866041
Tmsb10,3.6398365,0.95598626,0.00027281118763523035,0.10363036085866041
Myo15b,3.6135044,0.7716264,0.00030208609933161424,0.11158653479217487
Otub1,3.6067333,1.2525343,0.00031007592849013855,0.11158653479217487
Emp1,3.5954483,1.2703373,0.00032383347278080966,0.11354930103275826
Eif3f,3.5856678,0.94919837,0.0003362167198511585,0.11494409109911481
Slc35f5,3.570621,1.3853881,0.0003561359639819173,0.11878437335250534
Mdh1,3.548803,0.8593245,0.00038698649441033437,0.1244846823505943
Ube2r2,3.5457935,0.82346654,0.0003914326392011375,0.1244846823505943
Pstpip2,3.5172045,0.85988975,0.00043611751633315974,0.13527338004656153
Sept8,3.5066717,0.9810312,0.00045374847079895263,0.13527338004656153
Atp8a1,3.5059195,1.1887969,0.0004550329420213404,0.13527338004656153
Gnb1,3.4953866,0.94091594,0.0004733755165350459,0.13716191269241843
Myh14,3.4908726,1.0244837,0.0004814458361415784,0.13716191269241843
Stard5,3.4803398,0.9693109,0.0005007782854557405,0.13975802150218883
Cmtm4,3.4660451,1.1066848,0.0005281744051439429,0.14445569980686837
B4galt5,3.4577694,0.72764254,0.0005446672502196657,0.14604558130890055
Nedd8,3.452503,1.1751956,0.0005554111784975216,0.1460624589606463
Atp6v0c,3.4464843,1.300889,0.000567931536130856,0.1465370520111218
Misp,3.4389608,0.9780834,0.0005839516096359091,0.1478803381809455
Crb3,3.4276757,1.316292,0.0006087721469870525,0.15136289290996258
Krt20,3.399839,1.3796144,0.0006742553323652607,0.1563227522170204
Malrd1,3.3968296,1.4000674,0.0006817138855945464,0.1563227522170204
Plscr1,3.3938203,1.3804636,0.0006892490735623342,0.1563227522170204
Dazap1,3.3900585,1.3206186,0.0006987769212203975,0.1563227522170204
Rassf6,3.3893063,1.2981913,0.000700697118911669,0.1563227522170204
Nipbl,3.3893063,0.937931,0.000700697118911669,0.1563227522170204
Cyp2c55,3.3840399,0.8565924,0.0007142764170270089,0.1563227522170204
Prom1,3.3817828,0.80385524,0.0007201706317859076,0.1563227522170204
Arih1,3.3607173,1.6764908,0.000777403833889047,0.1661093348192612
Slc25a20,3.3464227,0.86202043,0.0008186151085626124,0.16715041966952146
Arf1,3.344918,0.97218037,0.0008230690725199199,0.16715041966952146
