names,scores,logfoldchanges,pvals,pvals_adj
Pdcd4,11.619399,1.0812887,3.2843697936023456e-31,4.4913756927512074e-27
Serf2,11.267906,1.0563223,1.890102785474621e-29,1.292357779568272e-25
mt-Atp6,11.009144,0.93447816,3.45268595777333e-28,1.5738493490850093e-24
Rnase4,10.7231455,0.95205194,7.926137176065555e-27,2.7097481470674114e-23
Hpgd,10.42747,1.1994936,1.8576926691911916e-25,5.080789450237909e-22
Gcnt3,10.214101,0.8789517,1.7146152559422374e-24,3.907893937501683e-21
Nupr1,10.138594,1.015798,3.724207269881236e-24,7.275504916517986e-21
Cmpk1,9.936508,0.8216876,2.8877257418349903e-23,4.387738835510388e-20
Appl2,9.769877,0.886815,1.516347647029976e-22,2.0736054073134923e-19
Atoh1,9.733003,0.96907336,2.180596185400046e-22,2.7108775304859664e-19
Ptprn2,9.694633,1.0789292,3.177790009255866e-22,3.6213565313811635e-19
Tpt1,9.54134,0.42221558,1.4099809522855284e-21,1.4831915017311231e-18
Eif4a2,9.505025,1.0210875,1.9999927581989875e-21,1.8424056495028056e-18
Mgat4b,9.503942,0.94841856,2.020920273677666e-21,1.8424056495028056e-18
Tmem234,9.320724,0.7723109,1.1554988215366402e-20,9.600982763235462e-18
Slc35a3,9.3172865,0.779409,1.1935408188300026e-20,9.600982763235462e-18
Car8,9.208229,0.8389759,3.3154926625344844e-20,2.5188534533421707e-17
Cd63,9.16971,0.83674574,4.74293636161245e-20,3.4136660392131714e-17
Plekhb2,9.158165,0.8992941,5.2787088367875183e-20,3.558489536900415e-17
Serpinb6a,9.154429,0.7863042,5.464590879335189e-20,3.558489536900415e-17
P2rx4,9.103805,0.8178085,8.722129240379167e-20,5.4215962437356866e-17
Atp2a3,9.062147,0.72035974,1.2790714671128752e-19,7.604914049029812e-17
Adgrg7,8.986006,0.74404156,2.563788860856932e-19,1.460825528009106e-16
Tma7,8.964336,0.8542265,3.1215531873205827e-19,1.7074895934643587e-16
Rfk,8.948234,0.7300378,3.6121600245987596e-19,1.899857243707232e-16
Asph,8.914683,0.840959,4.892121374309951e-19,2.477768881247725e-16
Eef1b2,8.860249,0.72437567,7.9836408562123815e-19,3.8991531681680113e-16
Tm9sf3,8.8281555,0.6913524,1.0641635321223028e-18,4.935777144061587e-16
Eif3f,8.80529,0.8343286,1.3051444058904016e-18,5.757370887274594e-16
Tbca,8.789711,1.0627599,1.4994565105212696e-18,6.407833681680738e-16
Mxd4,8.770694,1.0092589,1.7756860704414297e-18,7.358335458571683e-16
mt-Co3,8.711065,0.74019355,3.0103129209477405e-18,1.2107655645282458e-15
Ddrgk1,8.658984,0.9033415,4.759862592636975e-18,1.8597463129803037e-15
Ccl6,8.646879,1.0674586,5.292687917369617e-18,2.0104863130563752e-15
Ptprf,8.626069,0.6850071,6.34965879494913e-18,2.346799568133226e-15
Ramp1,8.615421,0.7128599,6.96848512458827e-18,2.5077377389143314e-15
Tmem167,8.604811,0.7565127,7.644274696470084e-18,2.68039631985201e-15
Gucy2c,8.57552,0.6962911,9.864033659054772e-18,3.3722665071893502e-15
Cops9,8.556129,0.87672275,1.167203304208553e-17,3.893050045134625e-15
Ociad2,8.552057,0.6883951,1.2091404300772704e-17,3.936903662215875e-15
Slc37a1,8.548993,0.80029285,1.2416662964324996e-17,3.94878758225917e-15
Pmm2,8.508307,0.65988505,1.7649106920259485e-17,5.4852622076033734e-15
