names,scores,logfoldchanges,pvals,pvals_adj
Calm3,13.510573,1.2256857,1.354630546487251e-41,9.262286361606578e-38
Mt2,13.137059,1.4324305,2.019216182698022e-39,9.204260432798483e-36
Car1,12.781374,0.6774946,2.083549403791066e-37,7.123134524210706e-34
Tfrc,12.098879,1.6865112,1.070637800433767e-33,2.9281943841863527e-30
Rfk,11.547231,1.0101107,7.623733082175733e-31,1.7375758316458857e-27
mt-Atp6,11.532465,1.0293846,9.05139752542993e-31,1.768255159432204e-27
Cyc1,11.156837,1.0771914,6.630858016413923e-29,1.0075220374940043e-25
Glud1,10.928938,1.026371,8.382382439394884e-28,1.1462907985872504e-24
Uqcrc1,10.901996,0.94814557,1.1275712668846366e-27,1.4017760976952187e-24
Plgrkt,10.8593025,1.2905306,1.801190026518851e-27,1.987670888081178e-24
Etfa,10.854928,0.95264447,1.8895591623440814e-27,1.987670888081178e-24
Mgam,10.75197,1.1170526,5.800912453358188e-27,5.666248414262373e-24
Eif3f,10.610731,0.9096437,2.6566109315372624e-26,2.323449215803323e-23
Tomm5,10.608581,1.1767048,2.7184780587095553e-26,2.323449215803323e-23
Maoa,10.554623,0.9293434,4.8357982786781727e-26,3.889973027113177e-23
Tma7,10.545945,1.0274364,5.303673206702606e-26,4.029318394536563e-23
Serf2,10.529393,1.1909834,6.324067509286387e-26,4.470504471008869e-23
Atp13a3,10.526258,0.8963649,6.53821494845904e-26,4.470504471008869e-23
Ugdh,10.361321,0.9664046,3.7178925497630953e-25,2.4210562199052538e-22
Impdh2,10.343093,0.9867585,4.497840498901185e-25,2.7958167646578957e-22
Prpsap1,10.30791,0.9846157,6.489698982643014e-25,3.8585492864192706e-22
Eci1,10.249869,0.90668553,1.1850391120182539e-24,6.752254107020675e-22
Car4,10.244473,0.92433673,1.2530548491175103e-24,6.854210024672781e-22
Mpst,10.1492815,0.942385,3.33813013116896e-24,1.7557280593744433e-21
Aldh1b1,10.10349,0.86464614,5.331058616428332e-24,2.7000824659132385e-21
Akr1c19,10.06962,0.90415764,7.5268163611316e-24,3.676043347802665e-21
Rgcc,10.061016,1.1144392,8.214607969902734e-24,3.873612551324824e-21
Bag1,10.057042,0.8778652,8.552944058104255e-24,3.89871699981919e-21
Me2,10.044974,0.8977531,9.667264793553841e-24,4.14654978235479e-21
Tmbim6,10.04461,0.975135,9.703078101305542e-24,4.14654978235479e-21
Idh1,10.029735,0.89174664,1.1281893656814242e-23,4.675148356270751e-21
Higd1a,10.011834,0.8587558,1.3522202160173657e-23,5.438709251187493e-21
Ndufb8,9.9092045,0.83680433,3.796567923592477e-23,1.4833733244322035e-20
Papss2,9.859038,0.88629884,6.264660214104994e-23,2.330565137571013e-20
Smdt1,9.858382,0.8657677,6.305733827431625e-23,2.330565137571013e-20
Actg1,9.836507,0.862318,7.83850894012124e-23,2.8208318356883673e-20
Hspa8,9.824549,0.8519695,8.826840297274632e-23,3.095052335005913e-20
Serbp1,9.778757,1.0120498,1.3890534525987996e-22,4.748826491072146e-20
Akr1c12,9.7458725,1.0690806,1.9212186570188548e-22,6.364108415821048e-20
Fabp2,9.7441225,0.79470015,1.954607337948695e-22,6.364108415821048e-20
Ndufs2,9.694321,0.85817766,3.187524877444919e-22,1.0137070395130062e-19
Pitx2,9.6750345,1.4779083,3.849632750042276e-22,1.1964483603824574e-19
Uqcrc2,9.6043415,0.85212606,7.664603119913535e-22,2.3291877258848354e-19
Timm13,9.563071,0.9256939,1.1431299270983737e-21,3.398326468058752e-19
Sephs2,9.528873,0.86889046,1.589990756498362e-21,4.626196509598957e-19
Ndufs8,9.481478,0.8318743,2.507064947087693e-21,7.142523573213375e-19
Sod1,9.453952,0.7909132,3.2627345393913054e-21,9.105692821668592e-19
Psma4,9.442358,0.8598928,3.644814785028496e-21,9.968568437052937e-19
Cmpk1,9.4241295,0.9827877,4.3368831350823224e-21,1.1628799386715835e-18
Ugt2b34,9.417458,1.0357736,4.621424368798266e-21,1.21534573544839e-18
Mt1,9.3919,0.8292448,5.892726892229308e-21,1.52043472172143e-18
Pycard,9.377244,0.79711276,6.771947930658852e-21,1.714933110217774e-18
Gucy2c,9.374182,0.7908625,6.971436618549642e-21,1.73335265015757e-18
Slc25a5,9.368604,0.7884944,7.349837316903582e-21,1.7948040233688656e-18
St3gal5,9.272428,1.6430727,1.8195723225294054e-20,4.365377457998178e-18
Atp5b,9.270386,0.8211963,1.8547424613357082e-20,4.373035027373416e-18
Pgp,9.254016,0.9415144,2.1621294448287532e-20,5.011376297971729e-18
Ces1d,9.20622,1.0504538,3.3781391041762675e-20,7.699342041601743e-18
Arcn1,9.202354,0.9737428,3.50190114055465e-20,7.850573458538497e-18
Prdx2,9.173298,0.90535015,4.587656979197461e-20,1.0118743417826658e-17
Clta,9.15999,0.8040798,5.1901932140360343e-20,1.126601463522901e-17
Akr1c13,9.149855,0.80048084,5.70099907036125e-20,1.2181431607373452e-17
Ndufb9,9.12849,0.7603741,6.946095050794367e-20,1.4613515356863532e-17
Rtn4,9.11748,1.1216465,7.689120223127427e-20,1.5931624098676903e-17
