names,scores,logfoldchanges,pvals,pvals_adj
Tfrc,13.639289,1.776175,2.3382834065688395e-42,1.598801279241444e-38
Mt2,13.356141,1.5692096,1.0907435517999918e-40,4.971972690288295e-37
Calm3,11.18946,1.0164487,4.592211899507855e-29,1.2559699545153982e-25
Actg1,11.116551,1.0259014,1.042230551468829e-28,2.3754171318893723e-25
Serf2,10.288745,0.94969165,7.920191328582828e-25,1.5472659488338595e-21
Mt1,10.200208,0.96618456,1.978482693474342e-24,3.381968854157703e-21
Fkbp4,10.109762,0.9547044,5.0005748130896814e-24,7.598095618777933e-21
Glud1,10.072989,0.9812424,7.273328794437728e-24,9.793220855311366e-21
Hprt,10.06514,1.2568902,7.877545112133457e-24,9.793220855311366e-21
Lin7c,10.009415,1.0092211,1.385693302313168e-23,1.5791129924277142e-20
Bcas2,9.985088,1.292095,1.7714264762234204e-23,1.863404389411944e-20
Cyb5b,9.973845,1.0857106,1.983967287483881e-23,1.9379109040244336e-20
Qdpr,9.907229,1.0404199,3.872337276506825e-23,3.5302808170820556e-20
Eci1,9.855253,0.98292816,6.5052456560528e-23,5.559952146657627e-20
Mgam,9.8305025,1.043489,8.320252859759685e-23,6.692909285718453e-20
Pitx2,9.692534,1.0846692,3.243763257722297e-22,2.4643590305195783e-19
Eif3f,9.68221,0.8708437,3.5887235169871057e-22,2.5829365313051934e-19
Ndufs8,9.574297,0.8827614,1.0255265095005374e-21,6.678130960676118e-19
Stard4,9.510369,0.9171228,1.899868749871033e-21,1.1809411433857444e-18
Eef1g,9.448634,1.3218254,3.432816504888682e-21,2.041033291493597e-18
Tomm40,9.419569,0.8414206,4.529416867064991e-21,2.580823985713073e-18
Lrrc59,9.413135,0.924485,4.815587523885713e-21,2.634126375565485e-18
Mbd3,9.363562,0.89127135,7.709288725483173e-21,4.054789358499322e-18
Mpst,9.357763,0.9059847,8.144249777444951e-21,4.1249116928355446e-18
Sord,9.3367605,0.93873775,9.932665089066952e-21,4.85104268189252e-18
Tma7,9.321274,0.89163977,1.1495208668654735e-20,5.420585467029432e-18
Hnrnpul2,9.30515,1.0787183,1.3380305397596616e-20,6.0991892104044574e-18
Tax1bp1,9.276651,0.9601754,1.748883661912282e-20,7.71483357311305e-18
Tomm5,9.250345,0.9937094,2.237692422091474e-20,9.562638710031533e-18
Ncapd2,9.1438465,1.0100846,6.026985248023227e-20,2.497546159597504e-17
Selenbp1,9.129066,1.1665772,6.909258715569605e-20,2.778944498100422e-17
Serbp1,9.100214,0.967896,9.01539985230496e-20,3.428920316835156e-17
Coq2,9.09781,1.1320573,9.217185321418001e-20,3.428920316835156e-17
Ppp2ca,9.096112,0.8803983,9.362303212059421e-20,3.428920316835156e-17
Hook1,9.094203,0.84884137,9.528261209487088e-20,3.428920316835156e-17
Samm50,9.088334,0.80595726,1.0056849808625472e-19,3.526344131614188e-17
Nono,9.035933,1.0008727,1.6260959725667948e-19,5.559215606212729e-17
Eif3b,8.982047,1.4009665,2.6577556307347983e-19,8.864587378121553e-17
Timm13,8.968681,0.8392413,3.000850199951523e-19,9.77062535341359e-17
Twf1,8.95072,1.229881,3.5317277528259146e-19,1.123171558602195e-16
Mtch1,8.929929,0.8801881,4.262828066562674e-19,1.3248675865964673e-16
Pold2,8.915291,0.91235644,4.865387629199544e-19,1.4785372406511948e-16
Insig1,8.904824,1.0490848,5.347055719259657e-19,1.5895866730625176e-16
Tbrg4,8.864021,0.7997105,7.717910123716854e-19,2.2455834242942125e-16
Vdac1,8.856242,1.1202724,8.275685559536479e-19,2.357708333888778e-16
Atp13a3,8.831209,0.79505104,1.0355053911534551e-18,2.8899053518415306e-16
Ndufb9,8.809074,0.759374,1.261833146834107e-18,3.451113656591283e-16
Lmnb1,8.799386,0.9379363,1.3756631847299682e-18,3.6886655002318265e-16
Gjb3,8.793093,0.76757246,1.4549848270701825e-18,3.8263302904201433e-16
Cst3,8.785526,0.7815101,1.556346505358624e-18,4.0156676341092804e-16
Gatad1,8.783334,0.9455315,1.586994332297736e-18,4.0189162026243594e-16
Fgfr1op2,8.758018,1.0425457,1.9871479326121215e-18,4.940772359721957e-16
Maz,8.754976,0.7806478,2.041461487521789e-18,4.985176043189368e-16
Zfp706,8.749955,1.228122,2.1343678123966126e-18,5.120610497284855e-16
Tcp1,8.7464905,0.9566114,2.2009087995970656e-18,5.189211695601703e-16
Fis1,8.744016,0.7678649,2.2496880949317075e-18,5.214319440371373e-16
Nasp,8.718628,0.9437282,2.815926288234038e-18,6.417965331933412e-16
Chchd2,8.713466,0.80305016,2.9472240395525115e-18,6.607096514898459e-16
Sptbn1,8.700313,0.7720139,3.309711015516129e-18,7.296965534244465e-16
Tmprss4,8.6985445,0.8547622,3.3616733357031175e-18,7.296965534244465e-16
Prpsap1,8.675845,0.76803213,4.104918662670184e-18,8.771056673752308e-16
Cdk1,8.66255,0.8198401,4.6132630470954e-18,9.705595718312244e-16
Fnta,8.650175,0.9355632,5.142066006185323e-18,1.0534280563361706e-15
Uqcrc1,8.649751,0.77372897,5.161219727570269e-18,1.0534280563361706e-15
Anapc13,8.644022,0.87530255,5.426793052672542e-18,1.076193687377561e-15
mt-Atp6,8.643951,0.86030185,5.430154620040345e-18,1.076193687377561e-15
Eef1b2,8.637658,0.78811836,5.737713775907986e-18,1.120903369793453e-15
Smc6,8.618565,0.82912374,6.779872094622973e-18,1.3058415618868895e-15
Eif5a,8.614463,0.8028159,7.02702406388986e-18,1.3346465843568588e-15
Echs1,8.597632,0.76380044,8.137748645702025e-18,1.5244344209585642e-15
Naa20,8.59346,1.313525,8.438879713908992e-18,1.5594821633473712e-15
Hjurp,8.583842,1.036117,9.175543689416065e-18,1.6730074660368626e-15
Pum2,8.572033,0.7009449,1.0167391384293875e-17,1.8294615418449836e-15
Ywhah,8.566164,0.73458093,1.0698987836125995e-17,1.9001124501171817e-15
Acot7,8.560577,0.7799845,1.1230406227313444e-17,1.9689205789552736e-15
Hspa9,8.551738,0.80997175,1.2124936519150034e-17,2.098841859485781e-15
Psma4,8.549616,0.8145107,1.234987749889603e-17,2.11105718496754e-15
Thoc7,8.545585,0.77037627,1.2788669614070007e-17,2.159074777437128e-15
Akr1c14,8.539221,1.1240076,1.3513016816352401e-17,2.2535427434587695e-15
Gmcl1,8.527199,1.292072,1.4993405215311515e-17,2.470298991799819e-15
Babam1,8.516945,0.8968085,1.6381733860244994e-17,2.6549058104549293e-15
Slc25a5,8.516096,0.79590726,1.6502156774308518e-17,2.6549058104549293e-15
Idh3b,8.507045,0.7900033,1.7842285562050815e-17,2.8371308728028475e-15
Cyc1,8.502589,0.76546407,1.8540760954427772e-17,2.90410596058137e-15
Eif2b1,8.50167,0.73051506,1.8688213859682674e-17,2.90410596058137e-15
Rfk,8.493892,0.7257324,1.9983107306597124e-17,3.0704381170529855e-15
Ugt2b34,8.486183,0.8255405,2.1353455004401032e-17,3.244538857613157e-15
Plgrkt,8.483071,0.8530795,2.1932528285513227e-17,3.2959046626856416e-15
Arpc4,8.4658165,0.7203483,2.5436336924540943e-17,3.780890298294537e-15
Rbm3,8.457401,0.644502,2.7340082289788692e-17,4.020168014116778e-15
Rbbp7,8.454715,0.7234687,2.797710866216081e-17,4.0419012551340735e-15
Impdh2,8.45429,0.8153981,2.8079021516470714e-17,4.0419012551340735e-15
Net1,8.443258,0.80722463,3.086117960450532e-17,4.3961107405376066e-15
Tbca,8.419922,0.76975894,3.767350464955348e-17,5.311187382295298e-15
Agpat5,8.397151,0.7226363,4.5744043521376564e-17,6.38316117504923e-15
Cant1,8.39397,0.9324692,4.699998314014881e-17,6.492169388298334e-15
Purb,8.3881,0.9820881,4.9406352779701107e-17,6.7563187426241264e-15
Nudc,8.3775625,0.76371986,5.4034907323199475e-17,7.316112451928246e-15
Uqcrq,8.369006,0.8052654,5.810620676285166e-17,7.790219387078398e-15
Me2,8.36738,0.7847062,5.89136221428773e-17,7.807224717005242e-15
B4galnt1,8.366461,0.8650368,5.937487170519526e-17,7.807224717005242e-15
Dhfr,8.363136,0.8947798,6.107237689426692e-17,7.953950038372382e-15
Tomm7,8.330183,0.8172235,8.071758536802581e-17,1.0413329999129746e-14
Coa3,8.325162,1.0477954,8.421350102190284e-17,1.0762800247425433e-14
Nhp2,8.31215,0.7365087,9.398338899404875e-17,1.1900211523089042e-14
Spcs3,8.309392,0.9181962,9.619347609556377e-17,1.2068309959695729e-14
Clta,8.299987,0.75926185,1.0412283935771442e-16,1.292738755098105e-14
Abracl,8.2990675,1.0080903,1.0493162838456282e-16,1.292738755098105e-14
Btf3,8.294825,0.94223946,1.0874550254676465e-16,1.3277631672562558e-14
Smarcc2,8.276297,0.777781,1.2706490529166088e-16,1.5242215612837388e-14
Hint1,8.274812,0.6769653,1.2865856940570734e-16,1.529918205759172e-14
Naa50,8.256567,0.7322551,1.4992201716562162e-16,1.7673996420171342e-14
Cops6,8.250061,0.8495175,1.5831350444878365e-16,1.850373652424886e-14
Rbm25,8.231887,1.1538198,1.842870234420494e-16,2.1356991911610387e-14
Fam98c,8.220007,1.097662,2.0349187478292092e-16,2.3384465442491123e-14
Wdr82,8.213218,0.75314784,2.153382854277606e-16,2.453959211020522e-14
Prdx5,8.210248,0.88400465,2.2073248138884338e-16,2.494641886770606e-14
Tpr,8.20855,0.73407996,2.2387445719165815e-16,2.509412460734365e-14
Cmpk1,8.205156,0.7084983,2.302912541790373e-16,2.560351951949866e-14
Hnrnpm,8.169586,0.8000981,3.0944991028772513e-16,3.4126834864392265e-14
Ociad2,8.153179,0.7742591,3.544784517301364e-16,3.8779942619276924e-14
Iah1,8.1311865,1.3157228,4.251075473655799e-16,4.613766436685956e-14
Ap1s1,8.128571,0.79435915,4.3438309156547943e-16,4.67731399776215e-14
M6pr,8.12065,0.76881516,4.63693155732736e-16,4.9539093005040343e-14
Fdps,8.11959,0.99949455,4.67763749303939e-16,4.958658350179353e-14
Snrpe,8.115912,0.74469143,4.821496646514052e-16,5.0718435877753584e-14
Smarcb1,8.111316,0.7961719,5.007464278006074e-16,5.227257557384203e-14
Pgp,8.103607,0.6733702,5.335307369083122e-16,5.527297596379674e-14
Lbr,8.099789,0.69478065,5.505470939186334e-16,5.6512085095254595e-14
Tjp3,8.099082,0.73164105,5.537564462715989e-16,5.6512085095254595e-14
Vars,8.093566,0.6712566,5.794302230133338e-16,5.86941355533877e-14
Erg28,8.070582,0.87940294,6.996336712374856e-16,7.034919451597512e-14
BC005537,8.069451,0.6794943,7.061473969857024e-16,7.048588068452175e-14
Atp5e,8.056369,0.9867592,7.859423364298787e-16,7.788232935274342e-14
Phb2,8.051913,0.7306434,8.150936294204791e-16,8.018996677931693e-14
Ddx21,8.042862,0.874339,8.776413522537902e-16,8.572675351478985e-14
Tmbim6,8.038478,0.68930495,9.096148558149656e-16,8.82197386756713e-14
Cd320,8.028648,1.3292499,9.855266212916401e-16,9.490898976171252e-14
Ccar1,8.025253,0.7467993,1.0131640060949823e-15,9.688823624719497e-14
Cyp4f14,8.004958,1.1918283,1.1950744292255647e-15,1.1349057513652497e-13
Rgmb,8.004039,0.954943,1.204035253984986e-15,1.1355297998789437e-13
Gvin1,7.996967,0.7651042,1.2752134103992573e-15,1.1944207799458797e-13
Csrp2,7.9662056,0.7171919,1.6362088498078558e-15,1.5221194572192129e-13
Gale,7.962811,0.72064734,1.6817421109577943e-15,1.5539069842802593e-13
Ndufv2,7.9586387,0.7063704,1.7394226576198454e-15,1.5964164324128448e-13
Dars,7.9546785,1.0581325,1.7959707393358664e-15,1.6311348459440922e-13
Rtn4,7.954325,0.77710104,1.8011068500004236e-15,1.6311348459440922e-13
Uqcrc2,7.948809,0.71526194,1.883128694641184e-15,1.6941963749485652e-13
Mgat4b,7.936363,0.8185688,2.08195968343303e-15,1.8608365144409598e-13
Tmem167,7.93014,0.79226637,2.1889891602940623e-15,1.9378629110663591e-13
Actl6a,7.9297156,0.706123,2.196480813274484e-15,1.9378629110663591e-13
Ndufa8,7.9256144,0.7237441,2.2702143817689e-15,1.9805037137690334e-13
Mrfap1,7.924978,0.85255814,2.2818721791944738e-15,1.9805037137690334e-13
Nectin3,7.923988,0.654886,2.3001238079733916e-15,1.9805037137690334e-13
Ppm1a,7.9238462,0.8265072,2.3027428920605215e-15,1.9805037137690334e-13
Slc35a4,7.92024,0.6338248,2.3705308176868525e-15,2.0260630582417316e-13
Pmm2,7.9184012,0.7627276,2.4058418317096053e-15,2.0434712452564503e-13
Ndufc1,7.915431,0.84214085,2.4639798598818135e-15,2.0799336162891235e-13
Ddx1,7.909703,0.6610848,2.5800370115667083e-15,2.1645402535690024e-13
Kif5b,7.9087834,0.73508114,2.5991581444641486e-15,2.1672858308260508e-13
Puf60,7.903763,0.6741826,2.706077393729856e-15,2.242764142985199e-13
Arf6,7.898813,0.6385726,2.815727200043616e-15,2.319582497626292e-13
Eif4ebp2,7.8889832,0.623926,3.046588399929764e-15,2.494736309523325e-13
Nup50,7.886013,0.79343706,3.119941678293929e-15,2.5395953839684215e-13
Lsm8,7.88375,0.785941,3.176994544341225e-15,2.570733751116346e-13
Yme1l1,7.8804264,0.71796376,3.2626579752690406e-15,2.62452045951789e-13
Mal2,7.8648686,0.79077375,3.694845740120485e-15,2.954796227844891e-13
Ddx5,7.85709,0.82398295,3.9316047949880576e-15,3.1258543936896327e-13
Cwc15,7.8461995,1.1733618,4.288341113156958e-15,3.389772527307595e-13
Dpy30,7.8416033,0.68887377,4.448305946861465e-15,3.496010564559226e-13
Pclaf,7.8385625,0.842326,4.5573424778067446e-15,3.5612376219432703e-13
