names,scores,logfoldchanges,pvals,pvals_adj
Plec,59.061333,2.25371,0.0,0.0
Ahnak,57.63291,2.0580568,0.0,0.0
Eif4a2,57.015755,1.8463587,0.0,0.0
Atp5b,55.653328,1.7714733,0.0,0.0
Mgam,55.4695,1.8225592,0.0,0.0
Ddx5,55.254906,1.7310877,0.0,0.0
Ugt2b34,55.106636,1.7185283,0.0,0.0
Atp5e,54.962757,1.81408,0.0,0.0
Atp6v0a2,54.936398,1.9975274,0.0,0.0
Flnb,54.775776,1.7780899,0.0,0.0
Cdc42,54.394188,1.6435608,0.0,0.0
Lrp10,54.24884,1.6037663,0.0,0.0
Atrnl1,54.01199,1.5936897,0.0,0.0
Sema4g,53.96366,1.742072,0.0,0.0
Acox1,53.838905,2.023015,0.0,0.0
Fam98c,53.664547,1.7359482,0.0,0.0
Psap,53.642128,1.5744447,0.0,0.0
Btf3,53.589825,1.8004748,0.0,0.0
Rnasel,53.53777,1.5832522,0.0,0.0
Lypla1,53.227337,2.0597432,0.0,0.0
Psmb10,52.963768,1.7316684,0.0,0.0
Sptlc2,52.84962,1.7577726,0.0,0.0
Cltc,52.54405,1.5043937,0.0,0.0
Esrra,52.451145,1.4438564,0.0,0.0
Clk1,52.232418,1.5402243,0.0,0.0
Ush1c,52.22634,1.6863787,0.0,0.0
Trim31,52.135727,1.8293561,0.0,0.0
Cox7a2,52.13171,1.616782,0.0,0.0
Actr3,52.103012,1.5029283,0.0,0.0
Pkn1,52.029682,1.4894409,0.0,0.0
Mgat4b,51.901257,1.4161671,0.0,0.0
Slc44a1,51.890823,1.5175772,0.0,0.0
Cant1,51.851013,1.4244285,0.0,0.0
Stap2,51.769295,2.1380475,0.0,0.0
Afdn,51.717533,1.694878,0.0,0.0
Twf1,51.70879,1.7045845,0.0,0.0
S100a6,51.702995,1.7163223,0.0,0.0
Cryl1,51.655224,1.4847385,0.0,0.0
Purb,51.654472,1.6047602,0.0,0.0
Ube2q1,51.63306,1.9001907,0.0,0.0
Tmprss4,51.63296,1.4072585,0.0,0.0
Atp9a,51.612526,1.6413242,0.0,0.0
Golga4,51.593773,1.5853304,0.0,0.0
Tradd,51.561867,1.5625448,0.0,0.0
Pink1,51.495792,1.6177068,0.0,0.0
Fam83h,51.421185,1.6623012,0.0,0.0
Ly6a,51.377823,2.1839533,0.0,0.0
Chmp4b,51.35622,2.0126927,0.0,0.0
Gsdmd,51.320248,2.1186326,0.0,0.0
Coa3,51.153767,1.4505721,0.0,0.0
Mprip,51.074352,1.7069355,0.0,0.0
Efhd2,51.032047,1.3541379,0.0,0.0
Dlst,50.919163,1.3991504,0.0,0.0
Ces2e,50.89178,2.1119194,0.0,0.0
Tax1bp1,50.87746,1.4650264,0.0,0.0
Sptan1,50.833633,1.3566563,0.0,0.0
Lin7c,50.79393,1.4148736,0.0,0.0
Ildr1,50.595974,1.590487,0.0,0.0
Atp6v1g1,50.595787,1.431887,0.0,0.0
Ifi27l2b,50.548615,2.4329967,0.0,0.0
Cd63,50.546787,1.4445999,0.0,0.0
Wsb1,50.5128,1.3884028,0.0,0.0
Klc4,50.509747,1.678627,0.0,0.0
