names,scores,logfoldchanges,pvals,pvals_adj
Eef1g,40.271095,2.3481915,0.0,0.0
Atp5e,38.89738,1.9550612,0.0,0.0
Atp5b,38.78048,1.8634963,0.0,0.0
Btf3,38.106445,1.9414297,0.0,0.0
Hnrnpa2b1,38.084698,2.1251214,0.0,0.0
Eif4a2,38.032955,1.7373465,0.0,0.0
Ddx5,37.81074,1.9257414,0.0,0.0
Hnrnpu,37.693447,2.0968564,0.0,0.0
Cops6,37.534042,1.8061057,2.565952297427365e-308,3.5089397667319217e-305
Mgam,37.342186,1.8026547,3.395228624728949e-305,4.220886494833489e-302
Hnrnpk,37.10112,1.7312022,2.6950932120744064e-301,3.0712833062597922e-298
Tmed2,36.742504,1.9936877,1.5315703895414267e-295,1.611094236690693e-292
Lypla1,36.65002,2.0489502,4.572676743902634e-294,4.4665253194906085e-291
Ugt2b34,36.616684,1.7238551,1.552081349139262e-293,1.414980829965294e-290
Cox7a2,36.54706,1.752613,1.9856965658902707e-292,1.6971500336593406e-289
Cdc42,36.508804,1.581937,8.039679463257836e-292,6.467212744708877e-289
Lrp10,36.475903,1.6281846,2.6734428474172805e-291,2.0310739410239615e-288
Serf2,36.28386,1.4047059,2.9078075779746263e-288,2.0928562436212114e-285
Spr,36.165962,1.7957736,2.0880659935375342e-286,1.427715123081289e-283
Cops9,36.062225,1.5724163,8.87189844077405e-285,5.777295770361197e-282
Tbca,36.035557,1.5636824,2.3219226777176658e-284,1.4432860280813217e-281
Psap,35.961864,1.5969317,3.302653135169658e-283,1.9636426792802204e-280
Esrra,35.806698,1.4982489,8.687329241454679e-281,4.94996780737053e-278
Tomm22,35.803455,2.0061336,9.757726935586528e-281,5.337476633765831e-278
Trap1,35.76223,2.0118365,4.2706836076655486e-280,2.2462153205702452e-277
Ddx3x,35.517696,1.5491093,2.620757123695771e-276,1.3273649506125802e-273
Cltc,35.409004,1.4537113,1.241014887661882e-274,6.061028067420084e-272
Pgk1,35.370438,2.517614,4.86457135774972e-274,2.2938970109388765e-271
Flnb,35.31475,1.5830448,3.4868224485569585e-273,1.5894098994672136e-270
Hnrnpul2,35.30398,1.4727972,5.101581874980183e-273,2.2504558754952904e-270
Gnas,35.19773,1.5217341,2.1660248375846384e-271,9.256371766865602e-269
Nsd1,35.187458,1.4788226,3.1103052104029357e-271,1.2888916288563682e-268
Csde1,35.172626,1.8378614,5.242749339574607e-271,2.1086646240789043e-268
Mtch1,35.116447,1.4964205,3.7821425493972305e-270,1.4777371246573465e-267
Coa3,35.1131,1.5903035,4.254307077202057e-270,1.616045813353837e-267
Psmb10,35.10027,1.62408,6.677511185527199e-270,2.467972039515796e-267
Rab6a,35.057716,1.350661,2.9745195518961523e-269,1.0704356545310496e-266
Actr3,35.054317,1.6884351,3.3509488885582076e-269,1.1749801551547048e-266
Becn1,35.05165,1.5264151,3.67994207770547e-269,1.2580801978155576e-266
Naa20,35.021732,1.5743568,1.0506205487311628e-268,3.504203903389915e-266
Twf1,34.92982,1.4837886,2.6225049979603186e-267,8.538751392168418e-265
Eppk1,34.926403,1.6392095,2.9552693744038223e-267,9.39844388255169e-265
Clk1,34.91913,1.5216616,3.81088388103528e-267,1.1844053880263059e-264
Csrp2,34.90703,1.5151292,5.8156503819905154e-267,1.76731153274934e-264
Purb,34.901867,1.5420965,6.965461698103797e-267,2.0707106243819442e-264
Pabpc1,34.84591,2.1534328,4.910669792498053e-266,1.4287959449449123e-263
Ahnak,34.83198,1.9219915,7.980872103149382e-266,2.2737172085534955e-263
Timm17a,34.83085,2.8041708,8.302145374306686e-266,2.31697628558457e-263
Psmd12,34.81814,1.8352947,1.2930241813763076e-265,3.5364211360642015e-263
Pdhb,34.806725,1.4503105,1.92436695761185e-265,5.1599447343807934e-263
Azin1,34.71567,1.5328034,4.571013635327281e-264,1.2020886819827031e-261
Serbp1,34.68609,1.5335985,1.2770216796550065e-263,3.294956880996644e-261
