names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,27.85095,1.9251947,1.048989023787259e-170,1.4344924900290764e-166
Tax1bp1,26.398542,1.6628971,1.4239859817647158e-153,9.736504150316244e-150
Plec,25.426825,2.0173655,1.2740918286958694e-142,5.807735252472004e-139
Lrp10,24.778162,1.6764337,1.5418036741952392e-135,5.271041311154974e-132
Ddx5,24.707518,1.7005731,8.879535864773087e-135,2.428553059015439e-131
Fryl,24.540571,1.4969859,5.453343868564262e-133,1.2429079567102713e-129
Mgat4b,24.511189,1.3658975,1.12238035004375e-132,2.1926501838354686e-129
Atp5b,24.379501,1.5452971,2.821864526092445e-131,4.823624674289272e-128
Gnas,24.311666,1.6475055,1.4756101957003317e-130,2.2421077140224484e-127
S100a6,24.166363,1.5934339,5.025222177625023e-129,6.871991327902219e-126
Plekhb2,24.15506,1.5567175,6.606328770094762e-129,8.212867811913261e-126
Ctnnd1,23.814375,1.4815474,2.3703890748317934e-125,2.701255883193731e-122
Atrnl1,23.680231,1.55438,5.764230435398486e-124,6.063527015698022e-121
Clk1,23.519964,1.5654547,2.5487121138073465e-122,2.4895455825939615e-119
Golga4,23.510973,1.6236709,3.149992603962008e-122,2.8717432572786974e-119
Atp6v0a2,23.485508,1.8126034,5.736468842073287e-122,4.9028882134595125e-119
Psap,23.426151,1.3593773,2.3141953434854317e-121,1.8615659601272517e-118
Clstn1,23.411701,1.3745769,3.24813677414096e-121,2.46768168813209e-118
Atp9a,23.407463,1.6672494,3.5876152712585135e-121,2.5821388860242195e-118
Twf1,23.231718,1.5560449,2.177378746528043e-119,1.4887827179385493e-116
Serf2,23.186024,1.2639693,6.300291067817271e-119,4.102689540590532e-116
Src,23.094313,1.6224235,5.281110146943125e-118,3.282690057247601e-115
Rnasek,23.046259,1.4591674,1.6036084427405268e-117,9.534498023685524e-115
Btf3,23.019943,1.6744944,2.9432491168593113e-117,1.6770388197104616e-114
Golgb1,22.951065,1.7742314,1.4378131663296793e-116,7.864838019823346e-114
Ifi27l2b,22.937353,2.6168857,1.970560581248934e-116,1.0364390749453528e-113
Ocln,22.934721,1.5354755,2.0934758757793153e-116,1.0603067630104495e-113
Slc44a1,22.932537,1.3802059,2.2011890007048594e-116,1.0750449851656769e-113
Eppk1,22.922132,1.68578,2.7954318223706736e-116,1.3181906955489297e-113
Net1,22.893972,1.3256589,5.335259048913273e-116,2.4319889164629672e-113
Sema4g,22.891258,1.7434647,5.677848120923111e-116,2.504663646891082e-113
Flnb,22.861845,1.500033,1.1142219108289747e-115,4.761557697058196e-113
Cdc42,22.830456,1.3648597,2.285618155495576e-115,9.471463114061213e-113
Iqgap1,22.74199,1.2354047,1.7224277520191578e-114,6.927705737900583e-112
Wdr26,22.569359,1.276366,8.669299595794765e-113,3.387219199214097e-110
Ndrg1,22.549995,1.4306728,1.342968523685491e-112,5.101415155944191e-110
Cltc,22.546705,1.3468174,1.4466398732585602e-112,5.346702774813733e-110
Tmprss4,22.517097,1.2615328,2.8225600113014526e-112,1.0157502145933517e-109
Patj,22.508846,1.2405225,3.400082289869522e-112,1.1922083413837363e-109
Hnrnpk,22.499502,1.543095,4.197547771627647e-112,1.4350366444252017e-109
H2-D1,22.487637,2.4882095,5.484436283510288e-112,1.8292601506586146e-109
Ugt2b34,22.43369,1.2567891,1.8467066479863756e-111,6.01278890743183e-109
Ets2,22.429386,1.2546643,2.0342265896829135e-111,6.469313631142754e-109
Pdcd6ip,22.426977,1.2875448,2.1473561386056525e-111,6.673885271689158e-109
Gabarap,22.400486,1.5538485,3.893053915929533e-111,1.1830558288963636e-108
Dync1h1,22.371923,1.1992705,7.3881733361735e-111,2.1963754428733175e-108
Actg1,22.332539,1.3619543,1.7849315662188033e-110,5.193391312349391e-108
Grtp1,22.301697,1.182415,3.5575771344021215e-110,1.0135389023531044e-107
AU040320,22.280165,1.3715189,5.754478267267861e-110,1.599441073582251e-107
Calm2,22.279444,1.2293404,5.848047801031996e-110,1.599441073582251e-107
Cops9,22.267288,1.4745553,7.670364180566154e-110,2.0567103954753364e-107
Acox1,22.261414,1.9931705,8.744808346318456e-110,2.2997164256904785e-107
Becn1,22.224516,1.3659774,1.9901284366023385e-109,5.134906862365468e-107
Cd63,22.214434,1.217314,2.491010495802999e-109,6.308253431501113e-107
Sf3b1,22.212107,1.0746171,2.6234932886939867e-109,6.522958313252776e-107
Kif13b,22.196468,1.7481041,3.715237297412622e-109,9.072476793235287e-107
Plekha6,22.177876,1.9146061,5.616956264600464e-109,1.347576788042304e-106
Rnasel,22.166668,1.6303511,7.204990772807635e-109,1.6987629106576624e-106
Ddx3x,22.157131,1.2444861,8.904540774333457e-109,2.0638914421866107e-106
Ddx17,22.149666,1.4090469,1.0509621464932265e-108,2.395317892215812e-106
Atp6v1g1,22.14594,1.3531828,1.1415328688305118e-108,2.559092128074959e-106
Kdelr2,22.142794,1.4216377,1.2240923474473825e-108,2.6999133631198314e-106
Tmf1,22.12091,1.3413802,1.9887642347291094e-108,4.3168810968127887e-106
Lmbrd1,22.107857,1.6051235,2.655850902568216e-108,5.67480642072193e-106
Atp10b,22.100487,1.2008098,3.1267509243847315e-108,6.578202906301723e-106
Fam98c,22.072792,1.8027941,5.771623285724326e-108,1.195862855034548e-105
Gpr108,22.060846,1.48559,7.516412389079299e-108,1.5341334241889466e-105
Il13ra1,22.019342,1.1879119,1.8797260612859783e-107,3.7801843953067285e-105
Copb2,21.979813,1.1917595,4.493064759385363e-107,8.904733418057223e-105
Slc39a1,21.977919,1.2156804,4.684509532251903e-107,9.151523979077824e-105
Actr3,21.964079,1.497593,6.353245770309496e-107,1.223670928295526e-104
Surf4,21.947365,1.256063,9.17690081380842e-107,1.742973869844863e-104
Wsb1,21.932417,1.3051337,1.2747314483767655e-106,2.387938706377023e-104
Ehmt2,21.90705,1.3319485,2.2254184808600965e-106,4.11251320618403e-104
Atp5e,21.895536,1.4416071,2.8650717024085176e-106,5.2239807373915305e-104
Copa,21.842907,1.1531717,9.079087827658145e-106,1.6336385005687518e-103
Gsdmd,21.837545,1.870707,1.0209698372662297e-105,1.8070305094528718e-103
Ralgapa2,21.83711,1.1962414,1.030701131534362e-105,1.8070305094528718e-103
