names,scores,logfoldchanges,pvals,pvals_adj
Lypla1,39.746346,2.142119,0.0,0.0
Eif4a2,38.932087,1.8789289,0.0,0.0
Eef1g,38.62157,2.2073953,0.0,0.0
Atp5b,38.155228,1.7572458,0.0,0.0
S100a6,37.982723,1.8981466,0.0,0.0
Atp6v0a2,37.901993,1.9422717,0.0,0.0
Ddx5,37.72977,1.6937822,0.0,0.0
Flnb,37.57261,1.8883882,6.023166999379235e-309,1.0295851089563879e-305
Atrnl1,37.4075,1.6177812,2.950701364054157e-306,4.483426794826732e-303
Timm17a,37.348083,2.1690056,2.7237307471923765e-305,3.7247017967855744e-302
Atp5e,37.231228,1.7162787,2.1329909247420036e-303,2.6516955359860814e-300
Tmed2,36.92428,1.8982596,1.8846780936935499e-298,2.147747744271608e-295
Pdhb,36.764576,1.6043522,6.801263237596078e-296,7.154405751855874e-293
Hnrnpa2b1,36.623432,1.987077,1.211990750296564e-293,1.183855250736108e-290
Hnrnpk,36.607002,1.7006012,2.2129792934687808e-293,2.0174994558790386e-290
Trap1,36.499054,1.9302051,1.1479874233911197e-291,9.811705009295977e-289
Spr,36.494904,1.7483073,1.3359239645366632e-291,1.0746329538258158e-288
Abracl,36.232533,1.6273158,1.8724575547164208e-287,1.4225476144859474e-284
Csde1,36.1754,1.6514584,1.483828231056907e-286,1.067965845247537e-283
Psmb10,36.160126,1.7341244,2.5793153049034886e-286,1.7636068397277603e-283
Plec,36.03524,1.810129,2.3486296436908234e-284,1.5294052560700957e-281
Actr3,35.974808,1.569123,2.0726468120113387e-283,1.2883384161025025e-280
Tomm22,35.87755,1.8674173,6.841764600356813e-282,4.067875256951279e-279
Copb2,35.85089,1.4651026,1.7812492544399993e-281,1.0149409814361246e-278
Esrra,35.75077,1.4980371,6.435843325910601e-280,3.520406299273099e-277
Chchd2,35.74181,1.5595934,8.868502091611324e-280,4.664491003953264e-277
Acbd3,35.625565,1.7606716,5.632768273140025e-278,2.852892819821846e-275
Sema4g,35.55366,1.594243,7.294026591268001e-277,3.562350486985354e-274
Purb,35.551594,1.5325423,7.850866599235627e-277,3.702089680846455e-274
Prr15,35.54503,1.698661,9.91617830639981e-277,4.520124611333914e-274
Psap,35.52989,1.5752515,1.6991142077538008e-276,7.495286061623621e-274
Atp9a,35.28222,1.57554,1.1004628905171889e-272,4.702759383694549e-270
Mrfap1,35.257957,1.7579507,2.5911941718237765e-272,1.073775160596671e-269
Cox7a2,35.20106,1.4306107,1.926198085695039e-271,7.747282006435194e-269
Psma3,35.195816,1.4904747,2.3169929610551199e-271,9.052822497836789e-269
Btf3,35.16794,1.6211562,6.183314580400395e-271,2.3488007468604275e-268
Ndufv1,35.14698,1.5693572,1.2927160562556913e-270,4.748256864751287e-268
Lrp10,35.146397,1.5087404,1.3194424925817105e-270,4.748256864751287e-268
Pgk1,35.0654,2.2139435,2.271623389076309e-269,7.965243550158596e-267
Dlst,35.04127,1.4485028,5.2959347504734916e-269,1.8105476928181247e-266
Ptgfrn,34.99134,1.8941009,3.0469558437451753e-268,1.0162712478832993e-265
Prelid2,34.96557,1.8338804,7.510505971350983e-268,2.4453849799577307e-265
Rbm14,34.955837,1.7796764,1.0557624299049967e-267,3.357570053244379e-265
Trak1,34.795708,1.4422671,2.82433972802695e-265,8.777919495629213e-263
Golga4,34.778336,1.6055348,5.171588161148383e-265,1.571588180082314e-262
Becn1,34.732483,1.5240191,2.548332901518217e-264,7.575750527882961e-262
Kras,34.7292,1.5100092,2.856699250842415e-264,8.311779203248941e-262
Dpp3,34.62536,1.4793558,1.0494947642744316e-262,2.989966854469344e-260
Clk1,34.608402,1.3958185,1.8885786124498488e-262,5.270676025561568e-260
Acox1,34.576736,1.7363441,5.653002632660286e-262,1.546096220032588e-259
Dnajc13,34.5702,1.4791237,7.086900932133369e-262,1.9002621617043886e-259
Gabarap,34.565994,1.5884545,8.196968877588581e-262,2.15564518078892e-259
Fdps,34.553604,1.4643924,1.2582699271556669e-261,3.2465738214818384e-259
Scp2,34.543858,1.6944273,1.762653723493558e-261,4.4637573460693346e-259
Coa3,34.52326,1.3642927,3.5920801482132543e-261,8.931217459421136e-259
Cops6,34.473785,1.457585,1.9825015163792486e-260,4.84119789937254e-258
Vdac3,34.460453,1.5925717,3.1402876246011985e-260,7.533935660775682e-258
Mprip,34.42987,1.4944994,9.012485365684148e-260,2.124926506478116e-257
Mgat4b,34.33641,1.4536284,2.2470593895245114e-258,5.20822663588944e-256
Nr3c2,34.32239,1.4227537,3.6373046327564052e-258,8.290023475490641e-256
Serf2,34.313972,1.378628,4.857116656422612e-258,1.0888700045340855e-255
Itgb1,34.269875,1.3962275,2.2062646177634934e-257,4.866236878696092e-255
Chmp4b,34.251305,1.8595413,4.170529626209933e-257,9.052697244193782e-255
Hnrnpul2,34.20096,1.3641815,2.3398789195712834e-256,4.999663160177703e-254
Ogt,34.188347,1.4334167,3.602654016610595e-256,7.579429796484597e-254
Tmx2,34.18426,1.7303358,4.143528398960213e-256,8.585265281178927e-254
Rnf187,34.17497,1.4213058,5.694133977439354e-256,1.1621982409176593e-253
Stap2,34.16152,1.9879701,9.019983826883187e-256,1.8139452769504056e-253
Cipc,34.14217,1.8875757,1.7474988812996687e-255,3.463340174169995e-253
Cop1,34.118027,1.515024,3.9864867319272643e-255,7.787886579872192e-253
Leng8,34.11301,1.5510241,4.731175834562778e-255,9.11251120248535e-253
Cdc42,34.107883,1.3990337,5.635970511293229e-255,1.0704430103046515e-252
Slk,34.086697,1.5424649,1.1614146510887185e-254,2.1756637470737293e-252
Actg1,34.07167,1.4904366,1.938817775117127e-254,3.582882847936042e-252
Mgam,34.070557,1.4195639,2.0140488710874635e-254,3.672282441616142e-252
Klc4,34.059532,1.6309437,2.9327521457984608e-254,5.277024420236046e-252
Tradd,34.055286,1.5598696,3.389394614452305e-254,6.019476799043542e-252
Ostc,34.045517,1.4961752,4.7288591444253254e-254,8.290660102566196e-252
Csrp2,34.044613,1.4295195,4.8768070091762006e-254,8.441814664618296e-252
Arih1,34.013504,1.4176245,1.4069544041245154e-253,2.4050126845503435e-251
Afdn,34.00385,1.5563861,1.9543128263949366e-253,3.2994108519692296e-251
Vwa8,33.999107,1.8025992,2.296454912269401e-253,3.829758649424885e-251
Cant1,33.995823,1.3585591,2.5681506777672478e-253,4.231260303429773e-251
Mlx,33.99031,1.4016838,3.097783424989305e-253,5.0431176591343746e-251
Ndufc1,33.983753,1.4395841,3.871811175890626e-253,6.229060921212272e-251
Tbca,33.954792,1.411715,1.0364805264201269e-252,1.648124557999446e-250
Ube2q1,33.94369,1.6213926,1.5113769057837249e-252,2.3756412858152225e-250
Hectd3,33.930058,1.4038529,2.401417893497039e-252,3.731748828815001e-250
Camsap3,33.92785,1.3167446,2.5885001982407343e-252,3.977274181004724e-250
Scarb2,33.926876,1.2894666,2.675621467153548e-252,4.065458173702752e-250
Atp6v0b,33.920654,1.2905989,3.304630652196576e-252,4.9660246339327665e-250
Rmnd5a,33.855583,1.418784,3.0036146457737254e-251,4.464611987060402e-249
Twf1,33.842125,1.4527678,4.738858441965104e-251,6.968160128373418e-249
Pkp3,33.834263,1.6479012,6.1845601664326704e-251,8.997219178294338e-249
Eif1,33.82575,1.832856,8.251090742899744e-251,1.1877227990437263e-248
Tmed10,33.822117,1.3484914,9.330658517835779e-251,1.3291328669937945e-248
Ndufb2,33.812485,1.6677879,1.2926411110703276e-250,1.822357442668735e-248
Src,33.758713,1.4075469,7.965163552005533e-250,1.1114654242211803e-247
Slc44a1,33.745975,1.3873184,1.2247546324025198e-249,1.6917696563741875e-247
Fam98c,33.740227,1.2676893,1.4871035372743545e-249,2.0336140872226797e-247
Hsd17b12,33.73509,1.3716135,1.7690587380245468e-249,2.3952354695530373e-247
Hook2,33.726566,1.3030536,2.358813732327733e-249,3.162429195057034e-247
Zbtb7a,33.722782,1.447907,2.679957166382839e-249,3.5580984709014877e-247
Tbcb,33.703876,1.3116179,5.072310211172025e-249,6.669600205555524e-247
Ctnnd1,33.68504,1.3714218,9.573982406793146e-249,1.2468972325037742e-246
Pabpc1,33.68278,1.8363279,1.0330678413430268e-248,1.3327549745628199e-246
Wsb1,33.661,1.2095485,2.1526906265098173e-248,2.751219095095491e-246
Abhd17a,33.654022,1.237647,2.722721485217203e-248,3.4475200287356715e-246
Cnnm4,33.58767,1.2596285,2.539250615361562e-247,3.1857112078045285e-245
Birc6,33.559887,1.2945541,6.459103824116294e-247,8.02984043589003e-245
Chmp1b,33.537796,1.4171922,1.3562294507886304e-246,1.6708502468049117e-244
Ubl5,33.521473,1.4061393,2.345343300121097e-246,2.8636222883175e-244
Ralb,33.51295,1.68014,3.121532841710204e-246,3.777607222158145e-244
Fzd5,33.507393,1.401956,3.7612377976282957e-246,4.5118356914532406e-244
Eef2,33.50164,1.3650649,4.5618652506866343e-246,5.424652808968671e-244
Cdv3,33.4955,1.307215,5.604651486884014e-246,6.607207679580939e-244
Rnasel,33.443077,1.7259465,3.244979675225458e-245,3.792743338351123e-243
Drap1,33.44155,1.3212699,3.414940933285782e-245,3.957569259549413e-243
Ddx3x,33.42475,1.413473,5.991597379244671e-245,6.885302030350494e-243
Cops4,33.418747,1.2860484,7.324912946318715e-245,8.341734119265386e-243
Tcp1,33.418518,1.4741176,7.380985948307947e-245,8.341734119265386e-243
Cryl1,33.415993,1.3352522,8.03104943960857e-245,9.002016482512066e-243
Skp1a,33.38635,1.3227683,2.1637660525367433e-244,2.405650468978859e-242
Cstb,33.380733,1.2173344,2.6101553954414005e-244,2.878538309085577e-242
Cttn,33.36953,1.3320613,3.7948565251343766e-244,4.151573038497008e-242
Cltc,33.35244,1.2851671,6.715014621075382e-244,7.2879226145401465e-242
