names,scores,logfoldchanges,pvals,pvals_adj
Zmynd11,8.625147,2.5980718,6.401060606993359e-18,8.753450380063418e-14
Clk1,8.417105,2.9860446,3.8590331935859396e-17,2.6386139461143863e-13
Grtp1,7.9810486,3.1654196,1.450955941844945e-15,6.613940834909874e-12
Pdap1,7.7574725,2.1053743,8.663866116939265e-15,2.170599900329657e-11
Afg3l2,7.740829,1.6687144,9.877056648836374e-15,2.170599900329657e-11
Son,7.7302885,1.7274818,1.0730326827111526e-14,2.170599900329657e-11
Golga4,7.72585,2.336316,1.1110931848122559e-14,2.170599900329657e-11
Camk2n1,7.7019944,1.871427,1.339585392810935e-14,2.289853780836192e-11
Fxyd3,7.6265445,1.8315873,2.4112936560084985e-14,3.663826749546246e-11
Ddx5,7.5976963,1.8219264,3.0144900993270296e-14,4.122315210829713e-11
Ndrg1,7.562745,1.918971,3.946504506211733e-14,4.9062226474950405e-11
Sptan1,7.476754,1.9022279,7.618059302848183e-14,8.681413413870741e-11
Dync1h1,7.4007497,1.6599631,1.3541777043946808e-13,1.2872146240870144e-10
Fryl,7.4007497,1.8664814,1.3541777043946808e-13,1.2872146240870144e-10
Mtch1,7.3952017,1.7083648,1.4119356022892296e-13,1.2872146240870144e-10
Iqgap1,7.3508196,1.7236255,1.9699513984043243e-13,1.679420875955678e-10
Nono,7.343053,2.3566825,2.087762697714554e-13,1.679420875955678e-10
Marcks,7.3130946,1.7988644,2.61058998611546e-13,1.8789377926383642e-10
Pkdcc,7.2953415,1.6199087,2.979019997155494e-13,2.0049064907177007e-10
Cacnb3,7.2909036,1.78087,3.0788326365683154e-13,2.0049064907177007e-10
Rimbp2,7.2531786,1.8724985,4.071029030178737e-13,2.530514635804283e-10
Kcnh6,7.226549,2.2307277,4.954213941758618e-13,2.892799565657813e-10
Clta,7.221001,1.55752,5.160613812994896e-13,2.892799565657813e-10
Igf2r,7.217673,2.2103474,5.288481838496916e-13,2.892799565657813e-10
Lrp10,7.2026935,2.3481135,5.903450881567272e-13,3.1049881079012477e-10
Cope,7.196591,1.7708012,6.173655125592975e-13,3.1268419941660714e-10
Gdi1,7.179393,1.3667758,7.002162757324073e-13,3.4198062752288105e-10
Rnf103,7.1732903,4.4332557,7.321632618680124e-13,3.4525284848431276e-10
Trip12,7.1621947,1.6632254,7.939548840657535e-13,3.619111013199726e-10
Plekhb2,7.1499896,1.5826437,8.678443358184924e-13,3.8283133201025433e-10
Ehmt2,7.1050525,2.2765589,1.2027673967024803e-12,5.139951296845756e-10
Gse1,7.1006145,2.0090082,1.2420351848277814e-12,5.14691853106664e-10
Itpr3,7.088964,1.9879622,1.3511967213703023e-12,5.434592695511436e-10
Aff4,7.083416,1.9675533,1.4064345030528485e-12,5.472409682004317e-10
Myo6,7.0800877,1.5805826,1.4406343586994912e-12,5.472409682004317e-10
Sf3b2,7.073985,1.6253741,1.5054660425695943e-12,5.56412111679438e-10
Nsd1,7.0601153,1.6995605,1.6636427214272994e-12,5.986924793557452e-10
Sned1,7.0523486,3.638277,1.7592279861664803e-12,6.168575054058107e-10
Baiap2l2,6.995761,2.5493214,2.6382266562578207e-12,9.019437381081424e-10
Wsb1,6.9547076,2.212937,3.532942436701249e-12,1.1783655566314534e-09
Kdm2a,6.950269,1.8213747,3.645896017902703e-12,1.187086382019511e-09
Ctnnd1,6.9469404,1.3454125,3.732927504420906e-12,1.1871577586733928e-09
Flnb,6.9269686,1.7430595,4.299540477395238e-12,1.3362776370086336e-09
Atp8a2,6.905332,2.6043394,5.008608109428866e-12,1.5006552150313817e-09
Mrfap1,6.9042225,1.456601,5.047907853122015e-12,1.5006552150313817e-09
Khdc4,6.8992295,3.3801615,5.228529630851693e-12,1.5212796319552533e-09
Celf3,6.8748193,1.5112554,6.206845824232734e-12,1.7376669137855337e-09
Arih1,6.8742647,2.1630151,6.23104650960166e-12,1.7376669137855337e-09
Ip6k1,6.8714905,1.8804895,6.3534439260897025e-12,1.7376669137855337e-09
Arhgef2,6.848745,1.542319,7.450078449880733e-12,1.997643584355275e-09
Clstn1,6.845416,2.19156,7.625390852283916e-12,2.005331152018895e-09
Prkar1a,6.8393135,1.4466543,7.957356790330401e-12,2.0531481907126083e-09
Kif12,6.8337655,3.7457795,8.271406339031504e-12,2.0946570682639967e-09
Kidins220,6.8293276,2.0958593,8.531361326668078e-12,2.115796950716059e-09
Tut7,6.8271084,2.0250413,8.664323893243095e-12,2.115796950716059e-09
Slc36a1,6.818232,1.994148,9.216776850191706e-12,2.211217954848624e-09
Spin1,6.7827263,1.9905442,1.179291116630288e-11,2.780483796537791e-09
Atp6ap2,6.7566514,1.7639245,1.4121733908528935e-11,3.273130698290393e-09
Arf3,6.7516584,1.5163151,1.4616462992708265e-11,3.3313355237547586e-09
Tm4sf4,6.74722,2.482556,1.5070444472378508e-11,3.378497182947149e-09
Cxxc5,6.7416725,3.2555313,1.5657375895890604e-11,3.453461538327484e-09
Eid1,6.737789,1.5312986,1.608148766902363e-11,3.4907038710142562e-09
Vps37a,6.732796,2.6663733,1.6643336181873038e-11,3.556212848236153e-09
Bag1,6.7261386,1.5321018,1.7422457946623893e-11,3.6654171141551033e-09
Nsd3,6.720591,1.4083016,1.809891509235533e-11,3.750040361938776e-09
Ids,6.713379,1.4144777,1.9016868572148093e-11,3.881428025733212e-09
Pkn1,6.7106047,1.4674778,1.9381934981985426e-11,3.897764130568393e-09
Irf6,6.7056117,1.2537322,2.0056424195516116e-11,3.974950737299752e-09
Dazap1,6.69729,1.4902722,2.123198234721534e-11,4.1478194085452824e-09
Lcorl,6.6834207,1.3708841,2.3342825812687025e-11,4.450338854853962e-09
Pcdh1,6.682866,1.975243,2.3431400186434025e-11,4.450338854853962e-09
Acbd3,6.6739893,1.7013206,2.4894156655214205e-11,4.663391674795263e-09
Rab6a,6.670106,1.9896795,2.5561878233382394e-11,4.696150841780877e-09
Rab4b,6.6689963,2.7294333,2.575585470812181e-11,4.696150841780877e-09
Acox1,6.658456,4.061244,2.76719826789004e-11,4.979136357025829e-09
Nudt3,6.6562366,3.6787152,2.809280849623405e-11,4.989209820597411e-09
Gabarapl2,6.652908,1.1734215,2.8735817123094257e-11,5.037978194337359e-09
A1cf,6.6468053,1.7559602,2.9952289363816394e-11,5.184779203166952e-09
Ets2,6.632381,1.3305411,3.3031459916930456e-11,5.6463151795502996e-09
Dpysl2,6.6262784,2.3271632,3.4425553376647725e-11,5.811968425008119e-09
Usp9x,6.62184,1.583559,3.5475442431582275e-11,5.916178966486435e-09
Chchd2,6.5902176,1.3704425,4.391817677148117e-11,7.2359164740964455e-09
Fubp1,6.579677,2.1639104,4.7147128608505514e-11,7.585140984956622e-09
Cand1,6.569691,1.5428579,5.041978180666852e-11,8.01733158379293e-09
Map3k15,6.567472,1.7940079,5.117667030393704e-11,8.044149039153322e-09
Dync1li2,6.561924,4.6097126,5.311785404791061e-11,8.254393796649745e-09
Marcksl1,6.5563765,1.2827307,5.513100682136628e-11,8.470972115530157e-09
Sfpq,6.550274,2.0425327,5.743170967531357e-11,8.630534393515528e-09
Plxnb2,6.5441713,1.3113006,5.982624220694714e-11,8.892650675869588e-09
Ddx17,6.5375137,1.2743131,6.254986319661337e-11,9.197520206598794e-09
Cltc,6.519761,1.2849318,7.041954979354406e-11,1.024454620666718e-08
Retreg2,6.5053368,3.0041757,7.75195759144829e-11,1.1158738954005827e-08
Metap2,6.497015,1.4784865,8.192931061289062e-11,1.1670659610742492e-08
Clrn3,6.4931316,1.8434758,8.407023251940653e-11,1.175349444282418e-08
Sema4g,6.491467,2.1282775,8.500442791561004e-11,1.175349444282418e-08
Cox17,6.4909124,1.5487165,8.531807614660504e-11,1.175349444282418e-08
Maz,6.489803,1.5393575,8.594877106269968e-11,1.175349444282418e-08
Sox4,6.4859195,1.7458277,8.81923083062978e-11,1.1867413347966257e-08
Ptov1,6.4853644,1.2078236,8.851745239433699e-11,1.1867413347966257e-08
Tax1bp1,6.4781523,1.4455419,9.285248879463418e-11,1.2327745478316722e-08
Psip1,6.476488,1.9737111,9.388198181808717e-11,1.2344577897714828e-08
Gns,6.4720497,2.6797144,9.668216283648434e-11,1.2401803310591693e-08
Mia3,6.471495,1.9795189,9.70378759951233e-11,1.2401803310591693e-08
F11r,6.471495,1.1740422,9.70378759951233e-11,1.2401803310591693e-08
Copz1,6.4587355,1.4291689,1.0558164722958351e-10,1.3368787276523654e-08
Sf3b1,6.448749,1.0655358,1.1277699776506263e-10,1.4148857288414967e-08
Prdx2,6.442092,1.3968657,1.178379127310947e-10,1.4649395059979273e-08
Lmna,6.4332156,1.4578393,1.24932400150516e-10,1.5391446595119875e-08
Trio,6.429887,3.501845,1.276990641645485e-10,1.5591827700448217e-08
Eif4a2,6.4276676,1.3825374,1.2957668111643073e-10,1.565734494254557e-08
Ubap2l,6.426558,1.4345351,1.3052558123950238e-10,1.565734494254557e-08
Foxp1,6.423229,1.4845808,1.334132142206763e-10,1.586457134319781e-08
Cyb5r3,6.419901,1.1804546,1.3636325189006237e-10,1.6075581634453476e-08
Mid1ip1,6.4126887,1.4225106,1.4297538709756884e-10,1.6711012124438067e-08
Psmd7,6.406586,1.5592837,1.4881416212778357e-10,1.7246048026249495e-08
Copb2,6.401038,2.3998816,1.5432391769403483e-10,1.7734282138369128e-08
March6,6.391607,2.692957,1.6415135815392866e-10,1.8619259277733427e-08
Hip1r,6.3910522,1.9041662,1.6474810768597768e-10,1.8619259277733427e-08
Mprip,6.388833,1.8470647,1.6715637540248083e-10,1.8719560125028406e-08
Dynlrb1,6.3877234,1.4812979,1.683733744335279e-10,1.8719560125028406e-08
Hnrnpm,6.3843946,1.4664011,1.7207654919198995e-10,1.88251744816037e-08
Pafah1b2,6.3843946,1.810034,1.7207654919198995e-10,1.88251744816037e-08
Tpm1,6.3794017,1.3045193,1.777809687028732e-10,1.9212415018289142e-08
Paip1,6.378847,1.488089,1.7842608463054635e-10,1.9212415018289142e-08
Rab3gap2,6.3577657,2.3787022,2.0470967533133997e-10,2.18580702340526e-08
Cdkn1b,6.356656,1.2918397,2.061931305442622e-10,2.18580702340526e-08
Fbxw11,6.3466697,3.5280437,2.20025522210315e-10,2.2876618288448164e-08
Mical2,6.3466697,1.317354,2.20025522210315e-10,2.2876618288448164e-08
