names,scores,logfoldchanges,pvals,pvals_adj
Ivns1abp,34.859055,1.69861,3.104447659504752e-266,2.122666087186374e-262
Ddx5,33.769474,2.217023,5.5367176581910024e-250,2.5238204658587317e-246
Eif4a2,33.078556,1.9704543,6.045728296359025e-240,2.066883361317742e-236
Actg1,32.696693,1.4691935,1.7402056504265545e-234,3.966218711597189e-231
S100a6,32.63071,1.7695155,1.5049436635397106e-233,2.9400149427007916e-230
Tm9sf3,32.19901,1.6126187,1.8220884098050693e-227,3.1146323755105403e-224
Mgat4b,31.799751,1.8560158,6.524554469269148e-222,9.913698040806177e-219
Chchd2,31.019535,1.4557636,2.939495654268952e-211,4.019760307212792e-208
Txn1,30.993937,1.4996047,6.5062407233776404e-211,8.088440172017203e-208
Rap1gap,30.77348,2.1952434,5.933811633177568e-208,6.762072840308603e-205
Atp5b,30.670755,1.4225359,1.3976300261303536e-206,1.4701992774871218e-203
Hnrnpk,30.36928,1.6789474,1.398358532902946e-202,1.3658966383891276e-199
Cd63,30.311167,1.5590088,8.169392289858074e-202,7.447762637587278e-199
Ddx3x,30.112923,1.6951356,3.282304337676907e-199,2.8053444886082314e-196
Arf4,30.0817,1.5249549,8.409073212364443e-199,6.764357422299044e-196
Pmm2,30.07814,1.4827476,9.36054804208878e-199,7.111416359753559e-196
Tma7,30.018665,1.4966674,5.601220572109687e-198,4.0314048065052615e-195
Arpc5,30.010048,1.3658478,7.256859312102492e-198,4.961877554650079e-195
Hspa8,30.007332,1.4291953,7.873524166545567e-198,5.12716395131003e-195
Ndufa1,30.000841,1.3814375,9.568474324855668e-198,5.9476766542000565e-195
Ssr4,29.91812,1.3316277,1.143823592217837e-196,6.800777227643009e-194
Gsdmc4,29.905832,1.5358342,1.6525058350413832e-196,9.415840539246214e-194
Plekhb2,29.811289,1.4708965,2.789447293171352e-195,1.5258276693647296e-192
Gmds,29.791918,1.3365486,4.97156716597859e-195,2.61485311518297e-192
Twf1,29.763508,1.9511191,1.1596261864161952e-194,5.873291888607952e-192
Prdx1,29.71767,1.4036062,4.5397798035048934e-194,2.2171960290331935e-191
Nr3c2,29.706064,2.0471692,6.411620702994776e-194,3.0234107970156406e-191
Camk2d,29.575253,1.5065441,3.1101743288675207e-192,1.417721131575445e-189
Clk1,29.56679,1.8396848,3.99582299179206e-192,1.7626735294437555e-189
Cdc42,29.48349,1.643351,4.6875153202026155e-191,2.0031803751178363e-188
Copb1,29.466381,1.3629338,7.765882140055615e-191,3.2181344928866833e-188
Mia3,29.440954,1.8027533,1.6437073331249828e-190,6.611087582495335e-188
Surf4,29.399181,1.418794,5.625690509253618e-190,2.1980376489726638e-187
B2m,29.394688,1.3316807,6.420844376203659e-190,2.439029079016251e-187
Idh3b,29.253616,1.3794873,4.0391195155358234e-188,1.4928367398635782e-185
Appl2,29.176044,1.4095484,3.905204398246804e-187,1.4053597406848695e-184
Atrnl1,29.172958,1.9301395,4.273530603998514e-187,1.4984751540943508e-184
Rsrp1,29.156397,1.8223794,6.931191454934664e-187,2.3433056790226112e-184
Cyc1,29.155933,1.3863324,7.025633114437079e-187,2.3433056790226112e-184
Uqcrc2,29.153135,1.2953233,7.623332050449649e-187,2.4821206140452133e-184
Atp5e,29.1014,1.7092137,3.4464183397216014e-186,1.0960411812951836e-183
Myo1d,29.077755,1.2805995,6.861848914401358e-186,2.1326314523736036e-183
Arcn1,28.971985,1.2911009,1.483498520711241e-184,4.508187171272494e-182
Myo6,28.906015,1.5607964,1.003195818406779e-183,2.9823266992853705e-181
H2-K1,28.80314,1.4729754,1.9592736838495795e-182,5.67975586787181e-180
Slc35a3,28.802538,1.2913202,1.993625460020818e-182,5.67975586787181e-180
Cmpk1,28.771978,1.2866511,4.810062511470589e-182,1.342400098864496e-179
Tmed2,28.750353,2.259039,8.966053778784735e-182,2.452215708497625e-179
Copb2,28.689674,1.7562749,5.132922667738482e-181,1.376327793751446e-178
Rab6a,28.677208,1.6388774,7.342597490921078e-181,1.930961936314341e-178
Pdcd6ip,28.623945,1.3761634,3.3835392511083462e-180,8.730169671491819e-178
Tomm5,28.56064,1.7442664,2.0722231751033535e-179,5.247713318433029e-177
Ostc,28.550615,1.6882689,2.7600137202464365e-179,6.862397749885458e-177
Hdlbp,28.529036,1.3252012,5.113404868978602e-179,1.248675206844328e-176
Iqgap1,28.488117,1.4218857,1.6441607537389672e-178,3.944543562698311e-176
Tpm1,28.484346,1.3009152,1.830849757795438e-178,4.3167017996297616e-176
Calm2,28.45982,1.3712093,3.683820053140887e-178,8.538345631644345e-176
Ddx17,28.418953,1.7386818,1.1794171299084723e-177,2.68808820858306e-175
