names,scores,logfoldchanges,pvals,pvals_adj
Clk1,8.013942,2.7439044,1.110894038312982e-15,7.595737986965013e-12
Arf3,7.9321313,1.9553257,2.1541661072388274e-15,9.819407172163655e-12
BC005537,7.82131,1.6784889,5.227642714384063e-15,1.7872003529800515e-11
Eef1g,7.7876573,2.4966934,6.826292972483354e-15,1.866991127974197e-11
Fryl,7.737759,1.644063,1.0118447568654682e-14,2.0689477724135422e-11
Dazap1,7.731957,2.014155,1.059059188804007e-14,2.0689477724135422e-11
Eif4a2,7.708168,1.6942557,1.2763674845496743e-14,2.1817906689020995e-11
Nono,7.617074,1.8647515,2.594905515225307e-14,3.942814768967341e-11
Ogt,7.5799403,2.492636,3.457142651384534e-14,4.72764257576835e-11
Misp,7.539325,1.4592327,4.724099589041318e-14,5.872914716376365e-11
Park7,7.463317,1.7286899,8.437115186509373e-14,9.61479584795964e-11
Cd63,7.4151587,1.9197966,1.2147907620254481e-13,1.2778664362075385e-10
Btg1,7.394851,2.2190504,1.4156656661061184e-13,1.3540901514073864e-10
Prdx2,7.3884687,1.7925066,1.485290842494391e-13,1.3540901514073864e-10
Leng8,7.3675814,1.8036454,1.737516190906386e-13,1.4850333694153016e-10
Atp5b,7.25734,1.6704758,3.947760099779588e-13,3.0773472186789476e-10
Tbcb,7.253859,1.7569848,4.050621567548158e-13,3.0773472186789476e-10
Afdn,7.243415,2.1146984,4.375255143479204e-13,3.1490323203725324e-10
Hnrnpa2b1,7.232971,2.5681741,4.725399598787697e-13,3.2309919756710874e-10
Actg1,7.1958375,1.4749677,6.207862244835789e-13,4.042500771339496e-10
Trip12,7.1853933,1.6055788,6.701394122063372e-13,4.165525664509846e-10
Serf2,7.1645055,1.3659041,7.806775763506295e-13,4.6416373289542863e-10
Csde1,7.1447783,2.4372792,9.014125812784848e-13,5.008554380808648e-10
Hnrnpk,7.1424575,1.510287,9.167691332391961e-13,5.008554380808648e-10
Rab6a,7.1372356,1.2946298,9.522662808118819e-13,5.008554380808648e-10
Ivns1abp,7.125051,1.36292,1.0404219041143925e-12,5.081346263844399e-10
Cops6,7.125051,1.7767469,1.0404219041143925e-12,5.081346263844399e-10
Jpt1,7.1047435,1.4335092,1.205462974718693e-12,5.684381441130389e-10
Psma4,7.09546,1.5597967,1.28921991089721e-12,5.876694093839782e-10
Hnrnpu,7.090238,2.3419456,1.338815506675158e-12,5.905903888317028e-10
Ubald2,7.062968,1.3318774,1.629834351515593e-12,6.839094556561167e-10
Clec2d,7.0612273,1.3463995,1.6503847924425484e-12,6.839094556561167e-10
Hprt,7.028155,2.0690632,2.0928248549085208e-12,8.417464673786477e-10
Gnas,7.01539,1.8208605,2.2930816206196565e-12,8.746748405684762e-10
Utrn,7.01481,1.8106744,2.302617496194892e-12,8.746748405684762e-10
Kif5b,6.9927616,1.2555196,2.6952703741493694e-12,9.961573612565575e-10
Pink1,6.9707136,1.7149985,3.1533749769307853e-12,1.0364786442364577e-09
Ddx6,6.9701333,1.9339453,3.16640783913206e-12,1.0364786442364577e-09
Rassf6,6.969553,1.6406791,3.1794935153213376e-12,1.0364786442364577e-09
Pou2f3,6.966652,1.2127309,3.245721470581279e-12,1.0364786442364577e-09
Tbca,6.9660716,1.3694986,3.2591284608532126e-12,1.0364786442364577e-09
Btf3,6.9660716,1.6883574,3.2591284608532126e-12,1.0364786442364577e-09
Ddx5,6.9196544,1.6179813,4.527463612810738e-12,1.3335823440111813e-09
Impad1,6.918494,1.4568563,4.564697891665379e-12,1.3335823440111813e-09
Arpc5,6.917914,1.2703475,4.583427434627095e-12,1.3335823440111813e-09
Nsd1,6.8865824,1.4890802,5.714873242403845e-12,1.6281435747890119e-09
Supt4a,6.8668547,1.8471948,6.563276983784627e-12,1.831690056188873e-09
Mgat4b,6.8523493,1.4934998,7.264680355208281e-12,1.9758881282129504e-09
Eef1b2,6.848288,1.4376632,7.473899664477359e-12,1.9758881282129504e-09
Eif1ax,6.8471274,1.9922098,7.534753426754643e-12,1.9758881282129504e-09
Eif3f,6.8448067,1.3876009,7.657921081922221e-12,1.9758881282129504e-09
Stk38,6.8279805,1.2435623,8.611833241598554e-12,2.1808670292381525e-09
