names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,31.869894,2.0762978,6.979416851140681e-223,9.544352543934881e-219
Tmed2,31.23701,2.2188532,3.351626211476087e-214,2.2916744220967745e-210
Eef1g,30.028116,2.170208,4.216149090413158e-198,1.4413959702849983e-194
Ern2,29.923063,1.8948066,9.863829827998634e-197,2.697757457957626e-193
S100a6,29.004896,1.7987792,5.707658306140538e-185,1.300870455607864e-181
Ivns1abp,28.929808,1.6327238,5.037662202547625e-184,9.841432945691251e-181
Gabarap,28.41524,1.6715869,1.3108585333418647e-177,2.24074880543125e-174
Tbca,28.400194,1.7072256,2.0110201793465493e-177,3.055633439173784e-174
Ostc,28.343285,1.6532615,1.0127208700969782e-176,1.3848957898576175e-173
Ddx5,28.240612,1.6994944,1.856185393630843e-175,2.3075759325365253e-172
Ccl6,28.211346,2.088215,4.244506851766699e-175,4.8369692664924673e-172
Rap1gap,28.146416,1.6283076,2.651149408306414e-174,2.7888052429684774e-171
Atp5e,27.92454,1.7469273,1.3438473498945535e-171,1.3126508935577156e-168
Golgb1,27.852499,2.2004585,1.0046260261096379e-170,9.158840604699532e-168
Cd63,27.809782,1.5929254,3.3035622308556067e-170,2.8235133441844013e-167
Mia3,27.744724,1.6135302,2.0175644461374471e-169,1.62295257652527e-166
Twf1,27.69256,1.5706908,8.582001091350758e-169,6.519936940234533e-166
Atp9a,27.604776,1.6286666,9.75101467092054e-168,7.018164506570441e-165
Hnrnpa2b1,27.601,1.9838939,1.0823628083621152e-167,7.134810436539609e-165
Ogt,27.49096,1.808059,2.251771962760244e-166,1.3996809813975607e-163
Bace2,27.299234,1.7263701,4.331416980058171e-164,2.5753098783606734e-161
Atrnl1,27.2626,1.8990717,1.1782392806693929e-163,6.713509234647478e-161
Clk1,27.041208,1.5506458,4.846177047315684e-161,2.650858844881679e-158
Serf2,27.011728,1.3890004,1.0761952327512685e-160,5.6603730030283065e-158
Cops9,26.910053,1.4231725,1.6751456927642054e-159,8.484302721685374e-157
Plekhb2,26.818066,1.4669878,1.9895192530514897e-158,9.7166699233854e-156
Itga2,26.795069,1.5292677,3.688490133202886e-158,1.739313881777568e-155
Mgat4b,26.712982,1.4629734,3.326090822137616e-157,1.5161430664243968e-154
Cops6,26.663242,1.5724847,1.2568009022870734e-156,5.54411365766959e-154
Tomm5,26.545649,1.4848596,2.883095462811259e-155,1.2320728266857488e-152
Selenos,26.535006,1.8002846,3.825724971051131e-155,1.5853572417916429e-152
Rnase4,26.466885,1.5289525,2.332670412873331e-154,9.382137616483178e-152
Btf3,26.44732,1.5260328,3.9170270700698384e-154,1.5304384338058583e-151
Ufm1,26.445597,1.6728855,4.100025435054189e-154,1.557440217343501e-151
Mxd4,26.32014,1.3916992,1.1280448284216523e-152,4.1691927104502964e-150
Pck1,26.318602,1.7791566,1.1747380352295671e-152,4.22751121888535e-150
Ugt2b34,26.28305,1.4630702,2.9963094715280843e-152,1.050629026234527e-149
Csde1,26.20554,1.6933659,2.2978443193793853e-151,7.855755266878273e-149
Zmynd11,26.203104,1.5023054,2.449564810893484e-151,8.170194826577657e-149
Kdelr2,26.10456,1.4458556,3.2359821223972687e-150,1.0536203696138726e-147
Lrp10,26.073343,1.3858439,7.315367177866041e-150,2.3264568873794908e-147
Acbd3,26.05046,1.5147257,1.3292841022545832e-149,4.1313545678025967e-147
Tax1bp1,26.047768,1.4257685,1.426027396263159e-149,4.3335388097552664e-147
Pabpc1,26.043678,1.8014079,1.5865433531835987e-149,4.7165174684316767e-147
Cdc42,26.039389,1.3856124,1.774303620426353e-149,5.162468512623484e-147
Hnrnpk,26.014212,1.4367669,3.420023981394131e-149,9.743505821992654e-147
Serbp1,26.009127,1.4851695,3.9046010121608427e-149,1.0897024253326434e-146
Mob4,25.980373,1.3644824,8.25395813092453e-149,2.257457548807859e-146
Cop1,25.924633,1.5694985,3.5142831767815316e-148,9.42310243970342e-146
Retreg1,25.863222,1.4002348,1.7276765481704004e-147,4.54345707619812e-145
Fut8,25.85369,1.3116635,2.2114149403075376e-147,5.705867794095392e-145
Rgmb,25.813295,1.4138696,6.288456281925155e-147,1.5924933269504906e-144
Eif3h,25.762287,1.6007885,2.3478961195032023e-146,5.741915695699403e-144
Prrc1,25.76223,1.7574481,2.3513512172516752e-146,5.741915695699403e-144
Cgref1,25.749249,1.4664832,3.2864560127183777e-146,7.884611574372598e-144
Grtp1,25.707956,1.3483917,9.523784309906018e-146,2.2454784558269795e-143
Tvp23b,25.706974,1.655481,9.767928802719381e-146,2.2640072267319924e-143
Camk2n1,25.700478,1.5146546,1.15462486102353e-145,2.631582495749462e-143
Abracl,25.674559,1.5440725,2.249137196598318e-145,5.042123141554426e-143
Bcas1,25.64612,1.600553,4.671251543675337e-145,1.0303123364477457e-142
Atp5b,25.627453,1.3776157,7.54340809275779e-145,1.6373985026740123e-142
Leng8,25.624704,1.3246186,8.095038206267629e-145,1.729681991729841e-142
Wsb1,25.59672,1.5798055,1.659377254370481e-144,3.491074454387127e-142
Tnfaip8,25.581774,1.6092186,2.4339035723048996e-144,5.042974447162046e-142
Nsd1,25.578497,1.3075472,2.647070651397108e-144,5.402789725053053e-142
Golga4,25.553263,1.5621909,5.0508935213218247e-144,1.0157495427069994e-141
