names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,25.812593,2.2578151,6.403695287814348e-147,8.757053306086121e-143
Eef1g,25.066044,2.2278607,1.1671859237351408e-138,7.980633753539025e-135
Mgam,24.526808,1.913492,7.647939650183121e-133,3.486185823875139e-129
Btf3,23.687168,1.9028277,4.889515149297035e-124,1.6716029916659237e-120
Hnrnpa2b1,23.536798,2.2255259,1.7139578448334444e-122,4.6876747056194703e-119
Ddx5,23.416672,1.8757353,2.89071640807876e-121,6.5884244800795075e-118
Mybbp1a,23.22118,2.3509607,2.782375546008106e-119,5.435569370237264e-116
Hnrnpk,22.99351,1.7236227,5.413091623619365e-117,9.253003494124351e-114
Atp5e,22.934828,1.8779204,2.0883605891493725e-116,3.173147895179741e-113
Atp5b,22.745907,1.7717336,1.5753184942613073e-114,2.1542480409023377e-111
Ivns1abp,22.713526,1.6778048,3.29330977426905e-114,4.0941828330117505e-111
Serf2,22.396795,1.587218,4.229277293851005e-111,4.8196139161177074e-108
Trap1,22.359627,2.0476632,9.732491726863892e-111,1.0237832643451055e-107
Atp5g3,22.284397,1.7217977,5.235789133069871e-110,5.1142440281950345e-107
Impdh2,22.210392,1.6206471,2.725516182860703e-109,2.4847622533746743e-106
Tomm5,22.199234,1.6346039,3.493515212891955e-109,2.9858637835185926e-106
Hnrnpu,22.16623,1.8217287,7.275607191698566e-109,5.852584020381053e-106
Ugt2b34,22.157053,1.6168358,8.919877042246423e-109,6.776628808484435e-106
Slc44a1,22.039867,1.5332621,1.1948834990366785e-107,8.600016762803463e-105
Myo6,22.02548,1.5048411,1.641608854462731e-107,1.1224500542388922e-104
Serbp1,22.006706,1.6417925,2.4839648600850626e-107,1.6175342600792015e-104
Nsd1,21.653742,1.4550065,5.60408238443902e-104,3.4834466639638e-101
Hdgf,21.64695,1.9257083,6.493927237668206e-104,3.86106325978751e-101
Eif3h,21.535887,1.9186155,7.180771491123463e-103,4.0915437558797234e-100
Ncl,21.518381,1.5779189,1.04755072193018e-102,5.730102448958085e-100
Sf3b1,21.417942,1.3462309,9.091774724194515e-102,4.70044472409503e-99
Kcnq1,21.416985,1.5290456,9.28058556128452e-102,4.70044472409503e-99
Ogt,21.408232,1.8220874,1.1198064573243403e-101,5.4690547513965546e-99
Drap1,21.321156,1.7000928,7.225364022741096e-101,3.4071328624477414e-98
Gvin1,21.20624,1.5460762,8.363881228162128e-100,3.812535859837237e-97
Khsrp,21.14415,1.8260536,3.1237217834504085e-99,1.377964367376914e-96
Hnrnpul2,21.111032,1.5011624,6.298115659293955e-99,2.691460363776401e-96
Tcp1,21.092749,1.47199,9.27146122221522e-99,3.8420373398119135e-96
Cmas,21.074465,1.4626409,1.3643973753182101e-98,5.487686502198978e-96
Eppk1,21.058853,1.6840198,1.8971155944306697e-98,7.412301643954116e-96
Rp9,21.026428,1.4802943,3.7591496637927135e-98,1.4279547681212598e-95
Axin2,21.00173,2.179308,6.324096361982137e-98,2.3373518310839384e-95
Nono,20.973269,1.374092,1.1508154340823311e-97,4.141421331862073e-95
Ddx17,20.96024,1.4811984,1.5132334897634257e-97,5.173366993128711e-95
Myl12b,20.941555,1.3016349,2.2402830885798142e-97,7.472163716177795e-95
Cmpk1,20.923695,1.3697517,3.258696458053799e-97,1.0610160491401356e-94
Nudt21,20.919662,1.6170357,3.5461175002711154e-97,1.1277478329350582e-94
Pabpc1,20.916033,1.8449906,3.8265348214797956e-97,1.1892696291758227e-94
Ap1s1,20.888262,1.5125124,6.846661605490795e-97,2.0806243878908137e-94
Hprt,20.79339,1.6294632,4.967522752912351e-96,1.4767581227407913e-93
Hnrnpm,20.764126,1.4368649,9.137435797172857e-96,2.6586049899221027e-93
Clk1,20.759895,1.5103273,9.978519750295848e-96,2.8428386996936605e-93
Taf1d,20.714596,2.47454,2.5583997039344204e-95,7.140023663531265e-93
Rab3ip,20.699675,1.4451146,3.4871145780072854e-95,9.537258370849925e-93
Csde1,20.625938,1.9544122,1.6058686767996303e-94,4.3059321873009695e-92
Actg1,20.585138,1.5362809,3.729711029377949e-94,9.808422755142971e-92
Coq2,20.568035,1.6140729,5.307357460919382e-94,1.369398363737218e-91
Cyc1,20.544674,1.5433098,8.588780303876951e-94,2.1750290862132835e-91
Dars,20.537725,1.5049404,9.909773695275003e-94,2.4639300960524667e-91
Lgr4,20.487705,1.3319244,2.7715257441481592e-93,6.767966884147514e-91
Rbm14,20.486347,1.7190032,2.8499331998758254e-93,6.837339738298581e-91
Tmprss4,20.480043,1.3556508,3.243645761529049e-93,7.647733756708577e-91
Ctnnd1,20.432297,1.3831757,8.634444027818102e-93,2.001288509837501e-90
Psap,20.423233,1.4566634,1.039536180980754e-92,2.3692762124853017e-90
