names,scores,logfoldchanges,pvals,pvals_adj
Eef1g,24.512268,2.3891616,1.093061642171254e-132,1.4947617956691897e-128
Tmpo,24.45981,2.4533422,3.957441618191323e-132,2.705900706438317e-128
Hnrnpa2b1,23.187878,2.006238,6.034652318288516e-119,2.750795681753182e-115
Csde1,23.147081,2.385021,1.5555502901443876e-118,5.318037554431125e-115
Ddx5,23.009132,1.776528,3.7765968431923195e-117,7.377851690093567e-114
Hmgb3,22.843061,2.241839,1.7129463338619179e-115,2.928067639445216e-112
Hjurp,22.729761,1.797903,2.275727259929819e-114,3.4578411421711414e-111
Lmnb1,22.391302,1.77171,4.784132231311619e-111,6.5423008263186385e-108
Pabpc1,22.372112,2.0610602,7.356913317900496e-111,9.14598087475357e-108
Mgam,22.365053,1.8312272,8.618082285009803e-111,9.82102293729242e-108
Hnrnpu,22.345201,1.7362411,1.3444110039803307e-110,1.4142169599562324e-107
Trap1,22.298437,1.9332125,3.826252449017096e-110,3.7374287314506275e-107
Eppk1,22.25768,1.7721686,9.503841581277984e-110,8.664335574931762e-107
Actg1,22.22566,1.6664225,1.940094820216748e-109,1.6581747916540016e-106
Eif4a2,22.161463,1.8108875,8.088013316846459e-109,6.506093065169138e-106
Pgk1,22.121174,2.8859136,1.9771621779281253e-108,1.502094043509284e-105
Cbx3,22.062672,1.8225458,7.219188818826676e-108,5.1959161630239365e-105
Atp5e,22.000423,1.809116,2.8530029292938174e-107,1.9507407529046475e-104
Twf1,21.728035,1.7846317,1.1147331183228332e-104,7.259035901459403e-102
Pcbp2,21.71762,2.265213,1.398364855605859e-104,8.692108818368237e-102
Hnrnpul2,21.65588,1.6137427,5.349916324734957e-104,3.180874162641328e-101
Gmnn,21.62144,1.9339687,1.1289508717717192e-103,6.432667988115942e-101
Btf3,21.595427,1.786164,1.9830104182677002e-103,1.084706698792432e-100
H3f3b,21.590122,2.3185897,2.2241939124681327e-103,1.1698404520385275e-100
Spr,21.56996,1.6906749,3.439978689613102e-103,1.7422855029799692e-100
Hnrnpd,21.485676,1.5625691,2.1195693637177238e-102,1.0351825374585668e-99
Tmed2,21.479084,1.8229458,2.442729231782661e-102,1.1518731808492376e-99
Actr3,21.410362,1.7826186,1.0697601527950544e-101,4.876323363157457e-99
Ptgfrn,21.372414,1.9325669,2.413265387777182e-101,1.064561425092031e-98
Syncrip,21.323662,1.6370823,6.84846029582435e-101,2.9266467045436866e-98
Taf1d,21.314184,2.336464,8.385601191075167e-101,3.474942311756149e-98
Timm17a,21.208529,2.6230159,7.966740339825444e-100,3.2042698278562634e-97
Rbm25,21.151976,1.5315742,2.646272957926984e-99,1.0339366485614716e-96
Ss18,21.143005,1.7454932,3.2004040679581276e-99,1.2157090452590943e-96
Fubp1,21.108137,1.660449,6.696074992611945e-99,2.474833122269415e-96
Vdac1,21.088715,1.5757192,1.009693893962424e-98,3.6335694736674074e-96
Hnrnpk,21.045929,1.5178801,2.491880570052014e-98,8.737555588579819e-96
Hnrnpr,21.011023,1.5690638,5.2003511577516855e-98,1.7778700520563573e-95
Mybbp1a,20.976154,1.8381665,1.0830637383712273e-97,3.6124138102991546e-95
Kras,20.9634,1.68537,1.4160061327058127e-97,4.610448539226664e-95
Khsrp,20.955873,1.5189636,1.6585918926011416e-97,5.274707937516421e-95
Psmd12,20.949945,1.5411431,1.878485280204164e-97,5.838246865179987e-95
Purb,20.947136,1.6179441,1.9925707973520022e-97,6.055201256397473e-95
Cnnm4,20.944523,1.5894363,2.1049339103911743e-97,6.257602440130284e-95
Coa3,20.899126,1.6463786,5.45350861069774e-97,1.5867389415168426e-94
Smarca5,20.861605,2.228185,1.1958914282824046e-96,3.4070448503670586e-94
Lypla1,20.807354,1.8843178,3.7128159382815517e-96,1.036178733795923e-93
Ugt2b34,20.78208,1.5900234,6.287421133212401e-96,1.7196096799335916e-93
Pdhb,20.7719,1.4812504,7.772083981935831e-96,2.083985263783774e-93
Lrp10,20.76172,1.5048981,9.606330390183918e-96,2.5262801554954823e-93
Spred1,20.75556,1.5764109,1.0920469658363087e-95,2.817687218455004e-93
Aggf1,20.753452,1.9394187,1.1409555230401348e-95,2.88936421806923e-93
Sub1,20.751541,1.5813826,1.1872239634449074e-95,2.951870490928929e-93
Srsf7,20.71523,1.5633624,2.5249153017894632e-95,6.165752991423376e-93
Bcas2,20.69187,1.4723727,4.100097427106468e-95,9.83663724836508e-93
Atad3a,20.646353,1.8590084,1.0527209780928763e-94,2.482061961279325e-92
Cops6,20.623772,1.5580963,1.6794247586458852e-94,3.89256501262415e-92
Ddx46,20.60349,1.6075801,2.5535795568638184e-94,5.820033406685453e-92
Rcc1,20.581455,1.6057664,4.024252737885339e-94,9.021582982062625e-92
Plagl2,20.565073,1.4576644,5.641436811460392e-94,1.244300780592272e-91
Dars,20.546509,1.5819035,8.270166555539455e-94,1.795151232492096e-91
Atp5b,20.543896,1.6087575,8.727409242924197e-94,1.8648018968279436e-91
Ap1s1,20.527124,1.4864787,1.2325610703983882e-93,2.593118867338147e-91
Ncapd2,20.499434,1.4986254,2.17815694614772e-93,4.513075187662133e-91
Eif3b,20.482779,1.5706557,3.0665206579121074e-93,6.258905969693741e-91
Tmx2,20.473654,1.6468292,3.6983277890647163e-93,7.437445958155881e-91
Cct6a,20.44686,1.5877576,6.407078709395752e-93,1.2698087152316944e-90
Cant1,20.431025,1.5035045,8.862430098499098e-93,1.7313390228139307e-90
Timm8a1,20.425407,1.4286277,9.942567343119754e-93,1.9149944847487695e-90
Abce1,20.406452,1.7093389,1.4654278624675637e-92,2.7473588979740492e-90
Cct7,20.406414,1.4888699,1.4665974373097302e-92,2.7473588979740492e-90
Naa20,20.40388,1.6125187,1.544651550592535e-92,2.8231626217461283e-90
Ubxn1,20.40376,1.5572127,1.54835244337082e-92,2.8231626217461283e-90
Nup153,20.402708,1.6263423,1.582061086462157e-92,2.846669125969737e-90
Clk1,20.393503,1.5456209,1.9096714487152983e-92,3.391526891062559e-90
Ola1,20.380243,1.4540418,2.504081842176808e-92,4.390169127149725e-90
Chchd1,20.37486,1.9931917,2.795085008069279e-92,4.838327529790808e-90
Hnrnpm,20.364954,1.5703855,3.421711997509934e-92,5.848988945743542e-90
Cttn,20.34795,1.4793682,4.8410465971834185e-92,8.173001508207809e-90
Dpp8,20.345375,1.5138245,5.101995792481246e-92,8.508511275875737e-90
Serbp1,20.321857,1.5080163,8.239936517193513e-92,1.3576039984653168e-89
Impa1,20.312769,1.5360874,9.915215616766413e-92,1.6141734947533418e-89
Hprt,20.301733,1.4624135,1.2413118507423856e-91,1.9970517128120144e-89
Afdn,20.298807,1.5105362,1.317443938503051e-91,2.0948890533754908e-89
Fam98b,20.283518,1.5521287,1.7979915436105418e-91,2.8261533745832366e-89
Slc44a1,20.275991,1.4923422,2.0952922303796487e-91,3.256036505732011e-89
Tbcb,20.245102,1.5660483,3.923756955255906e-91,6.028918692485901e-89
Arih1,20.236599,1.3258393,4.6625570471126495e-91,7.084496402140609e-89
Rnf187,20.219906,1.473138,6.540752818109601e-91,9.829098328313055e-89
Rpa3,20.205086,1.5531453,8.831688802433694e-91,1.3127537431878345e-88
Usp43,20.1912,1.6221993,1.1698673983820202e-90,1.7202082443950673e-88
Tcp1,20.186598,1.4654462,1.2840655554839316e-90,1.8680421777917834e-88
Eif2s1,20.17556,1.5826186,1.6053235656233699e-90,2.3108210273578508e-88
Rangap1,20.138783,1.6614972,3.3753489942335623e-90,4.808114322514996e-88
Tomm22,20.12599,1.7279121,4.369626390964823e-90,6.160272257365356e-88
Pkdcc,20.11148,1.3479475,5.854979322898795e-90,8.170085942922554e-88
Usp1,20.107502,1.2882968,6.3438695113842245e-90,8.762870259412048e-88
Coq2,20.101809,1.4217054,7.11533589761993e-90,9.730221839995254e-88
Csnk2a1,20.091122,1.4145962,8.82459975844871e-90,1.1948158583840208e-87
Hdgf,20.049545,1.4004083,2.036974502328027e-89,2.7309437567976243e-87
Prpf4b,20.045488,1.4061203,2.2099807030249085e-89,2.9341248654238467e-87
Smu1,20.036674,1.7505207,2.6381355589441185e-89,3.468894593130848e-87
Myh14,20.019865,1.3193828,3.697214765955101e-89,4.815182088041525e-87
Chchd2,20.018696,1.474757,3.7850597276905864e-89,4.883084129827242e-87
Wdr36,20.008944,1.7847546,4.6029206664249854e-89,5.882704683491745e-87
Kpnb1,20.000248,1.4056207,5.480039963434806e-89,6.93884689814546e-87
Dnaja1,19.992212,1.9689157,6.437691492853899e-89,8.0345617299950135e-87
Ptk2,19.992018,1.6591567,6.462901574401839e-89,8.0345617299950135e-87
Tomm5,19.983398,1.4797995,7.681310870947052e-89,9.463236591009093e-87
Ube2q1,19.958164,1.8863622,1.27304356885448e-88,1.5543634646504474e-86
Flnb,19.948492,1.5706846,1.5447949870574225e-88,1.869475349381438e-86
Cwc15,19.937181,1.5472615,1.9367675748904926e-88,2.3232716304059198e-86
Lrp6,19.935621,1.2840036,1.9981077378117704e-88,2.376010723006605e-86
Fzd5,19.930746,1.4908702,2.2025661903549175e-88,2.5965597114744398e-86
Mtch1,19.928484,1.3797442,2.3043972178071444e-88,2.693387346454077e-86
Ppp3cb,19.924505,1.3674228,2.4950016032503078e-88,2.878345109085815e-86
Sf3b6,19.92431,1.3272804,2.5047390711605996e-88,2.878345109085815e-86
Eif3h,19.916315,1.4631491,2.938369580340014e-88,3.348517000929141e-86
Trak1,19.888117,1.3352333,5.157622430776758e-88,5.828965846353072e-86
Scaf11,19.871696,1.3157171,7.154361445712532e-88,8.019335472960563e-86
Gmcl1,19.867914,1.353022,7.714354933785719e-88,8.57673200971705e-86
Surf4,19.864246,1.5376636,8.298702794369894e-88,9.151996831694218e-86
Uhrf1,19.863312,1.7572426,8.454844025482954e-88,9.249599363878351e-86
Mprip,19.862686,1.3758249,8.560562753578949e-88,9.29092822660255e-86
Pclaf,19.854574,1.393225,1.0061072059335616e-87,1.0833477197749178e-85
Atp5md,19.837608,1.364416,1.410078157518e-87,1.5064702190670818e-85
Kcnq1,19.8247,1.3556263,1.8226766597953808e-87,1.9292422952764532e-85
Plekha6,19.824387,1.8044533,1.8340146134255133e-87,1.9292422952764532e-85
Ddx17,19.79814,1.4773837,3.0889709910770363e-87,3.2245555956472115e-85
