names,scores,logfoldchanges,pvals,pvals_adj
Ifi27l2b,41.898495,1.009585,0.0,0.0
Ifi27,40.796135,1.0114512,0.0,0.0
B2m,39.48741,0.64297926,0.0,0.0
Cldn7,37.67115,0.40002507,1.4743849927988e-310,3.432100193236915e-307
Ndufa3,35.121136,0.6599972,3.207671204595361e-270,6.844635738739068e-267
Cox6c,34.980503,0.4542145,4.4532809696061534e-268,8.771593269825781e-265
Cox7c,34.65521,0.46093044,3.728635280732608e-263,6.819673928459939e-260
Ndufa1,34.100975,0.56770295,7.134463738448322e-255,1.217900523244718e-251
Atp5mj,33.705364,0.5226909,4.823669379226061e-249,7.719679882778907e-246
Atp5mk,33.479874,0.56958437,9.462023395965384e-246,1.425203359276998e-242
Plac8,33.47709,0.62910473,1.0388136400094729e-245,1.4777701147823647e-242
Tomm7,33.417454,0.5808966,7.648316430462117e-245,1.0307515290442787e-241
Crip1,32.494213,0.605768,1.2870734987727651e-231,1.647840200478771e-228
Ndufb1,32.06198,0.6113877,1.4946826725555028e-225,1.8225164054026765e-222
Cox17,32.029865,0.57961345,4.1871751520145054e-225,4.8734912246583373e-222
Atp5f1e,30.956448,0.47351682,2.0805324323002106e-210,2.219754727561633e-207
Pfn1,30.89615,0.3850398,1.345450609089055e-209,1.3780643318533737e-206
Uqcr11,30.876595,0.4891985,2.463056814274573e-209,2.4257320302428737e-206
Lgals3bp,30.67607,0.6862014,1.1871723267904949e-206,1.125879059251756e-203
Cox7a1,30.591019,0.732174,1.6115222795411752e-205,1.473737124640405e-202
Msmo1,30.118067,0.68543,2.8106943112787815e-199,2.481746156365672e-196
Dbi,30.00883,0.40114546,7.52756109435392e-198,6.4250243127342156e-195
2200002D01Rik,29.991785,0.53478956,1.2559049823103463e-197,1.037377515388346e-194
Cycs,29.942345,0.39504743,5.535038876364075e-197,4.4290689208805775e-194
Atp5mf,29.921452,0.45475698,1.0351494596821843e-196,8.032132443824852e-194
Atp5me,29.889631,0.54698515,2.6837980603876006e-196,2.0212156804201442e-193
Cox6a1,29.24107,0.3780473,5.832170899327004e-188,4.266816229947636e-185
S100g,28.854792,1.0501043,4.411950767436387e-183,3.0533084148912466e-180
1810037I17Rik,28.282404,0.53468764,5.688926649886226e-176,3.8334383104470186e-173
Dynll1,27.959538,0.5043724,5.0476623057509647e-172,3.314113871822031e-169
Ndufc1,27.738995,0.46873477,2.3656481083586912e-169,1.514369636565816e-166
Cyp51,27.708818,0.5856,5.466897515253235e-169,3.414277506721325e-166
H2-T23,27.668386,0.58517313,1.6772006740602672e-168,1.0225333442854096e-165
Hmgcr,27.235668,0.60622835,2.4568300618243163e-163,1.4630137340249638e-160
Higd1a,26.876549,0.3876851,4.129638501802863e-159,2.403261897208275e-156
Tmsb10,26.404234,0.36073673,1.2250356499679406e-153,6.970725078462019e-151
Mgst3,26.264154,0.42591876,4.9262225622070685e-152,2.742192498432048e-149
Uqcrq,25.889559,0.39721644,8.730843595544466e-148,4.756637895904502e-145
Fdft1,25.78657,0.6191275,1.2544196427573762e-146,6.691806119259453e-144
Sgk1,25.70001,0.5142934,1.1685945223756151e-145,6.106741089785715e-143
Fam3b,25.636309,0.53330636,6.0094875915643955e-145,3.077578785391958e-142
Cox7a2,25.60131,0.38998386,1.4751280146439857e-144,7.406299596661549e-142
Lypd8,25.451187,0.49049324,6.849166592808371e-143,3.372687687989445e-140
Actn4,25.41342,0.46619388,1.792297870266675e-142,8.659165899254429e-140
Slc25a5,25.372225,0.30945757,5.109990222548746e-142,2.423081659973763e-139
Ccdc71l,25.36214,0.62601405,6.602197058571473e-142,3.0737428705778385e-139
Hk2,25.328514,0.61482716,1.5502293606606836e-141,7.088423751620976e-139
Slc39a4,25.322727,0.6198554,1.7953708995448712e-141,8.065310044516836e-139
Sem1,25.27817,0.40242392,5.552692779782928e-141,2.451418126191753e-138
Hmgcs1,25.079632,0.5150147,8.29724991009914e-139,3.601006460983027e-136
Uqcrb,25.050013,0.364409,1.7453001664222848e-138,7.44835934356817e-136
Gm38733,25.019552,0.61432534,3.746137840178432e-138,1.5725181235345726e-135
Actb,24.965343,0.31462348,1.4551451290899024e-137,6.009749383141296e-135
Fdps,24.81015,0.52879095,6.96659960967844e-136,2.8315357080226376e-133
Slc30a10,24.709286,0.62144685,8.4991456958106e-135,3.348140379798865e-132
Areg,24.707361,0.9294652,8.914006861881896e-135,3.4583645409901186e-132
Cox6b1,24.68314,0.3583492,1.6228294792531605e-134,6.202115171008422e-132
Romo1,24.560709,0.4811998,3.3234118432652692e-133,1.2514600538036837e-130
Cystm1,24.49862,0.36075926,1.528023391930911e-132,5.6705169527221605e-130
Ost4,24.447138,0.46264324,5.397735224327497e-132,1.9744915450589987e-129
Mboat1,24.383163,0.48342815,2.580421659154883e-131,9.30623619779154e-129
Sqle,24.274942,0.6148051,3.60646153027576e-130,1.2825979714477933e-127
Ubl5,24.248636,0.41528192,6.834920213972158e-130,2.397465301355768e-127
Dpm3,24.216578,0.514262,1.4883026539940874e-129,5.149929426780081e-127
Plscr1,23.983198,0.4419813,4.164204697460833e-127,1.4030082300418698e-124
Cdh17,23.929012,0.38213277,1.528498602256102e-126,5.082952624593474e-124
Gstp1,23.817526,0.47480658,2.1987292663810277e-125,7.126666024677543e-123
Ndufv3,23.794577,0.41400325,3.8006964678178744e-125,1.216507921936806e-122
Atp5if1,23.783123,0.36143434,4.99340204217676e-125,1.578531514715779e-122
Ndufa5,23.773685,0.4299171,6.25234542312516e-125,1.9524092305432056e-122
H2-D1,23.729338,0.39013827,1.7960092355527908e-124,5.540796685007802e-122
Cox5b,23.640232,0.32099754,1.4875938767213078e-123,4.53468200087212e-121
Rrbp1,23.631357,0.29793125,1.8354847747490272e-123,5.529343899085128e-121
Atp2b1,23.616415,0.35029075,2.614094365656848e-123,7.783313991512703e-121
Rps27,23.515451,0.44436318,2.8345706674524294e-122,8.342760518481253e-120
Rpl37,23.492834,0.37799236,4.828246548956821e-122,1.404910012870322e-119
Ppp4c,23.380672,0.46330333,6.72172453881471e-121,1.933893017313365e-118
Atp5mg,23.297745,0.36154526,4.6727926444966027e-120,1.3294614272775556e-117
Krt8,23.269804,0.25224903,8.966833246122875e-120,2.5231289241782674e-117
Mgat4c,23.175669,0.34877267,8.013165284919392e-119,2.230272937887456e-116
Tspan8,23.038137,0.28781974,1.9342952082526283e-117,5.325759473388903e-115
Rps29,22.655354,0.3964936,1.2354927358472587e-113,3.3655347866069054e-111
Cox8a,22.602457,0.2754953,4.099238301839692e-113,1.1048957469148122e-110
Metrnl,22.414831,0.5152524,2.821037776058952e-111,7.524530551433909e-109
Agpat2,22.333244,0.44795793,1.756975966038517e-110,4.638054287255904e-108
Zfp36,22.31595,0.59614587,2.5868334482539696e-110,6.759026252652158e-108
Bst2,22.269049,0.6987864,7.375014369531627e-110,1.9075213933962307e-107
Ldlr,22.163818,0.52501214,7.675940471992715e-109,1.9655013172584545e-106
Cops9,22.105583,0.42943746,2.792995315111689e-108,7.080934459282169e-106
Pet100,22.104792,0.54106414,2.8424412250331424e-108,7.135642157666535e-106
Tmem256,21.951283,0.42538652,8.419344122578443e-107,2.0930652971140158e-104
Epcam,21.949453,0.17126496,8.764753311634184e-107,2.1579833970933166e-104
Slc44a4,21.898266,0.3957468,2.698585832758773e-106,6.580951317487727e-104
Ndufs5,21.886486,0.47879156,3.4942766422061556e-106,8.44098563210668e-104
Tma7,21.86903,0.38154617,5.123471670635854e-106,1.2260898654046888e-103
Ms4a8a,21.803722,0.40421298,2.1389911070896673e-105,5.071389471123891e-103
S100a10,21.743103,0.3416657,8.02837898228301e-105,1.886006167159071e-102
Ldha,21.633495,0.3212671,8.694023570115839e-104,2.023810613967147e-101
Arpp19,21.51907,0.39739195,1.0321102110963439e-102,2.380920186066035e-100
Smim22,21.502222,0.41777498,1.4841173568881907e-102,3.393063307185626e-100
Ly6a,21.477993,0.7643548,2.5007966163988026e-102,5.666849394646703e-100
Cox7b,21.365429,0.30948743,2.8026854423292215e-101,6.2952248628317586e-99
Lgals9,21.337254,0.4504003,5.121629723442055e-101,1.1305556094694593e-98
Cyp2c65,21.243618,0.38765553,3.7765114843006814e-100,8.26507291170968e-98
Prr13,21.10418,0.3760216,7.280797562879272e-99,1.5682211046145657e-96
Calm1,21.104132,0.23323394,7.288069649657632e-99,1.5682211046145657e-96
Rps28,21.0763,0.42564207,1.312506332452998e-98,2.800669762399289e-96
Prkcd,21.01026,0.42259422,5.284457875404339e-98,1.1182961021289547e-95
Uqcr10,20.988342,0.34456506,8.381907964883371e-98,1.7592388143344557e-95
Naa20,20.985687,0.44835156,8.863243990740875e-98,1.8451400457472425e-95
Akr1c13,20.92966,0.34151852,2.8753785961488734e-97,5.9376568010474237e-95
Tm9sf1,20.847982,0.4953385,1.5898602675260165e-96,3.2567969608216943e-94
H2-K1,20.813662,0.33388415,3.255106542688914e-96,6.61509985175336e-94
Txn1,20.78498,0.2617372,5.918856008472403e-96,1.1933718657712154e-93
Muc17,20.735498,0.45552045,1.6572731780185734e-95,3.3153232028393427e-93
Ceacam1,20.551823,0.29355004,7.41265199152838e-94,1.471382689109114e-91
Slirp,20.508678,0.47132352,1.8011940176120423e-93,3.547798001151843e-91
Mrps21,20.382393,0.3796561,2.396450561933856e-92,4.684237640372391e-90
Insig1,20.375874,0.68867683,2.7379099314517653e-92,5.311130432178326e-90
Scd2,20.310444,0.42003143,1.0396047013840807e-91,2.00151263034893e-89
Junb,20.25788,0.4278693,3.0271932557916956e-91,5.784650037895683e-89
Timm8b,20.24358,0.3843606,4.046766731134403e-91,7.675667327216853e-89
Fgfbp1,20.236385,0.3654014,4.6828144828832494e-91,8.816775562405036e-89
Fa2h,20.195496,0.3853609,1.0724731708353935e-90,2.0045071541905902e-88
Eif2s2,20.15105,0.32038715,2.6346175936591975e-90,4.888552036466479e-88
Ptp4a1,20.078274,0.40939742,1.142962775036505e-89,2.1055183322003414e-87
Ndufa2,19.996126,0.35574794,5.952013076788964e-89,1.0886231917447015e-86
Ier3ip1,19.993055,0.36794758,6.329940522154793e-89,1.1495351561013875e-86
Rpl38,19.968058,0.38436422,1.0443713574141542e-88,1.8832516181652698e-86
H2-Q2,19.954626,0.38241214,1.3664337252542227e-88,2.4297848589485855e-86
Pin4,19.944267,0.4788561,1.6809463924919508e-88,2.968435401803372e-86
Tspan1,19.943241,0.29314268,1.715815379689784e-88,3.0092581241326442e-86
Sfn,19.899292,0.39418197,4.127158088125334e-88,7.189116326839272e-86
Ank3,19.87528,0.41548616,6.661240257731888e-88,1.1524845813478561e-85
Gda,19.867487,0.6104138,7.780098796964729e-88,1.3370282536582474e-85
Eno1,19.795403,0.37018287,3.2613032384324167e-87,5.567262048220031e-85
Sptssb,19.762985,0.54188275,6.2025146782085e-87,1.0517986149020322e-84
Serf2,19.746363,0.26172394,8.62091773111518e-87,1.4522843383087846e-84
Emp1,19.690811,0.48751682,2.5851470493701777e-86,4.326488584717174e-84
Myl12b,19.679766,0.29492545,3.214844789662995e-86,5.345410109357834e-84
Abhd11os,19.6718,0.3641773,3.761759776920394e-86,6.214427151472491e-84
Cox20,19.669563,0.43157616,3.931445590622821e-86,6.453115114967177e-84
Anxa2,19.523394,0.3321256,6.946772571773775e-85,1.1258168257774638e-82
ND3,19.49216,0.36037955,1.2795987494666937e-84,2.0607173320027775e-82
Fos,19.456856,0.47261822,2.5495650086403525e-84,4.080260100702804e-82
Micos10,19.435555,0.32430208,3.862163073148649e-84,6.142518487642504e-82
Polr2l,19.42843,0.51575553,4.437229462957496e-84,7.013561582005533e-82
Elob,19.411863,0.3273701,6.126541337058891e-84,9.624307820658281e-82
Shisa5,19.390738,0.36523417,9.240388558632695e-84,1.4427401794655413e-81
Bsg,19.234833,0.2684393,1.891494989901816e-82,2.917687994664211e-80
Tmem258,19.179193,0.40708527,5.523028553553095e-82,8.468423301932966e-80
Srsf9,19.122393,0.40862823,1.643929045823635e-81,2.505621854009524e-79
Capg,19.094017,0.71472895,2.8314028786594234e-81,4.28999420774871e-79
Cmc1,19.051601,0.37655896,6.37219988272863e-81,9.598032364538195e-79
Cs,19.005245,0.34065518,1.54323113166971e-80,2.31087581038214e-78
Tmbim6,19.000154,0.24334203,1.7004518604684856e-80,2.531498275532328e-78
Fam162a,18.913616,0.31680444,8.810206891142361e-80,1.3040124719918573e-77
Cmpk1,18.810726,0.2743331,6.168657132461792e-79,9.025979116218094e-77
Rps27l,18.780518,0.315196,1.090107608718841e-78,1.5770223406132567e-76
Tm2d1,18.728512,0.4063294,2.8990279758572405e-78,4.1703657499887925e-76
Ctss,18.71897,0.36000136,3.4680228379629933e-78,4.961016356920693e-76
Bpnt1,18.661472,0.36947846,1.0188377104811942e-77,1.4493532452545254e-75
Tob1,18.657225,0.34494787,1.103129090328393e-77,1.5605924578424768e-75
Car1,18.604527,0.30320486,2.9529030304377543e-77,4.154507417438964e-75
Mrpl52,18.603546,0.37708873,3.0073746954249258e-77,4.2080238497841884e-75
Prap1,18.596874,0.49278522,3.4059406182602416e-77,4.739810623433247e-75
Mall,18.559929,0.3627982,6.779377384015276e-77,9.383391205140278e-75
Eloc,18.475012,0.3539839,3.281565139293772e-76,4.517621341761092e-74
S100a13,18.47398,0.38324013,3.344934536630773e-76,4.580234959623935e-74
Anapc13,18.42072,0.38578263,8.960558243574017e-76,1.2204470977923207e-73
Sdhd,18.41641,0.32125476,9.702751014269218e-76,1.3145430818591407e-73
S100a6,18.38945,0.37301925,1.5959261347539372e-75,2.1508044529741744e-73
Sqor,18.37811,0.28273192,1.9670240175803882e-75,2.637048010165624e-73
Clca4a,18.296194,0.93024576,8.873478179419398e-75,1.1834077201156934e-72
Ndufb2,18.21849,0.33765742,3.6816641065642926e-74,4.884595394439652e-72
Mlx,18.211004,0.3275587,4.221264410191299e-74,5.571633839554557e-72
Card19,18.192432,0.3704545,5.9251899040085246e-74,7.780533983694476e-72
Clcn2,18.16707,0.40993062,9.408892501490167e-74,1.2229649816911535e-71
Oas1a,18.129446,0.6618299,1.866282087389768e-73,2.4135363196819395e-71
Ppp1r14d,18.110582,0.34170255,2.6295357057615385e-73,3.3835121247100478e-71
Krt20,18.105415,0.55562174,2.888254524731078e-73,3.6978322680132e-71
Skp1,18.081285,0.3189801,4.475321819205307e-73,5.7012482837100035e-71
Ciao2b,18.08068,0.34444347,4.524570440323972e-73,5.7354530046997836e-71
Nostrin,18.079224,0.3805099,4.645777996132151e-73,5.8600882447763485e-71
Rps21,18.046461,0.32065094,8.411014590086034e-73,1.0557472529105049e-70
Ndfip2,17.967024,0.323313,3.5315493598912815e-72,4.411163556554935e-70
Jup,17.939018,0.32562017,5.847889395269069e-72,7.26898329394465e-70
Lurap1l,17.908749,0.32787958,1.0077522607685927e-71,1.2465944149391588e-69
Serpinb1a,17.904657,0.30523363,1.084602044648688e-71,1.331170606710933e-69
Spint2,17.904558,0.22223772,1.0865213496937633e-71,1.331170606710933e-69
Pdcd10,17.87285,0.31850287,1.919333150565331e-71,2.3403068882559935e-69
Rpl39,17.854828,0.3224381,2.6509762913990617e-71,3.2171042141025765e-69
Atox1,17.850206,0.3328509,2.8797068959732687e-71,3.478196923504317e-69
Ndufab1,17.839022,0.29972464,3.5179722531010664e-71,4.229164202483846e-69
Cox16,17.827024,0.55334455,4.360113784036882e-71,5.217059511871421e-69
Smim15,17.819199,0.33723983,5.015057055272601e-71,5.972816323595824e-69
Eif1,17.814425,0.22813861,5.461657173007123e-71,6.474592295000945e-69
Tstd1,17.801455,0.31104514,6.885696647997251e-71,8.125122044636756e-69
Pmp22,17.79097,0.44852188,8.303030766377126e-71,9.75263329375471e-69
Rpa3,17.786488,0.63500565,8.99456686038277e-71,1.0468858137589146e-68
Tcf7l2,17.766226,0.31445113,1.2908750451069435e-70,1.4956627332582983e-68
Myl12a,17.763384,0.31580046,1.3579701315231237e-70,1.566314558008158e-68
Gm52922,17.75599,0.867861,1.5491692144272767e-70,1.778835287202908e-68
Atp5pf,17.74049,0.28529775,2.0414952821539995e-70,2.3233123642149028e-68
Gm15682,17.732985,0.40637365,2.3331531178746177e-70,2.6434831299246662e-68
Arpc4,17.71623,0.32534164,3.1427756712232336e-70,3.5451063364467892e-68
Tubb2a,17.680283,0.5995034,5.949654157729355e-70,6.681879138720082e-68
ND4L,17.666471,0.2446881,7.600441678777996e-70,8.498555005536653e-68
Asah1,17.64285,0.3288351,1.1548310391249884e-69,1.2856784168623674e-67
Tnfrsf21,17.590647,0.43994343,2.9054086110022777e-69,3.220601423953434e-67
Clec2d,17.588148,0.35214555,3.0364213514273957e-69,3.351319186407323e-67
Tinagl1,17.58637,0.5214156,3.1331496250639154e-69,3.4432373089865506e-67
Ugp2,17.582767,0.30395252,3.3387748211971783e-69,3.6535328235715794e-67
Arl4a,17.573011,0.33121142,3.965543957962911e-69,4.3209241952169485e-67
Sptlc2,17.57235,0.31128103,4.012056186911316e-69,4.353080962798778e-67
Perp,17.562815,0.31185824,4.746259953414442e-69,5.1279633910181514e-67
Arpc2,17.560751,0.28612605,4.921964681198252e-69,5.295454942300943e-67
