names,scores,logfoldchanges,pvals,pvals_adj
Rpl37,17.428938,0.34377673,4.976088447249115e-68,1.8202531540037264e-64
Atp5mk,16.215652,0.45810255,3.908993663501259e-59,1.2511711468451655e-55
Rps29,15.985096,0.3720122,1.6231755027854825e-57,4.457577731013225e-54
Tomm7,15.980734,0.44293562,1.7408332933739064e-57,4.457577731013225e-54
Atp5mj,15.774925,0.4041152,4.629449672310601e-56,1.0776517119016841e-52
Rps27,15.648591,0.3879698,3.396575218116728e-55,7.247725419591411e-52
Cox6c,15.540633,0.27954322,1.841543088100477e-54,3.398852500172196e-51
Uqcr11,15.540052,0.3761724,1.858311919175613e-54,3.398852500172196e-51
Scd2,15.226471,0.6396731,2.3599176518142128e-52,4.0285367594903155e-49
Ndufb1,15.189034,0.5258926,4.18034351605321e-52,6.6901172545036555e-49
Pfn1,14.943244,0.26470947,1.7237610305703415e-50,2.5963897028696566e-47
Cox7c,14.787301,0.27795625,1.7690639448412253e-49,2.516591742866912e-46
Rpl38,14.531728,0.35750794,7.627245659084875e-48,1.0279118544554069e-44
Rps21,14.482295,0.28972745,1.567748458059355e-47,2.0071883508533924e-44
Rpl36,14.407504,0.28744352,4.641814994802542e-47,5.659919750329233e-44
Rps26,14.392383,0.19771571,5.777111949820808e-47,6.724033117595982e-44
Gm15501,14.325098,0.46578908,1.5251292562466013e-46,1.6979330319761074e-43
Rpa3,13.987772,0.8099768,1.8511977999221345e-44,1.9750737860335906e-41
Cycs,13.829405,0.25397936,1.694165958206515e-43,1.7352325410334407e-40
ND4L,13.793112,0.34600493,2.803996952756778e-43,2.761505614318848e-40
Atp5f1e,13.727164,0.33755475,6.981290841356334e-43,6.620849380880381e-40
B2m,13.581282,0.34599978,5.1713619780720023e-42,4.7292105289468466e-39
Rps28,13.443827,0.34765768,3.34672149423621e-41,2.8565383527137464e-38
Rpl39,13.326436,0.27329564,1.6247537347776542e-40,1.3001076291473942e-37
Higd1a,13.214403,0.2665516,7.245864165396815e-40,5.622351449065177e-37
Cldn7,13.089415,0.19429983,3.785118595793906e-39,2.8506396107029048e-36
Hspa5,12.833464,0.42116016,1.064951025947641e-37,7.574759991782026e-35
Atp5me,12.739217,0.4370115,3.5796836822420713e-37,2.4773346045267697e-34
Ndufa3,12.706538,0.4839153,5.4389068203969375e-37,3.6649644221864204e-34
Cox17,12.644261,0.495769,1.2035056250937213e-36,7.704241259037457e-34
Sec61g,12.421006,0.34851086,2.0101648100178944e-35,1.2554214664711756e-32
Uqcrb,12.30026,0.24884093,9.028330780695108e-35,5.504272332630451e-32
Snrpf,12.240739,0.4474153,1.8830940292496594e-34,1.1213605979759716e-31
Sdhd,12.201256,0.3317469,3.0606699307588637e-34,1.7811707783411697e-31
Manf,12.02831,0.46898952,2.522719298582589e-33,1.4042771817283865e-30
Fdps,11.896111,0.5671642,1.2399196789235012e-32,6.755187935854292e-30
Dmbt1,11.697088,0.16018586,1.3190153149146853e-31,7.036397115355298e-29
Ndufa5,11.548725,0.39863315,7.492320167693926e-31,3.9152724533463402e-28
Atp5mf,11.46891,0.28500655,1.890250544941369e-30,9.680351090753737e-28
Dbi,11.42596,0.2122454,3.1021036624164037e-30,1.5574993407810674e-27
Ndufa1,11.396858,0.38309017,4.3348001021016806e-30,2.1345556041233777e-27
Sem1,11.363774,0.29146752,6.33474454080937e-30,3.0605182775842396e-27
Cox20,11.278906,0.45423424,1.6680797119830613e-29,7.909786871303383e-27
Msmo1,11.121875,0.6660723,9.818645372785235e-29,4.571204243918886e-26
Fgfbp1,11.099219,0.4322706,1.2654416533426735e-28,5.786231959909375e-26
Rps17,11.078906,0.20137125,1.5880103088158494e-28,7.133788064480463e-26
Ost4,10.986993,0.415037,4.413882911516271e-28,1.8836980972047602e-25
Ndufc1,10.965813,0.3057168,5.579707993574133e-28,2.342196768581299e-25
Uqcrq,10.863499,0.22579692,1.7203014122863028e-27,7.10484483274243e-25
Rpl37a,10.779717,0.2738099,4.292003199266238e-27,1.7172036550064263e-24
Crip1,10.689068,0.32822788,1.1451605712107552e-26,4.511227936372708e-24
Cyp51,10.6790905,0.6012927,1.2751417482450925e-26,4.947163576600582e-24
Srsf9,10.639128,0.5125534,1.9595481810896486e-26,7.488983690295752e-24
Romo1,10.552231,0.43265703,4.960510383149389e-26,1.8679239539841656e-23
Polr2l,10.516039,0.560567,7.287304414244806e-26,2.704329229436993e-23
Slc35c1,10.385869,0.5512332,2.875397035140122e-25,1.0518202354542566e-22
Gm15682,10.380373,0.41954648,3.0458264135626963e-25,1.0984708612068508e-22
Pdia4,10.333034,0.44494525,4.995538180201466e-25,1.7766076478088715e-22
Ndufab1,10.188128,0.22739929,2.240365053879449e-24,7.771406065722101e-22
Dnajb11,9.988838,0.41708574,1.7056889686220385e-23,5.7468252277020946e-21
Slc25a5,9.987262,0.15390436,1.7330324493618357e-23,5.763120636150542e-21
