names,scores,logfoldchanges,pvals,pvals_adj
Rps21,15.254606,0.723442,1.534184978375812e-52,3.928434055629104e-48
Rps29,15.014652,0.68102336,5.8869660576209e-51,7.537082643572039e-47
Rpl39,14.841547,0.6673505,7.891472360072183e-50,6.7356347084002775e-46
Txn1,14.459851,0.4500643,2.1726545526533595e-47,1.390824811881048e-43
Crip1,14.021556,0.75343156,1.15064752103446e-44,5.892696084721677e-41
Atp5f1e,13.704929,0.65422744,9.485905021277149e-43,4.048268066247045e-39
Cox6c,13.68085,0.59789443,1.3213944018654265e-42,4.833660722023731e-39
Cox7c,13.516355,0.59749657,1.2522928210063345e-41,4.008276246836025e-38
Rpl36,13.167547,0.60918856,1.3491034325982555e-39,3.454514249511093e-36
Ifi27l2b,12.849453,1.0650994,8.66203276154019e-38,2.016363735381801e-34
Rps28,12.758722,0.7285,2.7873455806002606e-37,5.947730911404189e-34
Rpl38,12.638464,0.63764197,1.295610076868877e-36,2.5519532021772667e-33
Rpl37,12.527831,0.54686195,5.2581192879450264e-36,9.617100177651453e-33
Rps27,12.340949,0.6847716,5.4509295794562e-35,9.30510018743703e-32
Uqcr11,12.07796,0.64407945,1.3810298552450721e-33,2.2101656545878322e-30
Rpl41,11.936698,0.5031397,7.618779820092896e-33,1.1475675063135218e-29
Cox8a,11.931278,0.39499214,8.13152074212328e-33,1.1567540006822707e-29
Rps26,11.653045,0.4640432,2.2140333070271375e-31,2.983817729459836e-28
Fos,11.588511,1.3071727,4.712496754920111e-31,6.033409595324218e-28
Tomm7,11.5669155,0.70514655,6.0622830522994735e-31,7.282287698742667e-28
Cldn7,11.564206,0.39510447,6.256749565427583e-31,7.282287698742667e-28
Rpl34,11.406147,0.4850786,3.896075244803358e-30,4.337517509497165e-27
Rpl37a,11.376732,0.5546868,5.460815851809051e-30,5.826235445892607e-27
Atp5mj,11.130426,0.6239265,8.920777271191402e-29,9.137016912245081e-26
Cox6b1,10.797315,0.48804218,3.544183680453018e-27,3.361198789691851e-24
Rplp1,10.700175,0.37940374,1.0158547697988683e-26,8.969647322575801e-24
Atp5mk,10.5651245,0.65706515,4.3239606586039845e-26,3.6906445541404537e-23
Rpl35,10.464146,0.48816076,1.2620932158368893e-25,1.0424889962812706e-22
Rps17,10.324747,0.4803225,5.446206418246079e-25,4.2259261074426996e-22
Uqcrb,10.084709,0.47238466,6.455615445768891e-24,4.861837914834065e-21
Cox7b,10.040134,0.4913818,1.015359752988291e-23,7.428371952862337e-21
Rplp2,9.888709,0.41831535,4.65996682568586e-23,3.224948933473301e-20
Ndufc1,9.823696,0.5634679,8.901851814392477e-23,5.998442567350889e-20
Ndufa1,9.820901,0.5721843,9.152152844053569e-23,6.00897501858553e-20
Atp5me,9.713459,0.6627624,2.6421616403883475e-22,1.6913797740946006e-19
Uqcr10,9.6427145,0.45781183,5.277353372227616e-22,3.2959002548600085e-19
Ndufb1,9.545802,0.67213356,1.350588738284509e-21,8.042598891282125e-19
Ndufa3,9.535441,0.69661146,1.4924931909619885e-21,8.655899845084722e-19
Rps27l,9.533465,0.4727512,1.5211883661204894e-21,8.655899845084722e-19
B2m,9.526351,0.5267581,1.629083673348374e-21,9.068329682556189e-19
Cox7a2,9.513366,0.4274652,1.845915570153666e-21,9.941192658370856e-19
Pfn1,9.406431,0.3487832,5.132690968682136e-21,2.6821976519198935e-18
Scd2,9.302235,0.5643255,1.375241590576219e-20,7.042887233658933e-18
Rpl36a,9.276574,0.46655384,1.750157465325102e-20,8.787163148453836e-18
Rpl24,9.150414,0.37588257,5.671534260244279e-20,2.792794351304135e-17
Fau,9.13263,0.3371137,6.685501424273864e-20,3.2299801786784256e-17
Atp5mg,9.117357,0.43230355,7.697817701064906e-20,3.650191112101259e-17
Rpl23,9.071427,0.2948571,1.174675053310143e-19,5.4688598936471853e-17
Jun,9.056099,0.91465586,1.3519939023178485e-19,6.181992118348363e-17
Dbi,8.9946995,0.36949387,2.368801585785064e-19,1.0603975100525355e-16
Mrpl52,8.993175,0.5841455,2.4019001633619876e-19,1.0603975100525355e-16
Plac8,8.988687,0.57240826,2.5020337623461428e-19,1.085882652858226e-16
Rpl31,8.937703,0.43178496,3.9734293650327057e-19,1.6957272053504576e-16
Uba52,8.908006,0.29267663,5.195890054578856e-19,2.181081323566331e-16
Rpl27a,8.755084,0.40237,2.0395084407202475e-18,8.423169860174621e-16
Rps24,8.741703,0.32462737,2.2962158043350788e-18,9.332841569175243e-16
Phgr1,8.727927,0.44108373,2.593823160875209e-18,1.0377724352714155e-15
Rps15,8.701053,0.3675487,3.2882009714306588e-18,1.275722334461416e-15
Sem1,8.698371,0.4544521,3.3668324797893528e-18,1.2867330220520323e-15
Rpl22,8.684876,0.40133074,3.791530612715647e-18,1.4108913985314947e-15
Rpl27,8.6845665,0.35503685,3.8019021517875944e-18,1.4108913985314947e-15
Bst2,8.612834,0.76809067,7.127607780486466e-18,2.6072789261019494e-15
Sec61g,8.57735,0.4212322,9.7084356727795e-18,3.5013268146083363e-15
Ccn3,8.574272,0.77967256,9.971519922220984e-18,3.5462602656720907e-15
Slc25a5,8.568033,0.31062534,1.0526711166526835e-17,3.692424193562824e-15
Rpl30,8.563432,0.38367403,1.0955638924152372e-17,3.790947166106022e-15
Spink4,8.557194,0.43679842,1.1564851363720609e-17,3.948394453592399e-15
Rpl35a,8.550531,0.36060873,1.2252343236569105e-17,4.12807238046827e-15
Atp5mf,8.529359,0.46226975,1.4716120466809967e-17,4.8937789697809876e-15
Ndufa5,8.502541,0.57897836,1.8548610356571688e-17,6.089175856286855e-15
Serf2,8.472927,0.31155112,2.3930194577841866e-17,7.756412181774922e-15
Tfrc,8.444218,0.71262217,3.060886488935637e-17,9.797132429460741e-15
Cox5b,8.37257,0.3702223,5.637488234951018e-17,1.773534533233028e-14
Hoxb13,8.3716955,0.6401289,5.679521663872073e-17,1.773534533233028e-14
1810037I17Rik,8.337875,0.4582976,7.563694022431096e-17,2.333445170341815e-14
Ndufa4,8.298269,0.4286656,1.0563892617591413e-16,3.2202265995957826e-14
Rps12,8.292144,0.29791442,1.1122561687899155e-16,3.3506389950628914e-14
Ubl5,8.286582,0.4464302,1.1654911851956582e-16,3.4701822428046536e-14
S100a11,8.23622,0.5395061,1.7773662216065908e-16,5.231176950627398e-14
Rpl26,8.222839,0.32777014,1.987410596719232e-16,5.782913152226438e-14
B3gnt7,8.189556,0.6590066,2.6219088197143624e-16,7.54343789186584e-14
Uqcrh,8.142667,0.3205953,3.866659158184764e-16,1.1001074933831007e-13
Mrps21,8.117345,0.53624576,4.764949491517091e-16,1.3407834799976555e-13
Tmsb10,8.047588,0.3427021,8.444126896982223e-16,2.350220797001378e-13
Gm15682,8.029663,0.59722114,9.774107738813397e-16,2.691137664086622e-13
Uqcrq,8.020149,0.38679096,1.056168268410414e-15,2.877047306480538e-13
Sec62,8.009987,0.48330536,1.1472110011727133e-15,3.092156304845105e-13
Romo1,7.971001,0.5336295,1.5739417864910301e-15,4.1981618109259707e-13
Golm1,7.9487276,0.43726328,1.884367069362175e-15,4.92358195694774e-13
Rps15a,7.9364195,0.36320478,2.0810130431571725e-15,5.382466664957834e-13
Ost4,7.918691,0.42880854,2.4002366337948587e-15,6.146045924495115e-13
Atox1,7.895938,0.5305554,2.881400292468193e-15,7.305062959301043e-13
Wfdc2,7.894047,0.78616774,2.9254297633717386e-15,7.343975933421249e-13
Rpl22l1,7.8362603,0.3638071,4.64163886693129e-15,1.1539204352101224e-12
Cops9,7.726079,0.5584036,1.1090972563872039e-14,2.7307254179856484e-12
Atp5if1,7.687235,0.4741608,1.5034898673317365e-14,3.666510623132994e-12
Sdhd,7.652258,0.42600802,1.9748034071271473e-14,4.770454343669597e-12
Rps23,7.6140065,0.31286615,2.6572700571536353e-14,6.359070755465046e-12
Atp5pf,7.5693755,0.37572944,3.7502310041141367e-14,8.80994633865565e-12
Tmem256,7.5661855,0.5551576,3.8434345214525284e-14,8.946816759664857e-12
Rps25,7.5641246,0.32313314,3.904852830188603e-14,9.007897438721566e-12
