names,scores,logfoldchanges,pvals,pvals_adj
Rpl37,23.750467,0.45764583,1.0866023144210297e-124,9.274512954354963e-121
Rps27,20.734858,0.51379806,1.6795285412552464e-95,1.0751501956845459e-91
Rps21,20.59251,0.4153999,3.203349324282605e-94,1.6404992559516078e-90
Atp5mk,19.947374,0.55706286,1.5797144198978773e-88,6.741694572650841e-85
Rpl36,19.498755,0.3940908,1.1248882350279456e-84,4.114841163732225e-81
Rps28,19.396727,0.51944757,8.224514553682124e-84,2.6324614957698058e-80
Rpl39,18.746853,0.36643288,2.0539104226470137e-78,5.843603364699937e-75
Tomm7,18.730782,0.5049408,2.7781041681041696e-78,7.113613532847537e-75
Atp5f1e,18.591057,0.40588766,3.796187893030776e-77,8.836835198995095e-74
Rpl38,18.056894,0.43030125,6.963208381154836e-73,1.4858326150654228e-69
ND4L,17.888779,0.39780143,1.442367622284153e-71,2.8410204104775405e-68
Ndufb1,17.568403,0.58472925,4.3010730671664344e-69,7.342218463857581e-66
Rps29,17.503927,0.41731122,1.337223400939548e-68,2.140058900278629e-65
Cox6c,17.426262,0.3211189,5.214479122556067e-68,7.85423249483357e-65
Rps26,17.327358,0.2860418,2.924525293783005e-67,4.160299704033757e-64
Atp5mj,17.239622,0.43357885,1.339113337169913e-66,1.8047019006090944e-63
Uqcr11,16.146233,0.39404258,1.2071323405059052e-58,1.5454915355497104e-55
Ndufa3,16.071665,0.5604899,4.031089051093599e-58,4.915241249633462e-55
Hsd11b2,15.456703,0.43838194,6.799055174483829e-54,7.913482127174224e-51
Ndufa1,15.409141,0.44109365,1.4208876424578574e-53,1.581880390120691e-50
Rpl37a,14.988108,0.36744717,8.781965232285012e-51,9.369625072412084e-48
Atp5me,14.940545,0.4927489,1.7949997952154546e-50,1.838510590251477e-47
Gm15501,14.826376,0.4234179,9.893168455686671e-50,9.743248902935111e-47
Cox7c,14.780166,0.29402813,1.9668196060160387e-49,1.8652734382091366e-46
Gm15682,14.101802,0.50590533,3.7019650407632524e-45,3.385447029777994e-42
Snrpf,14.0212,0.4087751,1.1564283014778635e-44,1.0210863133669716e-41
Rps17,13.837827,0.2627783,1.5069399384590883e-43,1.2862234688061137e-40
Sgk1,13.756517,0.919327,4.654106440621445e-43,3.844291919953313e-40
Rpa3,13.707871,0.64262927,9.10905849384038e-43,7.288954743539898e-40
Ndufc1,13.604295,0.36237362,3.775933955074195e-42,2.92989590465545e-39
Rpl34,13.586047,0.23398557,4.8455336774623567e-42,3.6492569219147386e-39
Crip1,13.223035,0.36803183,6.46040292591184e-40,4.7264307805971024e-37
B2m,12.942226,0.33079472,2.599837955900257e-38,1.849206963855055e-35
Mrpl52,12.887439,0.41798237,5.297424971922843e-38,3.6661044278663865e-35
Cox17,12.655124,0.45486248,1.0480978171546851e-36,7.062524396332333e-34
Uqcr10,12.501424,0.2879857,7.33260854494907e-36,4.8143275487683555e-33
ND3,12.370797,0.44107163,3.760694149090602e-35,2.3486910824783894e-32
C2cd4b,12.321632,0.67690444,6.927771784365774e-35,4.223631531201667e-32
Atp5mf,12.313027,0.3061741,7.707648697889258e-35,4.5898151757709846e-32
Romo1,11.8808565,0.41677138,1.488346775405889e-32,8.469023895787376e-30
Cldn7,11.854308,0.19976737,2.0440472196989954e-32,1.1378233284263582e-29
Rpl35a,11.83949,0.20163165,2.4393177986424615e-32,1.3289610968518908e-29
ATP8,11.624206,0.37722436,3.1046758526336303e-31,1.656215205886182e-28
Rpl41,11.609969,0.24216202,3.667476235736139e-31,1.9165182957603994e-28
Polr2l,11.524255,0.5033466,9.956991277407046e-31,5.099174372985696e-28
Uqcrq,11.431879,0.2635671,2.897701445655843e-30,1.4548733964208535e-27
Rpl23,11.3774395,0.14920327,5.4166492506773225e-30,2.667283090631606e-27
Cops9,11.294922,0.41332573,1.3902729216221515e-29,6.716854420954115e-27
