names,scores,logfoldchanges,pvals,pvals_adj
mt-Rnr2,32.842392,0.52064055,1.4627708192668855e-236,6.242618266357979e-233
ND1,31.3172,0.6726454,2.7218985914673205e-215,8.712116916639026e-212
COX2,31.268333,0.7247049,1.257920532096928e-214,3.578923682763771e-211
ATP6,28.568714,0.6273746,1.64489858127251e-179,3.829024824733081e-176
CYTB,27.674387,0.66409737,1.4203076261757737e-168,2.797569005835143e-165
ND4L,27.654394,0.8206579,2.471083794938307e-168,4.519612260942163e-165
mt-Rnr1,26.346367,0.51608884,5.648720597385554e-153,9.040071226040906e-150
ND2,24.449907,0.68650764,5.0439036585945464e-132,7.597305710704233e-129
COX3,23.111,0.6033279,3.589180690333841e-118,4.837082145088859e-115
ND4,20.061077,0.55031145,1.6154786067294677e-89,1.65463780815659e-86
ATP8,19.380554,0.7115803,1.1262898470842994e-83,1.0299920651585919e-80
COX1,17.999382,0.5638103,1.9700519271589663e-72,1.4412899899095e-69
ND3,13.47946,0.59390604,2.0661293498655633e-41,6.961224754297054e-39
ND5,9.618949,0.47475663,6.65070822805668e-22,1.1826252422751344e-19
ND6,9.387143,0.664089,6.1649490251445965e-21,1.0594609713949836e-18
Reg3b,4.104629,0.7436755,4.049643089430609e-05,0.0020452694467053287
S100g,1.5825938,0.4691655,0.11351408788151421,1.0
Gstp1,1.1569008,0.2974258,0.24731289603435913,1.0
Plac8,0.96740794,0.02928455,0.33334014741320606,1.0
Aqp8,0.9319293,0.22233295,0.35137308453013116,1.0
B2m,0.91415024,0.022350548,0.3606379228662775,1.0
Rpa3,0.6368288,0.19749811,0.5242363790243836,1.0
Saa1,0.61177015,0.31818187,0.5406898357946246,1.0
Fgfbp1,0.5853612,0.01801056,0.5583048984076255,1.0
H2ac23,0.55907696,0.5747607,0.5761091793368576,1.0
Areg,0.476962,0.42244348,0.6333891836509531,1.0
Insl5,0.47181013,3.3277175,0.637062320851446,1.0
Aadac,0.45113173,0.093545265,0.6518946083928447,1.0
Defa30,0.40876782,23.153006,0.682710050531405,1.0
Krt20,0.3713175,-0.051218472,0.7104010702592365,1.0
Defa42,0.35037243,23.008507,0.7260592176857008,1.0
Sdhd,0.31799453,-0.035457734,0.7504890915632625,1.0
Cyp2c65,0.311549,0.07928356,0.7553832878565405,1.0
Msmo1,0.29431465,0.06613932,0.7685174767025075,1.0
Defa24,0.28946918,1.3339418,0.7722223665250807,1.0
Washc3,0.27736115,0.15216914,0.7815028106480832,1.0
Mis18a,0.2758349,0.36476168,0.7826748927315381,1.0
Pyy,0.27542636,0.71211636,0.7829886937038024,1.0
Mia,0.25860903,1.2019923,0.795936915738153,1.0
Dnaaf2,0.25856647,0.26599413,0.795969752482836,1.0
Rhoc,0.24126118,-0.07286647,0.8093526873152712,1.0
Reg3g,0.2318596,0.0081705805,0.8166470644567037,1.0
Ly6m,0.23149931,1.5679288,0.8169269221292172,1.0
Sumo2,0.23015743,0.06626321,0.8179694317821963,1.0
Lyz1,0.22690348,2.6072154,0.8204987963174468,1.0
Dynlt1f,0.22627652,0.0064206384,0.8209863609870094,1.0
Trappc2b,0.22523536,0.06966308,0.8217961799317957,1.0
Nrtn,0.22473039,1.2600813,0.8221890216027086,1.0
Tm2d1,0.22068208,-0.014543809,0.8253399792447103,1.0
Art2a,0.21463658,0.81602126,0.8300506667935705,1.0
Snhg6,0.21332592,0.18877244,0.8310727545136907,1.0
Pld3,0.20629033,0.7824033,0.8365641292306725,1.0
Defa22,0.20438391,22.221457,0.8380534989363737,1.0
Fam118b,0.19205177,0.40072912,0.8477016516886698,1.0
Gm30311,0.18901342,0.26101705,0.8500823000010198,1.0
Dsn1,0.18242039,0.935894,0.8552528262434769,1.0
Dgat2,0.17887706,0.27930292,0.8580342348964565,1.0
Plk1,0.1768061,0.16013917,0.8596606967817092,1.0
Tyw5,0.1722131,0.6476646,0.8632699929508848,1.0
Rrm2,0.17155494,0.04202818,0.8637874347535389,1.0
Akip1,0.17087692,0.22682475,0.8643205501217724,1.0
Sgk1,0.16446544,-0.06401625,0.8693647452430076,1.0
Ttr,0.15997742,-0.012292068,0.8728988602634327,1.0
Ppy,0.1572568,3.1429303,0.8750424622083665,1.0
Plscr1,0.15677737,-0.0973721,0.8754203144742786,1.0
Gpn2,0.15553479,0.30756375,0.8763997322147912,1.0
Gm52922,0.15432058,0.6296545,0.8773569717011163,1.0
Cenps,0.15238579,0.45524633,0.8788826626545885,1.0
Tmx2,0.14961128,0.03601327,0.8810713140745027,1.0
Slco2b1,0.14858714,1.0211071,0.8818794210085144,1.0
Yaf2,0.14685377,0.15779476,0.8832474385691684,1.0
Tpm2,0.14618993,0.47050112,0.8837714526393602,1.0
Mrm3,0.14453033,0.5355987,0.8850817098174336,1.0
H2-Q10,0.14384946,1.036988,0.8856193423524044,1.0
Tmem128,0.14321399,-0.070795685,0.8861211802336726,1.0
Apoo,0.14223808,-0.007205546,0.8868919486976138,1.0
3110009E18Rik,0.13867207,0.790469,0.8897092948497207,1.0
Rpap3,0.13745786,0.4472449,0.8906689019533376,1.0
Idi1,0.13551456,0.35619497,0.8922050544743633,1.0
Nostrin,0.13420106,0.08620806,0.8932435885281791,1.0
Gm4285,0.13407339,0.9891304,0.8933445357532308,1.0
Gstm3,0.13340105,-0.034211136,0.8938762196136893,1.0
Apoa2,0.13269465,1.4491953,0.8944348755450542,1.0
Fmo4,0.13264358,1.2990003,0.8944752623441108,1.0
Coq10b,0.13043645,0.19905718,0.8962211295923767,1.0
Adamtsl5,0.1292875,1.1393467,0.8971301674238328,1.0
Yrdc,0.12689312,0.01852828,0.8990249899531537,1.0
Gm11496,0.12607326,1.1253059,0.8996739423900635,1.0
Nup37,0.12509735,0.14495246,0.9004464852966969,1.0
Pole2,0.12477961,0.41808558,0.9006980312829086,1.0
Gm15421,0.12194268,0.4866009,0.9029444167129627,1.0
Chchd5,0.11832842,0.1237306,0.9058074352772609,1.0
Phf11d,0.11809012,1.2880462,0.9059962491718333,1.0
Thnsl2,0.11727876,0.52041334,0.90663915530743,1.0
Ctu2,0.11598512,0.06826113,0.9076643348101923,1.0
Lpcat4,0.115880154,0.4705317,0.9077475250049137,1.0
Fabp6,0.11422338,0.23081313,0.9090607144920524,1.0
Mrps6,0.11082758,0.023449944,0.9117530760877515,1.0
Hmox1,0.110194944,2.594226,0.9122547734885074,1.0
Gstm4,0.1093467,0.16527592,0.9129275078153136,1.0
Radx,0.10800199,0.67488754,0.913994110649459,1.0
Trpv6,0.10751404,0.55051786,0.9143811863709779,1.0
Psmg1,0.10616083,-0.04601332,0.9154547523336443,1.0
Pcgf1,0.105894156,0.39759386,0.9156663328525341,1.0
H3c2,0.10344588,1.0392158,0.9176090994215717,1.0
Clca4a,0.10290119,-0.10834696,0.9180413929128163,1.0
Rtp4,0.10252388,0.31881848,0.9183408604300105,1.0
Defa21,0.102191955,21.110205,0.9186043113591531,1.0
Pkib,0.10039334,0.22583777,0.9200320548313659,1.0
Gspt2,0.1001522,1.092789,0.9202234912439836,1.0
Egln3,0.09936921,0.43706608,0.9208451283589371,1.0
Trmt12,0.09915077,0.26027238,0.9210185647503625,1.0
Slc25a45,0.09887842,3.2236078,0.9212348023947539,1.0
