names,scores,logfoldchanges,pvals,pvals_adj
Sgk1,33.537952,2.2483578,1.3491904872258846e-246,1.1515790538635335e-242
Hsd11b2,33.304672,0.38675743,3.304345640630837e-243,2.1152768618498304e-239
B2m,32.77862,0.63678896,1.1876691912648788e-235,6.0822914623056976e-232
Rpl37,31.569967,0.36972886,9.542166712023471e-219,3.4905245832581857e-215
Rps27,30.55196,0.47202498,5.325748799688717e-205,1.7046390470603662e-201
Atp5f1e,27.686218,0.38337916,1.0232124543546508e-168,2.9111531229116875e-165
Atp5mk,26.873175,0.49385288,4.522174735046199e-159,1.1579480626559298e-155
Ifi27l2b,26.409367,0.96743184,1.06954463976556e-153,2.4897054587124483e-150
Rps21,25.889862,0.33204928,8.662304685112299e-148,1.848391448058213e-144
Rpl39,24.609425,0.312712,1.001379308811949e-133,1.9724091216491356e-130
Rpl38,24.566662,0.3708529,2.8707205975821888e-133,5.250547972977824e-130
Atp5mj,24.431524,0.38520533,7.910598065133655e-132,1.350391827038749e-128
Rps29,24.061651,0.3536002,6.304209413379229e-128,1.0089099139936783e-124
Tomm7,23.675894,0.45540112,6.388945256093845e-124,9.623254836914058e-121
Cox7c,23.612194,0.30521825,2.8886132601062112e-123,4.1092128410155364e-120
Crip1,23.419388,0.42814717,2.712228444563037e-121,3.6552274500779537e-118
Rps28,23.314327,0.42102247,3.1727773325912554e-120,4.062106818916584e-117
Rpl36,22.460255,0.29739937,1.0160582305982859e-111,1.2389136691761766e-108
Cldn7,22.329918,0.23696306,1.8927304616943745e-110,2.2029661910066433e-107
Ndufb1,22.302525,0.51437545,3.492384282378714e-110,3.888086605851711e-107
Hk2,21.702736,0.6139638,1.9330892654522412e-104,2.0624451554654205e-101
Ifi27,21.580149,0.7235645,2.759793715833671e-103,2.826691115505479e-100
Cox6c,21.4617,0.23121262,3.5507174189664627e-102,3.4969103934636634e-99
Ndufc1,21.160616,0.37200823,2.2032558587113326e-99,2.089502574746755e-96
Rpl37a,21.000122,0.3288598,6.541620749747956e-98,5.982312175644506e-95
Uqcr11,20.994976,0.3199947,7.289887216308338e-98,6.436719036579012e-95
ND4L,20.97596,0.35718665,1.0874842398159738e-97,9.282040481575942e-95
Ffar4,20.803434,0.59964263,4.028977295425967e-96,3.3279352460218484e-93
Ndufa3,19.97861,0.5125242,8.454593687600945e-89,6.76526018639718e-86
Pim3,19.868338,0.6066111,7.649364289435089e-88,5.935443090765906e-85
Cycs,19.742928,0.21306662,9.22736906505656e-87,6.924425804424677e-84
Atp5me,19.741644,0.45631507,9.464770098994911e-87,6.924425804424677e-84
Plac8,19.729738,0.30764028,1.1978809852031778e-86,8.520261251975715e-84
Ndufa1,19.684072,0.35926235,2.9529743897633717e-86,2.0436178979535376e-83
Uqcr10,19.063639,0.2586554,5.062870981829984e-81,3.4115756410720676e-78
ATP8,18.789806,0.46936202,9.151275857046054e-79,6.00839922039798e-76
Cox17,18.566425,0.47022322,6.007178991926856e-77,3.75170305529949e-74
C2cd4b,18.53312,0.7024824,1.1162580473491675e-76,6.8054532286720914e-74
