names,scores,logfoldchanges,pvals,pvals_adj
Hsd11b2,16.564856,0.6745105,1.250810163232482e-61,6.405649007946187e-58
Ifi27l2b,15.011161,1.0438102,6.205225319327375e-51,2.648183325444946e-47
Hk2,14.965259,0.73807037,1.2384141832919414e-50,4.530119082481922e-47
ATP8,13.666401,0.5444621,1.6117178014633006e-42,5.158705753033659e-39
H2-K1,13.588922,0.45383018,4.6589507634626663e-42,1.3255232583247227e-38
ND4L,13.139397,0.4070144,1.957803086613114e-39,5.01315058358154e-36
Pdia3,12.0828495,0.311913,1.3013065476266156e-33,2.5631734968097782e-30
Cldn7,11.939184,0.35504293,7.394476869231847e-33,1.352449819382505e-29
Golm1,11.898713,0.38724837,1.201857593834919e-32,2.0516510365157957e-29
ND3,11.613107,0.45534104,3.5353300237560803e-31,5.657853786768637e-28
H2-D1,11.438066,0.45807737,2.6983348578101953e-30,4.064327198181639e-27
Ndufa1,11.427207,0.5494764,3.057871115600722e-30,4.3499915436706716e-27
Sec62,11.35528,0.52505046,6.981614963066566e-30,9.409012249699079e-27
Tm9sf2,11.216915,0.3604153,3.3681501285863037e-29,4.3122426096290444e-26
Slc44a4,10.910062,0.51971114,1.0318561269333912e-27,1.2009867266480187e-24
B2m,10.634122,0.5120642,2.067664310693602e-26,2.3019396669400163e-23
Rrbp1,10.607076,0.23347917,2.7626125297134275e-26,2.947477351493418e-23
H2-T23,10.592406,0.51143277,3.231762303836138e-26,3.310100222081126e-23
Rpn1,10.499282,0.38831124,8.7039319998157e-26,8.572033953356954e-23
Tff3,10.381677,0.46183792,3.0045155560939856e-25,2.8493935307163926e-22
Lgals9,10.077565,0.6724793,6.942481470383231e-24,5.9256393510211e-21
Galnt7,9.772138,0.2811311,1.4828916982980242e-22,1.1865914008318502e-19
Galnt3,9.671853,0.41233823,3.9711969034237e-22,3.0814081184565835e-19
Ndufb1,9.667624,0.5969976,4.1387463880872303e-22,3.1169629415694595e-19
Hspa5,9.490863,0.30874652,2.2912912394736173e-21,1.5856973912962552e-18
Pdia4,9.417532,0.45919716,4.618137854419235e-21,3.11189573421734e-18
Txndc5,9.407092,0.35935652,5.1005103645570476e-21,3.3488120101243015e-18
Eif2s2,9.394439,0.3742673,5.7523855513973036e-21,3.682389610726984e-18
Tmbim6,9.367137,0.31559652,7.45266587959226e-21,4.543641964591414e-18
Pdia5,9.333963,0.3484852,1.0198428021663674e-20,6.073045300528373e-18
Slc4a7,9.308935,0.38221064,1.291205525834505e-20,7.514229248754166e-18
Hmgcr,9.288548,0.4997595,1.5640605966123273e-20,8.899852363745611e-18
Canx,9.248156,0.3577917,2.2839964987926945e-20,1.2713916162627335e-17
Tspan13,9.168912,0.3882937,4.7781549226628366e-20,2.6031794670149915e-17
Ifi27,9.14375,0.76636523,6.032320783045332e-20,3.169205814424704e-17
Atp6ap2,9.068814,0.37006798,1.2031931939170046e-19,6.161792984687764e-17
Srpra,9.043628,0.38651618,1.5155727295878204e-19,7.609363787024653e-17
Atp5mk,8.970985,0.47850767,2.9387211965709537e-19,1.4470941338345353e-16
Serinc3,8.948035,0.36413303,3.6186673220649876e-19,1.7159184342369644e-16
Tm9sf1,8.81263,0.5574741,1.2224371533022263e-18,5.58959388347443e-16
Gm38733,8.719438,0.4256038,2.7958678153040927e-18,1.2559823031346772e-15
Epcam,8.675048,0.11865841,4.133763156300133e-18,1.8249851617279523e-15
Bst2,8.600245,0.84201926,7.954595668178342e-18,3.4522945199894004e-15
Nars1,8.595059,0.40892395,8.32217236287979e-18,3.5516257587316648e-15
