names,scores,logfoldchanges,pvals,pvals_adj
Rpl37,28.907225,0.42371944,9.68703446203057e-184,1.2402310221737739e-179
Rpl39,24.953695,0.37169263,1.9470069745270564e-137,1.2463765147434952e-133
Rps21,24.744968,0.36692372,3.5121020486802925e-135,1.7986177011701515e-131
Rps28,24.616503,0.4933967,8.410020505669796e-134,3.5891164178030133e-130
Rps29,24.429043,0.44531178,8.405717816491738e-132,3.0748115772726777e-128
Rpl38,23.62154,0.4488344,2.3155402014840593e-123,7.411465299900102e-120
Rps27,22.653051,0.44000685,1.3017793668737946e-113,3.0303056789245803e-110
Rpl36,21.625216,0.32844588,1.0403027861540723e-103,2.049076395558552e-100
Rpl37a,20.12956,0.35928622,4.065899784239832e-90,7.436530705374654e-87
Rps26,19.657608,0.20699766,4.976474440543358e-86,8.495173634970214e-83
Tomm7,19.515402,0.5609121,8.122884251147427e-85,1.2999660883430063e-81
Rpl41,19.231096,0.2869539,2.032860905609661e-82,3.061966844061234e-79
Snrpf,18.041811,0.51936936,9.149495410305829e-73,1.233063049875216e-69
ND4L,17.575342,0.38789934,3.805891475274419e-69,4.640650338851275e-66
Ndufb1,17.346054,0.65624297,2.112662083914319e-67,2.4589466054868205e-64
Atp5f1e,17.262587,0.40271878,8.998895555000519e-67,1.0018509547014926e-63
Atp5mk,17.118917,0.54017603,1.0725265369536632e-65,1.1442964377181458e-62
Cox7c,16.74919,0.33347768,5.740300075269304e-63,5.879444949093831e-60
Atp5mj,16.605898,0.4334911,6.3166884796971115e-62,6.220966354274009e-59
Ndufc1,15.702317,0.50139815,1.4581753422888347e-55,1.2875185453326865e-52
Uqcr11,15.482672,0.39769605,4.5421016615676926e-54,3.8768351715367444e-51
Atp5me,15.401344,0.56582534,1.6030191433023476e-53,1.324093812367739e-50
Ndufa3,15.329996,0.6149672,4.82018453380683e-53,3.8570514116455525e-50
Rpl34,15.320128,0.1927709,5.610613805674751e-53,4.353496276003263e-50
ATP8,14.990406,0.5004456,8.483250721880162e-51,6.206346228127526e-48
Sec61g,14.722521,0.42258078,4.621071504773779e-49,3.113872551348352e-46
Cox6c,14.65064,0.26259732,1.3345357929439103e-48,8.543030878530442e-46
Rps17,14.620198,0.19669548,2.0879280257840428e-48,1.3039874397128342e-45
B2m,14.308798,0.38433015,1.9281877059256236e-46,1.175551771379322e-43
Gm15501,14.0563545,0.37469184,7.042117364075211e-45,4.0981922096479515e-42
Ndufa1,14.013681,0.47624704,1.2856428393923515e-44,7.315593454551234e-42
Uqcr10,13.935719,0.31224176,3.843107763950117e-44,2.1392742913849282e-41
Cldn7,13.731633,0.2145094,6.563674299594168e-43,3.5759456194767717e-40
Rpl35a,13.54373,0.1717941,8.629400417846024e-42,4.5094781040686795e-39
Gm15682,13.526123,0.48955175,1.0965684237098155e-41,5.615746211502707e-39
Crip1,13.424729,0.41265178,4.3316281848101766e-41,2.1748170843186155e-38
ND3,13.14565,0.45696244,1.8025026064232827e-39,8.547200322236033e-37
Rplp2,12.8998165,0.15681726,4.511714304065826e-38,2.062981365534099e-35
Rn7sk,12.829505,0.5893864,1.120774319545179e-37,5.034832846714711e-35
Rpl35,12.636404,0.17560375,1.3299905072735514e-36,5.871678780904579e-34
Mrpl52,12.620143,0.4266518,1.6352408131308376e-36,7.096945128987835e-34
Polr2l,12.343606,0.69180924,5.273983209932884e-35,2.2507602345590238e-32
Atp5mf,12.291084,0.31412455,1.0114029270168883e-34,4.177094088579749e-32
Dpm3,12.175393,0.5519137,4.203620268539761e-34,1.7085381047020494e-31
Romo1,11.291938,0.45293444,1.4383004866885342e-29,5.33755395103574e-27
Rpa3,11.053148,0.63215935,2.1166000775832075e-28,7.52745299813828e-26
Cox20,10.925029,0.5125662,8.751234067081232e-28,3.069645198927151e-25
Rpl36a,10.895817,0.17179002,1.2067906148215315e-27,4.175821686908126e-25
Pfn1,10.843403,0.21258853,2.143478788143385e-27,7.318122379893269e-25
Scd2,10.827651,0.5017483,2.546027794271628e-27,8.57810364475254e-25
Snrpg,10.756256,0.31661546,5.537459701379492e-27,1.84145705342238e-24
Sdf2l1,10.585383,0.6190936,3.483503848567408e-26,1.1435717890566288e-23
Reg3b,10.414783,1.3478714,2.1228146825933273e-25,6.710715155862313e-23
Mrps21,10.410969,0.4200485,2.209612626728947e-25,6.899919624392856e-23
Gm38733,10.389716,0.5121714,2.761736169815556e-25,8.418692424321087e-23
Hspa5,10.365939,0.3300013,3.5425954687885642e-25,1.0671964655741174e-22
Cox17,10.314671,0.4559994,6.048843062353521e-25,1.7803066144209684e-22
Ndufa5,10.299429,0.38334236,7.088106684524103e-25,2.0624779518627748e-22
Fos,10.204046,0.72738886,1.901802203108491e-24,5.351378814592969e-22
Sem1,10.101284,0.26609838,5.4523654813827905e-24,1.5012179625407283e-21
Calr,10.037063,0.3060731,1.0474639862758743e-23,2.8233013507978986e-21
Uqcrq,9.888808,0.29446268,4.655351100354282e-23,1.2289167038729046e-20
Rpl27,9.707812,0.12632382,2.7926540663062366e-22,7.080069309092821e-20
Atp5mg,9.696259,0.20381233,3.127574419017716e-22,7.851438291506632e-20
Tmem258,9.639498,0.4175033,5.445383130706528e-22,1.35373281985312e-19
Slc25a5,9.587667,0.15583676,9.0098659439691e-22,2.2183329553968535e-19
H2-K1,9.551734,0.28003013,1.2754344412033398e-21,3.1103594572812113e-19
Pdia4,9.47897,0.4132499,2.5680741169855788e-21,6.203594890521955e-19
Ndufa2,9.433982,0.31597602,3.9480951754129956e-21,9.360641209409738e-19
Ost4,9.423409,0.37890124,4.3667380490009315e-21,1.0258228851625491e-18
Cox7a2,9.411102,0.22645265,4.909587374282997e-21,1.1428626755080947e-18
Manf,9.408574,0.386895,5.0291294262322556e-21,1.1601431359288572e-18
Tm9sf1,9.380811,0.5732696,6.546749186657047e-21,1.4967505327994676e-18
Psme1,9.368247,0.33323205,7.374725833557963e-21,1.6593296534819192e-18
Fau,9.368065,0.100419454,7.387470924663704e-21,1.6593296534819192e-18
Cops9,9.305877,0.4024624,1.3289101908176071e-20,2.9589629866152735e-18
Zfp36,9.292359,0.7787571,1.5090480449640622e-20,3.3310934689094637e-18
Dmbt1,9.266597,0.24438284,1.9217999308075346e-20,4.205949489594678e-18
Ldha,9.058566,0.26415002,1.3217615835645446e-19,2.820418925729477e-17
Rsrp1,9.054066,0.29956526,1.377422449146825e-19,2.91489911015319e-17
Slfn9,9.029027,0.4815723,1.7320522682099137e-19,3.635322162277299e-17
Nop10,8.991644,0.2661557,2.4355910607147534e-19,5.070385748021299e-17
Higd1a,8.982581,0.28731948,2.6448741152707997e-19,5.4616650480342015e-17
Gstp1,8.935552,0.44120806,4.0515207355058063e-19,8.233590472489023e-17
Rpl31,8.922862,0.15248601,4.543922518788995e-19,9.161549607567796e-17
Dhx15,8.898347,0.4078051,5.668480238412556e-19,1.125171356471255e-16
Rpl22,8.868732,0.12496861,7.398344045397394e-19,1.4572461355880436e-16
Anapc13,8.837383,0.3857175,9.798626053003009e-19,1.915294799337367e-16
Hells,8.799375,0.4923942,1.375806691039798e-18,2.6688565250579594e-16
Cycs,8.789761,0.22822335,1.4987950190164258e-18,2.885574831348466e-16
Ubl5,8.774168,0.30700928,1.7217238637894994e-18,3.2900344221040235e-16
Slirp,8.757337,0.40541157,1.999177929794512e-18,3.764040446346932e-16
Ndufaf2,8.743147,0.41233313,2.267065108496751e-18,4.2372605232239275e-16
Set,8.740076,0.19484033,2.329544172852605e-18,4.322486093482884e-16
Uqcrb,8.709307,0.20422424,3.0573897282843683e-18,5.632195782910038e-16
Rpl24,8.699327,0.11295922,3.3385606325473245e-18,6.106227396929057e-16
1810037I17Rik,8.666568,0.34278923,4.45342039343602e-18,8.087537772647002e-16
Rbis,8.661478,0.38965935,4.656876479216859e-18,8.397463318790626e-16
Ppp4c,8.629442,0.3611285,6.165194074007136e-18,1.1039577584547322e-15
Tma7,8.530853,0.28953755,1.4527191258650472e-17,2.583217078951417e-15
Hmgb2,8.511316,0.29840007,1.7196998027110292e-17,3.036871251601284e-15
Srsf9,8.500646,0.39098322,1.8853939939387358e-17,3.2841767761085214e-15
Arpp19,8.497159,0.32768822,1.942878084800908e-17,3.361441637798111e-15
Nasp,8.4686985,0.33417386,2.4814967971224668e-17,4.26451053604818e-15
