names,scores,logfoldchanges,pvals,pvals_adj
Rps21,19.789831,0.5472544,3.642605684772145e-87,1.3324651594896507e-83
Rpl37,17.354626,0.51614904,1.819841794780574e-67,5.177652110794598e-64
Cldn7,17.037138,0.43197602,4.355323296100094e-65,1.013840075635809e-61
Rps29,15.811369,0.51908714,2.5976179538260734e-56,5.116508101974649e-53
Rpl38,15.470815,0.54238206,5.461183513070054e-54,9.98850464540513e-51
Scd2,15.412351,0.6841799,1.352020500420857e-53,2.3079891289184306e-50
Rps27,15.148878,0.56571794,7.707153812499702e-52,1.233433628267921e-48
ATP8,14.901338,0.49784482,3.23046651280929e-50,4.5955180848330385e-47
Ndufb1,14.750472,0.6884531,3.0551896413015777e-49,4.117430839745695e-46
Rpl36,14.567174,0.46740893,4.543009791284661e-48,5.816415435781751e-45
Rps28,14.560352,0.5547599,5.019871650528276e-48,6.120896832544145e-45
Ndufa3,14.552519,0.67169124,5.629124563865823e-48,6.551789253743102e-45
Atp5mk,14.447907,0.63222647,2.584190650671936e-47,2.876990687004591e-44
B2m,14.173819,0.5551646,1.3306329933114056e-45,1.4196745177804938e-42
Atp5me,14.113201,0.6137934,3.1495220379544934e-45,3.2258664521545104e-42
Rpl39,14.0607,0.45143014,6.622708629250813e-45,6.522349121561397e-42
Rpa3,14.013862,0.8077657,1.2823846363965343e-44,1.216175592576654e-41
Rpl37a,13.899384,0.4992933,6.388892294980707e-44,5.842642003759856e-41
Uqcr11,13.893257,0.5260458,6.959699972555751e-44,6.145175086112502e-41
Snrpf,13.863931,0.5958381,1.0477573262823673e-43,8.942958032262098e-41
Ndufa1,13.531952,0.564737,1.0129744525330899e-41,8.367168977923322e-39
Tomm7,13.097558,0.54342246,3.400239028277144e-39,2.638379410850441e-36
Cox6c,13.082128,0.37938598,4.1661362996398006e-39,3.13759076731108e-36
Cox7c,13.017448,0.40506873,9.73706581701781e-39,7.12363735173023e-36
Romo1,12.9957,0.5898501,1.2941864670178733e-38,9.205260742905464e-36
H2ac23,12.968378,0.9205384,1.8490217674412037e-38,1.2459487204499858e-35
Ndufa5,12.834648,0.5575896,1.048777582854208e-37,6.82399479167147e-35
Pdia4,12.833387,0.51478803,1.0659993426027447e-37,6.82399479167147e-35
Crip1,12.818543,0.52097815,1.29103657989521e-37,8.062995771901646e-35
Dpm3,12.68818,0.5992093,6.876513369676001e-37,4.094883752184271e-34
Cox17,12.681068,0.55092233,7.529832868254718e-37,4.3820204641938705e-34
ND3,12.675378,0.43392622,8.096790598807777e-37,4.607253779401598e-34
Atp5mj,12.661253,0.49439213,9.694024582434299e-37,5.396199857778536e-34
Ndufc1,12.439956,0.51522595,1.5859142230271802e-35,8.640195658475314e-33
Atp5f1e,12.338664,0.46334997,5.607840061097736e-35,2.991549012593097e-32
Srsf9,12.317772,0.5885027,7.267438538044381e-35,3.7977557388809063e-32
Mrpl52,12.220169,0.5314939,2.4257922430455783e-34,1.2422967235085015e-31
Sec61g,12.200447,0.5107468,3.091226885445774e-34,1.5520383456612647e-31
Slirp,12.185805,0.59648055,3.699796214747318e-34,1.8218650360542272e-31
Gm15682,12.175437,0.5561752,4.201394653638218e-34,2.0298285188879285e-31
Tm9sf1,12.065661,0.5984963,1.6036957501094074e-33,7.604487662463238e-31
Hspa5,12.000854,0.41163713,3.5165272970207175e-33,1.6371672357729545e-30
Polr2l,11.926823,0.62551916,8.578580799766196e-33,3.922556070693093e-30
Cox20,11.909699,0.5340453,1.053562620342466e-32,4.732899027454243e-30
H2ac8,11.866481,0.72516793,1.7674646404998398e-32,7.803051652523949e-30
Eif3j1,11.854033,0.5955942,2.0507596129647182e-32,8.900296720266877e-30
Alyref,11.791795,0.4852747,4.3027259782210876e-32,1.836260023305486e-29
ND4L,11.776403,0.3355397,5.164997715120299e-32,2.1681136310388588e-29
Snrpg,11.732972,0.50204515,8.63717290840418e-32,3.567152411170926e-29
H4c4,11.594142,0.7302983,4.4126387427041695e-31,1.7934925023124282e-28
Rps26,11.585889,0.32082117,4.858985653605281e-31,1.9440497913471379e-28
Rpl41,11.57557,0.33685926,5.480553242317596e-31,2.159000712658221e-28
Agpat5,11.4931555,0.43829188,1.4279816620860642e-30,5.540136127178145e-28
Sdhd,11.420842,0.45309207,3.2903023986314336e-30,1.2574848241694997e-27
Arpp19,11.298964,0.4459702,1.327761813698847e-29,4.9998042649371586e-27
Erg28,11.285631,0.4833353,1.5452812363872372e-29,5.734561063613274e-27
Ndufaf2,11.16531,0.606408,6.028032155626977e-29,2.2050541625283482e-26
Gm15501,11.062737,0.451379,1.9020186807915377e-28,6.764318102826127e-26
Sdf2l1,11.034888,0.49727258,2.5937299837904675e-28,9.097952049991604e-26
Pclaf,11.028753,0.4585084,2.7768842061731018e-28,9.608769862603843e-26
Sem1,10.978552,0.42858478,4.846306454172909e-28,1.65459364087402e-25
Cops9,10.970706,0.4793241,5.285805310967976e-28,1.780899089376921e-25
Calr,10.943395,0.4141128,7.147236935452562e-28,2.376781155444134e-25
Nars1,10.927526,0.4117406,8.51371291862546e-28,2.794899140952866e-25
Pdcd5,10.903909,0.4730813,1.1040984181816463e-27,3.578676467842941e-25
Dbi,10.876646,0.33325213,1.4894315435301628e-27,4.767298012954169e-25
Lrrfip2,10.865377,0.4300479,1.685253399319597e-27,5.327481301602173e-25
Ndufv3,10.853193,0.4369221,1.9257709233929415e-27,6.013571983463374e-25
Dnajb11,10.82522,0.41734076,2.614503096265385e-27,8.065899552165235e-25
Lsm12,10.819635,0.41106847,2.778792147739044e-27,8.470684730357852e-25
Rplp2,10.731123,0.29695156,7.270723715503676e-27,2.1902841348139664e-24
Ost4,10.687,0.46074253,1.1709699385403818e-26,3.486494912356397e-24
H3c3,10.6697855,0.65071094,1.4095085470309973e-26,4.148491477617899e-24
Rn7sk,10.595178,0.5425905,3.1374401691805286e-26,9.129237837731433e-24
Ldlr,10.593495,0.5910284,3.194348527568775e-26,9.190391954710793e-24
Mrps36,10.542917,0.4479379,5.477276636651617e-26,1.558346061756681e-23
Tomm40,10.532542,0.3992565,6.116000075377759e-26,1.7209483289024498e-23
Hmgb2,10.514173,0.38738903,7.433006405223368e-26,2.0687995870885822e-23
Ndufa2,10.495828,0.43067315,9.028300906967023e-26,2.4857921830515868e-23
Plp2,10.47548,0.40204236,1.1196812750300576e-25,3.05005943919358e-23
Dnajc19,10.4612465,0.43843892,1.3013295149928526e-25,3.5075624800954717e-23
Sfn,10.4599085,0.56975895,1.3198339805108846e-25,3.520382177600178e-23
Uqcr10,10.458026,0.39241725,1.3463152936572027e-25,3.553994784472818e-23
Metap2,10.440855,0.3796372,1.6135116079120458e-25,4.2158753298159025e-23
Ifi27l2b,10.425392,0.5813019,1.8987472613011876e-25,4.911042663927092e-23
H1f4,10.41713,0.48646733,2.071085691975665e-25,5.303222022872887e-23
H2ac4,10.406836,0.69396895,2.3076573894096386e-25,5.850482684477544e-23
Atp5mf,10.393703,0.3908338,2.648635055732871e-25,6.64911267030352e-23
Ndufs5,10.38757,0.5344377,2.8245605771670875e-25,7.02191244067383e-23
H1f5,10.379682,0.6024853,3.0679798920687747e-25,7.553720491953177e-23
Rps17,10.369539,0.32345212,3.4116675194852904e-25,8.319919857518128e-23
H2ac20,10.360954,0.7096854,3.732185593006493e-25,9.015692857973986e-23
Uqcrq,10.357111,0.3835835,3.8851904487760916e-25,9.297587535641179e-23
Naa20,10.353782,0.4634893,4.0227384439241284e-25,9.537614869918633e-23
Tmem256,10.285024,0.44670358,8.232151352191056e-25,1.9338758488459098e-22
M6pr,10.242396,0.3412739,1.2802560054794152e-24,2.9802032069369004e-22
Cyp51,10.239082,0.47313592,1.324870628823315e-24,3.056273632581064e-22
Slc25a5,10.2067795,0.2981066,1.848998540649078e-24,4.227272913558955e-22
Cks1b,10.20305,0.4498025,1.921426827695013e-24,4.353987199111372e-22
Ppp4c,10.198163,0.4337795,2.0205884087654848e-24,4.538525157442895e-22
Cnih4,10.185392,0.4117729,2.3042747553108934e-24,5.13071820734702e-22
1810037I17Rik,10.150521,0.4337062,3.2959780213311687e-24,7.275587346052234e-22
Tmem54,10.141375,0.4156181,3.619688071093614e-24,7.921857499865221e-22
Mrps21,10.135937,0.41848248,3.82688321342261e-24,8.304336573127064e-22
Fdps,10.112952,0.491786,4.840308100693665e-24,1.0415204136669073e-21
Bst2,10.073807,0.7991585,7.213116645816195e-24,1.5391588736064124e-21
Anapc13,10.063808,0.47696105,7.984863300825802e-24,1.6897554519086405e-21
Manf,10.058936,0.42496163,8.389989501405815e-24,1.7609350096147318e-21
Mrps18c,10.016624,0.42842448,1.288279284350556e-23,2.6819251508195393e-21
Cenpw,9.993882,0.5158827,1.6210559724885947e-23,3.347480583188948e-21
Mlx,9.956209,0.43308416,2.369253783197732e-23,4.8533689898048894e-21
Rbis,9.937648,0.43454626,2.8548816341038e-23,5.8017538986398336e-21
Hsp90b1,9.911793,0.30834907,3.699488886546638e-23,7.458985230623088e-21
Ndufaf8,9.899297,0.44626322,4.1921111254043914e-23,8.386187302898816e-21
Rpl34,9.898197,0.27891713,4.23848072017433e-23,8.413219947347588e-21
Atox1,9.889974,0.38670617,4.601471151810999e-23,9.063482331790188e-21
Ier3ip1,9.887385,0.38330203,4.721981391900987e-23,9.229851566489823e-21
Nutf2,9.868291,0.41431522,5.712972996665302e-23,1.1070868496213127e-20
Dag1,9.867638,0.34272996,5.750314418481395e-23,1.1070868496213127e-20
Med30,9.853586,0.49343693,6.614092629751672e-23,1.2545218953883061e-20
Skp1,9.81783,0.38076696,9.435240874335527e-23,1.7764616016782023e-20
Ndufab1,9.81051,0.37370622,1.0145492588532456e-22,1.896244403080015e-20
Bola3,9.807562,0.44545275,1.0446218762588402e-22,1.938303461122019e-20
Rps6,9.802655,0.3778873,1.0966448385341223e-22,2.0201933622665275e-20
Gm38733,9.779961,0.37392318,1.3726358446259236e-22,2.5105509598208144e-20
Letm1,9.746924,0.39655775,1.9014228607069833e-22,3.453037856117944e-20
Wbp11,9.741177,0.37866646,2.0121134892983113e-22,3.6283223948572225e-20
Pdap1,9.728419,0.35287413,2.2810920155612593e-22,4.08459036017214e-20
Dusp11,9.726986,0.3104567,2.3134610642401815e-22,4.113783611870423e-20
Rnps1,9.705115,0.35671785,2.867516164521805e-22,5.063835786810024e-20
Cycs,9.703669,0.31402138,2.9084832358851324e-22,5.101001488909226e-20
Tmco1,9.701128,0.37534735,2.9818288186656145e-22,5.1940618184184844e-20
Mrpl33,9.68165,0.3909037,3.608448027903391e-22,6.243102716384745e-20
Nop58,9.677604,0.34802017,3.754109146401029e-22,6.451524751862065e-20
Tma7,9.643639,0.3803543,5.230037134926477e-22,8.928022058461825e-20
Timm8b,9.64275,0.37200508,5.275539368547329e-22,8.946057024571053e-20
Strap,9.624984,0.3221684,6.271655893984762e-22,1.0565264527721961e-19
Plekhj1,9.6102495,0.43376008,7.237367505985679e-22,1.2112420415573154e-19
Lsm5,9.601527,0.4172461,7.876834275718346e-22,1.3097027172989867e-19
Lsm7,9.585047,0.38073525,9.241542054408854e-22,1.5267027473883427e-19
Idh3a,9.583108,0.3770761,9.416764253365853e-22,1.545677342767218e-19
