names,scores,logfoldchanges,pvals,pvals_adj
Shisa5,2.765991,2.755686,0.005675009394842829,1.0
Cd3d,2.6204126,30.626423,0.008782344770534765,1.0
mt-Atp6,2.4586587,2.0115175,0.013945712364544905,1.0
Tpt1,2.4586587,2.0249891,0.013945712364544905,1.0
Ndfip1,2.0380986,29.900448,0.04154006700988516,1.0
Arhgdib,1.9572217,2.5448258,0.05032140501830735,1.0
Sept1,1.9410464,29.79048,0.05225265631092364,1.0
mt-Co1,1.8925202,30.133965,0.058421706760617656,1.0
Limd2,1.8925202,29.914679,0.058421706760617656,1.0
Ets1,1.843994,2.4002833,0.06518401065949682,1.0
Laptm5,1.8035556,2.478585,0.07130100784598,1.0
Tmsb4x,1.7307663,1.9476703,0.08349345055857156,1.0
Evl,1.6498893,29.618847,0.09896556064435133,1.0
Grcc10,1.6498893,29.458471,0.09896556064435133,1.0
Mknk2,1.6498893,29.416998,0.09896556064435133,1.0
Trac,1.633714,2.1818979,0.10231891598042513,1.0
B2m,1.6256263,1.7895149,0.10402917405726317,1.0
Slfn2,1.6013632,29.586607,0.10929649096336268,1.0
Thy1,1.6013632,29.768017,0.10929649096336268,1.0
mt-Co2,1.5851878,1.4007688,0.11292366071592867,1.0
Cox7b,1.5609248,2.243474,0.11854150249052064,1.0
Trbc2,1.5366617,1.7248993,0.12437617738559069,1.0
Hist1h2bc,1.504311,29.353388,0.1325013294872652,1.0
Psme1,1.504311,29.32941,0.1325013294872652,1.0
Cd160,1.504311,29.662361,0.1325013294872652,1.0
Capzb,1.504311,29.345293,0.1325013294872652,1.0
Rac2,1.4881356,1.4281892,0.13671515496636222,1.0
mt-Nd5,1.4800478,2.1805375,0.13886048069881368,1.0
Eef1a1,1.4719602,0.963642,0.14103164052071643,1.0
Tecr,1.4557848,29.209179,0.14545213050784886,1.0
B4galnt2,1.4557848,29.234308,0.14545213050784886,1.0
Ly6e,1.4557848,1.5950751,0.14545213050784886,1.0
Ighm,1.4557848,1.8577251,0.14545213050784886,1.0
Rap1b,1.4557848,29.118013,0.14545213050784886,1.0
Jak1,1.4557848,29.397318,0.14545213050784886,1.0
Papss2,1.4072586,29.294947,0.15935072087904711,1.0
Pkn1,1.4072586,29.14227,0.15935072087904711,1.0
Nop10,1.4072586,29.106667,0.15935072087904711,1.0
S100a10,1.3991709,2.0648308,0.16176173872918387,1.0
Itm2b,1.3910832,1.339767,0.16420019461670954,1.0
Polr2a,1.3587325,28.89699,0.17423138824802498,1.0
Itk,1.3587325,29.14407,0.17423138824802498,1.0
Lgals3,1.3587325,1.0617286,0.17423138824802498,1.0
Anxa2,1.3587325,29.078472,0.17423138824802498,1.0
Elf1,1.3587325,29.205423,0.17423138824802498,1.0
Il2rg,1.3587325,29.08188,0.17423138824802498,1.0
Ltb,1.3587325,29.230463,0.17423138824802498,1.0
Actg1,1.3344693,1.9802755,0.1820500814244328,1.0
Uqcrfs1,1.3344693,1.8969573,0.1820500814244328,1.0
Arl6ip5,1.3102063,29.018774,0.19012606103045793,1.0
Stk17b,1.3102063,29.081062,0.19012606103045793,1.0
Rbm38,1.3102063,29.08141,0.19012606103045793,1.0
Vasp,1.3021185,1.6382189,0.19287584940313707,1.0
Tmsb10,1.2940309,1.445323,0.1956547490294006,1.0
Cd52,1.2778555,1.3162843,0.20130037752994678,1.0
Ptpn18,1.2616801,29.00706,0.20706391185528683,1.0
Slc9a3r1,1.2616801,28.905184,0.20706391185528683,1.0
