names,scores,logfoldchanges,pvals,pvals_adj
mt-Co2,2.8525014,0.9323927,0.004337663662813501,1.0
mt-Co3,2.4685524,1.129254,0.013566077120129427,1.0
Shisa5,2.4598756,0.68137085,0.01389851677982126,1.0
mt-Atp8,2.357923,0.6361086,0.018377498615947545,1.0
Ucp2,2.2364478,0.5615305,0.02532245445056021,1.0
Slc25a1,1.9934971,1.5718815,0.04620704100646173,1.0
Pdlim1,1.9436054,1.6497682,0.05194304926922689,1.0
Ptms,1.9349287,1.1277404,0.05299905429039701,1.0
Slc12a2,1.9262518,2.7390754,0.054072938140187814,1.0
Mlf2,1.8937138,1.0062414,0.05826301086189411,1.0
Npc2,1.8893753,1.1437991,0.058841547725577065,1.0
Psmd2,1.8481605,3.8311,0.06457912335253559,1.0
Ndufa6,1.8091149,0.92960334,0.07043315699961268,1.0
Zg16,1.7288544,0.89278394,0.08383515832417475,1.0
Echs1,1.7049931,3.9627507,0.08819569911351902,1.0
Vps28,1.681132,1.1829212,0.09273729007880643,1.0
mt-Nd5,1.6767936,1.1148683,0.09358286281214205,1.0
Sh3bgrl3,1.6659476,0.9285092,0.095723867545735,1.0
Arhgef1,1.6442555,1.0751092,0.10012343807437402,1.0
Prss32,1.6420863,1.4340075,0.10057212194019272,1.0
Arpc1b,1.6203942,0.5437775,0.10514761042744167,1.0
H2-K1,1.6117175,0.2832083,0.10702343695475017,1.0
Itgb2,1.5921947,0.7844153,0.11134097826302465,1.0
Cab39,1.5835178,0.9418587,0.1133034870836328,1.0
Ptdss1,1.5661643,2.452314,0.11731018018401512,1.0
mt-Nd2,1.563995,1.8349993,0.1178187419706018,1.0
mt-Cytb,1.5618258,0.81640446,0.11832903204440551,1.0
Tmbim6,1.5357953,1.3506014,0.12458857555801622,1.0
Itgb7,1.5336262,1.4284623,0.1251216468697803,1.0
Pgm2,1.5141033,2.0915632,0.12999963034255604,1.0
Muc2,1.5141033,0.21642663,0.12999963034255604,1.0
Trac,1.5119342,0.54961735,0.13055061717308802,1.0
Ldha,1.4924114,0.91357726,0.135591349173414,1.0
Akr1c19,1.4707193,1.5513867,0.14136704580140214,1.0
Btf3,1.4663808,0.73882365,0.14254454943897485,1.0
Ighm,1.4273353,0.4400279,0.15348328605669265,1.0
Epn1,1.4229969,1.6438538,0.1547370712125359,1.0
Ccnd2,1.4099816,0.54723686,0.15854510860175908,1.0
Ddx58,1.392628,4.454511,0.16373230976349706,1.0
Hk1,1.392628,1.1206524,0.16373230976349706,1.0
Mansc1,1.3882896,3.8935778,0.16504887770653143,1.0
Rer1,1.3796128,1.0617826,0.167705897225502,1.0
Cldn15,1.3752744,1.5748956,0.16904639457516724,1.0
Patz1,1.3687668,2.1941044,0.17107218882079533,1.0
Sept1,1.3622591,0.50495815,0.17311610815980638,1.0
Txnrd1,1.3557515,1.1819204,0.17517822743006772,1.0
Srpk1,1.3449055,1.1426876,0.17865573763361164,1.0
Hspb11,1.3362287,26.92457,0.18147451987439622,1.0
mt-Atp6,1.327552,0.58509755,0.18432617363347215,1.0
Tmsb4x,1.3123676,0.18558162,0.18939616281050475,1.0
Mvp,1.3101983,2.3409095,0.19012875721984213,1.0
Pnpla2,1.3058599,0.90164566,0.19160020367597053,1.0
Slc3a2,1.3015215,2.2786708,0.1930800100354323,1.0
Zc3h14,1.2993523,1.8900917,0.19382305427618896,1.0
