names,scores,logfoldchanges,pvals,pvals_adj
Cd3d,3.1486692,30.894526,0.0016401575067302387,1.0
Il2rb,2.9110339,30.849081,0.003602350733279345,1.0
Laptm5,2.8615265,3.3510568,0.004216063902809857,1.0
Evl,2.7328072,30.43359,0.006279707611484979,1.0
Stk17b,2.435763,30.198656,0.01486041922208737,1.0
Shisa5,2.41596,2.340752,0.015693785070495948,1.0
Ets1,2.2575364,2.4863493,0.02397457778982207,1.0
Cd160,2.2575364,30.151346,0.02397457778982207,1.0
Trac,2.2575364,2.7079647,0.02397457778982207,1.0
Cd47,2.2575364,29.643652,0.02397457778982207,1.0
Capzb,2.1981275,29.879063,0.02794001808313375,1.0
Limd2,2.1981275,29.80172,0.02794001808313375,1.0
Rac2,2.1387186,1.793928,0.03245845778845387,1.0
Ndfip1,2.1387186,29.714663,0.03245845778845387,1.0
Tpt1,2.1189158,1.7031815,0.03409758832880492,1.0
B2m,2.0892112,2.2719967,0.03668870527179755,1.0
Ptbp3,2.07931,29.583614,0.03758888126107438,1.0
Sept1,2.07931,29.805868,0.03758888126107438,1.0
Il2rg,2.019901,29.68129,0.043393658829285524,1.0
Mknk2,2.019901,29.688717,0.043393658829285524,1.0
Lcp1,2.019901,2.1776297,0.043393658829285524,1.0
mt-Co1,2.019901,29.726767,0.043393658829285524,1.0
Ptprc,2.000098,2.4898646,0.045489678729582525,1.0
Ly6e,1.9802951,2.0846317,0.04767038065616143,1.0
Ctsw,1.9703937,2.5090017,0.04879327729809465,1.0
Psme1,1.9604921,29.641352,0.0499382963528672,1.0
Thy1,1.9604921,30.175486,0.0499382963528672,1.0
Rap1b,1.9604921,29.41121,0.0499382963528672,1.0
Lfng,1.9604921,29.517927,0.0499382963528672,1.0
Jak1,1.9604921,29.414085,0.0499382963528672,1.0
Eif3f,1.9604921,29.345146,0.0499382963528672,1.0
Elf1,1.9604921,29.45007,0.0499382963528672,1.0
Nkg7,1.9406892,2.573048,0.05229598906185474,1.0
Tmsb4x,1.9208863,2.3277574,0.05474605170239336,1.0
Lnpep,1.9010832,29.216072,0.05729110493013613,1.0
Iqgap1,1.9010832,29.268686,0.05729110493013613,1.0
Pycard,1.9010832,29.272644,0.05729110493013613,1.0
Dgkz,1.9010832,29.27554,0.05729110493013613,1.0
Cd7,1.9010832,1.8628215,0.05729110493013613,1.0
Grk2,1.9010832,29.47267,0.05729110493013613,1.0
Cd2,1.9010832,29.307087,0.05729110493013613,1.0
Mta2,1.8416744,29.2308,0.06552278660900662,1.0
Esyt1,1.8416744,29.409548,0.06552278660900662,1.0
Zdhhc18,1.8416744,29.54237,0.06552278660900662,1.0
Ccl5,1.8416744,2.350265,0.06552278660900662,1.0
Chchd2,1.8416744,29.369974,0.06552278660900662,1.0
Ighm,1.8218715,2.1552508,0.06847448878990349,1.0
Arhgdib,1.8218715,2.286488,0.06847448878990349,1.0
