names,scores,logfoldchanges,pvals,pvals_adj
Rap1b,2.4031572,0.97405,0.016254192370766616,1.0
Cfl1,2.1286395,0.50557387,0.03328410910570461,1.0
Gimap7,1.9148754,1.0750271,0.055508399746545894,1.0
Cotl1,1.8698725,0.7626852,0.0615015362681549,1.0
Elk4,1.8608718,1.0706859,0.06276227832332924,1.0
Muc2,1.8451208,0.20832406,0.06501996787014404,1.0
Usf2,1.83387,1.2099302,0.06667328408205517,1.0
Phgr1,1.8248695,0.93257284,0.06802072845315701,1.0
Tet3,1.8068683,2.115334,0.07078281665793297,1.0
Ap1b1,1.7956176,2.9630213,0.07255536108185308,1.0
Tspan1,1.741614,0.6202977,0.08157600556282195,1.0
Cd7,1.7213627,0.5577036,0.08518502850245888,1.0
Sptbn1,1.7168624,1.3479669,0.08600431551346448,1.0
Rasal3,1.6853603,1.3966123,0.09191907014494564,1.0
mt-Cytb,1.6111054,0.77185893,0.10715673405294816,1.0
Ptpn6,1.5863539,1.0377135,0.11265906079202606,1.0
Elovl5,1.5841037,2.2046928,0.1131701196585481,1.0
Fau,1.5773532,0.3917314,0.11471426130694712,1.0
Laptm5,1.5773532,0.3498951,0.11471426130694712,1.0
Tram1,1.5683527,0.8836757,0.11679884763228153,1.0
Cyp2c55,1.5458512,0.66773164,0.12214050646969048,1.0
Atf7ip,1.5391008,1.4598181,0.12377969801207045,1.0
Slc37a2,1.5053486,1.9393318,0.13223448758644865,1.0
Tkt,1.496348,1.0686585,0.13456300130034415,1.0
mt-Nd2,1.4828471,1.7306195,0.1381150433710113,1.0
Idh3a,1.4738464,1.1838511,0.14052292672565844,1.0
Papola,1.390591,0.5975238,0.1643494739345841,1.0
Wac,1.3793403,1.3849074,0.1677898546245299,1.0
Il2rg,1.3680896,0.55977595,0.17128404103442196,1.0
Capzb,1.3680896,0.47227037,0.17128404103442196,1.0
Pigr,1.359089,0.45625734,0.1741183941762473,1.0
Kif5b,1.3388376,1.5938423,0.18062352943130477,1.0
Dbnl,1.3388376,0.9155,0.18062352943130477,1.0
Cyfip2,1.3343374,1.0652188,0.1820933187914835,1.0
Tff3,1.3343374,0.6945681,0.1820933187914835,1.0
Cd164,1.3275869,0.34624317,0.18431460851100046,1.0
Commd6,1.3208364,2.836573,0.1865558943721829,1.0
Prkag1,1.2803339,2.5503247,0.20042775659482692,1.0
Ifi30,1.2735834,2.19881,0.2028111045068377,1.0
Rab1a,1.2713332,1.0750786,0.20361012346445162,1.0
Chchd10,1.2713332,1.1191282,0.20361012346445162,1.0
Guk1,1.2600825,2.0683444,0.20763960300676676,1.0
Jun,1.2578324,1.5461729,0.20845239306068297,1.0
Tex261,1.2578324,1.6942888,0.20845239306068297,1.0
Xbp1,1.2443315,1.1540066,0.21337759425918246,1.0
Eif3g,1.2128294,0.8772373,0.22519505053301214,1.0
Ak3,1.2128294,0.6556774,0.22519505053301214,1.0
Ctsw,1.2105793,0.47120962,0.22605669783201754,1.0
Prss32,1.2083291,1.1469259,0.2269206954411287,1.0
Cited4,1.2038288,2.3343601,0.22865574966911206,1.0
mt-Nd4l,1.1993285,1.2577896,0.23040022919195813,1.0
Stk17b,1.1993285,0.74213386,0.23040022919195813,1.0
Zc3h14,1.1970783,1.7549342,0.2312760083502664,1.0
Fth1,1.1948283,0.32154027,0.2321541496886369,1.0
Gimap1,1.1858276,1.1858792,0.23569037482388955,1.0
Fkbp4,1.1723268,1.133937,0.24106589449992044,1.0
Vps26b,1.1633261,1.4120795,0.2446971941227254,1.0
Gga1,1.1633261,2.7125328,0.2446971941227254,1.0
Sf3b3,1.1498253,1.0954465,0.2502158408374807,1.0
Vrk1,1.1430749,2.7833242,0.2530075202455142,1.0
Smc4,1.1408247,1.7902628,0.25394288358056827,1.0
Rack1,1.1385746,0.49382666,0.25488065109885893,1.0
Rnf213,1.1385746,1.0788761,0.25488065109885893,1.0
Tle3,1.1363244,0.60377854,0.2558208242196478,1.0
Selenop,1.1340742,1.1461446,0.25676340434144496,1.0
Adnp,1.1250737,1.1860191,0.26055782207850475,1.0
Bcas2,1.1228235,1.6425714,0.26151245745154195,1.0
Mcrip1,1.1183232,1.6547185,0.26342897430528966,1.0
Cnn2,1.1048223,0.5021136,0.26923658111549864,1.0
Rab5c,1.1025722,0.521606,0.2702129942991133,1.0
Atp6v0d1,1.0958217,3.4830723,0.27315679068556453,1.0
Hnf4a,1.0958217,1.5171834,0.27315679068556453,1.0
Lgals4,1.0958217,0.15556976,0.27315679068556453,1.0
Aak1,1.0913215,3.5261984,0.27513146259643806,1.0
Acly,1.0890713,0.7783869,0.2761224438189188,1.0
Tbc1d22b,1.0823208,1.8695446,0.2791099798385136,1.0
Sytl3,1.0823208,3.2739475,0.2791099798385136,1.0
Cbl,1.0778205,1.86874,0.2811138397673002,1.0
Ppie,1.0733203,1.700094,0.28312744303346904,1.0
Psma4,1.0733203,1.0738472,0.28312744303346904,1.0
Tmsb4x,1.0710701,0.16541618,0.28413790043113496,1.0
Nudt18,1.06882,2.8382626,0.2851507960332902,1.0
mt-Co3,1.0665698,0.5763232,0.286166130582437,1.0
Cuta,1.0665698,1.1001565,0.286166130582437,1.0
Itm2b,1.0620695,0.32825303,0.288204119376948,1.0
Atp5l,1.0598193,1.3623726,0.2892267749923554,1.0
Huwe1,1.0553191,1.2858038,0.2912794119111526,1.0
Xrn2,1.0508188,1.3893065,0.29334182047850643,1.0
Mrfap1,1.0463185,2.2455196,0.2954140052450952,1.0
Necap2,1.0463185,2.3454516,0.2954140052450952,1.0
Stx16,1.0463185,2.1529784,0.2954140052450952,1.0
Wdr41,1.0395681,26.699156,0.2985406217989369,1.0
Sept5,1.0395681,26.522356,0.2985406217989369,1.0
mt-Nd1,1.0395681,0.57655835,0.2985406217989369,1.0
Hnrnpk,1.0395681,26.712126,0.2985406217989369,1.0
Cdca3,1.0395681,26.589138,0.2985406217989369,1.0
Ube3c,1.0373179,2.3598192,0.2995877196999054,1.0
Eif2s2,1.0283173,2.1439874,0.3038005841376049,1.0
Fubp1,1.0283173,2.3668678,0.3038005841376049,1.0
Ppp6r1,1.0283173,0.93191975,0.3038005841376049,1.0
Pom121,1.0283173,2.0554411,0.3038005841376049,1.0
