names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,135.07826,2.1534858,0.0,0.0
Ddx5,131.39644,2.2134123,0.0,0.0
B2m,131.13953,1.7374698,0.0,0.0
Actg1,128.14986,1.6910431,0.0,0.0
Cdc42,124.95649,1.9301797,0.0,0.0
H2-K1,124.41665,1.8686384,0.0,0.0
Hnrnpk,123.3393,1.8618729,0.0,0.0
Iqgap1,122.263695,1.6598142,0.0,0.0
Sf3b1,121.52163,1.6947352,0.0,0.0
Clk1,120.53588,1.9923224,0.0,0.0
Arpc5,119.76997,1.469655,0.0,0.0
Atp5b,119.60607,1.6225772,0.0,0.0
Atp5e,117.86092,1.9070547,0.0,0.0
Nsd1,117.70206,1.7230319,0.0,0.0
Lrp10,117.70162,1.6945847,0.0,0.0
Ddx17,117.64505,1.8927462,0.0,0.0
Serf2,116.71837,1.3719039,0.0,0.0
Hspa8,116.68242,1.5367097,0.0,0.0
Pdcd6ip,116.470146,1.5195787,0.0,0.0
Trip12,116.395966,1.5544468,0.0,0.0
Ddx3x,116.29008,1.686154,0.0,0.0
Chchd2,116.03845,1.529984,0.0,0.0
BC005537,115.723785,1.4223046,0.0,0.0
Btf3,115.55832,1.9908808,0.0,0.0
Clec2d,114.95,1.369581,0.0,0.0
Psap,114.80307,1.6935575,0.0,0.0
Myl12b,114.733284,1.4452554,0.0,0.0
Cops9,114.68741,1.6109198,0.0,0.0
Ivns1abp,114.477135,1.4423147,0.0,0.0
Gnas,114.28267,1.7819372,0.0,0.0
Eef1g,114.15948,2.2254958,0.0,0.0
Tbca,114.03348,1.7212892,0.0,0.0
Calm2,113.75023,1.5206043,0.0,0.0
Btg1,113.67578,1.5794923,0.0,0.0
Pkn1,113.55728,1.7969824,0.0,0.0
Clta,113.519104,1.392076,0.0,0.0
Idh3b,113.5155,1.5027914,0.0,0.0
Son,113.38921,1.456937,0.0,0.0
Tma7,113.3504,1.4224966,0.0,0.0
Sdf4,112.96689,1.4570326,0.0,0.0
Tax1bp1,112.924576,1.4431291,0.0,0.0
Mcl1,112.63279,1.342723,0.0,0.0
Wdr26,112.56824,1.8818121,0.0,0.0
Arpc1b,112.53318,1.4199188,0.0,0.0
Capzb,112.25184,1.3250173,0.0,0.0
Hnrnpul2,111.95897,1.666191,0.0,0.0
Rap1b,111.93582,1.3035306,0.0,0.0
Ogt,111.74667,1.9729823,0.0,0.0
Eif3f,111.69389,1.3629608,0.0,0.0
Ppp2ca,111.63043,1.364223,0.0,0.0
Psme1,111.310844,1.2764579,0.0,0.0
Tm9sf3,111.30839,1.3847185,0.0,0.0
Purb,111.2133,1.8444746,0.0,0.0
Pum2,110.75013,1.3035488,0.0,0.0
Actr3,110.61132,1.8897454,0.0,0.0
Arhgdia,110.38359,1.3306774,0.0,0.0
Dync1h1,110.17762,1.3454499,0.0,0.0
Srp9,109.793686,1.4494234,0.0,0.0
Cab39,109.70819,1.4497063,0.0,0.0
Arih1,109.68114,1.6180134,0.0,0.0
Rnf213,109.65507,1.4467067,0.0,0.0
Cyc1,109.5091,1.4651365,0.0,0.0
Ptbp3,109.47709,1.2061554,0.0,0.0
Eef2,109.32281,1.5848117,0.0,0.0
Lnpep,109.29656,1.4395968,0.0,0.0
Ndufa13,109.25149,1.3264922,0.0,0.0
Gna13,109.177826,1.3995602,0.0,0.0
Mgat4b,109.15607,1.4957457,0.0,0.0
Plekhb2,109.13012,1.4696357,0.0,0.0
Bzw1,109.0044,1.3909976,0.0,0.0
Surf4,108.86228,1.4030014,0.0,0.0
Arcn1,108.83917,1.3141872,0.0,0.0
Psma4,108.76982,1.410926,0.0,0.0
Ube2d2a,108.76487,1.2059929,0.0,0.0
Fis1,108.74249,1.2979345,0.0,0.0
Cops6,108.71901,1.6582533,0.0,0.0
S100a6,108.6668,1.5818211,0.0,0.0
Copa,108.56686,1.356096,0.0,0.0
Ddx6,108.28112,1.615303,0.0,0.0
Plec,108.20506,1.9815359,0.0,0.0
Mknk2,108.14205,1.3074086,0.0,0.0
Pfn1,108.1365,1.2398679,0.0,0.0
Gsdmc4,108.09845,1.558227,0.0,0.0
Becn1,107.891716,1.7062907,0.0,0.0
Ugt2b34,107.88498,1.5365871,0.0,0.0
Hnrnpm,107.83815,1.5294895,0.0,0.0
Tmsb4x,107.836266,1.6124287,0.0,0.0
Atp6v1g1,107.754906,1.5504259,0.0,0.0
Rab21,107.73877,1.3767487,0.0,0.0
Sptbn1,107.69412,1.2378689,0.0,0.0
Twf1,107.6832,1.7371023,0.0,0.0
Eef1b2,107.64368,1.327666,0.0,0.0
Cltc,107.55139,1.486107,0.0,0.0
Arf4,107.5427,1.329047,0.0,0.0
Rsrp1,107.48149,1.6672161,0.0,0.0
H2afy,107.337944,1.227007,0.0,0.0
Mbd2,107.31928,1.2108644,0.0,0.0
Yme1l1,107.283516,1.347632,0.0,0.0
Leng8,107.18366,1.725511,0.0,0.0
Rab6a,107.13099,1.4218837,0.0,0.0
Ndufa1,107.03794,1.2775948,0.0,0.0
Serbp1,106.95612,1.7659918,0.0,0.0
Ppp2r5a,106.78836,1.2811893,0.0,0.0
Elf1,106.70936,1.1596923,0.0,0.0
Dbnl,106.60107,1.5905436,0.0,0.0
Mprip,106.52608,1.941476,0.0,0.0
Mtch1,106.452614,1.4720507,0.0,0.0
Galnt1,106.36341,1.5007668,0.0,0.0
Tut7,106.33212,1.5608062,0.0,0.0
Ifngr1,106.24944,1.2266815,0.0,0.0
Drap1,106.233734,1.5780176,0.0,0.0
Dlst,106.139786,1.416105,0.0,0.0
Zmynd11,106.06748,1.7786378,0.0,0.0
Cdc37,106.059044,1.6227537,0.0,0.0
Slc44a1,105.984634,1.3897126,0.0,0.0
Arf5,105.85961,1.2351186,0.0,0.0
Tomm5,105.805046,1.6531056,0.0,0.0
Mgam,105.80068,1.6252136,0.0,0.0
Pdcd4,105.78383,1.410321,0.0,0.0
Cd63,105.671165,1.3665648,0.0,0.0
Etnk1,105.65707,1.3270413,0.0,0.0
Tbl1xr1,105.62205,1.3165694,0.0,0.0
Dusp11,105.61846,1.2668207,0.0,0.0
Efhd2,105.42178,1.5792342,0.0,0.0
Gnai3,105.413216,1.2328639,0.0,0.0
Myh9,105.39719,1.6848572,0.0,0.0
Lin7c,105.395546,1.4048862,0.0,0.0
Cap1,105.36332,1.1820004,0.0,0.0
Wdr1,105.31473,1.2397226,0.0,0.0
Stk38,105.31051,1.633067,0.0,0.0
Dynlrb1,105.27627,1.3060775,0.0,0.0
Tmed2,105.25691,2.0394573,0.0,0.0
Ctnnd1,105.208206,1.3519788,0.0,0.0
Sptan1,105.139305,1.3560388,0.0,0.0
Add1,105.108185,1.2206061,0.0,0.0
Hipk1,105.0522,1.0939637,0.0,0.0
Ly6e,105.04076,1.2856694,0.0,0.0
Atp6v0a2,104.99175,1.8884547,0.0,0.0
Ankrd13a,104.985146,1.1660892,0.0,0.0
Psmb10,104.90153,1.8181767,0.0,0.0
Myo6,104.89138,1.2558974,0.0,0.0
Plgrkt,104.84641,1.1877567,0.0,0.0
Nsd3,104.77788,1.199621,0.0,0.0
Tapbp,104.72809,1.4875411,0.0,0.0
B4galnt1,104.6692,1.70896,0.0,0.0
Uqcrc2,104.64177,1.2755625,0.0,0.0
Psmc6,104.630684,1.264732,0.0,0.0
Gdi2,104.581375,1.2990618,0.0,0.0
Copb2,104.53413,1.4583352,0.0,0.0
Atp5g3,104.46848,1.3312982,0.0,0.0
Fau,104.37822,1.2934772,0.0,0.0
Ppm1a,104.345695,1.2487916,0.0,0.0
Cggbp1,104.26801,1.3801613,0.0,0.0
Stat1,104.26441,1.9586109,0.0,0.0
Rnasek,104.24842,1.4373462,0.0,0.0
Ap1g1,104.23542,1.4841633,0.0,0.0
Tln1,104.19853,2.3116786,0.0,0.0
Rnf187,104.1773,1.9601684,0.0,0.0
Dcaf11,104.11448,1.3409692,0.0,0.0
Abhd2,104.09218,1.2730513,0.0,0.0
Jak1,104.08861,1.7246207,0.0,0.0
Sept7,104.057304,1.5369841,0.0,0.0
Ap2m1,104.012276,1.5336345,0.0,0.0
Cox7a2,103.995415,1.6872753,0.0,0.0
Tmem50a,103.86647,1.5459088,0.0,0.0
Hnrnpu,103.85113,1.8135208,0.0,0.0
Ssr4,103.807816,1.1840613,0.0,0.0
Lta4h,103.744835,1.2397108,0.0,0.0
Lgals9,103.74476,1.1627347,0.0,0.0
Clptm1l,103.72335,1.2945472,0.0,0.0
Birc6,103.66578,1.6085593,0.0,0.0
Ywhah,103.65799,1.1851625,0.0,0.0
Srsf6,103.61617,1.617777,0.0,0.0
Use1,103.60128,1.2617097,0.0,0.0
Prkar1a,103.582794,1.6697775,0.0,0.0
Sf3b6,103.47902,1.4764684,0.0,0.0
Adipor1,103.43965,1.1953446,0.0,0.0
Polr1d,103.42207,1.1873717,0.0,0.0
Fryl,103.34948,1.6449494,0.0,0.0
Cant1,103.33278,1.2553355,0.0,0.0
Ap1s1,103.30514,1.2769396,0.0,0.0
Irf2bp2,103.28158,1.228385,0.0,0.0
Ablim1,103.171906,1.664564,0.0,0.0
Lman2,103.13587,1.1337366,0.0,0.0
Rabac1,103.13265,1.4491979,0.0,0.0
Akap13,103.10991,1.7488194,0.0,0.0
Ssu72,103.01577,1.2149403,0.0,0.0
Atrnl1,103.01354,1.5601705,0.0,0.0
Cd38,103.01335,1.3273425,0.0,0.0
Hprt,102.99601,1.5067493,0.0,0.0
Kdm2a,102.991394,1.2393773,0.0,0.0
Copb1,102.98884,1.1180701,0.0,0.0
Hnrnpa2b1,102.966064,2.0589535,0.0,0.0
Skp1a,102.943344,1.5165194,0.0,0.0
Flnb,102.92816,1.6748654,0.0,0.0
Afg3l2,102.904205,1.4145297,0.0,0.0
Cmas,102.900055,1.254023,0.0,0.0
Tram1,102.891174,1.0899521,0.0,0.0
Fus,102.86434,1.3551084,0.0,0.0
Nono,102.86217,1.5931412,0.0,0.0
Ppp6r1,102.86123,1.4662697,0.0,0.0
Abracl,102.72161,1.7267923,0.0,0.0
Fgfr1op2,102.68599,1.3097212,0.0,0.0
Dnajc3,102.598,1.3748214,0.0,0.0
Impad1,102.54462,1.3433164,0.0,0.0
Cox7c,102.50907,1.2347572,0.0,0.0
Selenow,102.49839,1.7375576,0.0,0.0
Smarcc2,102.44722,1.1854943,0.0,0.0
Uqcrc1,102.404564,1.3155116,0.0,0.0
Cd47,102.29482,1.3508967,0.0,0.0
Vcp,102.27048,1.1327755,0.0,0.0
Selenot,102.25928,1.345201,0.0,0.0
Sec11c,102.25644,1.1697898,0.0,0.0
Snx3,102.24573,1.4015499,0.0,0.0
Timm13,102.21782,1.2107476,0.0,0.0
Slc35a3,102.16037,1.1658691,0.0,0.0
Lypla1,102.15482,2.070272,0.0,0.0
Sema4g,102.14288,1.5706136,0.0,0.0
P4hb,102.13838,1.3045636,0.0,0.0
Ccni,102.10431,1.0918031,0.0,0.0
Rnf10,102.07098,1.1758711,0.0,0.0
Cmpk1,101.99099,1.1458485,0.0,0.0
Atp5md,101.97621,1.3801613,0.0,0.0
Pmm2,101.911255,1.176443,0.0,0.0
Arf3,101.81728,1.1371065,0.0,0.0
Eif4ebp2,101.81581,1.0933452,0.0,0.0
Ppp2cb,101.76966,1.1714659,0.0,0.0
Pabpc1,101.723625,2.3968709,0.0,0.0
Ap2b1,101.68954,1.1815299,0.0,0.0
Psma6,101.55296,1.3965688,0.0,0.0
Map1lc3b,101.546585,1.0233022,0.0,0.0
Gnb1,101.50661,1.1638184,0.0,0.0
Sh3glb1,101.50004,1.0035433,0.0,0.0
Vamp3,101.49646,1.3348459,0.0,0.0
Esrra,101.43865,1.3851869,0.0,0.0
Nedd8,101.43647,1.185341,0.0,0.0
Ciao2a,101.409546,1.1953304,0.0,0.0
Zfp207,101.35473,1.2104145,0.0,0.0
Mier1,101.335655,1.2254592,0.0,0.0
Ezr,101.27112,1.4143077,0.0,0.0
Raly,101.19494,1.264983,0.0,0.0
Zbtb7a,101.1728,1.6367064,0.0,0.0
Camk2d,101.10911,1.222205,0.0,0.0
Gabarap,101.095726,1.6722339,0.0,0.0
Tpm1,101.06813,1.1634098,0.0,0.0
Capns1,101.04723,1.1327597,0.0,0.0
Jpt1,101.03669,1.0666294,0.0,0.0
Acin1,101.0155,1.5114579,0.0,0.0
Tubb4b,101.009476,1.155996,0.0,0.0
Cnot6l,101.00625,1.3686742,0.0,0.0
Paip2,100.9736,1.0845039,0.0,0.0
March7,100.95913,1.3104372,0.0,0.0
Ptbp1,100.91805,1.3149383,0.0,0.0
Glud1,100.895485,1.2623227,0.0,0.0
Arf6,100.76881,1.0749352,0.0,0.0
Tmsb10,100.75906,1.0754557,0.0,0.0
Srpk1,100.756905,1.5500987,0.0,0.0
Smg1,100.7283,1.9040899,0.0,0.0
Ubr4,100.7273,1.2502195,0.0,0.0
Ythdf3,100.71014,1.1909599,0.0,0.0
Spcs1,100.6948,1.1216937,0.0,0.0
Saraf,100.68063,1.3613806,0.0,0.0
Pten,100.65106,0.9843214,0.0,0.0
Ube2q1,100.63239,1.9441252,0.0,0.0
Csde1,100.62371,1.9283969,0.0,0.0
Sp3,100.59217,1.2510189,0.0,0.0
Rbm14,100.52784,2.0234299,0.0,0.0
Myo1d,100.50601,1.1505812,0.0,0.0
Ildr1,100.497604,1.2992482,0.0,0.0
Txn1,100.4515,1.3190453,0.0,0.0
Tmem14c,100.45098,1.2863529,0.0,0.0
Atp2a2,100.436195,1.0383022,0.0,0.0
Golga4,100.4204,1.6982719,0.0,0.0
Cox17,100.41027,1.1651609,0.0,0.0
Abi1,100.40279,1.0525537,0.0,0.0
Ehmt2,100.39416,1.4219184,0.0,0.0
Pdhb,100.29622,1.7747803,0.0,0.0
Dgka,100.252815,1.4813497,0.0,0.0
Prrc2c,100.25236,0.970394,0.0,0.0
Ndufc1,100.23099,1.4122524,0.0,0.0
Rhoa,100.21386,1.3458393,0.0,0.0
Psmb5,100.16301,1.343088,0.0,0.0
Ppm1b,100.14327,1.5922039,0.0,0.0
Rtn4,100.12319,1.3023183,0.0,0.0
Dazap1,100.11589,1.2414967,0.0,0.0
Edem1,100.08049,1.0211804,0.0,0.0
Kif5b,100.07486,1.0740365,0.0,0.0
Coa3,99.989555,1.368632,0.0,0.0
Ndufs3,99.986984,1.1429068,0.0,0.0
Kmt2d,99.94289,1.4769266,0.0,0.0
Atp6v0b,99.93962,1.3587176,0.0,0.0
Cstb,99.93074,1.4310603,0.0,0.0
Prpf4b,99.8998,1.8893938,0.0,0.0
Pitpna,99.887146,0.9688318,0.0,0.0
Dgkz,99.86638,1.0872202,0.0,0.0
Cryl1,99.79143,1.4118316,0.0,0.0
Net1,99.781075,1.1810853,0.0,0.0
Ctdsp1,99.764496,1.3018361,0.0,0.0
Rp9,99.720566,1.4574618,0.0,0.0
Slk,99.69148,1.8711562,0.0,0.0
Patj,99.64883,1.1727176,0.0,0.0
Srebf2,99.64579,0.97419035,0.0,0.0
Thoc7,99.593765,1.1731827,0.0,0.0
Sf3b2,99.58668,1.0293195,0.0,0.0
Mob1a,99.5795,1.5883095,0.0,0.0
Usp25,99.57826,1.2870402,0.0,0.0
Acads,99.57085,1.2682459,0.0,0.0
Cotl1,99.55529,1.8419734,0.0,0.0
Ssb,99.54224,1.2516307,0.0,0.0
Tmed7,99.53194,1.0555704,0.0,0.0
Kras,99.53088,1.660055,0.0,0.0
Babam1,99.50831,1.3964429,0.0,0.0
Lrp6,99.50628,1.2414649,0.0,0.0
Ostc,99.45916,1.5613319,0.0,0.0
Cst3,99.45898,1.1226039,0.0,0.0
Ralgapa2,99.4546,1.1794066,0.0,0.0
