names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,86.551704,1.8730212,0.0,0.0
Ddx5,83.3582,1.7466649,0.0,0.0
Atp5b,83.145615,1.7732885,0.0,0.0
Mgam,82.895454,1.7397591,0.0,0.0
Atp5e,82.41028,1.84974,0.0,0.0
Btf3,81.43664,1.8539219,0.0,0.0
Lrp10,81.06875,1.6371552,0.0,0.0
Ugt2b34,80.910545,1.6998031,0.0,0.0
Psap,80.56245,1.6419693,0.0,0.0
Hnrnpk,80.23023,1.6134492,0.0,0.0
Cdc42,79.75367,1.5671326,0.0,0.0
Lypla1,79.38258,2.2600622,0.0,0.0
Plec,78.99093,2.044615,0.0,0.0
Mgat4b,78.60975,1.4906754,0.0,0.0
Flnb,78.20688,1.7015908,0.0,0.0
Clk1,77.872444,1.5549511,0.0,0.0
Sema4g,77.746414,1.6206604,0.0,0.0
Tax1bp1,77.73094,1.447287,0.0,0.0
Actg1,77.69173,1.6057286,0.0,0.0
Slc44a1,77.59862,1.4776981,0.0,0.0
Eef1g,77.2257,2.2153718,0.0,0.0
Fam98c,77.081276,1.5747952,0.0,0.0
Cops9,76.80834,1.4694235,0.0,0.0
Atp6v0a2,76.7918,1.8444293,0.0,0.0
Psmb10,76.71619,1.6773039,0.0,0.0
Twf1,76.44385,1.631928,0.0,0.0
Cops6,76.38724,1.5134926,0.0,0.0
Cltc,76.309074,1.3922204,0.0,0.0
Ctnnd1,76.26165,1.4657481,0.0,0.0
Esrra,76.25834,1.4070395,0.0,0.0
Cant1,76.22207,1.3868293,0.0,0.0
Ddx3x,76.09728,1.433182,0.0,0.0
Sf3b1,76.06849,1.2909361,0.0,0.0
Nsd1,75.95645,1.3341724,0.0,0.0
Ahnak,75.93319,1.9138943,0.0,0.0
Mprip,75.81942,1.7341704,0.0,0.0
Iqgap1,75.78834,1.3291118,0.0,0.0
Purb,75.76157,1.5262176,0.0,0.0
Ap1s1,75.725555,1.3584665,0.0,0.0
Ddx17,75.46305,1.4773624,0.0,0.0
Hnrnpul2,75.444984,1.3773758,0.0,0.0
Atrnl1,75.38652,1.5796766,0.0,0.0
Cox7a2,75.25301,1.5027738,0.0,0.0
Serf2,75.19913,1.2368479,0.0,0.0
Gnas,75.094894,1.3895588,0.0,0.0
Actr3,75.05666,1.5860709,0.0,0.0
Tbca,75.03523,1.3972255,0.0,0.0
Cryl1,74.98729,1.4541982,0.0,0.0
Coa3,74.92611,1.4308667,0.0,0.0
Atp6v1g1,74.86079,1.4230174,0.0,0.0
Becn1,74.50933,1.4401184,0.0,0.0
Tmprss4,74.27181,1.2772418,0.0,0.0
Dlst,74.170074,1.3541963,0.0,0.0
Eppk1,74.16438,1.466286,0.0,0.0
Spr,74.04902,1.6605268,0.0,0.0
Afdn,74.04832,1.609242,0.0,0.0
Cyc1,73.90823,1.4982178,0.0,0.0
Lin7c,73.84301,1.3499371,0.0,0.0
Myo6,73.79846,1.1970575,0.0,0.0
Mtch1,73.79543,1.2891686,0.0,0.0
Tmed2,73.7611,1.9029357,0.0,0.0
Pkn1,73.75085,1.3677955,0.0,0.0
