names,scores,logfoldchanges,pvals,pvals_adj
Tmsb4x,5.3599916,3.5639846,8.322587526376633e-08,0.0011401944911135985
Tpt1,4.920648,1.6872123,8.625817951813961e-07,0.00519604693066595
Rac2,4.8661695,3.5272882,1.1378204957662663e-06,0.00519604693066595
Arhgdib,4.7044907,4.377302,2.545002352922628e-06,0.00871663305876
Ets1,4.2247276,4.043461,2.3922984731987856e-05,0.05462414847137227
Trac,3.9751806,4.0894427,7.032587774740788e-05,0.10705161390438755
Laptm5,3.9470625,3.5216732,7.911588251055541e-05,0.10838875903946092
Coro1a,3.7396924,2.459476,0.00018424556529718938,0.21630709592358527
Cd3d,3.732663,30.190678,0.00018946606942211848,0.21630709592358527
Cd3g,3.6412795,2.92709,0.00027128646092619123,0.27070426092660627
Shisa5,3.63425,2.0972207,0.000278790476005131,0.27070426092660627
mt-Co1,3.6184337,4.2029414,0.0002963915265619777,0.27070426092660627
Ighm,3.5797713,3.0071158,0.0003438949686319231,0.28853484565470877
Trbc2,3.5692272,3.2206616,0.00035803593986350726,0.28853484565470877
Limd2,3.384703,30.000868,0.000712553551568423,0.46485636459463786
mt-Atp6,3.3600996,1.6670247,0.0007791438389988252,0.48519411792199574
Cd52,3.2195096,3.0030065,0.001284100437970685,0.7330073333415994
Lcp1,3.1246114,3.1548774,0.0017804007500197545,0.9756596110108255
Sept1,3.0683753,29.678543,0.002152260231103687,1.0
Evl,3.0367427,29.701805,0.0023914948555550848,1.0
Fabp2,2.9945657,2.2314599,0.0027483582884805374,1.0
Slfn2,2.8785791,29.63482,0.0039947117314414644,1.0
B2m,2.8328874,1.8311764,0.004612964618057828,1.0
Btg1,2.7731366,3.4273095,0.005551881426220237,1.0
Lck,2.7397466,3.4246147,0.006148659456146053,1.0
Thy1,2.6887827,29.675081,0.0071713103347474175,1.0
Ctsw,2.6026714,3.1430492,0.009250059876492783,1.0
Ltb,2.5622516,29.343512,0.010399593002907296,1.0
Cd160,2.5622516,29.50524,0.010399593002907296,1.0
Rap1b,2.5569797,3.1401775,0.010558542642041474,1.0
Capzb,2.5552223,3.381572,0.010612004028204036,1.0
Itm2b,2.5552223,1.5002785,0.010612004028204036,1.0
Msn,2.5411632,3.2317946,0.011048434272385757,1.0
Itk,2.530619,29.241667,0.011386147681402187,1.0
Gimap4,2.4919567,2.2524076,0.012704152524935312,1.0
Cd53,2.479655,2.6876483,0.01315095297536701,1.0
Ptprc,2.470868,2.5482354,0.013478548284339458,1.0
Il2rg,2.4673533,29.17014,0.013611592347869964,1.0
Tmsb10,2.4638388,1.6831135,0.013745795202538661,1.0
Fxyd5,2.4286911,3.1769445,0.015153431757762835,1.0
Gimap6,2.404088,3.1821895,0.016212870685152446,1.0
mt-Nd5,2.3865142,2.136093,0.017008948602233075,1.0
Mknk2,2.3742125,3.40307,0.017586420200508598,1.0
Fau,2.3302782,1.3877399,0.019791448773194917,1.0
Rasal3,2.3250062,3.0860107,0.02007163178800161,1.0
Cd47,2.2775571,29.054747,0.02275298271048138,1.0
Zdhhc18,2.2775571,29.049055,0.02275298271048138,1.0
Grk2,2.2775571,28.99322,0.02275298271048138,1.0
Jak1,2.2740424,3.0482376,0.02296344405533431,1.0
Emb,2.249439,3.091676,0.024484576580509815,1.0
Dock10,2.2459242,28.964254,0.024708857087800365,1.0
Ptpn18,2.2459242,29.034845,0.024708857087800365,1.0
Trbc1,2.20199,2.9055767,0.02766601881723267,1.0
Sprr2a3,2.182659,29.012068,0.029060944129175818,1.0
Dgka,2.182659,29.046589,0.029060944129175818,1.0
Rasgrp1,2.151026,28.973259,0.03147414042051629,1.0
Nsd3,2.122908,2.6842382,0.03376155337661651,1.0
Cd7,2.1141212,1.4888291,0.03450491427580206,1.0
Hist1h2bc,2.089518,2.66654,0.03666112012880187,1.0
Sf3b1,2.0561278,28.866575,0.03977019149672866,1.0
Gpsm3,2.0561278,28.791958,0.03977019149672866,1.0
Arhgap45,2.052613,2.1418507,0.040110112916147335,1.0
Stk17b,2.0508559,2.679522,0.04028099572935688,1.0
Ccl5,2.0315247,1.8553642,0.04220180252242779,1.0
Pkn1,2.0244951,28.83482,0.04291923112214881,1.0
Tcf7,2.0244951,28.952065,0.04291923112214881,1.0
Ablim1,2.0086787,2.8075948,0.04457121100990112,1.0
Wipf1,1.9998919,2.6216323,0.04551193753765852,1.0
Rabac1,1.9893477,2.9676328,0.046662842634554606,1.0
Ikzf1,1.9629871,2.8368473,0.049647679382192236,1.0
Mcl1,1.9612297,28.710894,0.049852237163496224,1.0
Tcrg-C4,1.9612297,28.843159,0.049852237163496224,1.0
Cd2,1.9612297,28.843924,0.049852237163496224,1.0
H2-Q7,1.9506854,1.8112622,0.05109447820246606,1.0
Lfng,1.9295969,28.731873,0.05365679900839256,1.0
Tma7,1.9295969,28.699257,0.05365679900839256,1.0
Ppp1ca,1.8979642,28.648155,0.057700798496490374,1.0
Ndfip1,1.8979642,1.6174177,0.057700798496490374,1.0
Rassf5,1.8926921,2.7233272,0.05839883098101871,1.0
Ube2r2,1.8839052,3.1131387,0.05957779928116417,1.0
Macf1,1.878633,2.0400689,0.06029461096316861,1.0
Grcc10,1.8698462,1.7891248,0.06150517732246612,1.0
Arhgef1,1.8698462,1.7878326,0.06150517732246612,1.0
Cd247,1.8663315,28.696747,0.0619950057765776,1.0
Rbm38,1.8645741,3.2228427,0.06224112794090085,1.0
Sh3bgrl3,1.8522725,1.8926737,0.06398670732532315,1.0
mt-Co2,1.8470004,1.1118615,0.06474709043546438,1.0
B4galnt1,1.8346987,28.512793,0.06655034144118334,1.0
Ifi27l2a,1.8346987,28.817299,0.06655034144118334,1.0
Ms4a4b,1.8346987,28.783117,0.06655034144118334,1.0
Cnn2,1.831184,1.3971139,0.06707308766830244,1.0
Fyb,1.8223971,2.6711872,0.06839475363327288,1.0
Bin2,1.8206397,2.7517838,0.06866163929887545,1.0
Tecr,1.8206397,2.0213556,0.06866163929887545,1.0
Npc2,1.8100954,2.1986415,0.070280981100539,1.0
Etnk1,1.803066,28.68311,0.07137785199735003,1.0
Ppp2r5c,1.803066,28.589334,0.07137785199735003,1.0
Vsir,1.803066,28.637278,0.07137785199735003,1.0
Slc9a3r1,1.7714332,28.51679,0.07648868332759998,1.0
Myl12a,1.7714332,2.5839295,0.07648868332759998,1.0
Gimap8,1.7714332,28.550335,0.07648868332759998,1.0
Lbh,1.7661611,2.244253,0.07736882045941593,1.0
Sdf4,1.7538595,2.358343,0.07945458329780894,1.0
Clec2d,1.7415578,1.81252,0.08158583550747366,1.0
Srgn,1.7345284,1.4730452,0.08282437268329206,1.0
Il2rb,1.7292563,3.007753,0.08376323966023262,1.0
Sema4d,1.7274989,2.636537,0.08407810354867648,1.0
Stat1,1.7081678,28.601496,0.08760521555227418,1.0
Lat,1.7081678,28.655285,0.08760521555227418,1.0
