names,scores,logfoldchanges,pvals,pvals_adj
mt-Co2,5.344353,0.767754,9.074047101103199e-08,0.0006166722409909735
mt-Co3,4.0720134,0.8703157,4.6608523918211046e-05,0.15837576427408115
mt-Atp8,3.6475716,0.5248335,0.00026473059237653386,0.5997030352636414
mt-Co1,3.1559744,0.9031444,0.00159962857906713,1.0
mt-Nd5,3.114105,0.6576348,0.001845038270488775,1.0
Shisa5,3.0968647,0.33997855,0.001955791802776987,1.0
Muc2,3.0676382,0.17826812,0.002157577701107526,1.0
Tmsb4x,2.9740474,0.20707415,0.00293899641191243,1.0
Serf2,2.7381005,0.7993064,0.0061795182220877685,1.0
Sh3bgrl3,2.6356435,0.64643115,0.008397792720644377,1.0
Hmgcs2,2.635151,0.48111263,0.008409989978132646,1.0
mt-Cytb,2.5477996,0.48204315,0.010840472714005345,1.0
mt-Atp6,2.502318,0.5063817,0.012338310442301537,1.0
Cfl1,2.4701357,0.33108363,0.013506177298422824,1.0
Cox7b,2.232711,0.4124758,0.025567999004572364,1.0
Sdhb,2.1520917,0.7397632,0.03139012089369655,1.0
Fth1,2.1258209,0.27312586,0.0335181836746078,1.0
Xcl1,2.105625,0.6949723,0.03523694582396842,1.0
Pfn1,2.0816526,0.4150317,0.03737421417054051,1.0
Dazap2,2.0542321,0.53219473,0.03995322553105593,1.0
Tagln2,2.009243,0.5164465,0.044511369770718894,1.0
Me2,1.9468492,0.8824747,0.05155281091905913,1.0
Cd247,1.9391321,0.5938089,0.052485251936210675,1.0
mt-Nd6,1.9048156,0.84446734,0.05680405041096808,1.0
Arpc5,1.8946356,0.58093685,0.05814070458999865,1.0
Micos13,1.8892171,0.68132967,0.0588627412527651,1.0
Nono,1.8706632,0.5161343,0.06139177977858654,1.0
Cotl1,1.8614683,0.29452297,0.06267806997844308,1.0
Trir,1.8553932,0.51704454,0.06354010603880243,1.0
Maz,1.8166434,0.79131526,0.06927174297398751,1.0
Nans,1.7480102,0.4510539,0.08046225925543382,1.0
Pfdn6,1.7391437,1.1127588,0.08200948414666215,1.0
Tpt1,1.7338895,0.14165509,0.08293768768276805,1.0
Phgr1,1.7248589,0.32648984,0.08455291378652396,1.0
Raly,1.69711,0.57296425,0.08967585738580891,1.0
Eef1b2,1.6966175,0.30724317,0.0897690060557063,1.0
Ndufa6,1.6782278,0.35284904,0.09330265109551501,1.0
Psme1,1.6641071,0.3330005,0.09609104150672243,1.0
Manf,1.6631218,0.5722357,0.09628804290528478,1.0
Hadhb,1.6458815,0.34489316,0.0997881602394263,1.0
Hnrnpl,1.6447321,0.3530665,0.10002506324553818,1.0
Rnf213,1.6407914,0.5280558,0.10084070853634974,1.0
Poldip3,1.6358657,1.041382,0.10186770796501293,1.0
Cnpy2,1.6320891,0.66997206,0.10266069899774385,1.0
Prkacb,1.6296263,0.47389397,0.103180507229637,1.0
Aldoa,1.620103,0.6513837,0.10521014872991802,1.0
Pon2,1.6020417,0.71848315,0.10914639494606075,1.0
Ndufb11,1.5838162,0.3626248,0.11323556803687218,1.0
Ctcf,1.5639486,1.0271324,0.11782962951898249,1.0
Kif5b,1.563456,0.76658255,0.11794536272451057,1.0
U2af2,1.5524551,0.7456042,0.12055337821739302,1.0
Gclm,1.5358715,0.831547,0.12456991016405994,1.0
Ndufb7,1.5355431,0.38364595,0.12465048662835605,1.0
Ifi27l2a,1.521094,0.54215586,0.12823625293349666,1.0
Cd7,1.5127201,0.13932768,0.13035077430076536,1.0
Sdha,1.509272,0.37542108,0.13122928347383,1.0
Irf7,1.4964648,0.8195795,0.13453255443710205,1.0
Ndufs4,1.4894046,0.7042918,0.13638087641060184,1.0
Calm2,1.4549237,1.254505,0.14569036573232502,1.0
Myc,1.4531176,0.62292266,0.14619109477879202,1.0
Sdhc,1.449177,0.38234475,0.14728816459458918,1.0
Smdt1,1.4342353,0.3427466,0.15150512152207624,1.0
Tmsb10,1.4319366,0.14373958,0.15216196627166007,1.0
Snrnp70,1.4258615,0.58679855,0.15390834763611863,1.0
Vim,1.4227418,0.38586986,0.15481103810802072,1.0
Rab22a,1.420443,0.9905362,0.15547874742630294,1.0
Akt1,1.4179801,0.4435762,0.15619657367246784,1.0
Rnf187,1.4076359,0.41387615,0.15923891833926784,1.0
Xpo1,1.4071432,0.7443821,0.15938490239180636,1.0
Leprotl1,1.4027101,0.53180385,0.16070331799510607,1.0
Ndufv3,1.3979484,0.37111625,0.16212855522840552,1.0
Samd9l,1.3951571,1.0226506,0.16296846261790332,1.0
Ndufa2,1.394993,0.32118034,0.16301797093329118,1.0
Trac,1.394172,0.26007277,0.1632656826528478,1.0
Eftud2,1.3885894,0.5817642,0.16495765378192628,1.0
Higd2a,1.3876042,0.9041064,0.16525760233825837,1.0
Coro1a,1.3810364,0.17257336,0.16726775820156248,1.0
Dars,1.3724984,0.71760374,0.16990835446389274,1.0
Hadha,1.3575567,0.66226214,0.17460439640809244,1.0
Itm2c,1.3458989,0.40769863,0.17833512326252887,1.0
Ms4a6b,1.3365399,1.2775984,0.18137288816627994,1.0
Lck,1.332435,0.23360957,0.18271729187794838,1.0
Ppp1r18,1.3301363,0.442337,0.1834733774791112,1.0
Jak3,1.3289869,1.3072195,0.18385228834352085,1.0
Ptpn7,1.3174933,1.504865,0.18767331713125313,1.0
Lin7c,1.3122392,1.0565255,0.189439468277391,1.0
Gls,1.30797,0.8349686,0.19088346185647054,1.0
Tcp1,1.3063282,0.8235496,0.1914409959197615,1.0
Otub1,1.2867891,0.80912554,0.198167831141007,1.0
Hnrnpa1,1.2867891,0.31704313,0.198167831141007,1.0
