names,scores,logfoldchanges,pvals,pvals_adj
Tmsb4x,5.948454,4.052129,2.706869793939535e-09,2.883271806377075e-05
Cd3d,5.805883,30.917624,6.402764199037829e-09,2.9239289842272754e-05
Laptm5,5.7451844,4.166607,9.182078809772096e-09,3.1448619923469425e-05
Rac2,5.666841,3.6620743,1.4545409906314153e-08,3.985442314330078e-05
Ctsw,5.173489,4.259141,2.2976231531370923e-07,0.00044967767425683087
Ets1,5.173489,4.0004344,2.2976231531370923e-07,0.00044967767425683087
Trac,5.076795,4.420438,3.8385435255018845e-07,0.0006573505787421976
Lcp1,4.9991574,3.8280413,5.75813521450378e-07,0.0008765161382077977
Evl,4.9673967,30.301077,6.785769746299622e-07,0.0009296504552430483
Cd7,4.8459997,2.8926203,1.2597574313296109e-06,0.0013519391448262948
Cd3g,4.841059,3.1888149,1.2914897523758219e-06,0.0013519391448262948
Cd160,4.827649,30.345251,1.3815436516473086e-06,0.0013519391448262948
Ptprc,4.7676563,3.493256,1.8638146757035282e-06,0.0017022840704758889
Arhgdib,4.728132,3.87591,2.2659530264352894e-06,0.0019402222788852165
Sept1,4.71331,30.131285,2.4372512727089884e-06,0.0019641377903595963
Ccl5,4.671668,3.4777193,2.9876377351998673e-06,0.0022739242762354547
Cd52,4.6526113,3.4583168,3.277576207507138e-06,0.0023633049496235682
Lck,4.6173215,4.059831,3.887247314875269e-06,0.002521413167469858
Gimap4,4.6109695,3.3163686,4.007956066752909e-06,0.002521413167469858
Btg1,4.608852,4.1079535,4.048984648491742e-06,0.002521413167469858
Il2rb,4.5763855,4.5915856,4.730788261458959e-06,0.0028179043122603365
Il2rg,4.535449,29.924307,5.748103324706516e-06,0.003281208981186636
Stk17b,4.409817,3.682834,1.0345785415566167e-05,0.00566949040773026
Coro1a,4.3328853,2.630783,1.4716766296312853e-05,0.0077546037792110036
Trbc2,4.2778335,3.1865015,1.8872121307194444e-05,0.009575854144761626
H2-Q7,4.257365,2.8496776,2.068502557670715e-05,0.010120887514317426
Limd2,4.2432494,29.77012,2.203064400952699e-05,0.010407580101052406
Ighm,4.213606,2.9136388,2.5132570506116293e-05,0.011477207197793106
Thy1,4.154319,30.275494,3.262578293717553e-05,0.01441849116900983
Klrd1,4.101384,3.1144598,4.106860184414141e-05,0.01758249516452304
Cd53,4.0618596,2.8906736,4.868335709351544e-05,0.020210969460035196
Mknk2,4.016689,3.9424841,5.902163054198096e-05,0.02378224524779821
Capzb,4.001867,3.6992824,6.284465631500642e-05,0.024599194043302512
mt-Co1,3.9510496,3.7320597,7.780922141911086e-05,0.02949788815610903
Gimap6,3.945403,3.5497248,7.966582932671782e-05,0.02949788815610903
Gimap3,3.911525,3.6172633,9.171519554774237e-05,0.0330657415527387
Ptpn22,3.8875277,29.536016,0.00010127038309567375,0.03557446790796744
B2m,3.8804698,2.1820853,0.00010425486635369432,0.03570729172614031
Fyn,3.8621192,29.392235,0.00011240772002097218,0.037560628397251675
Etnk1,3.8494148,29.433508,0.00011840035560655339,0.03862106837642337
Srgn,3.8430626,2.470318,0.00012150844254616454,0.038713154950754745
Zdhhc18,3.7985973,29.407629,0.00014551721599644833,0.045308769526166866
Ptpn6,3.7858932,29.60781,0.00015315750478682148,0.04626289436657615
Fcer1g,3.7767177,3.3850338,0.00015890863508290432,0.04626289436657615
Itk,3.7731888,29.385159,0.00016117424615337122,0.04626289436657615
Msn,3.7717772,3.4880004,0.0001620889729631865,0.04626289436657615
Rgs3,3.7604845,29.451748,0.00016958463115115865,0.04741447850552803
Nsd3,3.7336643,3.1299748,0.00018871409711189137,0.051707662608658236
