names,scores,logfoldchanges,pvals,pvals_adj
Fth1,5.5227776,0.66981554,3.336823916321822e-08,0.00022677055335323102
Cfl1,4.5499415,0.5970539,5.366078397967131e-06,0.01823393439629231
Cd7,4.147407,0.39781818,3.362621464775575e-05,0.09140950189845924
mt-Co3,3.909695,0.8777755,9.241274995329812e-05,0.2093456828942047
Muc2,3.8075464,0.1750767,0.00014035244937518577,0.2725243559867893
mt-Co2,3.6402996,0.54138565,0.0002723209705504977,0.45203967796318756
mt-Cytb,2.958674,0.614554,0.00308965730705511,1.0
Hist1h1e,2.8490808,0.3872786,0.00438457594209844,1.0
mt-Co1,2.8355763,0.91369283,0.0045743088139394055,1.0
Cd164,2.7739408,0.44210735,0.005538174550333221,1.0
Lck,2.7381022,0.46977308,0.006179485496899282,1.0
Sh3bgrl3,2.7145562,0.7011553,0.00663646481669522,1.0
mt-Atp8,2.6359537,0.36882457,0.008390118850057037,1.0
mt-Nd1,2.5552735,0.76356775,0.010610437005003468,1.0
Laptm5,2.4226534,0.35540172,0.015407614814486213,1.0
Serf2,2.349245,0.73948866,0.018811524059671222,1.0
Tff3,2.1982727,0.5775827,0.02792967035134306,1.0
Ccl5,2.1676283,0.3248134,0.030186983934616118,1.0
Poldip3,2.1627805,1.2141309,0.030558066021638595,1.0
Cbl,2.1563745,1.2413628,0.031054428647334802,1.0
Vasp,2.0819273,0.2967683,0.037349112969307936,1.0
mt-Nd4,2.0649602,1.1840078,0.03892676460888199,1.0
Tmsb4x,1.9924173,0.1729622,0.04632528113529534,1.0
Cystm1,1.9494803,0.3656932,0.05123808807070592,1.0
Epn1,1.8947703,0.647749,0.058122847867783024,1.0
Elk4,1.8530451,0.5547018,0.06387589107862646,1.0
Fis1,1.8192842,0.47781938,0.06886809143108934,1.0
mt-Atp6,1.8057797,0.4551143,0.07095274989435296,1.0
Dbnl,1.7687292,0.6675271,0.07693907111547427,1.0
Wdr1,1.7614577,0.61828727,0.0781609768656719,1.0
Evl,1.7611114,0.28663835,0.07821955466577406,1.0
Cotl1,1.7597263,0.26768246,0.07845422333830868,1.0
Cox6a1,1.754013,1.0967493,0.07942829525827887,1.0
U2af2,1.7157505,0.86950266,0.08620772457822189,1.0
Msn,1.6612135,0.34614268,0.0966705773511074,1.0
Mapre1,1.6594821,0.84792674,0.09701867325074913,1.0
Stag2,1.6587896,0.867,0.09715819194408509,1.0
Clca1,1.6492673,0.5749172,0.09909288665434669,1.0
Selenop,1.6402644,0.5752623,0.10095021118723937,1.0
Ppp1r18,1.6122168,0.6236011,0.10691477488536202,1.0
B4galnt2,1.6023482,0.44909722,0.1090786357708157,1.0
Runx3,1.5853812,0.41443768,0.11287976639128636,1.0
Abi3,1.5519664,0.2687536,0.12067026070938491,1.0
Rgs1,1.5396739,0.90701365,0.12363984947398021,1.0
Kcnab2,1.5298053,0.63730454,0.12606491546481238,1.0
Capzb,1.5083368,0.2866699,0.1314683406753897,1.0
Snrnp70,1.5038353,0.80195034,0.13262376170717555,1.0
mt-Nd5,1.4853101,0.41002923,0.13746169443997566,1.0
Psma4,1.4818474,0.561472,0.13838089103831588,1.0
Itgae,1.4416806,0.4075025,0.1493925175224947,1.0
Pfkp,1.4205583,0.6560153,0.15544521490641602,1.0
Glul,1.41623,0.9787157,0.15670819054690582,1.0
