names,scores,logfoldchanges,pvals,pvals_adj
Aldh1a1,95.67753,2.7279978,0.0,0.0
Hpgd,83.56995,1.8927752,0.0,0.0
Cyp4f14,81.09457,2.2268832,0.0,0.0
Tmigd1,80.23469,2.1839,0.0,0.0
Fabp2,75.92339,1.543763,0.0,0.0
Rfk,74.285995,1.4608277,0.0,0.0
Car1,69.98451,1.1276464,0.0,0.0
Mep1a,68.79542,1.5338848,0.0,0.0
Slc9a3r1,68.61495,1.8039408,0.0,0.0
Slc26a3,67.967674,1.5335611,0.0,0.0
Fam162a,67.60994,1.2917053,0.0,0.0
Emp1,65.51014,1.4619943,0.0,0.0
Maoa,65.35272,1.2234805,0.0,0.0
Anxa2,64.89548,1.2521282,0.0,0.0
Slc9a2,64.710106,1.5088605,0.0,0.0
Mep1b,64.01543,1.8567784,0.0,0.0
Mpp1,63.782116,2.1127658,0.0,0.0
Ugdh,62.18131,1.1890001,0.0,0.0
Cyp3a13,61.963017,2.1063325,0.0,0.0
Neu1,60.767715,1.7797347,0.0,0.0
Myo15b,60.668858,1.2651227,0.0,0.0
Aoc1,60.20878,1.4487834,0.0,0.0
Ndrg1,59.986534,1.6204238,0.0,0.0
Cdhr5,59.80315,1.1393443,0.0,0.0
Mpst,59.600655,1.1847051,0.0,0.0
Mall,59.525043,1.3443154,0.0,0.0
Ldha,59.117565,1.0879163,0.0,0.0
Apob,59.043835,2.5460837,0.0,0.0
Abcg2,59.03158,1.4841113,0.0,0.0
Smim22,58.716717,1.3186452,0.0,0.0
Pls1,58.16125,1.2916137,0.0,0.0
Enpep,58.161015,3.3994682,0.0,0.0
Myo1a,57.813866,1.1152108,0.0,0.0
Tmbim6,57.754475,1.1449189,0.0,0.0
Misp,56.71158,1.1062294,0.0,0.0
Erbin,56.631878,1.0629498,0.0,0.0
Akr1c19,56.140568,1.1101022,0.0,0.0
Ugt2b34,56.02351,1.2677044,0.0,0.0
Chp1,55.680973,1.1372076,0.0,0.0
Edf1,55.355125,1.0283489,0.0,0.0
Sdcbp2,55.340946,1.1607233,0.0,0.0
Abcb1a,55.147034,1.0739487,0.0,0.0
Cdh17,54.76856,1.0736091,0.0,0.0
Akr1c14,54.679794,1.3756727,0.0,0.0
Sema4a,54.38547,1.2037851,0.0,0.0
Slc51a,54.31817,1.9398527,0.0,0.0
Ipmk,54.25121,1.385893,0.0,0.0
Cldn7,54.193153,0.9885304,0.0,0.0
Plscr1,54.169567,1.1834465,0.0,0.0
Guca2a,54.04492,1.1019815,0.0,0.0
mt-Atp6,53.938126,1.1338094,0.0,0.0
Cab39,53.93536,1.2759234,0.0,0.0
H2-Q2,53.673294,1.5197304,0.0,0.0
Fa2h,53.501083,1.3125688,0.0,0.0
Slc27a4,52.89534,1.2370712,0.0,0.0
Myh14,52.809155,1.182452,0.0,0.0
Tfrc,52.752285,1.7882893,0.0,0.0
Spint1,52.67859,1.0271517,0.0,0.0
Cast,52.65881,1.312436,0.0,0.0
Abcc3,52.63243,1.206309,0.0,0.0
Cd82,52.52396,0.99486715,0.0,0.0
Sectm1b,52.404305,1.2753996,0.0,0.0
Prdx5,52.337257,1.0892467,0.0,0.0
Calm3,52.1896,0.9324285,0.0,0.0
Krt20,52.064213,1.20358,0.0,0.0
Ctss,52.043182,1.0622377,0.0,0.0
Spint2,51.98238,0.92734987,0.0,0.0
Slc35f5,51.929245,1.203591,0.0,0.0
Ppp2ca,51.904392,1.0949287,0.0,0.0
Plekhb2,51.879215,1.0717808,0.0,0.0
Scin,51.81246,1.2551496,0.0,0.0
Acox1,51.800198,1.7522558,0.0,0.0
Mgat4c,51.79134,1.0588535,0.0,0.0
Eps8,51.70694,1.340698,0.0,0.0
Ms4a8a,51.653908,0.99759364,0.0,0.0
Selenbp1,51.594017,1.1223687,0.0,0.0
Calml4,51.589767,0.95941174,0.0,0.0
Gsto1,51.46704,0.85634625,0.0,0.0
Ces2c,51.35199,1.0858384,0.0,0.0
Ifngr2,51.343204,0.96240646,0.0,0.0
Btg1,51.254494,1.2397101,0.0,0.0
Tpm1,51.16412,1.0249377,0.0,0.0
Tm4sf20,50.946857,1.0098983,0.0,0.0
Cyp2c55,50.9347,1.0860908,0.0,0.0
Pmp22,50.775883,1.1059179,0.0,0.0
Plpp2,50.60866,1.1214304,0.0,0.0
Cds1,50.464153,1.033888,0.0,0.0
Slc25a20,50.30262,1.0598267,0.0,0.0
Cyp2d26,50.269627,2.2925854,0.0,0.0
Hsd17b11,50.206314,1.0010276,0.0,0.0
Selenop,49.938896,1.0416278,0.0,0.0
Cxadr,49.86625,1.0060205,0.0,0.0
Ppp2r5c,49.745518,0.99340236,0.0,0.0
Slc10a2,49.68911,2.243152,0.0,0.0
Spink1,49.58146,1.874264,0.0,0.0
Eps8l3,49.573303,1.00033,0.0,0.0
Mxd1,49.557125,1.6378716,0.0,0.0
Mvp,49.482704,1.0459244,0.0,0.0
Sgk2,49.390717,1.8732933,0.0,0.0
Ces2e,49.291348,1.6953428,0.0,0.0
Vil1,49.23733,0.95232016,0.0,0.0
Sprr2a3,49.22793,1.0542545,0.0,0.0
Erbb3,49.21565,1.1712462,0.0,0.0
Coro2a,49.029034,0.98121333,0.0,0.0
Dhrs11,49.020687,1.2708316,0.0,0.0
Sgk1,48.987946,1.1782842,0.0,0.0
Calm1,48.92358,0.8901289,0.0,0.0
Sdf4,48.730354,1.0935,0.0,0.0
Slc51b,48.698948,2.0406694,0.0,0.0
Serpinb6a,48.682064,0.9032171,0.0,0.0
Tmem236,48.666904,1.3812534,0.0,0.0
Cyp2c65,48.601585,1.443191,0.0,0.0
Ifngr1,48.57524,1.0054135,0.0,0.0
Chmp2b,48.476936,1.0031449,0.0,0.0
Serpinb1a,48.26039,0.88281375,0.0,0.0
Hsd17b2,48.110195,0.97783047,0.0,0.0
Clrn3,48.070816,1.0502225,0.0,0.0
Arhgdia,47.91995,1.0094965,0.0,0.0
Serf2,47.853897,0.90931356,0.0,0.0
Plec,47.64,1.4804207,0.0,0.0
Clec2h,47.628822,0.9414973,0.0,0.0
Arpc5,47.601345,0.9194519,0.0,0.0
Sppl2a,47.592403,0.8910909,0.0,0.0
Ezr,47.56512,1.2914808,0.0,0.0
Slc13a2,47.500607,1.4632419,0.0,0.0
Gclc,47.44113,1.0200601,0.0,0.0
Lasp1,47.34081,0.9554642,0.0,0.0
Fis1,47.289703,0.95590276,0.0,0.0
Itm2b,47.240036,0.85917187,0.0,0.0
Lgals3,47.23522,0.8453886,0.0,0.0
Prom1,47.09348,0.90250605,0.0,0.0
Cmtm4,46.92274,1.0161238,0.0,0.0
Perp,46.91437,0.94677335,0.0,0.0
Agpat2,46.86493,0.9804842,0.0,0.0
Vamp8,46.835754,0.9538727,0.0,0.0
Gcnt3,46.715214,0.87200314,0.0,0.0
Cap1,46.546444,0.83683825,0.0,0.0
Isx,46.530914,0.98504007,0.0,0.0
Mcu,46.500298,0.8913921,0.0,0.0
Itprid2,46.46962,1.1330695,0.0,0.0
Plgrkt,46.398556,0.87819195,0.0,0.0
Ndufa1,46.36694,0.831734,0.0,0.0
Lmo7,46.35931,1.3073474,0.0,0.0
Saa3,46.300816,2.1932223,0.0,0.0
Mmp15,46.26336,1.1048394,0.0,0.0
Akr1c13,46.155712,0.879767,0.0,0.0
Acad11,46.065037,1.0269276,0.0,0.0
Ildr1,46.042274,0.9109712,0.0,0.0
Actg1,45.956997,0.8122251,0.0,0.0
BC031181,45.86395,1.2039328,0.0,0.0
Gltp,45.859894,1.0041567,0.0,0.0
Chmp3,45.844025,1.0502603,0.0,0.0
Anxa7,45.818768,0.956455,0.0,0.0
Riok3,45.787766,0.9909321,0.0,0.0
Cat,45.665466,0.9226592,0.0,0.0
Gipc2,45.65766,0.85501707,0.0,0.0
Ckmt1,45.574116,0.7980924,0.0,0.0
Smdt1,45.42546,0.8060301,0.0,0.0
Clic5,45.374622,1.0513195,0.0,0.0
H2-K1,45.352654,1.1152716,0.0,0.0
Tmem45b,45.343937,0.81639147,0.0,0.0
Arf6,45.23665,0.9206783,0.0,0.0
Cdhr2,45.22837,1.3874472,0.0,0.0
Itpk1,45.195568,0.95581937,0.0,0.0
Myl12b,45.163807,0.84840953,0.0,0.0
Cmpk1,45.162884,0.812995,0.0,0.0
Glrx,45.077023,0.8029536,0.0,0.0
Cideb,45.0757,1.3349053,0.0,0.0
Arpc1b,45.04177,0.89287144,0.0,0.0
Dsg2,44.982845,0.8029672,0.0,0.0
Pdcd6ip,44.964466,0.9532712,0.0,0.0
B2m,44.935146,0.8266137,0.0,0.0
Slc44a4,44.922707,1.0359071,0.0,0.0
Nudt4,44.91224,0.86263955,0.0,0.0
Dstn,44.829155,0.7982785,0.0,0.0
Trpm4,44.761627,1.2494175,0.0,0.0
Actn4,44.741467,0.80790937,0.0,0.0
Aldoa,44.66972,0.7956054,0.0,0.0
Prss30,44.591362,1.8639544,0.0,0.0
Fmo5,44.534912,1.6373638,0.0,0.0
Entpd5,44.49115,0.81493527,0.0,0.0
Rbp2,44.45152,2.692278,0.0,0.0
Mcl1,44.36716,0.84479636,0.0,0.0
Adipor1,44.262085,0.80741596,0.0,0.0
Acp5,44.25078,0.8380458,0.0,0.0
Pink1,44.208824,1.477127,0.0,0.0
Ppm1a,44.159714,0.95896655,0.0,0.0
Txndc17,44.144016,0.77782476,0.0,0.0
Slc26a2,44.119804,0.8033794,0.0,0.0
mt-Nd4l,44.093708,1.0176675,0.0,0.0
Max,44.054424,1.1064277,0.0,0.0
Prr15,43.96088,1.8002642,0.0,0.0
Zmiz1,43.917976,0.83915377,0.0,0.0
Slc35d1,43.832825,0.9036225,0.0,0.0
Fuca1,43.738884,0.77589494,0.0,0.0
Rnf10,43.677563,0.81709886,0.0,0.0
Cyp4b1,43.60107,1.4652559,0.0,0.0
Gucy2c,43.59073,0.7646635,0.0,0.0
Pitpna,43.56019,0.8190119,0.0,0.0
Bak1,43.511936,0.7873247,0.0,0.0
Mgst2,43.35972,0.9740232,0.0,0.0
Dcaf11,43.337948,1.021105,0.0,0.0
Tmem243,43.27813,1.7381095,0.0,0.0
H2-T3,43.22443,1.0633866,0.0,0.0
Chmp5,43.12581,0.8710485,0.0,0.0
Rhoc,43.119186,1.0332937,0.0,0.0
Ablim1,43.11144,1.2870728,0.0,0.0
Sema3c,43.064564,1.0321456,0.0,0.0
Akr1c12,43.016262,0.83498526,0.0,0.0
Fam189a2,42.905388,1.5011866,0.0,0.0
Bag1,42.89494,0.7653043,0.0,0.0
Ncoa7,42.676064,1.8822,0.0,0.0
Ahnak,42.66932,1.4448532,0.0,0.0
Cldn3,42.6395,0.779624,0.0,0.0
Gpi1,42.61696,0.7644215,0.0,0.0
Trp53inp2,42.576622,1.0030687,0.0,0.0
Prpsap1,42.554985,0.7964762,0.0,0.0
Neurl3,42.506496,1.3913441,0.0,0.0
Micu1,42.48404,0.89512867,0.0,0.0
