names,scores,logfoldchanges,pvals,pvals_adj
Car1,45.631653,1.5960047,0.0,0.0
Tmsb4x,34.86793,1.8517989,2.2775617188655544e-266,7.800648887114523e-263
Ighm,32.012424,6.2783227,7.323487297551779e-225,1.4333110853779909e-221
Cyp2c55,31.20527,1.4460611,9.03731949779109e-214,1.547640963996724e-210
Shisa5,29.967077,1.6650194,2.6363685372434177e-197,3.283477178203166e-194
Lgals3,29.804747,1.1420237,3.39066606176011e-195,3.871010420509459e-192
Arhgdib,28.44319,5.5951486,5.916061735025768e-178,5.403336384656868e-175
Ets1,27.23537,5.7427254,2.4768517512040103e-163,1.996051117146761e-160
Rac2,26.810379,3.3399296,2.445481227228057e-158,1.8612829340569101e-155
Emp1,26.542948,1.7451218,3.0977143236006996e-155,2.2336150649120835e-152
Coro1a,26.405966,5.595285,1.1702299101554259e-153,8.016074884564668e-151
Cd52,25.77665,5.788732,1.620622304280501e-146,1.0092057076655847e-143
mt-Atp6,25.172222,1.0133743,8.07222356027447e-140,4.607894282323343e-137
Fabp2,25.007442,1.2935679,5.073908279493496e-138,2.780501737162436e-135
Igkc,24.041847,4.5603786,1.015911845684851e-127,4.970711530672306e-125
B2m,24.006649,1.7347361,2.3699022879507785e-127,1.1195745291353678e-124
Cd74,23.886219,5.1738977,4.259553026635726e-126,1.945195882163648e-123
H2-Aa,23.667793,5.8851743,7.741901187275767e-124,3.421420847279936e-121
Fau,23.406467,1.0731558,3.672307814272297e-121,1.5722067829853269e-118
Btg1,23.324656,2.2437444,2.4925788829208607e-120,1.0347978998792663e-117
Laptm5,22.918264,5.389584,3.055181118001344e-116,1.2310582740181884e-113
Ighd,22.351845,7.674218,1.158571603321368e-110,4.40900860152854e-108
Cd79a,22.055168,6.8417683,8.521589067510211e-108,3.1552910871591863e-105
H2-Eb1,21.830317,5.4763455,1.1959048917148246e-105,4.3115518464455523e-103
H2-Ab1,21.45132,5.2374806,4.4386642295549886e-102,1.5592230755103422e-99
Tmigd1,21.418207,2.4704652,9.040028626239403e-102,3.096209804486996e-99
Cd79b,20.19783,6.9950757,1.0229351587484456e-90,3.1850481079212966e-88
Lcp1,19.698685,3.879262,2.2129633799501355e-86,6.73724406784819e-84
Maoa,19.309622,1.0968074,4.458266910710101e-83,1.2995373761006038e-80
Ly6e,18.665646,0.8399342,9.423019595402775e-78,2.482603239558039e-75
Limd2,18.623774,3.951973,2.061622284176308e-77,5.329099111927437e-75
Slfn2,18.437197,5.1400743,6.607845583412418e-76,1.6459542635045477e-73
Sell,18.408796,8.521024,1.1167856057371216e-75,2.732136214035458e-73
Rfk,18.04707,1.1166542,8.318843639352183e-73,1.9316636925275407e-70
Macf1,17.962658,2.2461014,3.8206434435715177e-72,8.723802529488298e-70
Cd53,17.61799,5.981233,1.7926187156684307e-69,4.026045312238935e-67
Msn,17.455683,5.5181,3.1162930739637126e-68,6.886002437629494e-66
Rap1b,17.016954,1.4014741,6.14861574039198e-65,1.295939009898002e-62
Slc26a3,16.849075,1.7832581,1.0656894340753404e-63,2.147050771592965e-61
Ltb,16.475996,6.436431,5.458262521059088e-61,1.053214035753655e-58
Klf2,16.187286,4.424126,6.200232861790228e-59,1.1636053452948785e-56
Ptprc,15.717875,3.9599233,1.1408769109565948e-55,2.112164010825047e-53
Jak1,15.417533,1.7312262,1.2478122778565417e-53,2.2793370942179492e-51
Stk17b,15.08494,3.1909885,2.0345935922215793e-51,3.528345849801979e-49
