names,scores,logfoldchanges,pvals,pvals_adj
App,6.599777,1.7342541,4.1177602474866675e-11,2.820665769528367e-07
Marcksl1,6.3805237,1.7623158,1.7648338265445754e-10,8.059407807886894e-07
Cd24a,5.54231,1.3042394,2.985069996474715e-08,0.00010223864737925897
Fxyd3,5.1111937,1.5434257,3.2012959451939563e-07,0.0007551749185558752
Mtch1,5.105035,1.5779246,3.30733540973376e-07,0.0007551749185558752
Arpc5,5.0656185,1.5342869,4.070764561622814e-07,0.0007967067784890365
Ece1,4.964614,1.172228,6.883781833196347e-07,0.0011788476389348742
Calm3,4.9368997,1.219837,7.937437304829661e-07,0.0012082543452907374
Pkdcc,4.896251,1.639888,9.76821284398609e-07,0.0013382451596260945
Camk2n1,4.809412,1.7253851,1.5137481300462307e-06,0.00176690819493433
Tpm1,4.7970943,1.4627638,1.6098364398598737e-06,0.00176690819493433
Cox7c,4.7847767,1.4549212,1.7117735107789776e-06,0.00176690819493433
Ptov1,4.7650685,1.5331353,1.8878928540196106e-06,0.00176690819493433
Clrn3,4.760142,2.0830445,1.9345710163514564e-06,0.00176690819493433
Itpr3,4.723189,1.8101128,2.3217507102186777e-06,0.0018220542258723519
Tob1,4.7114873,1.563973,2.4591565087886477e-06,0.0018220542258723519
Tsc22d1,4.7071757,1.2253256,2.5117210603971155e-06,0.0018220542258723519
Tm4sf4,4.705944,2.3888667,2.5269365176331886e-06,0.0018220542258723519
Lgals3bp,4.553206,1.0893635,5.283454570092277e-06,0.00361916638051321
Cul3,4.5347295,1.2432804,5.767739455032134e-06,0.003762763358759059
Cnot6l,4.4762206,1.4893205,7.597594810647087e-06,0.00473122949572114
Mast2,4.432493,1.8231814,9.314965417074389e-06,0.0051523041587635265
Glp1r,4.431877,1.7223043,9.341617958004086e-06,0.0051523041587635265
Fbp2,4.4287977,2.0286303,9.475977163720802e-06,0.0051523041587635265
Rfk,4.4220233,1.2595831,9.778095483784794e-06,0.0051523041587635265
Insm1,4.375832,1.0726106,1.2097007950551134e-05,0.006079893281231216
Dynlrb1,4.3616667,2.036496,1.2907528246756277e-05,0.006079893281231216
Mical2,4.3598194,1.4437267,1.3016991831176585e-05,0.006079893281231216
Ndrg1,4.351813,1.3662119,1.3501651961833021e-05,0.006079893281231216
Trip12,4.34627,1.6114701,1.3847218211564577e-05,0.006079893281231216
Car1,4.340727,0.67016435,1.4201210583897732e-05,0.006079893281231216
Spint1,4.324098,1.2161732,1.531570867435042e-05,0.006346028564498628
Peg3,4.3179393,1.4164563,1.5749267970288565e-05,0.006346028564498628
Iqgap1,4.276675,1.2769759,1.8970513199576605e-05,0.0072610278777713025
Add3,4.273596,1.3339933,1.923454496966395e-05,0.0072610278777713025
Ndufv3,4.2692847,0.99513644,1.9610075290331255e-05,0.0072610278777713025
Clk1,4.2458816,2.407588,2.1773585719985595e-05,0.007849950641152702
Ech1,4.226789,1.393672,2.370497306938894e-05,0.00832713156540073
Plekhb2,4.209544,1.3921293,2.55886191511299e-05,0.008764102059261992
Bag1,4.1886044,1.2686838,2.806751527136442e-05,0.009313534831432916
Itfg1,4.1842933,1.6254292,2.8605463938169062e-05,0.009313534831432916
Anxa4,4.179366,0.929423,2.923226260960696e-05,0.009313534831432916
Cyb5r3,4.1719756,1.1309711,3.019699171629591e-05,0.0094022451480285
Marcks,4.166433,1.5993656,3.0940314910055543e-05,0.009419606983728021
Tac1,4.0839047,1.4505529,4.428519631663778e-05,0.012961555244335898
Fis1,4.0789776,1.3084176,4.523418174213659e-05,0.012961555244335898
Shroom3,4.07713,1.6771384,4.5594998444597403e-05,0.012961555244335898
mt-Co2,4.061117,0.95862967,4.883846045889094e-05,0.012961555244335898
Son,4.060501,1.7126957,4.8967475858037545e-05,0.012961555244335898
Ms4a8a,4.05619,1.2760564,4.987967152680402e-05,0.012961555244335898
Atp6v1e1,4.0555744,1.3635927,5.001129263767194e-05,0.012961555244335898
Cldn7,4.0549583,1.001091,5.014324291604399e-05,0.012961555244335898
Ddx5,4.0481834,1.6319661,5.16166433273258e-05,0.01309533358489562
Hpgd,4.01739,1.9259348,5.884638933568103e-05,0.014434008461123558
Pam,4.0167737,0.97139716,5.900032655641747e-05,0.014434008461123558
Atp5j2,3.9995291,1.1633712,6.346865443313053e-05,0.01499173389196359
Rnf128,3.9952178,1.0543567,6.46347794029225e-05,0.015008414878305731
Serpinb1a,3.984748,0.9856449,6.755179649841212e-05,0.015153809168445541
Arf3,3.9816685,1.1150181,6.843317491578292e-05,0.015153809168445541
Maged1,3.979205,0.919476,6.914610037355907e-05,0.015153809168445541
Slc18a1,3.9773574,1.1263887,6.968539982569848e-05,0.015153809168445541
Pten,3.9705827,1.0439016,7.169707260196008e-05,0.015347654603857078
B4galt6,3.963192,1.3140264,7.395422563030957e-05,0.015587275248234478
Ctbp1,3.933014,0.91391563,8.388736805267198e-05,0.01741298397456979
Atp6v1g1,3.8960612,1.0333254,9.776973091701398e-05,0.01999172109795659
Myo6,3.8892865,1.4344906,0.00010053940510754143,0.020131253948695017
Atp6v1b2,3.886823,0.8853677,0.00010156479742323456,0.020131253948695017
Emp1,3.8837435,1.0838106,0.00010286042163566796,0.020131253948695017
Aldoa,3.8677306,0.90530753,0.00010985293027357168,0.021196973869689183
Sstr1,3.8511019,1.3163573,0.0001175875946220879,0.022067808853734303
Gnb1,3.8511019,1.3367622,0.0001175875946220879,0.022067808853734303
Gch1,3.8301618,1.0834985,0.00012805898806103253,0.023708218059947914
Zmynd11,3.819692,1.8364155,0.0001336184682392708,0.024407640198373465
Ctdsp2,3.8098378,0.89301854,0.00013905798354475301,0.024784499800706843
Grcc10,3.80799,0.91521037,0.00014010083962244833,0.024784499800706843
Lamp1,3.8055267,1.0343981,0.00014150277661273937,0.024784499800706843
Alkbh5,3.8030632,1.2097826,0.00014291791855882048,0.024784499800706843
Mcu,3.7975202,1.653788,0.00014615086939541108,0.02502833638396415
Numa1,3.7827392,0.9866389,0.0001551119968281582,0.02575343990726948
Prkar1a,3.7802756,1.2614759,0.0001566548923386752,0.02575343990726948
Tppp3,3.777812,0.9602898,0.00015821222362510544,0.02575343990726948
Arhgef2,3.7759643,1.4086615,0.00015938977104194127,0.02575343990726948
Spint2,3.7753484,0.8826342,0.00015978411621298582,0.02575343990726948
Ids,3.7599516,1.0390017,0.00016994631478517696,0.02704991254599795
Grtp1,3.7544086,2.8260736,0.0001737512630691839,0.02704991254599795
Mapk3,3.7544086,0.8967732,0.0001737512630691839,0.02704991254599795
Syt7,3.7439387,0.89778584,0.00018115795292527828,0.02788611185479003
Map1b,3.7334685,1.0509989,0.00018886073982259395,0.02874880150632819
Crybg1,3.7248464,1.4408231,0.00019543427357898637,0.029422522505847398
Rundc3a,3.721767,0.88672185,0.00019783362610661682,0.029460007365876634
Dstn,3.7088335,0.9223462,0.00020821637854867908,0.03067273533459036
mt-Atp6,3.7045221,0.88465965,0.00021178954341901287,0.030867199413196555
Cdc42bpb,3.6922047,1.9451519,0.00022231849043073223,0.031958044354174375
Foxa1,3.690357,0.9118049,0.00022393958087596643,0.031958044354174375
Cacnb3,3.686046,1.5751716,0.0002277653788361991,0.03216892463975183
Hoxb6,3.6823504,1.5468874,0.00023109337530287084,0.0323059106290748
Fam91a1,3.6786551,1.3505174,0.00023446696637400134,0.03244643878104867
Actg1,3.668801,0.90837866,0.00024369053262863162,0.03338560297012253
Ndfip1,3.6570995,0.7361499,0.00025508547194147695,0.03460070262968549
Trp53inp2,3.6380072,1.270101,0.0002747558443510346,0.036903481054991895
Smarcc2,3.617067,1.0363717,0.00029796000705071304,0.03963157375334726
Tm9sf3,3.6090608,0.89439785,0.0003073076844450373,0.040096335970447726
Akr1a1,3.6090608,0.847262,0.0003073076844450373,0.040096335970447726
Cope,3.6065972,1.4775279,0.0003102386865708438,0.040096886849250564
Btg1,3.6004384,1.0707402,0.0003176811036634394,0.04021342318029286
Tmem30a,3.6004384,1.0010886,0.0003176811036634394,0.04021342318029286
Camk1d,3.5985909,1.5005559,0.00031994621362422783,0.04021342318029286
Clta,3.5899684,1.1002396,0.00033071803153598934,0.04118942756402776
Hspa8,3.5844254,0.90778947,0.0003378209848224638,0.04169502245106085
Misp,3.5819619,1.171917,0.00034102344903329257,0.0417144754621081
Anxa11,3.577035,0.95488024,0.0003475137623442264,0.04205867320133586
Ptprn2,3.5751872,0.7663767,0.00034997728065345166,0.04205867320133586
Hist1h2bc,3.5702603,0.86541206,0.0003566267549017427,0.04248510036655543
Degs2,3.5653331,0.9816455,0.00036339423356463975,0.04291811206754797
Myo15b,3.5363867,0.8800659,0.0004056403047377639,0.04749805277698604
mt-Co3,3.530844,0.78056556,0.0004142361801707192,0.047560620736510024
Pcdh1,3.530844,1.1556625,0.0004142361801707192,0.047560620736510024
Gabarapl2,3.5289962,1.2937732,0.00041713907370222067,0.047560620736510024
Jpt1,3.5271485,0.8817495,0.00042006095686990605,0.047560620736510024
Uqcrc2,3.5246851,1.1321503,0.00042398653796976786,0.04761160303431
Cdc42se2,3.5160627,1.650547,0.00043799747575025405,0.048785084697386016
Hsp90ab1,3.5080564,0.9094246,0.0004513935339342257,0.049871704958862034
Gnptg,3.5025134,1.1600302,0.0004608906677586265,0.050513617186345464
Ubqln2,3.4932752,0.75014615,0.0004771346077068594,0.051878921631618835
Scg5,3.4828053,0.8437675,0.0004961893140123078,0.05335262810531614
Arf5,3.4815733,0.9891665,0.0004984771093051435,0.05335262810531614
Sod1,3.478494,0.7764489,0.0005042396982341781,0.05355103771944372
Vil1,3.4729512,1.3359245,0.0005147691578459909,0.054248749711462124
Xbp1,3.4704876,1.0640626,0.0005195143953477093,0.0543308947806383
Etl4,3.4667923,1.0429691,0.0005267087465023175,0.05466598353849811
Ldlr,3.4544747,1.9594201,0.0005513660096146611,0.056794844599404946
Pdcd6,3.446468,1.3567299,0.0005679653633649266,0.058068100582832044
Rnpep,3.4298394,0.90740436,0.0006039385024490184,0.061114673855041546
Epb41l4b,3.4286077,0.7500252,0.0006066858134515074,0.061114673855041546
Rnf130,3.4199853,1.2986858,0.0006262450789335607,0.06262450789335608
Lgals4,3.4132106,0.8715224,0.0006420229214377104,0.06373705814272923
