names,scores,logfoldchanges,pvals,pvals_adj
Hpgd,39.88578,2.061254,0.0,0.0
Aldh1a1,39.23594,2.3720753,0.0,0.0
Ndufa1,36.19407,1.4986265,7.546801345335932e-287,3.4463726143700753e-283
Bag1,35.753857,1.554951,5.762722721732797e-280,1.973732532193483e-276
Cyp4f14,35.699417,2.1127243,4.0361009101899966e-279,1.1058916493920591e-275
Rfk,35.63463,1.5525421,4.07737800030545e-278,9.310013100697445e-275
Calml4,35.54283,1.4461167,1.0722607593544233e-276,2.0985674861650854e-273
Anxa2,35.347233,1.5504352,1.1057811884567017e-273,1.8936502852321016e-270
Atp5j2,34.936604,1.5769454,2.068826125202401e-267,3.1492131016969883e-264
Smdt1,34.796623,1.4685109,2.7357784535330536e-265,3.7480164813402835e-262
Erbin,34.73399,1.410187,2.418548680004634e-264,3.0121924469148625e-261
Txn1,34.683857,1.5881083,1.379933147060782e-263,1.5754236762277261e-260
Myo1a,34.368347,1.4247837,7.494152616703699e-259,7.897683911449283e-256
Tma7,34.36337,1.8050853,8.89342105150593e-259,8.702847743259374e-256
Akr1c19,34.24957,1.5337852,4.426477518988318e-257,4.0428494673426635e-254
Rab2a,34.203293,1.3547798,2.1602596541057665e-256,1.8497223288280623e-253
Rab1a,33.932117,1.3580432,2.239334243136272e-252,1.8046399488804074e-249
Mcu,33.90342,1.6144779,5.931944413104574e-252,4.51486880330737e-249
Tfrc,33.790466,2.7965438,2.7228283324661696e-250,1.9633025344624488e-247
Tm4sf20,33.766956,1.5418167,6.028194659364294e-250,4.129313341664542e-247
Calm1,33.736687,1.4635395,1.6760536887720757e-249,1.0934255017227352e-246
Misp,33.703808,1.3739817,5.084120937625745e-249,3.166020765703305e-246
Ociad2,33.621475,1.4065694,8.145101668114321e-248,4.8516475153550526e-245
Tmem183a,33.616104,1.4793766,9.759139087005487e-248,5.570841895498966e-245
Aldoa,33.61144,1.353764,1.1417457647845143e-247,6.256766791019138e-245
Akr1c13,33.559456,1.4573298,6.553114999021858e-247,3.452987518715364e-244
Atp5f1,33.53561,1.3331791,1.459493827967155e-246,7.405579793759267e-244
Sh3glb1,33.531796,1.3536555,1.658806756922419e-246,8.11630448922755e-244
Akr1c14,33.478374,1.8293475,9.950208233021512e-246,4.700615613530853e-243
Adipor1,33.468723,1.4169914,1.3748500159405407e-245,6.278481739461802e-243
Gna11,33.386204,1.3658566,2.1742078274126087e-244,9.608595882436367e-242
Scin,33.378574,1.9881666,2.8053516196523007e-244,1.2010411621636412e-241
Hepacam2,33.35711,1.594146,5.745380331004252e-244,2.385203349538129e-241
Mbd2,33.31679,1.4029588,2.2059629628361544e-243,8.888733114957445e-241
Atp13a3,33.265396,1.5006168,1.2226808899206107e-242,4.785922340546391e-240
Ppp2r5c,33.232197,1.4434031,3.691124502996239e-242,1.4046779358624578e-239
Cmpk1,33.190617,1.3122007,1.470455721443277e-241,5.444660373992674e-239
Cd82,33.182613,1.297396,1.91821696437816e-241,6.915676950521262e-239
Rab5c,33.160313,1.3469234,4.0221132103918955e-241,1.4128961790351017e-238
Tmem45b,33.121418,1.3111951,1.4614178863474612e-240,5.005356260740055e-238
Ndufs8,33.061794,1.5075274,1.0529531917921585e-239,3.518404567695749e-237
Esrp1,33.05793,1.2735478,1.196589672659015e-239,3.9031615512925013e-237
Edf1,33.029015,1.2215896,3.113859691953943e-239,9.920901809248609e-237
