names,scores,logfoldchanges,pvals,pvals_adj
Tfrc,51.489902,2.505141,0.0,0.0
Mt1,39.96641,1.126727,0.0,0.0
mt-Atp6,39.58603,1.2309498,0.0,0.0
Hpgd,39.07955,1.1428193,0.0,0.0
Akr1c14,38.362354,1.3800863,0.0,0.0
Akr1c19,37.50143,1.00165,8.729313024272801e-308,1.328795427028193e-304
Eif3f,36.743526,1.1018409,1.4750489645636067e-295,2.0208170814521414e-292
Uqcrc1,36.71623,0.92668974,4.02354136471789e-295,5.011137881512282e-292
Tma7,35.517113,1.0881633,2.6759416580512144e-276,3.0550333929418034e-273
Aldh1a1,35.080223,1.2466805,1.3499967650269394e-269,1.42268889852839e-266
Ugt2b34,34.93975,1.1037842,1.8531120822960658e-267,1.8134025376754356e-264
Gsto1,34.896553,0.78826445,8.385033236880622e-267,7.658330356350968e-264
Ociad2,34.46638,0.89013374,2.559509550238251e-260,2.1915800523915025e-257
mt-Nd4l,34.44506,1.3037968,5.339205142470231e-260,4.302771203049539e-257
Pycard,34.356083,0.8824839,1.1426478016774122e-258,8.696819379433637e-256
Ank,34.107197,0.93116385,5.769571632112596e-255,4.16016480841803e-252
Ndufa8,34.076298,0.8703136,1.655933184346351e-254,1.1343142312772505e-251
Eci1,33.896824,1.0197614,7.420049831757774e-252,4.840699175956262e-249
Bag1,33.55682,0.89457667,7.159922940994129e-247,4.458679285982708e-244
Glud1,33.49509,1.0395963,5.682264159074775e-246,3.3846529991010616e-243
Idh3b,33.22826,0.9211107,4.207734818336774e-242,2.4019152921339084e-239
Txn1,33.111755,0.853783,2.0130784889582837e-240,1.1031670119491396e-237
Ndufs8,33.043583,0.8650309,1.9235323552163845e-239,1.0135535871717104e-236
Adh5,32.947342,0.8595868,4.617798718239372e-238,2.3431052755510888e-235
Cyp4f14,32.90071,1.1164854,2.1471163139057508e-237,1.0505533393038852e-234
Serf2,32.892605,0.89382493,2.803784441657432e-237,1.3245464431278212e-234
Ndufa12,32.635784,0.8240212,1.275003767668461e-233,5.82251720568597e-231
Ndufa10,32.575336,0.8151662,9.168693518478589e-233,4.051971006553441e-230
Hspa8,32.39882,0.9001494,2.8519097547619295e-230,1.220973863757451e-227
Cyc1,32.370865,0.8701713,7.057796694887466e-230,2.9300549915138873e-227
Ugdh,32.358677,0.82790935,1.0474672121681353e-229,4.2206767078539564e-227
Timm13,32.342144,0.9531857,1.7892002890200904e-229,7.003441131307211e-227
Qdpr,32.250908,1.0269219,3.4162325596435843e-228,1.3000662796421419e-225
Ndufs3,32.061367,0.8574886,1.5244675127353088e-225,5.644649979587495e-223
Selenbp1,31.981209,0.936758,1.9903174069682965e-224,7.175618019859385e-222
Eef1b2,31.971617,0.8521525,2.705567463010234e-224,9.504172882882104e-222
Atp5j2,31.859257,0.791723,9.798694238735553e-223,3.356052776766927e-220
Actg1,31.795788,0.7975749,7.401715263779835e-222,2.4732560759459447e-219
Txn2,31.714727,0.7808676,9.735171090268644e-221,3.1755200937304866e-218
Ndufb9,31.637918,0.7913262,1.1118796848591523e-219,3.5425003912954387e-217
Sod1,31.543081,0.78477144,2.230937204634581e-218,6.946327205339491e-216
Gas6,31.330435,0.8342119,1.7974058687362437e-215,5.4721023114858974e-213
Calm3,31.293743,0.7500854,5.676628700775514e-215,1.6906481130570552e-212
Fbp2,31.268963,0.8988362,1.233385823425255e-214,3.595188464026807e-212
Fam162a,31.18242,0.81528383,1.8446318991263974e-213,5.2648868787565925e-211
Mt2,31.048126,1.4784669,1.20928933639755e-211,3.381074267070701e-209
Chchd2,31.045792,0.78482616,1.300310316623807e-211,3.562850267549231e-209
Calml4,30.972187,0.7779456,1.2773274247571241e-210,3.431252101798549e-208
Atp13a3,30.856144,0.810964,4.633385840449426e-209,1.2207189618107143e-206
Acot7,30.848438,0.94131655,5.8785152872391e-209,1.519540744059918e-206
Thap4,30.82818,0.77502745,1.0986340782242058e-208,2.787275346605855e-206
