names,scores,logfoldchanges,pvals,pvals_adj
Aldh1a1,33.91073,2.2572615,4.628852091747477e-252,6.341527365694043e-248
Mpp1,27.719719,2.33202,4.0399930083022963e-169,1.8449301404580487e-165
Slc26a3,27.6658,2.0153515,1.8017406455102213e-168,6.170961710872508e-165
Car1,27.54528,0.93245596,5.040639788263547e-167,1.381135301984212e-163
Fabp2,26.748743,1.5713848,1.2770841669800429e-157,2.916008847937765e-154
Slc9a3r1,25.501013,1.7792964,1.920889302361139e-143,3.2895229302934502e-140
Cyp4f14,24.443283,1.6645373,5.93197538521799e-132,9.029784753054052e-129
Enpep,24.334991,2.4481328,8.358947218149852e-131,1.1451757688865298e-127
Anxa2,24.20241,1.6669524,2.0985223860194048e-129,2.6136142444059862e-126
Apob,24.07227,2.2790291,4.880453773331756e-128,5.571851391220422e-125
Fam162a,23.521036,1.5168626,2.485129485826584e-122,2.6189441504480156e-119
Mxd1,23.037743,1.888251,1.9519865850268894e-117,1.9101583010620274e-114
Calml4,23.024673,1.6157172,2.639101563226448e-117,2.410379427746822e-114
Eps8l3,22.698925,1.6788143,4.590817845983189e-114,3.930887780623105e-111
Rbp2,21.717533,2.512567,1.4010029974254908e-104,1.1290435920428955e-101
Mpst,21.444048,1.4173731,5.18973173858785e-102,3.9499624899251976e-99
Fa2h,21.409243,1.5371716,1.0957732152699972e-101,7.90110160484156e-99
Tpm1,21.360989,1.6432669,3.082197726156155e-101,2.1113054424169665e-98
Ldha,21.262478,1.3563313,2.527181800932319e-100,1.648685270132037e-97
Hpgd,21.20736,1.4730214,8.166952311242026e-100,5.085783939273443e-97
Maoa,21.145758,1.1520091,3.0190814542844577e-99,1.79832243146509e-96
Emp1,21.054186,1.1474476,2.093477293075966e-98,1.1950266214641972e-95
Ndrg1,20.978409,1.692714,1.0329380546602084e-97,5.6605005395379424e-95
Ces2e,20.765833,1.6831565,8.818683899091985e-96,4.646768054521546e-93
Edf1,20.762737,1.3288722,9.4052794694529e-96,4.772308471537212e-93
Cyp3a13,20.683306,1.3853592,4.896807354640894e-95,2.3959378842350084e-92
Abcc3,20.572468,1.4367853,4.843739284821108e-94,2.2882492483465235e-91
Akr1c19,20.403486,1.3781546,1.5571040256291016e-92,7.110775050372897e-90
Plscr1,20.394693,1.4687543,1.8638232843284183e-92,8.236896450096558e-90
Cast,20.32751,1.4703423,7.343303684345883e-92,3.143851889860581e-89
Myo1a,20.323458,1.3129027,7.975580072820636e-92,3.3110741514437185e-89
Actg1,20.21024,1.3338287,7.956159546697394e-91,3.2058642879339496e-88
Bag1,20.170649,1.4641302,1.772996478655586e-90,6.940014787880437e-88
Pls1,20.156927,1.2983948,2.3396605026006235e-90,8.903708023785707e-88
Ppp2r5c,20.099977,1.4314739,7.382701647090557e-90,2.73359493419299e-87
Akr1c14,20.050203,1.95031,2.0102338488223964e-89,7.247422033912324e-87
Gclc,20.04734,1.6087388,2.129306403999068e-89,7.4798712140480075e-87
Ppp2ca,20.041616,1.5169361,2.388781831336047e-89,8.181577772325961e-87
Vasp,19.864574,1.2646492,8.244785792084878e-88,2.754965008574703e-85
Plekhb2,19.848372,1.3373774,1.138324515411263e-87,3.713106157412929e-85
Abcg2,19.784311,1.2586092,4.0640955394417355e-87,1.2948397416360878e-84
Vamp8,19.749416,1.4555544,8.114935588070554e-87,2.5266958535583317e-84
Selenbp1,19.582233,1.3941551,2.1919935522089744e-85,6.673402592280656e-83
Ugt2b34,19.531393,1.4145173,5.939737745511409e-85,1.7690088502936153e-82
Ezr,19.52453,1.5923371,6.793862966090604e-85,1.980338779477474e-82
Fis1,19.52198,1.6425585,7.141555654645867e-85,2.038319009763508e-82
Smim22,19.482786,1.2385547,1.5368689579241704e-84,4.2969601476655375e-82
Lasp1,19.354795,1.2516924,1.8572742435865777e-83,5.088931427427223e-81
Calm3,19.30387,1.2048606,4.9833313623439366e-83,1.3386596012570966e-80
Slc9a2,19.300356,1.2664496,5.333965603251649e-83,1.4052947839336075e-80
Smdt1,19.284197,1.2453029,7.291465294925339e-83,1.8847749913297573e-80
Cab39,19.272854,1.4220946,9.079023194485055e-83,2.30338181045269e-80
Lmo7,19.205261,1.5396196,3.3443878341530913e-82,8.3305660596177e-80
B4galt6,19.158878,1.4758743,8.161302527739885e-82,1.9966043683935073e-79
Aldh2,19.148777,1.2405471,9.908657669030425e-82,2.3815545625564358e-79
Cdh17,19.12519,1.2255249,1.5580454471593842e-81,3.680210797600614e-79
Misp,19.026688,1.2521913,1.025343035562857e-80,2.3808812859679896e-78
Calm1,18.994053,1.2434833,1.9100555271316954e-80,4.361293453617371e-78
Acox1,18.97133,1.4245028,2.943602707154715e-80,6.611042145576983e-78
Myh14,18.941332,1.2325673,5.206320862183656e-80,1.1504289647083239e-77
Mcu,18.915869,1.3585153,8.44176430570134e-80,1.8357487458429897e-77
Anxa7,18.881453,1.4860541,1.6206860656737013e-79,3.4692811093327665e-77
Akr1c12,18.84658,1.3593355,3.1345906981821365e-79,6.606752702322349e-77
Ipmk,18.84445,1.2313108,3.2633877091029416e-79,6.774001759804591e-77
Dhrs11,18.751263,1.3504715,1.8905175655624883e-78,3.865685171374043e-76
Cap1,18.693705,1.1851286,5.5707080091919e-78,1.1223338194989561e-75
Mgst2,18.639164,1.636421,1.5464072232722947e-77,3.026539851261491e-75
Prdx5,18.629286,1.2087891,1.8599191714239065e-77,3.5888581195081014e-75
Sema4a,18.614267,1.1600256,2.4620089548191017e-77,4.68465592791968e-75
Lgals3,18.61292,0.8294082,2.5247174445235346e-77,4.738168354790744e-75
Cldn7,18.61003,1.2033617,2.6646741016543127e-77,4.93324799900866e-75
Tmem236,18.5733,1.4193791,5.285403885393216e-77,9.654671097318275e-75
