names,scores,logfoldchanges,pvals,pvals_adj
mt-Atp6,18.325142,1.5528975,5.21460785401646e-75,2.3813375866675167e-71
Tmsb4x,17.009342,1.5486385,7.001939472712618e-65,1.9185314155232576e-61
B2m,14.821965,1.4959617,1.0564756166568483e-49,1.4473715948198822e-46
Cd7,13.292945,3.1984293,2.5436515818304648e-40,2.6806174362367206e-37
Eef1a1,13.28471,1.0077791,2.8395653790189253e-40,2.7787175494685197e-37
Coro1a,12.894756,3.600439,4.817822674674718e-38,4.400278042869576e-35
Rac2,12.764859,2.7567966,2.5761604996818047e-37,2.205837427852545e-34
Btg1,12.401199,1.6700704,2.5744244886550666e-35,2.07468326438673e-32
Cap1,12.34034,1.1912026,5.492350631551954e-35,4.180289091792321e-32
Arhgdib,12.230909,2.9935362,2.125455020605912e-34,1.5325649359105786e-31
Ccl5,12.156008,2.944963,5.3300625406479945e-34,3.6510928403438766e-31
mt-Co1,12.061722,1.1570115,1.682288317305428e-33,1.047606815776562e-30
Mbd2,11.908314,1.2780219,1.0712178890329546e-32,6.380732643370208e-30
mt-Co3,11.749172,0.99225783,7.131366364370717e-32,3.907988767675153e-29
Lcp1,11.599406,2.588477,4.149483289792212e-31,2.105478558153826e-28
Laptm5,11.590928,2.7556605,4.581420138600178e-31,2.241623424957944e-28
mt-Co2,11.510498,0.9447394,1.16801401225465e-30,5.517859299271968e-28
Cd3e,11.486297,3.95311,1.5459824577052705e-30,7.059986556854068e-28
Tpt1,11.380527,0.8485357,5.228320385886195e-30,2.3105802995690606e-27
Shisa5,11.31188,1.0133004,1.1460688972774358e-29,4.7579223917275366e-27
Ets1,11.218061,3.2916815,3.324791076176783e-29,1.339695227753586e-26
Cd3g,11.212646,3.4453762,3.5346669307984883e-29,1.3835696271982654e-26
Ctsw,11.141106,3.6280854,7.913119475085076e-29,3.0113815780184874e-26
Ighm,11.120097,3.0289526,1.0016326792070349e-28,3.7087480284152376e-26
mt-Atp8,11.106745,0.9352654,1.1632299680239124e-28,4.1937501478756846e-26
Fau,11.063178,0.976887,1.8927018205042932e-28,6.648721779720209e-26
mt-Nd4,11.027211,0.9765449,2.8248808552914283e-28,9.675216929373143e-26
Grcc10,11.018958,1.4191293,3.0962365266484516e-28,1.0345961076849704e-25
mt-Nd1,11.014998,0.91134465,3.235412141552681e-28,1.0553606271255174e-25
Hpgd,10.928855,1.3521756,8.390045807452537e-28,2.6731076177232502e-25
Capzb,10.818678,1.1511202,2.8080000784896197e-27,8.743091153479043e-25
Tmigd1,10.8054,1.316582,3.2453889616583795e-27,9.880406394382177e-25
mt-Nd4l,10.750872,1.5611739,5.8704209848914195e-27,1.748364510717662e-24
Aldh1a1,10.471488,1.5383847,1.167927379133834e-25,3.404384062581601e-23
Pfn1,10.371413,1.0872521,3.345406277701745e-25,9.54834708427373e-23
Psme1,10.198061,1.1665262,2.0227024139867912e-24,5.655310830942661e-22
mt-Cytb,10.142711,0.86681104,3.570511019820303e-24,9.78320019430763e-22
Actg1,9.97864,0.87648404,1.8904027696650472e-23,5.07814077341395e-21
Ifngr1,9.897706,1.160705,4.259321910907663e-23,1.1204836222693092e-20
Vasp,9.89595,0.8457,4.334717662793678e-23,1.1204836222693092e-20
Fis1,9.887883,1.5553185,4.698561999364439e-23,1.1920425813202373e-20
Trac,9.876156,3.9420288,5.282027982249313e-23,1.3157051519421017e-20
Car1,9.861292,0.67782265,6.125630527717997e-23,1.4985917541024383e-20
Trbc2,9.849134,3.5528336,6.913662781309621e-23,1.6617049141042425e-20
Rap1b,9.818827,1.089076,9.342468069532904e-23,2.2067553888379444e-20
H2-K1,9.769247,1.1115905,1.5258231515455278e-22,3.543013080707412e-20
Cotl1,9.690087,1.893638,3.3224548652942464e-22,7.586271942421862e-20
Cd52,9.668444,2.7640386,4.105740637190057e-22,9.221089627787506e-20
Cd160,9.511245,3.7391655,1.88394563471756e-21,4.1629121283275118e-19
Fabp2,9.504429,0.8501616,2.0114908491051164e-21,4.374194386149221e-19
Srgn,9.478135,2.6066518,2.5886698447548093e-21,5.5413713864282635e-19
Tma7,9.466725,1.4944786,2.8875336707781835e-21,6.08603250610171e-19
Ndfip1,9.411954,0.9670993,4.869962532453047e-21,1.010886162039496e-18
Gimap4,9.397856,4.231028,5.5686506254745295e-21,1.1386643816268813e-18
Ptprc,9.315446,3.1796637,1.2144081022533438e-20,2.446675147186884e-18
Arhgdia,9.289975,1.2868723,1.5432479327109777e-20,3.0641299533536807e-18
Ablim1,9.174886,1.3520994,4.520520663036455e-20,8.847304726228491e-18
Cd3d,9.077855,3.2796264,1.1073528318179515e-19,2.1367230698459062e-17
Evl,9.005063,3.6777792,2.155411192376813e-19,4.101268518828103e-17
Eif4g2,8.986483,0.78045946,2.5526888763985e-19,4.79066268584376e-17
Arpc5,8.94116,0.9876435,3.851044187566248e-19,7.12963586076454e-17
Cyp4f14,8.840376,1.5006907,9.539683866997299e-19,1.7425822530381732e-16
Tram1,8.77343,0.9643876,1.73305615397216e-18,3.1240617512392885e-16
Ikzf2,8.695801,1.9708294,3.443915855297639e-18,6.048929130458673e-16
