names,scores,logfoldchanges,pvals,pvals_adj
mt-Atp6,18.907526,1.3824435,9.888864836280896e-80,1.3547744825704827e-75
Tfrc,15.701715,1.8126248,1.4720630085689417e-55,1.008363160869725e-51
Fcgbp,15.438808,1.1598784,8.974243357181752e-54,4.098237799779667e-50
mt-Co3,15.370708,1.098873,2.573408378713735e-53,8.813923697094541e-50
mt-Cytb,15.164236,1.1056995,6.100418259070959e-52,1.6715146029854428e-48
Scin,14.336643,1.4657098,1.2915254957511083e-46,2.5276998988271686e-43
mt-Nd4l,14.241281,1.2122846,5.078794819524481e-46,8.546695941540933e-43
mt-Co2,14.23427,0.9984251,5.61461777181521e-46,8.546695941540933e-43
Serf2,13.958492,1.1147815,2.792799264624147e-44,3.8261349925350814e-41
mt-Co1,13.890577,1.0467087,7.225089333717725e-44,8.998520351993895e-41
Ptger4,13.249092,1.1451195,4.566934737206034e-40,5.213917158310222e-37
Tfcp2l1,13.067824,0.9084434,5.0283062309358275e-39,5.299061181832372e-36
Rnase4,12.679269,0.8870908,7.704707902108748e-37,7.5396070184921316e-34
mt-Nd4,12.472723,0.90122694,1.0516962593970945e-35,9.605492502493463e-33
Mgat4b,12.354623,0.9978822,4.5990891600624546e-35,3.9379700933034763e-32
mt-Nd1,12.015436,0.8811902,2.9480916819723055e-33,2.375815061354152e-30
Ndufa1,11.986634,0.79556245,4.175262948438887e-33,3.1778390218673755e-30
Cmpk1,11.889843,0.7766395,1.3365688614711217e-32,9.155496701077184e-30
Tff3,11.756944,0.8792819,6.504670763531795e-32,4.2435233076374096e-29
P2rx4,11.554292,0.8485966,7.02237007826622e-31,4.373021366920329e-28
Mxd4,11.547597,1.0211798,7.591327426203432e-31,4.5217906843037835e-28
Rfk,11.494204,0.76005274,1.4107648512469205e-30,8.053116025867838e-28
Prr15,11.474526,1.605584,1.77145404747013e-30,9.707568180136312e-28
Fxyd3,11.326252,0.7587847,9.727941897604161e-30,5.1258770768145e-27
Pdia5,11.120837,0.73751295,9.933569031581702e-29,5.040366508617382e-26
Rsrp1,11.114865,1.1424973,1.0621094067458478e-28,5.196749597292183e-26
Plgrkt,11.090218,0.86241233,1.3994683991892417e-28,6.611281747894005e-26
Tma7,11.060192,0.8277484,1.9567860691818779e-28,8.935989715930575e-26
Serpinb1a,11.01507,0.70375293,3.2328667089736176e-28,1.4287185133205986e-25
Fabp2,10.99721,0.7062385,3.941387371682257e-28,1.6874064685014663e-25
mt-Atp8,10.939179,0.80026186,7.487427882098574e-28,3.108417029840923e-25
Car1,10.87783,0.5221322,1.470215722149514e-27,5.758357353607072e-25
Tsta3,10.877774,0.68092954,1.4711131925273543e-27,5.758357353607072e-25
Emp1,10.869169,0.82149553,1.6166683947697152e-27,6.152321391206972e-25
Camk2d,10.835546,0.7770184,2.3357013053281176e-27,8.648407535944652e-25
Rap1gap,10.830259,0.6922463,2.474529733548818e-27,8.921330881478634e-25
Hsd11b2,10.798027,0.7255324,3.516802624817439e-27,1.235389639999972e-24
Smim6,10.787233,0.7719355,3.955189537525378e-27,1.354652416602442e-24
Atp2a3,10.753628,0.67268735,5.6975687360573585e-27,1.9038217483898977e-24
Anxa2,10.728479,0.66405714,7.481705639129342e-27,2.440461125144571e-24
Ndrg1,10.719651,0.68036896,8.231273651332696e-27,2.622522070308324e-24
Insig1,10.716406,0.98903894,8.52518103587999e-27,2.6442771131624218e-24
mt-Nd5,10.714682,0.76435935,8.6855817585627e-27,2.6442771131624218e-24
Lrrc26,10.682578,1.0101314,1.2281237691436272e-26,3.6576729646234115e-24
Akr1c14,10.648769,1.2578107,1.7668566740514732e-26,5.150199241384082e-24
Bcas1,10.641944,1.0171242,1.9012010487807557e-26,5.4263446600617404e-24
Gale,10.604834,0.6835601,2.8296634463539584e-26,7.753277843009847e-24
Ndufb8,10.553629,0.6965525,4.887239276493992e-26,1.312846629175837e-23
Tram1,10.54966,0.66937536,5.0981354987273306e-26,1.343162621780085e-23
Tmprss2,10.514589,0.6010595,7.400239188860802e-26,1.8774680905072775e-23
Ern2,10.47058,1.0871158,1.1791827813571347e-25,2.9372371099259536e-23
Tm9sf3,10.451144,0.67017007,1.4476849706366512e-25,3.541657874593236e-23
Sec11c,10.420469,0.67041683,1.9996481979618634e-25,4.8061719845750054e-23
Pmp22,10.415795,1.1825166,2.100345462778557e-25,4.961160834494178e-23
mt-Nd2,10.357227,0.78150827,3.8804766056340894e-25,9.010598219862207e-23
Aldoa,10.320172,0.64089304,5.712037661509943e-25,1.3042485993781034e-22
Hpgd,10.27442,0.74964494,9.189566984406106e-25,2.0638863555141584e-22
Il1r1,10.265277,1.1422051,1.0103092920804562e-24,2.2324576292745562e-22
Tmbim6,10.194691,0.6872226,2.094095389118226e-24,4.553826481098364e-22
Ostc,10.172157,0.87800086,2.639949287388204e-24,5.651141443315374e-22
Scnn1a,10.152721,0.8166891,3.2224930622690828e-24,6.792023838936375e-22
Plscr1,10.124995,0.6329604,4.279989845039986e-24,8.884221345007243e-22
Copg1,10.111828,0.6751988,4.896217348478765e-24,1.001166830957598e-21
Anxa11,10.095304,0.6132037,5.795161523910625e-24,1.167554601140817e-21
Eif4a2,10.063849,0.9992977,7.98150547078833e-24,1.5847336949246394e-21
Cmtm4,10.043245,0.8500016,9.838333177004237e-24,1.9255023503565433e-21
Calm3,10.029132,0.63031286,1.1351059686054509e-23,2.190274897168264e-21
Atp6v1b2,10.02136,0.764477,1.2280038877134532e-23,2.3366185085658763e-21
Txn1,10.000218,0.62777734,1.5206126970368094e-23,2.853752595808807e-21
Lrrc59,9.96793,0.698646,2.1057163032657457e-23,3.8984207236136105e-21
Txndc5,9.929021,0.60963273,3.1129786495753824e-23,5.686374333224365e-21
Grtp1,9.920619,0.73580414,3.386481746206642e-23,6.104578937240921e-21
Atp5j2,9.915872,0.61965203,3.551430093755684e-23,6.318778218760113e-21
Ttc39a,9.885252,0.6084537,4.823652023335944e-23,8.472311887141337e-21
Tars,9.876832,0.7434473,5.2465130849967403e-23,9.098383451196878e-21
Arcn1,9.848216,0.67396015,6.977131395298068e-23,1.1948337514447941e-20
Stx17,9.812126,0.93215317,9.984274281887093e-23,1.688698242738928e-20
Tmigd1,9.802371,1.4884422,1.0997384712988666e-22,1.8373679337554235e-20
Appl2,9.79944,0.5962797,1.1321116487868077e-22,1.8686662154673814e-20
Myo1a,9.795082,0.5927552,1.182014213866117e-22,1.9278088964245004e-20
Tmbim4,9.776388,0.5773632,1.4219506988759144e-22,2.2918499499529444e-20
Car8,9.749367,0.5681151,1.856232344961891e-22,2.9570212937183616e-20
Impad1,9.74434,0.62855214,1.9504132469179942e-22,3.07134040031914e-20
Pmm2,9.729262,0.5970174,2.262269680943785e-22,3.521942571469302e-20
Samm50,9.721659,0.65721744,2.43777425597317e-22,3.7525289108800485e-20
Ms4a8a,9.664111,0.6366343,4.283234314298758e-22,6.520034456210332e-20
Kit,9.652594,0.7646694,4.792786324275017e-22,7.215513477205245e-20
Adipor1,9.645695,0.660666,5.12629189381008e-22,7.633717276651967e-20
Rchy1,9.635142,0.7056764,5.681336779595007e-22,8.36928106241415e-20
Hmgcs1,9.631395,0.62996924,5.892358597456732e-22,8.587799232463535e-20
Ndufa6,9.620676,0.60042757,6.539978028296044e-22,9.431336735542715e-20
Asph,9.61374,0.61826175,6.996057938215395e-22,9.983957682661554e-20
Erbin,9.567375,0.54349905,1.0965408941801048e-21,1.5329194132925956e-19
Hprt,9.55953,0.81111497,1.1829228991699955e-21,1.6284638622447894e-19
