names,scores,logfoldchanges,pvals,pvals_adj
Dmbt1,100.65583,1.3324013,0.0,0.0
Ptms,63.550034,1.1276606,0.0,0.0
Pigr,62.26963,0.7027057,0.0,0.0
Car2,60.335587,0.74402034,0.0,0.0
Sult1a1,60.168972,1.0662428,0.0,0.0
Hmgcs2,57.744633,0.9437493,0.0,0.0
Adh5,55.672066,1.0314459,0.0,0.0
Fkbp4,55.182636,1.2024049,0.0,0.0
Pycard,53.135796,0.8133156,0.0,0.0
Dynll2,53.052315,0.98380023,0.0,0.0
Cox7b,51.706593,0.7075936,0.0,0.0
Tspan8,50.96187,0.79734826,0.0,0.0
Ppp1r1b,50.633083,0.9582737,0.0,0.0
Sdhc,50.602516,0.8312493,0.0,0.0
Chchd2,50.48812,0.93150634,0.0,0.0
Cluh,50.15634,1.109219,0.0,0.0
Ndufs2,50.030178,0.8612088,0.0,0.0
Mgst1,49.939312,1.1752183,0.0,0.0
Taldo1,49.924736,0.77575713,0.0,0.0
Hadh,49.593163,0.79481465,0.0,0.0
Npm1,49.153046,1.3941679,0.0,0.0
Eci1,48.992428,1.041257,0.0,0.0
Ifitm2,48.782433,0.9601512,0.0,0.0
Plp2,47.909397,1.0372381,0.0,0.0
Atpif1,47.57957,0.77606416,0.0,0.0
Ndufa12,47.519028,1.0090384,0.0,0.0
Cldn15,47.2477,0.9366133,0.0,0.0
Sult1d1,47.1652,0.8259942,0.0,0.0
Gsta4,44.37608,1.2058295,0.0,0.0
Sod1,44.006046,0.7331488,0.0,0.0
Etfb,43.270916,0.874907,0.0,0.0
Sdc4,43.23755,0.8361316,0.0,0.0
Mt1,42.787853,0.9449505,0.0,0.0
Anp32a,42.701084,0.91040945,0.0,0.0
C1qbp,42.44885,1.5134807,0.0,0.0
Mdh2,42.19546,0.85936546,0.0,0.0
Ndufa5,41.66449,1.127682,0.0,0.0
Atp5o,41.472885,0.80571824,0.0,0.0
Uqcrc1,41.446033,0.5717998,0.0,0.0
Bpnt1,40.91341,0.94365495,0.0,0.0
Cisd3,40.843597,0.7382577,0.0,0.0
Ranbp1,40.689346,1.1682576,0.0,0.0
Gsto1,40.66425,0.56188107,0.0,0.0
Gstm2,40.565845,0.8619093,0.0,0.0
Mt2,40.565693,1.2658756,0.0,0.0
Hspa8,40.553265,0.84811133,0.0,0.0
Ank,40.51626,1.0415566,0.0,0.0
Got2,40.513397,1.0238261,0.0,0.0
Gss,40.315983,0.83069193,0.0,0.0
Ndufa6,39.930573,0.8036418,0.0,0.0
