names,scores,logfoldchanges,pvals,pvals_adj
Car1,11.597761,0.48951468,4.230006648729287e-31,5.749425036952848e-27
Igha,11.246657,1.8935951,2.4053681796579856e-29,1.634688214895567e-25
Igkc,7.7822094,0.63028085,7.1268848731907e-15,1.2108577399551001e-11
Jchain,7.6942787,1.5449358,1.422945111440037e-14,2.1489633282992204e-11
Emp1,6.509775,0.7986793,7.526344498064121e-11,7.869082647514426e-08
Muc13,6.1530404,0.35765854,7.601152417468719e-10,7.379633118445346e-07
Spink4,5.5906076,0.38766772,2.2627616946109755e-08,1.8091445266560222e-05
Krt20,5.3220096,0.5265332,1.02627220810621e-07,7.341627290831372e-05
Lgals3,5.0651536,0.25264198,4.0807127582737834e-07,0.00026411927528789176
Pmp22,4.50897,0.78462017,6.514311768358907e-06,0.003541701022221371
Cyp2c55,4.4664984,0.42397556,7.951029217962145e-06,0.004154914346669031
Igkv4-91,4.4584985,5.71779,8.253582060040012e-06,0.004154914346669031
Slc26a3,4.343478,0.627008,1.402445185049875e-05,0.006573115501792379
Zg16,4.1119266,0.39155677,3.923711082331804e-05,0.015685612067957024
Agr2,4.1018324,0.26968566,4.098914133553764e-05,0.015917840258075074
Reg4,4.007687,0.32980102,6.131625185812396e-05,0.02315029153487836
Ceacam1,3.9979706,0.26643223,6.388789211165288e-05,0.023469303502205024
Ethe1,3.8325129,0.30343795,0.0001268409376159936,0.04204931766040451
Sdcbp2,3.4615636,0.67823213,0.0005370471039729562,0.16221209416000937
St6galnac6,3.1799183,0.3771398,0.0014731659909858628,0.36405949362690626
Tubb4b,3.1103568,0.50830704,0.0018686154436269994,0.4233036851629696
Fam162a,3.017482,0.33199263,0.0025488414515471196,0.5587718227327169
S100g,2.9915595,1.0054255,0.002775564088016564,0.5988169378463672
Tff3,2.9799888,0.31763786,0.0028825889158786222,0.6121898210097224
Tgoln1,2.917569,0.3233594,0.003527717855548078,0.7128604363612906
Aqp8,2.913277,1.1641026,0.003576571627393473,0.7128604363612906
Lypd8,2.9051054,0.13721201,0.0036712941837323677,0.7128604363612906
Sprr2a3,2.8887966,0.45538795,0.003867191709774884,0.7403221087219749
Fcgbp,2.8668568,0.40229306,0.004145704699848619,0.7826169205603116
Ccl5,2.7744973,1.0755699,0.00552871057811312,1.0
Clca3b,2.7154763,0.34507218,0.006618050773554347,1.0
Vamp8,2.7064807,0.5066243,0.006800053408169441,1.0
Prdx6,2.6101725,0.44856435,0.00904965483826117,1.0
Fabp2,2.5769713,0.26256067,0.009967025298260481,1.0
Cystm1,2.4908605,0.2444212,0.012743416597435568,1.0
Tspan1,2.4530582,0.21241845,0.014164741056163657,1.0
Stard10,2.444715,0.2778264,0.01449666660245763,1.0
Higd1a,2.4296765,0.22086608,0.015112306061832932,1.0
Stard5,2.42899,0.63655025,0.015140959119460385,1.0
Tle5,2.3758402,0.35697502,0.01750904984290169,1.0
Ces2c,2.3564067,0.3967482,0.01845269849921067,1.0
Shroom3,2.3535914,0.67736703,0.018593038485358215,1.0
Adh1,2.2765448,0.29171106,0.02281341776765916,1.0
Muc4,2.2155669,0.39809084,0.02672117670925605,1.0
Retnlb,2.200803,0.42193207,0.027749965432062314,1.0
Oit1,2.1900907,0.2696517,0.028517654915960113,1.0
Fdft1,2.1524603,0.683578,0.03136112508362468,1.0
Sgk1,2.1517048,0.70130837,0.03142060688535056,1.0
Perp,2.1485116,0.486301,0.03167312315035108,1.0
Clca1,2.1158254,0.28770685,0.03435966204370175,1.0
Tstd1,2.1104348,0.31060246,0.03482091566656313,1.0
Krt18,2.1071045,0.3530073,0.035108528532838384,1.0
Papss2,2.1065207,0.19718711,0.03515914319309727,1.0
Actg1,2.0931304,0.27161992,0.03633752342721813,1.0
Maoa,2.0804265,0.22761342,0.03748642422582186,1.0
Pdcd6ip,2.071534,0.54286355,0.03830892502208623,1.0
Lgals4,2.060135,0.15393344,0.0393856445357175,1.0
Tm9sf2,2.040324,0.24960025,0.04131807112661559,1.0
Gna11,2.0351396,0.32849488,0.04183684372691277,1.0
Cdx1,2.0010111,0.273834,0.04539120265062277,1.0
Myo15b,1.9833632,0.29295364,0.04732688396331658,1.0
Hdlbp,1.9700414,0.31727818,0.04883363123385078,1.0
Muc2,1.968359,0.020518145,0.04902674964065356,1.0
Atoh1,1.9498184,0.64690673,0.051197771172900815,1.0
Myh14,1.9403421,0.4557474,0.052338132287654174,1.0
Gpa33,1.9317584,0.26222384,0.05338932588217232,1.0
Mal,1.9051149,0.8323706,0.0567651326849409,1.0
B4galt6,1.8994497,0.60319865,0.057505367480992796,1.0
Krt8,1.8993467,0.1251609,0.05751890023462027,1.0
Slc9a3r1,1.8748662,0.4377221,0.060811120166071146,1.0
Txndc5,1.8724285,0.27605787,0.061147338474262014,1.0
Selenom,1.8640853,0.36705273,0.062309729304639044,1.0
Rsrp1,1.857081,0.24377377,0.06329962311045854,1.0
Guca2a,1.8450984,0.20839341,0.06502323519163448,1.0
Rab5if,1.8311242,0.25318575,0.06708200419029907,1.0
Hook1,1.8202403,0.34853396,0.06872243311603367,1.0
Kdelr2,1.8189355,0.5632925,0.06892127179935138,1.0
Slc37a1,1.8089099,0.66506547,0.07046501157837627,1.0
Sycn,1.8022833,0.25612292,0.07150084575722057,1.0
Ildr1,1.7940087,0.45425835,0.07281178128551075,1.0
Klf4,1.7782835,0.32149345,0.07535730146200154,1.0
Sval1,1.7778028,0.64765525,0.07543624209445093,1.0
Purb,1.7767042,0.29700297,0.07561693131422983,1.0
Capzb,1.7695969,0.22907086,0.076794314274757,1.0
Eps8l3,1.7689788,0.47823247,0.07689739778765504,1.0
Uqcrfs1,1.760258,0.17717938,0.07836408185770471,1.0
Zfp445,1.7587472,0.9479766,0.0786204521025644,1.0
Cuedc2,1.7501637,0.48279163,0.08009008495906582,1.0
Cdhr5,1.740859,0.30201378,0.08170829978422293,1.0
Elavl1,1.7388676,0.4342994,0.08205805681858482,1.0
C1galt1,1.7309363,0.35358042,0.0834631207461948,1.0
Carhsp1,1.7195373,0.41280586,0.08551658215798709,1.0
Mxd1,1.7064902,0.58073956,0.08791684713261566,1.0
Ccdc6,1.702782,0.53914326,0.0886088552037605,1.0
Plekhb2,1.70031,0.2910413,0.08907262793201062,1.0
Gpx2,1.6990052,0.3332592,0.08931818410238469,1.0
Lmna,1.6951255,0.37161052,0.09005161325358065,1.0
Ppa1,1.6913143,0.4116714,0.09077677297390668,1.0
S100a1,1.68922,0.49613452,0.09117727952447902,1.0
Sri,1.6843789,0.13652004,0.09210847858686896,1.0
Odc1,1.6786793,0.26071054,0.09321455885144593,1.0
Cisd3,1.6571516,0.2658768,0.09748882388600935,1.0
Hsd11b2,1.6517955,0.22173783,0.09857625589878756,1.0
Cdh17,1.6463363,0.40400234,0.09969454446459983,1.0
M6pr,1.6421131,0.35526645,0.10056655863956797,1.0
Clptm1l,1.6409115,0.48531953,0.10081580065450516,1.0
Tmem256,1.6171863,0.5128443,0.10583806399198675,1.0
Prdx2,1.6147829,0.3936205,0.1063577111120983,1.0
Slc38a2,1.6136498,0.62453544,0.10660338815563439,1.0
Lman1,1.6132035,0.40648648,0.10670029343381049,1.0
Ide,1.6120019,0.5387568,0.10696153928998993,1.0
Sdc1,1.609873,0.29847747,0.1074255615021896,1.0
Mgat2,1.6057873,0.78382814,0.10832065046783483,1.0
Dstn,1.6051006,0.2308458,0.1084716632755177,1.0
Edem1,1.6013925,0.2912971,0.10929001307203025,1.0
Mapk13,1.5898561,0.28790763,0.11186723870804406,1.0
Dynll1,1.5860107,0.20273001,0.1127368889190422,1.0
Insig1,1.584809,0.39866373,0.11300974473604648,1.0
Tmem8,1.5806202,0.7991968,0.11396491246186678,1.0
Ldha,1.5738906,0.17161599,0.11551274008140841,1.0
Eps8,1.5577534,0.568274,0.11929170965296798,1.0
Tob1,1.5492384,0.2540823,0.12132440037939089,1.0
Isyna1,1.5478995,0.45416328,0.12164650819940127,1.0
Hint1,1.5454273,0.2653815,0.12224292522791909,1.0
Mettl7b,1.5401399,0.2692126,0.12352626489807604,1.0
Actr1a,1.533994,0.60989237,0.12503112931153507,1.0
Uqcrc1,1.5276421,0.14926694,0.12660141620946408,1.0
Arhgap21,1.5244833,0.8562784,0.1273880107251772,1.0
Slc39a7,1.521153,0.6154482,0.12822146725951958,1.0
Rpn1,1.5175478,0.21375798,0.12912843402381521,1.0
Hsp90b1,1.5174448,0.19406068,0.12915442039677796,1.0
Lrrc59,1.5106466,0.22968775,0.13087851935487277,1.0
Bsg,1.5070415,0.15762128,0.13180002914882652,1.0
Hnf4a,1.50299,0.21750948,0.1328416224266988,1.0
Cttn,1.4916596,0.5990816,0.135788395559613,1.0
Ccnd2,1.4876769,0.20711005,0.13683613768542652,1.0
Suds3,1.4805696,0.19577001,0.13872129764063726,1.0
Cnih1,1.4780289,0.34127137,0.13940005234319527,1.0
Ndufa5,1.4743208,0.38961604,0.14039525200366995,1.0
Sec11c,1.4738401,0.25507534,0.14052465846675055,1.0
Itprid2,1.4723294,0.48238558,0.14093196170935085,1.0
Cmas,1.4704753,0.36370328,0.14143307355855694,1.0
Glipr1,1.4629904,1.0178726,0.14347001089228711,1.0
Fam98c,1.4572566,0.53136075,0.14504558124763087,1.0
Gprc5a,1.4521064,0.7448663,0.1464720324710786,1.0
Sdhc,1.4466815,0.17181058,0.147986141562194,1.0
