names,scores,logfoldchanges,pvals,pvals_adj
Tpt1,14.429534,0.78662753,3.373539366919801e-47,4.585314707517394e-43
Ighm,11.5465355,2.1818461,7.685615574019409e-31,2.089257737641436e-27
H2-Aa,10.24064,1.8656938,1.3037186415024798e-24,2.5314491107573866e-21
H2-Eb1,9.910783,1.7734755,3.737063747003791e-23,5.3403598896098636e-20
Cd79a,9.847328,1.9612796,7.039036087167692e-23,8.697688954253025e-20
Cd74,9.784009,1.784909,1.3188135756660766e-22,1.4937761767044428e-19
Eef1a1,9.771696,0.401893,1.4893692997136117e-22,1.5571928862851855e-19
H2-Ab1,9.409301,1.630927,4.994484569172106e-21,4.242814641511704e-18
Ighd,9.116786,2.0598555,7.738488863067682e-20,6.187149448636232e-17
Coro1a,8.93454,1.6291889,4.088757311738953e-19,2.9249678621660974e-16
Tmsb4x,8.863847,0.7818858,7.729997113162932e-19,4.775732761914118e-16
Cd79b,8.543529,1.7921351,1.301841445489383e-17,6.805626510419882e-15
Shisa5,7.376786,0.9854625,1.621560282122767e-13,5.247677941574441e-11
Ms4a1,7.1766806,2.1787016,7.142434626508058e-13,2.065531307308458e-10
Arhgdib,7.020614,1.5168984,2.2089500227736513e-12,5.560009020285087e-10
Rac2,6.5771074,1.3333756,4.79688600796323e-11,8.049293162992127e-09
Ly6e,6.1917787,0.89950806,5.948909354880982e-10,6.937655112319006e-08
Lcp1,6.1384034,1.3824652,8.335493220220536e-10,9.063681907939003e-08
Cd52,5.9663043,1.0777198,2.426873484557678e-09,2.1990709601405306e-07
Pax5,5.934848,2.1007073,2.941185524857558e-09,2.579135074442834e-07
Cd37,5.775534,1.6444349,7.670931939030528e-09,6.061820169494357e-07
Fau,5.6033673,0.65080667,2.10226878410252e-08,1.5445425574876459e-06
Ets1,5.5723844,1.6578038,2.5127648640901337e-08,1.788141362969272e-06
Serinc3,5.5127854,0.47038615,3.5319871175518114e-08,2.37657271790912e-06
Spib,5.2764874,1.7593788,1.316835271512398e-07,6.937374035037408e-06
Ikzf3,5.2105975,2.0269673,1.882336143235246e-07,9.406144433402009e-06
Fcer2a,5.0897083,1.8475109,3.5861429358920773e-07,1.608675075400829e-05
mt-Co2,4.930192,0.30893332,8.214876732952273e-07,3.21776958369704e-05
Tmsb10,4.844481,0.78573054,1.2694314477652643e-06,4.564579957149596e-05
Srgn,4.785085,1.0030855,1.7091494863316094e-06,5.8663534894493014e-05
Ucp2,4.6670375,0.2656946,3.055735433504886e-06,9.29162326894819e-05
Ptprc,4.616707,1.4705936,3.898777561740555e-06,0.00011520040134603832
Iglc3,4.4841146,1.7512469,7.32173071928594e-06,0.00018741424470157156
Fcmr,4.302139,1.6545643,1.691573129017952e-05,0.0003648171918198998
mt-Atp8,4.244231,0.29906133,2.1934410398209093e-05,0.0004483195580939218
Slfn2,4.1790175,1.724518,2.927710728570102e-05,0.0005725675427730191
Ifi27l2a,4.1725907,1.9226798,3.0115537454904453e-05,0.0005822622831963888
Msn,4.0926976,1.050088,4.2638393475817765e-05,0.000761551963368351
Ptp4a3,3.9180276,1.4891489,8.927645345994592e-05,0.0013711249213871016
Cd22,3.804039,1.8594747,0.00014235569134780085,0.001980448881063776
Hcls1,3.7770472,1.2927896,0.00015869869572909386,0.0021718212463796385
Cd24a,3.6674557,0.30231565,0.00024497592192959986,0.0030325252557988356
Cd53,3.5082777,1.0870887,0.00045101809619985307,0.005045463344484282
H2-Eb2,3.5048275,1.887968,0.00045690315700416427,0.005090350581967705
Sp100,3.1121926,1.9927943,0.0018570324736006353,0.015168741214651343
Ptprcap,3.086689,1.4747919,0.002023992262190975,0.01620147398568889
Ikzf1,3.0039542,1.4292899,0.0026649537705800024,0.020003433008503907
Laptm5,2.9603207,0.77607584,0.0030731899019332013,0.022230333766405576
Evl,2.9273756,1.2842044,0.003418357898753736,0.024236995597214803
Cd19,2.882592,1.9329257,0.003944180061386926,0.02722666094178319
Sell,2.8484292,1.4480858,0.004393562820178957,0.029563022698946725
Sh3bp5,2.8294199,1.5645467,0.004663248228735832,0.03105481133021922
Sema4d,2.827052,1.0498377,0.004697868234349436,0.03122869263198886
Pik3ap1,2.791807,1.3778225,0.005241461310016959,0.03410337105110125
