names,scores,logfoldchanges,pvals,pvals_adj
Tpt1,10.654565,0.5505065,1.6601871923148104e-26,5.641316079485726e-23
H2-Aa,8.521407,1.5267154,1.5762648157921686e-17,2.1424591376247157e-14
Ighm,8.1004,1.5624833,5.477892412493543e-16,6.204626139217687e-13
Cd79a,7.89169,1.6552739,2.9812220135041075e-15,2.1326720846077808e-12
Cd74,7.430468,1.3495376,1.0821419097831257e-13,5.4475825325082384e-11
H2-Eb1,7.382037,1.3740591,1.5588583996930387e-13,7.30620805814751e-11
H2-Ab1,6.660145,1.190062,2.7355803860028068e-11,7.436401721310031e-09
Ighd,6.3791065,1.4942181,1.7812391760244702e-10,3.572508354411115e-08
Cd79b,6.3362885,1.4241478,2.35365957041026e-10,4.3823206686323633e-08
Coro1a,5.899658,1.1744906,3.6425536524131955e-09,4.0917015903801775e-07
Eef1a1,5.610809,0.22164154,2.0138326946348278e-08,1.689630492930653e-06
Ly6e,5.487851,0.7486705,4.068531315198554e-08,3.055219758904903e-06
Tmsb4x,4.9701552,0.39547133,6.689927372393894e-07,2.9144068219736474e-05
Ms4a1,4.921088,1.7008158,8.606442657458825e-07,3.5361923570195774e-05
Arhgdib,4.6447945,1.1045129,3.4041487834190354e-06,0.0001044451247499583
Shisa5,4.5648866,0.64317465,4.997644825138357e-06,0.0001387050394844291
Ets1,4.3241787,1.3603965,1.53101182630638e-05,0.00033553680895960687
Tmsb10,4.2914286,0.6770545,1.7752736357649784e-05,0.0003758492096155387
Spib,4.2034774,1.4987864,2.6284524654512975e-05,0.0005111005137398288
Srgn,3.9867246,0.86158293,6.69916824441552e-05,0.0010750306349243891
Slc25a5,3.9610338,0.55095637,7.462598060583668e-05,0.0011794375911564328
Cd24a,3.9062958,0.2994262,9.372175255358247e-05,0.001402063775893913
Iglc3,3.7987294,1.6434784,0.00014543971376989275,0.0019689408262553608
Pax5,3.761524,1.5704306,0.00016888125688018762,0.002211400812635366
Lcp1,3.6692333,0.95437986,0.00024327900552282848,0.0029870354499243763
Cd52,3.6003191,0.72267425,0.000317826922071355,0.003708071695102023
Cd37,3.3464763,1.1304971,0.0008184565090677136,0.007741448066282786
Rsrp1,3.286126,1.1557671,0.0010157562742654535,0.009158189237774911
Cd22,3.2260067,1.6515409,0.0012553041576389029,0.01075116201047761
Igkc,3.211136,0.14604932,0.0013221132527704985,0.011168529106063776
Slfn2,3.0925758,1.3328177,0.0019842752908827213,0.015254677462487529
Igkv4-91,3.0531137,3.0885572,0.0022648016655330066,0.01684631181941487
Cxcr4,3.035697,1.9292624,0.0023998038085456027,0.01768879249769622
Ikzf3,2.9789917,1.4378695,0.0028919852723713313,0.02050488462288531
H2-Eb2,2.9740157,1.660361,0.0029393011549062008,0.020742980943657882
Agr2,2.9110034,0.20615163,0.003602701217121627,0.024169750712298693
Rac2,2.8262348,0.71344805,0.004709871888347541,0.029775152886706874
Msn,2.6819837,0.7428364,0.007318702723917738,0.042104534262100424
Fcer2a,2.6382976,1.197384,0.008332344234940997,0.04639624041020813
Ptprc,2.6263778,0.98793,0.008629895992006111,0.0477207267385464
Ptp4a3,2.5296319,1.1688777,0.011418228353669907,0.05957641450406195
Fcmr,2.4145434,1.0875789,0.015754949274164324,0.07616475324879732
Tbc1d10c,2.3592267,1.4492865,0.018313059940805666,0.08521434807101355
Hcls1,2.3252616,0.9144066,0.020057980583000026,0.09098101535450667
Cd53,2.2814019,0.8019166,0.022524683910746045,0.09946572570333341
Cd19,2.277467,1.6534224,0.0227583463482868,0.10017209960036082
Car1,2.272549,0.18852569,0.023053383895128034,0.10125655560615267
Ucp2,2.2701185,0.094498016,0.023200389400782253,0.10165689643308587
Sp100,2.0758743,1.5957595,0.03790558363205048,0.14707756001336858
Limd2,2.0648224,1.2654845,0.03893979734595826,0.15001976347116344
Ltb,2.0590363,0.89206684,0.03949076499434583,0.15154107221997418
Sema4d,2.0551016,0.77745503,0.03986919126091478,0.15251940348930382
Ikzf1,2.0269804,1.1321347,0.04266441226224933,0.16090307754397692
Serinc3,1.9983964,0.15052058,0.0456737033428539,0.16936229614454676
H2-K1,1.9642575,0.4977769,0.049500235048436314,0.17903331420392402
Scd1,1.9582977,1.5570846,0.05019509203087349,0.18089711742273606
Laptm5,1.9193562,0.52461183,0.05493926502047251,0.19330429463066587
Gpsm3,1.8068715,1.2515541,0.07078230411355903,0.23311681064005194
