names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,104.50895,1.9848824,0.0,0.0
Ddx5,103.12383,2.011273,0.0,0.0
Hnrnpk,95.058205,1.7213496,0.0,0.0
Clk1,94.39956,1.7518365,0.0,0.0
Cdc42,94.25156,1.6585926,0.0,0.0
Eef1g,94.15517,2.251188,0.0,0.0
Atp5e,94.071846,1.8110693,0.0,0.0
Atp5b,93.85127,1.6600072,0.0,0.0
Actg1,93.17696,1.5654953,0.0,0.0
Btf3,92.27268,1.8342594,0.0,0.0
Lrp10,91.83399,1.5936855,0.0,0.0
Ddx17,91.13579,1.6473503,0.0,0.0
Sf3b1,89.88669,1.4241965,0.0,0.0
Nsd1,89.66925,1.4964312,0.0,0.0
H2-K1,89.407745,1.523747,0.0,0.0
Psap,88.983,1.5591352,0.0,0.0
Iqgap1,88.708954,1.4106075,0.0,0.0
Wdr26,88.40337,1.6325258,0.0,0.0
Serf2,88.34956,1.338586,0.0,0.0
Actr3,88.19758,1.7131221,0.0,0.0
Ddx3x,88.09611,1.4713687,0.0,0.0
Gnas,87.982086,1.5250459,0.0,0.0
Tmed2,87.81325,1.9341309,0.0,0.0
Ogt,87.64882,1.7231722,0.0,0.0
Plec,87.46971,1.8479562,0.0,0.0
Pkn1,87.45727,1.5246141,0.0,0.0
Hnrnpul2,87.429405,1.4778918,0.0,0.0
Purb,87.37006,1.6360884,0.0,0.0
Cops9,87.11085,1.4566581,0.0,0.0
B2m,87.03276,1.4035375,0.0,0.0
Mprip,86.911995,1.7776204,0.0,0.0
Tbca,86.84521,1.465612,0.0,0.0
Cops6,86.56354,1.568548,0.0,0.0
Twf1,86.2879,1.581225,0.0,0.0
Becn1,86.25834,1.507694,0.0,0.0
Atp6v0a2,86.25504,1.7800001,0.0,0.0
Lypla1,86.19063,2.010771,0.0,0.0
Pdcd6ip,85.984276,1.3275143,0.0,0.0
Mgam,85.47231,1.565816,0.0,0.0
Cltc,85.25812,1.4162036,0.0,0.0
Hnrnpa2b1,85.156296,1.9678475,0.0,0.0
Psmb10,85.153305,1.6801829,0.0,0.0
Arih1,85.02835,1.4056365,0.0,0.0
Hnrnpu,84.91926,1.7731845,0.0,0.0
Trip12,84.84188,1.2859045,0.0,0.0
Mgat4b,84.76367,1.4058815,0.0,0.0
Atp6v1g1,84.727264,1.4318129,0.0,0.0
Leng8,84.52852,1.4744889,0.0,0.0
Atrnl1,84.39498,1.529768,0.0,0.0
Cox7a2,84.23405,1.5530683,0.0,0.0
Chchd2,84.184364,1.4194456,0.0,0.0
Flnb,83.937485,1.5776143,0.0,0.0
Csde1,83.84429,1.8213245,0.0,0.0
Ddx6,83.74909,1.3986876,0.0,0.0
Tax1bp1,83.71435,1.3243173,0.0,0.0
BC005537,83.548775,1.264441,0.0,0.0
S100a6,83.531525,1.513392,0.0,0.0
Ugt2b34,83.53123,1.4612156,0.0,0.0
Rnf187,83.470146,1.747907,0.0,0.0
Arpc5,83.265785,1.2499787,0.0,0.0
Surf4,83.225395,1.3200217,0.0,0.0
Sema4g,83.22097,1.5053931,0.0,0.0
Pabpc1,83.109856,2.196068,0.0,0.0
Golga4,83.07308,1.5942028,0.0,0.0
Zmynd11,83.01602,1.5279331,0.0,0.0
Eef2,82.972275,1.3917298,0.0,0.0
Son,82.76703,1.1961783,0.0,0.0
Copa,82.650375,1.2419438,0.0,0.0
Slk,82.5864,1.7118549,0.0,0.0
Abracl,82.51668,1.5759506,0.0,0.0
Serbp1,82.513626,1.5236002,0.0,0.0
Mtch1,82.50628,1.3209996,0.0,0.0
Ube2q1,82.45428,1.767016,0.0,0.0
Dbnl,82.41986,1.3562752,0.0,0.0
Copb2,82.38174,1.3268752,0.0,0.0
Rsrp1,82.35902,1.3960493,0.0,0.0
Srp9,82.34399,1.266132,0.0,0.0
Tut7,82.304184,1.2956604,0.0,0.0
Gabarap,82.297806,1.5187433,0.0,0.0
Rab6a,82.21488,1.2285459,0.0,0.0
Rbm14,82.179344,1.8324091,0.0,0.0
