names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,45.242195,1.9586707,0.0,0.0
B2m,43.135834,1.6897193,0.0,0.0
Ddx5,42.527348,1.8094379,0.0,0.0
H2-K1,41.77114,1.8516387,0.0,0.0
Eef1g,41.17842,2.101272,0.0,0.0
Clk1,40.628147,1.8113619,0.0,0.0
Cdc42,38.684956,1.5791401,0.0,0.0
Ogt,37.894836,1.66857,0.0,0.0
Tmed2,37.880726,1.7316717,0.0,0.0
Serf2,37.442932,1.3491983,7.828143684297168e-307,9.7495971340792e-304
Atp5e,37.435696,1.5893292,1.0266744601274567e-306,1.1721200086455132e-303
Btf3,37.15941,1.6234161,3.090126128803347e-302,3.256517535738912e-299
Wdr26,36.42742,1.4343897,1.5671715049705033e-290,1.4313499745397262e-287
Nsd1,36.417763,1.3637036,2.228476073059675e-290,1.9081326375573465e-287
Atp5b,36.41302,1.3622748,2.648809945050211e-290,2.134629191011052e-287
Hnrnpk,36.32293,1.3326025,7.032527164175859e-289,5.35253456384496e-286
Btg1,36.242977,1.5573118,1.2820315051330243e-287,9.24412190543286e-285
Fam49b,36.097294,1.6547724,2.5008076907183963e-285,1.7130532681421016e-282
Lrp10,36.085106,1.3514436,3.884154575052111e-285,2.5339484608673294e-282
Ddx17,36.020412,1.4251547,4.008839193962777e-284,2.4964134980586384e-281
Man1a,35.765812,1.6863475,3.7572074318861517e-280,2.2379887746452297e-277
Mcl1,35.69513,1.2388514,4.704190015598338e-279,2.6853084672373846e-276
Cops9,35.67088,1.2991688,1.1184600505812338e-278,6.129161077185162e-276
Hnrnpul2,35.648426,1.3727874,2.4922289190328166e-278,1.3132129304134457e-275
Tbca,35.466946,1.4014738,1.589850138539432e-275,8.067017369626007e-273
Arpc5,35.385612,1.1491643,2.842364880161111e-274,1.3907285306502578e-271
Sf3b1,35.37083,1.2034746,4.797184437130615e-274,2.2662560961617043e-271
Actg1,35.326088,1.2575386,2.3356519333078025e-273,1.0666143828772297e-270
Twf1,35.323666,1.3637873,2.544289024133741e-273,1.1244116009881372e-270
Gabarap,35.137897,1.4648038,1.7791507660426179e-270,7.616989217119957e-268
Etnk1,35.097122,1.2912804,7.457699754711904e-270,3.09607535271373e-267
Zmynd11,35.0441,1.4198989,4.795245750433127e-269,1.9322019641451126e-266
Psap,35.040443,1.4341066,5.452109027490799e-269,2.0755265272954842e-266
Iqgap1,35.040432,1.2399715,5.4539383199005425e-269,2.0755265272954842e-266
Pkn1,34.93897,1.5662526,1.904632728364875e-267,7.052288750972645e-265
Leng8,34.913002,1.3153234,4.720339110501783e-267,1.7018064687861695e-264
Pabpc1,34.79925,1.8848785,2.496462880430803e-265,8.769626015872307e-263
Serbp1,34.699936,1.3663703,7.895759300833316e-264,2.704297560535411e-261
Actr3,34.69058,1.7136354,1.0927620235139424e-263,3.6514243224734175e-261
Hnrnpa2b1,34.63861,1.7163169,6.63033939930743e-263,2.1627535659645667e-260
Golgb1,34.584393,1.8265197,4.336780285600518e-262,1.3817183700634208e-259
Prpf4b,34.34321,1.6016661,1.778698688287751e-258,5.538220915805043e-256
Galnt1,34.32261,1.222769,3.6103156259516733e-258,1.0991405350119538e-255
Clec2d,34.313522,1.184288,4.9328983244359785e-258,1.4691458053211502e-255
Arih1,34.28143,1.2487073,1.4842194758178253e-257,4.326341876320044e-255
Hnrnpu,34.266296,1.6166149,2.494284229069472e-257,7.119102903802452e-255
S100a6,34.201424,1.3953079,2.3028322565937204e-256,6.438531003129381e-254
Cops6,34.066017,1.3786972,2.3511353239466555e-254,6.442110787613836e-252
Abracl,33.938396,1.4547827,1.8091805643611623e-252,4.8599556336760636e-250
Rbm14,33.919807,1.692304,3.401274168753876e-252,8.961049252293866e-250
Purb,33.879284,1.4553646,1.34500638595102e-251,3.4767146202884856e-249
Plekhb2,33.87121,1.228444,1.7686897510075277e-251,4.487231405333913e-249
Csde1,33.836792,1.5391508,5.677083292493859e-251,1.388857876913676e-248
Plec,33.70218,1.6107126,5.371369787835605e-249,1.2849599063910774e-246
mt-Nd3,33.7018,2.0296013,5.439976246035218e-249,1.2849599063910774e-246
Sorl1,33.66529,1.7691323,1.8627344521080554e-248,4.325332541335654e-246
Snx2,33.653217,1.3752893,2.797842710104849e-248,6.388407521406072e-246
Fchsd2,33.587982,1.3821193,2.512710268429763e-247,5.643300111063566e-245
Gnas,33.55608,1.2257757,7.339923441524273e-247,1.6218863088529442e-244
Rap1b,33.515003,1.0911515,2.914125786785359e-246,6.337067187136414e-244
Hip1r,33.41586,1.4223394,8.067348398418013e-245,1.7269167665363558e-242
Rnasek,33.401115,1.2709631,1.320829740315789e-244,2.783902683434817e-242
Atp6v1g1,33.3779,1.2717923,2.8694920722907446e-244,5.956369907633818e-242
Tomm5,33.299057,1.2325654,3.984341666877528e-243,8.147086691973453e-241
Eif3h,33.295303,1.5030892,4.5151973309463616e-243,9.096794622641934e-241
Acbd3,33.202778,1.2943968,9.815635807276492e-242,1.948901602314318e-239
Myl12b,33.19549,1.091799,1.250444324916777e-241,2.4472981787656922e-239
Akap13,33.16067,1.7964995,3.974513056278965e-241,7.669130826904481e-239
Ostc,33.141663,1.195912,7.467719967449788e-241,1.4209411604730847e-238
Pdcd6ip,33.11351,1.0800991,1.8992705368597107e-240,3.5643844321887725e-238
Ddx6,33.091106,1.160962,3.9898085401894897e-240,7.386537432512975e-238
Son,33.02179,1.066769,3.953632001483379e-239,7.221967789376306e-237
Ccnl2,33.005733,2.415478,6.7210916106802285e-239,1.2115651982410413e-236
Becn1,32.987938,1.2006692,1.2097384288081335e-238,2.1523917499573284e-236
Fryl,32.937595,1.1528218,6.368315557736211e-238,1.1185374761664885e-235
Fubp1,32.868366,1.4821168,6.225525283175065e-237,1.0796164098670682e-234
Atp9a,32.85504,1.2369311,9.649942811447181e-237,1.65255270646033e-234
Tmsb4x,32.815323,1.3777895,3.560163435344559e-236,6.021510995582773e-234
Ddx3x,32.803043,1.1055981,5.328424360941226e-236,8.902367529865219e-234
Rlim,32.790585,1.3578117,8.020611580354947e-236,1.3238840801308767e-233
Mrfap1,32.779922,1.5003856,1.1380706184495044e-235,1.856138984852168e-233
Syncrip,32.71391,1.525699,9.904538524484951e-235,1.5963785621816922e-232
Tnfaip8,32.7061,1.4290533,1.2789967629832978e-234,2.0374715875431604e-232
Trip12,32.61473,1.002016,2.5359321270762337e-233,3.993364384016598e-231
Ufm1,32.594154,1.4296033,4.9627514009680825e-233,7.726101612870766e-231
Hprt,32.55705,1.2458694,1.664231220173705e-232,2.5617941254359278e-230
Tut7,32.551987,1.0927379,1.9625704448370533e-232,2.987468343807514e-230
Mprip,32.541393,1.5427154,2.7713462936779032e-232,4.172246617954645e-230
Mxd4,32.531075,1.1174479,3.878196476416667e-232,5.775140405098733e-230
Drap1,32.52462,1.092792,4.785043107146919e-232,7.048934469668042e-230
Jak1,32.51907,1.2012597,5.732813694144227e-232,8.355271022316586e-230
Atrnl1,32.50484,1.386869,9.109465243106638e-232,1.3136807771637994e-229
Golga4,32.494118,1.3498819,1.291184773956102e-231,1.8426282711665206e-229
Stk38,32.478985,1.3442096,2.1120297470881526e-231,2.9829698489801743e-229
Yme1l1,32.4561,1.0625584,4.4431448105610564e-231,6.2113350923149464e-229
Mob4,32.45331,1.1829662,4.864666013234708e-231,6.731911553668231e-229
Rab6a,32.446735,1.0452559,6.022202883929337e-231,8.250417950983191e-229
Dars,32.406296,1.2376521,2.2377701790052552e-230,3.0353912329081184e-228
Dbnl,32.302094,1.2770301,6.537423405195894e-229,8.780656926586641e-227
Bzw1,32.294987,1.0975327,8.225334715447578e-229,1.0940493747731243e-226
Ppm1a,32.269657,1.0537138,1.8647735877492773e-228,2.4564805915543364e-226
Cltc,32.252663,1.1075467,3.228294532463296e-228,4.212155723309253e-226
Nol7,32.235332,1.3609893,5.6478939613118e-228,7.299636534902986e-226
Rbm25,32.21651,1.5201879,1.0364997850523782e-227,1.3271072014222038e-225
