names,scores,logfoldchanges,pvals,pvals_adj
Zmynd11,9.480492,2.338874,2.530868930734913e-21,3.3932089742326255e-17
Camk2n1,9.410165,2.1865325,4.9535897434052935e-21,3.3932089742326255e-17
Ddx5,9.348277,2.2970488,8.908700838259036e-21,4.0683067161382934e-17
Clk1,9.2739315,2.7712076,1.794084396994079e-20,6.14473905970472e-17
Son,9.193155,2.2080567,3.814823856296e-20,8.74312744021644e-17
Mtch1,9.192754,2.0879443,3.829106908123988e-20,8.74312744021644e-17
Pkdcc,9.136894,2.1698756,6.427171985138246e-20,1.2578893742341996e-16
Dync1h1,8.992623,1.8938366,2.413990704474089e-19,4.133959081411877e-16
Myo6,8.943595,2.0073454,3.767111965909468e-19,5.734381548106636e-16
Grtp1,8.830268,3.2176855,1.0442526450019258e-18,1.4306261236526384e-15
Plekhb2,8.72096,1.9310561,2.7585393033580063e-18,3.3570341695639012e-15
Mical2,8.713726,1.8559977,2.9404678857494023e-18,3.3570341695639012e-15
Gnb1,8.624913,1.8192314,6.4141466862833106e-18,6.7595238155447194e-15
Afg3l2,8.532483,1.6072923,1.4323960471734162e-17,1.4017018461625571e-14
Sptan1,8.512792,2.1423159,1.697953457126657e-17,1.4338833851254774e-14
Marcksl1,8.512389,1.6828314,1.703850365848157e-17,1.4338833851254774e-14
Ddx17,8.507165,2.0916903,1.7823741080319902e-17,1.4338833851254774e-14
Hspa8,8.500735,1.6569387,1.8839343746174153e-17,1.4338833851254774e-14
Tax1bp1,8.467381,1.7823777,2.509737958748472e-17,1.8096531597291616e-14
Tpm1,8.43724,1.6108141,3.2491872859501745e-17,2.130765348141876e-14
Golga4,8.434829,2.3722358,3.316879023385556e-17,2.130765348141876e-14
Ptov1,8.42639,1.656312,3.564939050880374e-17,2.130765348141876e-14
Pkn1,8.425987,2.094117,3.5771972998002296e-17,2.130765348141876e-14
Clta,8.403081,1.6172043,4.349138281491755e-17,2.424470662948282e-14
Flnb,8.401072,2.1380644,4.4242165382267916e-17,2.424470662948282e-14
Marcks,8.37053,1.9046346,5.735976075134263e-17,3.0224181626669e-14
Arhgef2,8.339586,1.9728901,7.455116119844928e-17,3.782781142291686e-14
Cacnb3,8.208576,1.990747,2.238260503290303e-16,1.0951488891098981e-13
Acin1,8.203352,2.4773138,2.337748779510874e-16,1.1043847682516887e-13
Pdap1,8.188885,1.7424898,2.6365733675040915e-16,1.1730011558091805e-13
Kdm2a,8.188081,1.8925409,2.654236191976978e-16,1.1730011558091805e-13
