names,scores,logfoldchanges,pvals,pvals_adj
Gsdmc4,58.31529,2.3157065,0.0,0.0
Ivns1abp,49.881508,1.8866407,0.0,0.0
Actg1,49.07562,1.7342975,0.0,0.0
Ddx5,48.358902,2.6457253,0.0,0.0
Eif4a2,47.49001,2.2940943,0.0,0.0
mt-Co1,47.220043,1.5119758,0.0,0.0
mt-Atp6,45.83525,1.5003642,0.0,0.0
Atp5b,44.97974,1.681465,0.0,0.0
Txn1,44.784443,1.7024359,0.0,0.0
B2m,44.665783,1.5191158,0.0,0.0
Hspa8,44.591064,1.7814296,0.0,0.0
Tubb4b,44.063797,1.486432,0.0,0.0
Ssr4,44.012157,1.5910871,0.0,0.0
Idh3b,43.958652,1.7306288,0.0,0.0
Gpx2,43.886017,1.7241845,0.0,0.0
Rsrp1,43.722954,2.318209,0.0,0.0
Cdc42,43.591362,2.1222773,0.0,0.0
Rfk,43.473137,1.319143,0.0,0.0
Hnrnpk,43.45263,1.9859673,0.0,0.0
Clk1,43.334362,2.277098,0.0,0.0
Arpc5,43.33394,1.5952294,0.0,0.0
Chchd2,43.273903,1.6069344,0.0,0.0
Cyc1,43.19979,1.6670406,0.0,0.0
Calm2,43.149387,1.9108686,0.0,0.0
Tma7,43.13128,1.7772733,0.0,0.0
Slc26a2,42.415783,1.3320026,0.0,0.0
Uqcrc2,42.331203,1.4614614,0.0,0.0
Gmds,42.31616,1.4832623,0.0,0.0
S100a6,42.284233,1.681841,0.0,0.0
Myo1d,42.27292,1.4530632,0.0,0.0
Gsdmc2,41.947117,1.8438041,0.0,0.0
Ndufa1,41.940205,1.4735161,0.0,0.0
Prdx1,41.902157,1.5124198,0.0,0.0
Tomm5,41.88048,2.1653097,0.0,0.0
Sf3b1,41.836327,1.8067911,0.0,0.0
Slc35a3,41.80613,1.5819061,0.0,0.0
Myo6,41.656654,1.6628329,0.0,0.0
Slc25a5,41.653446,1.3762105,0.0,0.0
Mat2a,41.59795,1.3886291,0.0,0.0
Plekhb2,41.59479,1.602234,0.0,0.0
Myl12b,41.58211,1.5151898,0.0,0.0
Tm9sf3,41.5388,1.5508349,0.0,0.0
mt-Co3,41.45653,1.316426,0.0,0.0
mt-Nd2,41.434563,1.3308465,0.0,0.0
Tbca,41.410305,2.0660558,0.0,0.0
Twf1,41.379055,2.1998568,0.0,0.0
Slc25a3,41.37005,1.305282,0.0,0.0
Tax1bp1,41.349598,1.5458351,0.0,0.0
Srsf6,41.27556,2.0539086,0.0,0.0
Mgat4c,41.238956,1.2282578,0.0,0.0
Uqcrc1,41.180576,1.4619446,0.0,0.0
Cox7c,41.17425,1.3656557,0.0,0.0
Sypl,40.994118,1.3893285,0.0,0.0
