names,scores,logfoldchanges,pvals,pvals_adj
Slc17a4,17.72799,2.3438678,2.549956437505479e-70,1.1644801064608355e-66
Plec,17.520222,2.506163,1.0043210368852097e-68,3.439799551331843e-65
Apob,17.420141,2.6716251,5.803456387882657e-68,1.590147050279848e-64
Ugt2b34,17.346392,2.0718205,2.100293953150933e-67,4.795671193027964e-64
Acox1,16.997946,2.1829023,8.504729320170282e-65,1.4797208056960602e-61
Ces2e,16.99301,2.3313212,9.251870967229416e-65,1.4797208056960602e-61
Atrnl1,16.990108,2.2132733,9.720793614061709e-65,1.4797208056960602e-61
Etl4,16.922003,1.9486394,3.0971388730641286e-64,4.2430802560978564e-61
Apol10a,16.897629,2.1852787,4.6836077515733586e-64,5.8332205633231836e-61
Slc51a,16.742844,2.0751362,6.386340373931118e-63,7.291071926904693e-60
Rnasel,16.693783,2.239047,1.4545736380139827e-62,1.5328968339070433e-59
Slc51b,16.459213,2.0892432,7.203155579908895e-61,7.048802246053704e-58
Cyp2d26,16.428255,2.4740846,1.2006408247558087e-60,1.0965852866103052e-57
Nr3c2,16.41219,2.3926756,1.564616509810066e-60,1.339702886524869e-57
Cdhr2,16.229895,1.960146,3.09995085108568e-59,2.4981956858749303e-56
Slc4a2,16.214767,1.9440993,3.965728810453364e-59,3.018360261289505e-56
Spink1,16.111551,2.7497628,2.1164779777708274e-58,1.526092015550544e-55
Plekhb2,16.064135,1.7987586,4.551657332665042e-58,3.117885272875554e-55
Tax1bp1,16.01288,1.8104875,1.0388804674574678e-57,6.777458287698718e-55
App,15.850726,1.8481132,1.3896476919445596e-56,8.653715172563849e-54
Oasl2,15.825726,1.9377366,2.068009024949159e-56,1.23181407138276e-53
Specc1l,15.796806,2.599397,3.2728313872406103e-56,1.8682412502165151e-53
Clec2d,15.777605,1.7952406,4.437083576795429e-56,2.4315218000838953e-53
Pfkp,15.757698,2.6034884,6.080769895263481e-56,3.2040979832734496e-53
Trpm4,15.68536,1.743414,1.904796712886718e-55,9.665079617240014e-53
Slc40a1,15.67282,2.3712163,2.3204909106018215e-55,1.1353830526873197e-52
Slc44a4,15.638806,1.7910821,3.960804268490641e-55,1.8711385682179926e-52
Slc44a1,15.549775,1.8335755,1.596648941751213e-54,7.213295692184234e-52
Stk25,15.548365,1.6617559,1.632205594581834e-54,7.213295692184234e-52
