names,scores,logfoldchanges,pvals,pvals_adj
Tmsb4x,35.64841,2.8516083,2.493641519261311e-278,1.708144440693998e-274
Cd7,33.481884,5.038165,8.845671748568048e-246,2.4237140591076453e-242
Rac2,32.367855,4.2195373,7.780434635150283e-230,1.3323994312694859e-226
Coro1a,32.11049,4.999777,3.1473860417594383e-226,4.791020974678256e-223
Laptm5,31.185732,4.257633,1.6634868015903245e-213,2.0717971983443134e-210
Ctsw,30.611288,5.1370807,8.660913888994183e-206,9.887876689935026e-203
Cd3e,30.59454,5.56925,1.446749722731409e-205,1.524651630878485e-202
Cotl1,29.926662,3.4410663,8.85571238194119e-197,8.665947116613879e-194
Gimap4,29.85208,6.093093,8.249980572160815e-196,7.5349822559068775e-193
Ptprc,29.566341,4.811926,4.049136718138549e-192,3.4670733149061323e-189
Cd52,28.889395,4.299444,1.6226443264615761e-183,1.3076604277955054e-180
H2-Q7,28.54879,4.2892447,2.9077965730045776e-179,2.2131562805645954e-176
Lcp1,28.511189,3.7824607,8.511995145195127e-179,6.137596499430171e-176
Ets1,28.42205,4.5667524,1.0799496810136108e-177,7.397655314943234e-175
Ccl5,28.417578,4.502929,1.226533330793332e-177,8.001669824699357e-175
Cd3g,28.254385,4.7323313,1.2572736091595955e-175,7.8293856570393e-173
Arhgdib,27.767277,3.887447,1.0779919988570725e-169,6.421082775800823e-167
B2m,27.47373,2.2899027,3.6177307774640375e-166,1.9825164660502928e-163
Cd3d,27.445246,4.841593,7.917472023337141e-166,4.171898719989186e-163
Ighm,27.21061,4.087364,4.864609402969333e-163,2.4683388452103654e-160
Stk17b,27.110802,4.168238,7.344141958526586e-162,3.593383743993365e-159
Prkch,26.985785,4.3272243,2.1702914927097206e-160,1.0252756362111438e-157
Srgn,26.718401,3.9071982,2.8772204731094366e-157,1.313930682719976e-154
Eef1a1,26.656523,1.6024455,1.503731585431364e-156,6.645523458196673e-154
Lck,26.460203,4.8826103,2.7845171348370897e-154,1.1921213983521289e-151
Evl,26.382666,4.9999075,2.166423836369117e-153,8.993941381289971e-151
Trac,25.969793,5.3210053,1.0869011944382663e-148,4.379572459942426e-146
Cnn2,25.923939,3.5353034,3.578090917168777e-148,1.4005670161489213e-145
Klrd1,25.905285,4.7425995,5.806430537051797e-148,2.2096693988224896e-145
Btg1,25.708189,2.6385684,9.466931438876506e-146,3.413077913489688e-143
Il2rb,25.63541,5.158934,6.1497659407750394e-145,2.1603023945799498e-142
H2-K1,25.123098,2.3524165,2.781901744779123e-139,9.528013475868496e-137
Sept1,24.523758,4.748237,8.243173829719092e-133,2.754426377247599e-130
Fau,24.487797,1.9378035,1.9927289491518433e-132,6.50009204842387e-130
