names,scores,logfoldchanges,pvals,pvals_adj
Eif4a2,30.169483,2.0711257,5.956406596768918e-200,8.160277037573417e-196
Tmed2,29.667374,2.1510453,2.0247447019576063e-193,1.3869501208409601e-189
S100a6,28.688883,1.8145132,5.25084482021182e-181,2.397885801230065e-177
Ern2,28.314783,1.6857673,2.2729157431257286e-176,7.78473642020562e-173
Ostc,27.663494,1.635736,1.9205806922484372e-168,5.262391096760718e-165
Eef1g,27.479778,1.9631201,3.063239096627978e-166,6.99439593730055e-163
Sytl2,27.211874,1.78646,4.6999431981710863e-163,9.198460259277697e-160
Atp5e,27.19792,1.6756973,6.873439489242344e-163,1.1770765125327512e-159
Ddx5,26.668657,1.5645182,1.0875706389076563e-156,1.4899717753034892e-153
Acbd3,26.535154,1.4896029,3.810686132111903e-155,4.746036364539371e-152
Mxd4,26.478155,1.3730444,1.7301546278188775e-154,1.9752598667598852e-151
Copb2,26.322598,1.3980277,1.0572989998345222e-152,1.1142304844409965e-149
Golgb1,26.317726,2.267683,1.2021309102585708e-152,1.1763709621816012e-149
Atrnl1,26.20525,1.5211682,2.315452984602688e-151,2.1147803926037882e-148
Mia3,26.19832,1.3166603,2.77712909332713e-151,2.377916786161355e-148
Atp6v0a2,26.15147,1.9765146,9.483113231541308e-151,7.642273604242113e-148
Hnrnpa2b1,26.118752,1.9067492,2.2327975520456112e-150,1.6994070257236042e-147
Atp5b,26.099987,1.5673486,3.6469563118637247e-150,2.6296474459227913e-147
Il1r1,26.08832,1.5045234,4.947090554028258e-150,3.388757029509357e-147
Mvp,25.854067,1.5203367,2.189933383200404e-147,1.4286708261831207e-144
Cox7a2,25.850824,1.4370599,2.3817531459263515e-147,1.4831826408723188e-144
Hnrnpk,25.836285,1.570914,3.4700158585485535e-147,2.066922489657182e-144
Atp6v0b,25.817532,1.45589,5.636114332143048e-147,3.2172819312649903e-144
Gabarap,25.746185,1.418041,3.556676963383098e-146,1.9490589759339377e-143
Serf2,25.714808,1.4037604,7.983663472574625e-146,4.206776522087399e-143
Nr3c2,25.675545,1.4390666,2.1928899569391933e-145,1.1126886077802573e-142
Dlst,25.64662,1.4469786,4.611570624197824e-145,2.2563756268396493e-142
Twf1,25.638937,1.4464525,5.6174349844931316e-145,2.6537537685364104e-142
Rap1gap,25.573132,1.469717,3.0370606286926556e-144,1.386924353769646e-141
Arl1,25.537983,1.2959797,7.466759218306817e-144,3.299825848090432e-141
Lypla1,25.518562,1.8132541,1.2268549698168935e-143,5.252472839528575e-141
Tmed10,25.478592,1.4760251,3.404797027332546e-143,1.4135066446804812e-140
Ddx3x,25.462473,1.4361176,5.1365836072648e-143,2.069741041750816e-140
Csde1,25.429827,1.6263576,1.1803291413731184e-142,4.620145496231921e-140
Atp9a,25.374144,1.4920292,4.8667096356108186e-142,1.8520533891074507e-139
Wdr26,25.347458,1.4439123,9.58551643433517e-142,3.5492317608214004e-139
Ufm1,25.31225,1.3195704,2.34160459602278e-141,8.442100780397919e-139
mt-Nd3,25.29308,2.6867852,3.806349874166846e-141,1.3371023916945073e-138
Mlph,25.262732,1.5635638,8.207155617370379e-141,2.810950798949355e-138
Tmf1,25.240366,1.2815763,1.4449669502347553e-140,4.828304199564914e-138
Fryl,25.222092,1.2985616,2.293025891892605e-140,7.479632075935403e-138
Mrfap1,25.152792,1.663378,1.3172360984984266e-139,4.1967754766112663e-137
Srp72,25.138395,1.7206731,1.8928971744724138e-139,5.893793475061834e-137
Nt5c3,25.129719,1.1544434,2.3549436415786343e-139,7.169495086583842e-137
